prev_eps_yoy,date,est_price,name,prev_eps,pe,advice,gm,eps_yoy,symbol,expansion,status,om,prev_year,price,eps,rev_yoy,prev_rev_yoy
790.16,2025-12,264.15000000000003,大量,5.45,36.2862010221465,⚠️ 追價風險,42.12%,474.47,3167.TW,379.12,🚀 利潤擴張,18.24%,2025,639.0,8.13,95.35,119.15
326.32,2025-12,16.499999999999996,宏洲,0.43,8.772726925909092,💎 強力關注,2.52%,364.71,1413.TW,374.26,🧐 疑業外收益,0.23%,2025,9.6499996185,0.45,-9.55,-6.34
187.32,2025-12,38.849999999999994,雙鍵,0.62,76.83397683397683,⚠️ 追價風險,23.49%,377.27,4764.TW,371.81,🚀 利潤擴張,7.74%,2025,199.0,1.22,5.46,6.23
916.67,2025-12,68.4,同亨,1.26,5.833333416995613,💎 強力關注,N/A,382.35,5490.TWO,370.34000000000003,🚀 利潤擴張,N/A,2025,26.6000003815,1.69,12.01,13.03
103.23,2025-12,42.0,新天地,0.02,6.017857279107143,💎 強力關注,N/A,358.33,8940.TW,364.75,🧐 疑業外收益,N/A,2025,16.8500003815,0.55,-6.42,-10.3
179.66,2025-12,59.699999999999996,倚強科,1.65,16.633165062361808,⚪ 中性觀察,69.49%,406.67,3219.TWO,356.99,🏰 高護城河,-15.39%,2025,66.1999969482,1.52,49.68,43.11
185.25,2025-12,38.1,友達,0.52,6.988188976377953,💎 強力關注,10.73%,327.5,2409.TW,327.09,🚀 利潤擴張,-2.70%,2025,17.75,0.9,0.41,-0.15
114.76,2025-12,321.90000000000003,冠星-KY,7.71,4.706430568499534,💎 強力關注,15.60%,346.24,4439.TW,316.98,🚀 利潤擴張,0.97%,2025,101.0,7.73,29.26,30.37
-222.22,2025-12,-2.7000000000000006,映泰,-0.11,0.0,⚪ 數據不足,8.40%,275.0,2399.TW,289.09,🔄 轉虧為盈,-12.67%,2025,39.7000007629,0.15,-14.09,-14.04
352.24,2025-12,359.25,宏達電,7.88,1.6701461377870563,💎 強力關注,34.44%,275.85,2498.TW,281.70000000000005,🧐 疑業外收益,-79.17%,2025,40.0,7.21,-5.85,-0.73
-18.34,2025-12,194.10000000000002,美利達,4.81,4.629057304938176,💎 強力關注,N/A,271.37,9914.TW,281.08,🧐 疑業外收益,N/A,2025,59.9000015259,4.01,-9.71,-8.55
410.34,2025-12,0.0,浪凡,3.02,0.0,⚪ 數據不足,N/A,288.24,6165.TW,275.27,🚀 利潤擴張,N/A,2025,0.0,4.02,12.97,12.63
447.83,2025-12,65.55,大銀微系統,1.26,43.47826086956522,⚠️ 追價風險,38.42%,294.12,4576.TW,273.68,🚀 利潤擴張,13.23%,2025,190.0,2.01,20.44,19.84
230.67,2025-12,-8.100000000000001,冠西電,0.98,0.0,⚪ 數據不足,-4.21%,241.18,2466.TW,255.45000000000002,🧐 疑業外收益,-53.06%,2025,56.0,0.25,-14.27,-6.66
241.94,2025-12,174.45,華榮,4.75,2.867583703705933,💎 強力關注,9.17%,254.81,1608.TW,254.79,🚀 利潤擴張,6.96%,2025,33.3499984741,5.5,0.02,-0.36
-11.76,2025-12,3.9000000000000004,中纖,0.19,25.692307031923075,⚠️ 追價風險,41.46%,250.0,1718.TW,250.24,🧐 疑業外收益,18.72%,2025,6.6799998283,0.09,-0.24,4.96
180.87,2025-12,68.25,有成精密,1.48,19.516484187208793,⚪ 中性觀察,N/A,240.74,4949.TW,241.22,🧐 疑業外收益,N/A,2025,88.8000030518,1.91,-0.48,-1.75
