prev_rev_yoy,rev_yoy,pe,prev_year,est_price,expansion,prev_eps,price,date,status,prev_eps_yoy,gm,name,symbol,eps_yoy,om,eps,advice
20.92,43.25,39.76945244956772,2025,52.05,487.52,1.58,138.0,2026-03,🚀 利潤擴張,222.58,N/A,GOGOLOOK,6902.TW,530.77,N/A,1.64,⚠️ 追價風險
5.06,335.75,0.0,2025,-7.499999999999999,484.25,-0.16,15.1000003815,2026-03,🔄 轉虧為盈,74.6,N/A,鑫永洋,6241.TWO,820.0,N/A,0.46,⚪ 數據不足
-6.1,727.58,36.44067796610169,2025,8.850000000000001,472.41999999999996,0.31,21.5,2026-03,🚀 利潤擴張,-42.59,N/A,綠電,8440.TWO,1200.0,N/A,0.22,⚠️ 追價風險
-41.11,-25.82,0.0,2025,0.0,444.74,2.72,76.9000015259,2026-03,🧐 疑業外收益,-1.45,30.54%,富田-創,4590.TW,418.92,-0.34%,1.21,⚪ 數據不足
11.66,187.7,43.275862726637925,2025,17.400000000000002,412.3,0.49,50.2000007629,2026-03,🚀 利潤擴張,-34.67,36.04%,麗正,2302.TW,600.0,11.05%,0.25,⚠️ 追價風險
9.55,646.87,75.36764705882354,2025,40.8,390.63,0.88,205.0,2026-03,🚀 利潤擴張,576.92,41.86%,華邦電,2344.TW,1037.5,15.37%,2.25,⚠️ 追價風險
28.36,6.45,0.0,2025,0.0,381.05,1.44,38.5,2026-03,🚀 利潤擴張,5.88,N/A,宏�砦C戲-創,6908.TW,387.5,N/A,0.41,⚪ 數據不足
-15.3,359.78,18.345588796286766,2025,81.60000000000001,356.01,2.19,99.8000030518,2026-03,🚀 利潤擴張,-49.65,N/A,應廣,6716.TWO,715.79,N/A,1.59,⚪ 中性觀察
9.95,37.41,23.269230769230774,2025,19.499999999999996,342.59000000000003,0.73,30.25,2026-03,🚀 利潤擴張,207.35,N/A,寶碩,5210.TWO,380.0,N/A,0.24,⚠️ 追價風險
25.85,750.53,0.0,2025,-8.4,339.47,-0.2,67.4000015259,2026-03,🔄 轉虧為盈,90.52,N/A,鈺鎧,5228.TWO,1090.0,N/A,0.99,⚪ 數據不足
5.96,179.43,11.377633216888167,2025,92.55,338.21999999999997,2.35,70.1999969482,2026-03,🚀 利潤擴張,1.73,N/A,亞洲藏壽司,2754.TWO,517.65,N/A,1.42,💎 強力關注
-3.75,237.41,40.56818268517045,2025,26.4,312.59000000000003,0.92,71.4000015259,2026-03,🚀 利潤擴張,170.59,42.07%,旭然,4556.TWO,550.0,14.30%,0.13,⚠️ 追價風險
-5.82,343.32,19.537571813352603,2025,25.95,306.68,0.57,33.7999992371,2026-03,🚀 利潤擴張,-29.63,30.11%,協禧,3071.TWO,650.0,7.94%,0.15,⚪ 中性觀察
23.29,849.86,17.88013159776856,2025,2097.2999999999997,293.43999999999994,41.98,2500.0,2026-03,🚀 利潤擴張,3.78,N/A,群聯,8299.TWO,1143.3,N/A,68.8,⚪ 中性觀察
-14.91,270.3,0.0,2025,-2.2499999999999996,276.36999999999995,-0.43,37.4500007629,2026-03,🔄 轉虧為盈,-150.59,N/A,慧智,6615.TWO,546.67,N/A,0.67,⚪ 數據不足
0.1,371.03,0.0,2025,-9.150000000000002,268.97,0.18,62.0,2026-03,🚀 利潤擴張,550.0,N/A,康舒,6282.TW,640.0,N/A,0.27,⚪ 數據不足
5.03,186.87,0.0,2025,-20.1,258.58,-0.76,22.25,2026-03,🔄 轉虧為盈,55.83,N/A,三貝德,8489.TWO,445.45,N/A,0.38,⚪ 數據不足
0.89,473.51,12.655860349127183,2025,120.3,228.27999999999997,1.77,101.5,2026-03,🚀 利潤擴張,8050.0,18.73%,事欣科,4916.TW,701.79,8.07%,4.49,✅ 穩健價值
-3.15,292.4,5.374149724727891,2025,44.1,226.35000000000002,0.88,15.8000001907,2026-03,🚀 利潤擴張,-66.67,N/A,銘旺實,4432.TWO,518.75,N/A,2.97,💎 強力關注
-61.59,132.31,10.255102235408163,2025,14.700000000000001,217.69,0.88,10.0500001907,2026-03,🚀 利潤擴張,51.72,35.38%,中美實,4702.TWO,350.0,-88.29%,0.45,💎 強力關注
5.83,297.67,4.618656943178364,2025,493.65000000000003,215.22999999999996,13.25,152.0,2026-03,🚀 利潤擴張,33.97,N/A,東哥遊艇,8478.TW,512.9,N/A,3.8,💎 強力關注
3.39,713.51,7.318982686086105,2025,76.65,211.49,1.65,37.4000015259,2026-03,🚀 利潤擴張,-21.15,13.61%,大亞,1609.TW,925.0,8.70%,0.66,💎 強力關注
3.55,26.54,0.0,2025,0.0,186.79000000000002,0.08,22.4500007629,2026-03,🚀 利潤擴張,-80.0,19.34%,聯嘉投控,3717.TW,213.33,7.12%,0.47,⚪ 數據不足
-10.9,80.73,0.0,2025,-43.199999999999996,185.94,-1.82,51.4000015259,2026-03,🔄 轉虧為盈,-280.2,N/A,巨虹,8084.TWO,266.67,N/A,0.33,⚪ 數據不足
18.23,542.69,10.925039872408295,2025,94.05,185.43999999999994,2.02,68.5,2026-03,🚀 利潤擴張,25.64,30.40%,東浦,3290.TWO,728.13,14.85%,2.65,💎 強力關注
32.98,116.02,0.0,2025,0.0,160.65000000000003,1.54,0.0,2026-03,🚀 利潤擴張,1640.0,N/A,未知,4582.TWO,276.67,N/A,0.53,⚪ 數據不足
32.98,116.02,0.0,2025,0.0,160.65000000000003,1.54,25.4500007629,2026-03,🚀 利潤擴張,1640.0,N/A,聚恆-創,4582.TW,276.67,N/A,0.53,⚪ 數據不足
-2.43,542.01,0.0,2025,-6.6,157.99,-0.25,93.3000030518,2026-03,🔄 轉虧為盈,-219.05,10.78%,鼎元,2426.TW,700.0,-2.91%,0.06,⚪ 數據不足
2.69,108.24,0.0,2025,-25.049999999999997,156.05,-0.19,44.8499984741,2026-03,🔄 轉虧為盈,54.55,56.31%,圓剛,2417.TW,264.29,8.42%,0.28,⚪ 數據不足
-4.25,214.33,142.57142203142845,2025,1.050000000000001,152.34,-0.29,9.9799995422,2026-03,🔄 轉虧為盈,-125.22,N/A,成霖,9934.TW,366.67,N/A,0.28,⚠️ 追價風險
