代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,24.13,23.55,3000,24.65,3000,24.05,23.60,23.75,23.80,14000,-,
1269,乾杯,74.34,74.5,2000,77.9,3000,78.20,74.40,74.65,74.50,7901,-,
1271,晨暉生技,62.45,62.1,3000,62.4,3000,62.50,61.90,62.20,62.20,39439,-,
1293,利統,26.70,26.5,3000,26.9,3000,26.95,26.60,26.65,26.80,5302,-,
1343,旭東環保,23.58,29.45,1000,30.0,3000,30.10,24.40,27.90,29.45,250868,-,
1480,東盟開發,9.15,9.01,3900,9.15,5000,9.01,9.01,9.01,9.01,1100,-,
1594,日高,8.99,9.08,5000,9.5,2999,9.89,8.55,9.39,9.50,155145,-,
2071,震南鐵,25.63,25.75,2000,26.0,6000,26.25,24.70,25.25,25.75,346417,-,
2237,華德動能,40.02,39.3,3000,40.2,3000,40.45,39.50,40.03,40.00,166509,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,26.74,26.6,3000,27.85,5996,27.85,26.60,26.65,27.85,6004,-,
2249,湧盛,111.63,109.5,2000,111.0,5000,114.00,109.50,111.74,111.00,56247,115/05/08,送件申請上櫃
2252,為昇科,17.19,18.05,5000,18.35,2777,18.90,17.00,17.59,18.35,2367771,-,
2255,凱銳光電,17.72,17.9,3500,18.35,5000,18.35,16.80,17.42,18.35,58756,-,
2256,歐特明,70.60,68.1,3000,71.3,3000,73.30,68.00,69.54,70.00,176108,-,
2644,中信造船,84.21,83.8,3000,84.3,7994,84.80,82.50,84.08,84.30,49170,-,
2733,維格餅家,10.72,10.2,5000,10.65,5000,10.85,10.30,10.41,10.70,21003,-,
2741,老四川,20.46,20.2,3000,20.9,2888,21.00,20.20,20.40,20.90,29543,-,
2758,路易莎咖啡,68.29,67.1,3000,69.2,3000,69.20,67.00,67.99,69.20,11698,-,
2760,巨宇翔,17.30,16.4,10000,17.25,9800,17.25,17.25,17.25,17.25,200,-,
2761,橘焱胡同,15.25,14.85,15000,15.6,15000,15.00,14.85,14.93,15.00,3000,-,
2938,床的世界,27.08,26.55,3000,27.15,3000,28.80,26.70,27.39,26.80,130146,115/06/22,上櫃審議會通過
2940,歐都納,24.51,23.85,3000,24.65,3000,24.65,24.50,24.54,24.60,4425,-,
2942,京站,38.00,37.65,3000,38.9,3000,38.00,37.80,37.87,37.80,8349,-,
3097,拍檔,26.19,25.9,2986,27.15,2999,27.15,25.90,26.21,27.15,6035,-,
3117,年程,26.03,25.0,3000,26.3,3000,27.50,25.20,26.14,25.30,292392,-,
3184,微邦,17.47,16.6,5000,17.25,4999,17.60,16.25,16.58,17.25,443541,-,
3473,智通聯網,90.20,89.0,3000,91.0,2999,91.00,91.00,91.00,91.00,1,-,
3585,聯致,85.99,78.2,3000,78.8,2500,82.70,73.90,78.83,78.80,1983635,-,
3595,山太士,2537.37,2460.0,2000,2475.0,1860,2555.00,2400.00,2466.20,2475.00,207502,115/06/17,送件申請上櫃
3603,建祥國際,7.79,7.7,5000,8.05,5000,7.90,7.90,7.90,7.90,3010,-,
3633,云光,124.26,121.5,4000,125.0,4973,125.00,121.50,123.07,125.00,1286,-,
3644,凌嘉科,382.81,370.0,3000,374.0,3000,379.50,355.00,366.75,372.00,469913,-,
3659,百辰,22.73,22.6,3000,23.7,3000,22.60,22.60,22.60,22.60,2000,-,
3678,聯享,48.44,48.05,3000,49.45,3000,48.90,46.80,47.25,48.90,72313,-,
4115,善德生技,8.14,7.51,5000,7.84,5000,8.00,7.80,7.87,7.84,8495,-,
4117,普生,11.33,11.7,5000,11.95,5000,12.35,11.10,11.82,11.95,391183,-,
4150,優你康,4.96,4.91,10000,5.01,8000,5.10,4.91,4.95,5.00,289182,-,
4170,鑫品生醫,12.40,12.05,5000,12.5,5000,12.55,12.05,12.24,12.55,40001,-,
4172,因華,11.36,10.9,5000,11.3,4999,11.55,10.90,11.09,11.30,124079,-,
4186,尖端醫,10.01,9.9,4998,10.15,9969,10.20,9.81,10.01,10.15,132390,-,
4194,禾生技,7.02,7.0,5000,7.2,5000,7.14,6.65,6.87,7.14,77865,-,
4197,暐世,8.75,8.67,5000,9.09,4999,9.09,9.09,9.09,9.09,2,-,
4431,敏成健康,16.34,16.3,1940,16.55,5000,16.55,16.20,16.28,16.55,8870,-,
4537,旭東,179.44,176.5,4000,178.5,2000,179.00,176.00,177.71,178.00,65617,-,
4544,春日,14.25,14.25,9850,15.0,10000,14.25,14.25,14.25,14.25,150,-,
4546,長亨,102.02,98.6,3000,100.0,1899,103.00,98.00,99.47,100.00,77668,-,
4553,盛復,17.11,17.05,5000,17.85,4999,17.85,17.05,17.11,17.85,13001,-,
4559,久裕興,8.04,7.9,5000,8.15,4990,8.15,7.91,8.02,8.00,38015,-,
4565,宏偉,126.32,123.5,4000,125.0,3984,126.50,123.00,124.78,125.00,25161,-,
4570,傑生,70.80,68.9,3000,70.8,3000,70.80,68.90,70.75,68.90,1025,-,
4573,高明鐵,465.95,444.5,4000,453.5,3920,465.00,428.50,446.44,453.50,532814,-,
4575,銓寶,26.28,26.05,3000,26.8,3000,26.80,26.65,26.71,26.70,13748,-,
4587,寶元數控,59.24,58.0,2999,59.5,3000,60.00,58.00,58.58,58.00,12501,-,
