prev_eps_yoy,status,price,advice,date,om,prev_rev_yoy,name,pe,eps,symbol,rev_yoy,expansion,eps_yoy,est_price,prev_year,prev_eps,gm
222.58,🚀 利潤擴張,121.0,⚠️ 追價風險,2026-03,N/A,20.92,GOGOLOOK,34.87031700288185,1.64,6902.TW,43.25,487.52,530.77,52.05,2025,1.58,N/A
74.6,🔄 轉虧為盈,16.75,⚪ 數據不足,2026-03,N/A,5.06,鑫永洋,0.0,0.46,6241.TWO,335.75,484.25,820.0,-7.499999999999999,2025,-0.16,N/A
-42.59,🚀 利潤擴張,19.0,⚠️ 追價風險,2026-03,N/A,-6.1,綠電,32.20338983050847,0.22,8440.TWO,727.58,472.41999999999996,1200.0,8.850000000000001,2025,0.31,N/A
-1.45,🧐 疑業外收益,80.5,⚪ 數據不足,2026-03,-0.34%,-41.11,富田-創,0.0,1.21,4590.TW,-25.82,444.74,418.92,0.0,2025,2.72,30.54%
-34.67,🚀 利潤擴張,36.75,⚠️ 追價風險,2026-03,11.05%,11.66,麗正,31.681034482758616,0.25,2302.TW,187.7,412.3,600.0,17.400000000000002,2025,0.49,36.04%
576.92,🚀 利潤擴張,130.0,⚠️ 追價風險,2026-03,15.37%,9.55,華邦電,47.794117647058826,2.25,2344.TW,646.87,390.63,1037.5,40.8,2025,0.88,41.86%
5.88,🚀 利潤擴張,33.8499984741,⚪ 數據不足,2026-03,N/A,28.36,宏�砦C戲-創,0.0,0.41,6908.TW,6.45,381.05,387.5,0.0,2025,1.44,N/A
-49.65,🚀 利潤擴張,77.5999984741,✅ 穩健價值,2026-03,N/A,-15.3,應廣,14.264705601856617,1.59,6716.TWO,359.78,356.01,715.79,81.60000000000001,2025,2.19,N/A
207.35,🚀 利潤擴張,28.8500003815,⚠️ 追價風險,2026-03,N/A,9.95,寶碩,22.192307985769233,0.24,5210.TWO,37.41,342.59000000000003,380.0,19.499999999999996,2025,0.73,N/A
90.52,🔄 轉虧為盈,37.0499992371,⚪ 數據不足,2026-03,N/A,25.85,鈺鎧,0.0,0.99,5228.TWO,750.53,339.47,1090.0,-8.4,2025,-0.2,N/A
