rev_yoy,pe,date,est_price,prev_eps,name,price,gm,om,advice,status,prev_year,prev_eps_yoy,eps_yoy,prev_rev_yoy,symbol,expansion,eps
395.99,3.579638835571975,2026-03,274.05000000000007,4.11,新紡,65.4000015259,27.15%,10.89%,💎 強力關注,🚀 利潤擴張,2025,41.38,2733.33,12.31,1419.TW,2337.34,9.37
726.37,377.86885245901635,2026-03,9.150000000000002,0.22,一詮,230.5,15.86%,1.35%,⚠️ 追價風險,🚀 利潤擴張,2025,175.0,2900.0,10.09,2486.TW,2173.63,0.29
205.99,8.318965188405171,2026-03,34.800000000000004,0.72,虹光,19.2999992371,24.41%,0.24%,💎 強力關注,🚀 利潤擴張,2025,110.31,1900.0,13.61,2380.TW,1694.01,0.4
1769.87,534.2105263157896,2026-03,2.849999999999999,0.07,嘉晶,101.5,11.81%,4.89%,⚠️ 追價風險,🚀 利潤擴張,2025,-92.39,3400.0,-5.25,3016.TW,1630.13,0.35
1383.79,102.15053763440858,2026-03,27.900000000000006,0.57,南亞,190.0,9.25%,2.06%,⚠️ 追價風險,🚀 利潤擴張,2025,35.71,2900.0,0.12,1303.TW,1516.21,1.8
1031.36,34.23387158298387,2026-03,18.599999999999998,0.15,映泰,42.4500007629,8.40%,-12.67%,⚠️ 追價風險,🚀 利潤擴張,2025,275.0,2366.67,-14.09,2399.TW,1335.3100000000002,1.48
974.97,32.74509953509804,2026-03,7.65,0.15,永純,16.7000007629,14.61%,2.47%,⚠️ 追價風險,🚀 利潤擴張,2025,50.0,2200.0,-4.5,4711.TWO,1225.03,0.23
142.36,24.878048315365852,2026-03,6.15,0.09,中纖,10.1999998093,41.46%,18.72%,⚠️ 追價風險,🚀 利潤擴張,2025,250.0,1300.0,-0.24,1718.TW,1157.6399999999999,0.17
120.91,16.133332994244444,2026-03,67.5,1.52,倚強科,72.5999984741,69.49%,-15.39%,⚪ 中性觀察,🏰 高護城河,2025,406.67,1275.0,49.68,3219.TWO,1154.09,0.48
536.39,76.48648442445946,2026-03,11.1,0.31,邑昇,56.5999984741,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,-17.95,1600.0,9.81,5291.TWO,1063.6100000000001,0.17
117.67,10.516252390057362,2026-03,78.44999999999999,3.45,星通,55.0,68.55%,43.45%,💎 強力關注,🏰 高護城河,2025,-6.25,1100.0,4.27,3025.TW,982.33,0.6
