id,name,price,signal,pnl,count,win_rate,reason
8291.TWO,尚茂,33.0,☁️ 觀望,402.84,4,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
6727.TWO,亞泰金屬,544.0,💎 持股,233.48,9,33.33,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
7828.TWO,創新服務,1925.0,☁️ 觀望,204.91,5,60.0,[P:0.95/50.0] [📈 穩定] 等待機會
5475.TWO,德宏,213.5,☁️ 觀望,202.46,7,85.71,[P:0.95/8.0] [📉 轉弱] 等待機會
6831.TW,邁科,819.0,🟡 預警 (⚠️ 乖離過高),194.83,6,83.33,[P:0.95/8.0] [📈 穩定] 乖離率 9.6% 謹慎追價
6715.TW,嘉基,435.0,☁️ 觀望,183.41,8,12.5,[P:0.95/8.0] [📈 穩定] 等待機會
3026.TW,禾伸堂,953.0,☁️ 觀望,176.38,8,87.5,[P:0.95/50.0] [🚀 極強] 等待機會
6147.TWO,頎邦,199.5,☁️ 觀望,171.52,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
8033.TW,雷虎,227.5,💎 持股,154.92,7,28.57,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6182.TWO,合晶,160.0,☁️ 觀望,149.82,8,75.0,[P:0.95/50.0] [🚀 極強] 等待機會
6291.TWO,沛亨,452.5,☁️ 觀望,139.69,9,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
5536.TWO,聖暉*,1260.0,❄️ 賣出,138.73,9,66.67,[P:0.95/50.0] [📈 穩定] 今日觸發 Trailing
5289.TWO,宜鼎,1515.0,☁️ 觀望,132.92,7,85.71,[P:0.95/8.0] [📉 轉弱] 等待機會
2645.TW,長榮航太,235.5,💎 持股,127.13,8,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
6924.TW,榮惠-KY創,127.0,🟡 預警 (⚡ 糾結噴發),126.8,6,66.67,[P:0.95/8.0] [📉 轉弱] 均線糾結且短均線轉強
2491.TW,吉祥全,38.0999984741,❄️ 賣出,122.08,7,42.86,[P:0.95/50.0] [📈 穩定] 今日觸發 WeakFail
4991.TWO,環宇-KY,482.0,☁️ 觀望,120.11,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6739.TWO,竹陞科技,1110.0,❄️ 賣出,116.33,8,75.0,[P:0.95/8.0] [📉 轉弱] 今日觸發 ATR_Stop(2.2x)
5864.TWO,致和證,40.3499984741,☁️ 觀望,111.91,7,100.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2313.TW,華通,224.0,☁️ 觀望,111.59,8,50.0,[P:0.95/8.0] [📉 轉弱] 等待機會
2316.TW,楠梓電,218.0,☁️ 觀望,101.89,8,37.5,[P:0.95/50.0] [🚀 極強] 等待機會
5371.TWO,中光電,97.8000030518,💎 持股,101.03,4,50.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
4764.TW,雙鍵,316.0,🟡 預警 (🚀 動能初現),98.22,11,72.73,[P:0.95/50.0] [🚀 極強] 帶量突破短高 (漲幅:7.8%)
2492.TW,華新科,474.0,🟡 預警 (⚠️ 乖離過高),96.9,11,36.36,[P:0.95/8.0] [📈 穩定] 乖離率 12.9% 謹慎追價
4989.TW,榮科,98.4000015259,🚀 持股,94.74,9,44.44,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
2243.TW,宏旭-KY,53.5,☁️ 觀望,93.02,7,28.57,[P:0.95/50.0] [📈 穩定] 等待機會
5464.TWO,霖宏,95.9000015259,💎 持股,92.63,10,40.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6016.TWO,康和證,27.0,☁️ 觀望,86.13,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
00927.TW,群益半導體收益,41.1599998474,☁️ 觀望,85.5,6,100.0,[P:0.95/8.0] [📈 穩定] 等待機會
2478.TW,大毅,181.0,🟡 預警 (⚠️ 乖離過高),84.31,9,44.44,[P:0.95/8.0] [📈 穩定] 乖離率 13.5% 謹慎追價
00685L.TW,群益臺灣加權正2,12.1700000763,☁️ 觀望,83.95,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2305.TW,全友,35.1500015259,☁️ 觀望,82.35,4,75.0,[P:0.95/50.0] [📈 穩定] 等待機會
6834.TW,天二科技,126.5,☁️ 觀望,81.95,8,37.5,[P:0.95/50.0] [📈 穩定] 等待機會
2472.TW,立隆電,351.0,☁️ 觀望,81.07,10,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
1717.TW,長興,76.6999969482,☁️ 觀望,76.3,7,28.57,[P:0.95/8.0] [📈 穩定] 等待機會
5328.TWO,華容,71.8000030518,☁️ 觀望,75.18,10,60.0,[P:0.95/50.0] [📈 穩定] 等待機會
6525.TW,捷敏-KY,199.0,💎 持股,73.86,9,66.67,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6919.TW,康霈*,104.5,💎 持股,70.37,6,33.33,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
2885.TW,元大金,71.5,💎 持股,69.54,8,50.0,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2887.TW,台新新光金,35.8499984741,💎 持股,67.85,7,71.43,[📈 標準 V3] [P:0.95/50.0] [🚀 極強] 趨勢維持
2882.TW,國泰金,98.0,☁️ 觀望,67.17,6,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
8150.TW,南茂,106.5,💎 持股,65.54,9,55.56,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
3707.TWO,漢磊,81.5,☁️ 觀望,64.82,8,50.0,[P:0.95/8.0] [📈 穩定] 等待機會
3624.TWO,光頡,140.0,☁️ 觀望,63.9,9,44.44,[P:0.95/50.0] [🚀 極強] 等待機會
6257.TW,矽格,244.5,💎 持股,63.63,8,75.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
8105.TW,凌巨,20.3500003815,☁️ 觀望,62.28,6,66.67,[P:0.95/8.0] [📉 轉弱] 等待機會
4931.TWO,新盛力,272.0,🟡 預警 (🚀 動能初現),61.91,7,57.14,[P:0.95/8.0] [📉 轉弱] 帶量突破短高 (漲幅:4.6%)
6116.TW,彩晶,17.25,☁️ 觀望,61.34,8,25.0,[P:0.95/8.0] [📈 穩定] 等待機會
2351.TW,順德,203.5,💎 持股,61.32,7,42.86,[📈 標準 V3] [P:0.95/8.0] [📈 穩定] 趨勢維持
2484.TW,希華,92.3000030518,💎 持股,61.31,10,60.0,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
00631L.TW,元大台灣50正2,37.1399993896,☁️ 觀望,61.26,8,50.0,[P:0.95/8.0] [📈 穩定] 等待機會
4760.TWO,勤凱,331.5,☁️ 觀望,61.08,8,37.5,[P:0.95/8.0] [📉 轉弱] 等待機會
2379.TW,瑞昱,817.0,☁️ 觀望,60.79,6,66.67,[P:0.95/50.0] [🚀 極強] 等待機會
2493.TW,揚博,270.0,💎 持股,60.4,9,44.44,[📈 標準 V3] [P:0.95/50.0] [📈 穩定] 趨勢維持
6573.TW,虹揚-KY,27.5499992371,🚀 持股,60.39,7,57.14,[🚀 爆發 5D30%] [P:0.95/50.0] [🚀 極強] 趨勢維持
8131.TW,福懋科,75.0,❄️ 賣出,59.42,7,57.14,[P:0.95/8.0] [📈 穩定] 今日觸發 ATR_Stop(2.2x)
6613.TWO,朋億*,315.0,☁️ 觀望,58.87,9,66.67,[P:0.95/50.0] [📈 穩定] 等待機會
5386.TWO,青雲,412.5,☁️ 觀望,58.18,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
00881.TW,國泰台灣科技龍頭,53.4000015259,☁️ 觀望,56.31,8,62.5,[P:0.95/8.0] [📉 轉弱] 等待機會
6443.TW,元晶,31.5,☁️ 觀望,55.39,7,42.86,[P:0.95/8.0] [📉 轉弱] 等待機會
3055.TW,蔚華科,168.5,🚀 持股,54.53,9,55.56,[🚀 爆發 5D30%] [P:0.95/50.0] [📈 穩定] 趨勢維持
8042.TWO,金山電,162.0,☁️ 觀望,53.43,10,40.0,[P:0.95/50.0] [📈 穩定] 等待機會
2027.TW,大成鋼,40.5499992371,☁️ 觀望,52.52,5,40.0,[P:0.95/8.0] [📉 轉弱] 等待機會
00922.TW,國泰台灣領袖50,40.4799995422,☁️ 觀望,51.97,7,85.71,[P:0.95/8.0] [📈 穩定] 等待機會
3149.TW,正達,85.5,☁️ 觀望,51.51,9,33.33,[P:0.95/8.0] [📉 轉弱] 等待機會
