
📅 投資日報表: 2026-07-09
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 240.00   | 240.50   | 234.00   | 237.50   | 36,721,523   | 241.21      | 2000     | ▼7,420    |   -1.54%
4142     | 國光生        | 17.85    | 17.95    | 17.55    | 17.65    | 669,070      | 25.32       | 1000     | ▼7,670    |  -30.29%
0050     | 元大台灣50     | 108.55   | 109.05   | 105.85   | 106.20   | 111,060,971  | 46.60       | 16000    | ▲953,600  | +127.90%
0056     | 元大高股息      | 53.25    | 53.60    | 51.95    | 52.15    | 86,814,433   | 36.43       | 4000     | ▲62,880   |  +43.15%
00635U   | 期元大S&P黃金   | 43.27    | 43.27    | 42.98    | 43.00    | 2,841,750    | 55.25       | 3000     | ▼36,750   |  -22.17%
00738U   | 期元大道瓊白銀    | 49.55    | 49.61    | 48.75    | 48.79    | 3,514,828    | 66.26       | 1000     | ▼17,470   |  -26.37%
00929    | 復華台灣科技優息   | 31.46    | 31.46    | 30.37    | 30.44    | 42,676,401   | 19.73       | 8000     | ▲85,680   |  +54.28%
009816   | 凱基台灣TOP50  | 15.67    | 15.75    | 15.25    | 15.29    | 160,710,680  | 11.01       | 63000    | ▲269,640  |  +38.87%
00990A   | 主動元大AI新經濟  | 19.03    | 19.03    | 18.25    | 18.29    | 81,325,165   | 11.48       | 5000     | ▲34,050   |  +59.32%
2009     | 第一銅        | 38.60    | 38.80    | 38.05    | 38.45    | 799,639      | 50.56       | 4000     | ▼48,440   |  -23.95%
2337     | 旺宏         | 141.00   | 143.00   | 134.00   | 138.50   | 52,491,657   | 95.28       | 2000     | ▲86,440   |  +45.36%
2409     | 友達         | 30.10    | 30.30    | 28.50    | 29.55    | 263,036,919  | 16.21       | 2000     | ▲26,680   |  +82.29%
3481     | 群創         | 66.10    | 66.70    | 62.40    | 65.20    | 414,395,459  | 25.10       | 4000     | ▲160,400  | +159.76%
3105     | 穩懋         | 411.00   | 421.50   | 400.00   | 413.50   | 16,471,107   | 556.47      | 300      | ▼42,891   |  -25.69%
4966     | 譜瑞-KY      | 658.00   | 663.00   | 641.00   | 662.00   | 1,678,225    | 1921.64     | 1000     | ▼1,259,640 |  -65.55%
2327     | 國巨*        | 906.00   | 930.00   | 856.00   | 891.00   | 67,677,034   | 1030.00     | 1        | ▼139      |  -13.50%
00403A   | 主動統一升級50   | 10.98    | 10.98    | 10.41    | 10.45    | 420,136,700  | 10.68       | 26000    | ▼5,980    |   -2.15%
00981A   | 主動統一台股增長   | 31.20    | 31.30    | 29.75    | 29.84    | 330,931,675  | 27.48       | 2000     | ▲4,720    |   +8.59%
2330     | 台積電        | 2445.00  | 2465.00  | 2420.00  | 2465.00  | 23,373,702   | 225.55      | 10       | ▲22,394   | +992.88%
6789     | 采鈺         | 508.00   | 517.00   | 495.00   | 513.00   | 1,285,689    | 593.50      | 400      | ▼32,200   |  -13.56%
6849     | 奇鼎科技       | 161.00   | 161.00   | 145.50   | 154.00   | 145,552      | 266.40      | 280      | ▼31,472   |  -42.19%
7853     | 政美應用       | 363.00   | 370.00   | 350.50   | 364.00   | 603,148      | 409.29      | 280      | ▼12,681   |  -11.07%
3576     | 聯合再生       | 16.20    | 16.30    | 15.95    | 16.05    | 8,024,641    | 18.15       | 5000     | ▼10,500   |  -11.57%
1721     | 三晃         | 24.10    | 24.65    | 23.55    | 24.00    | 4,494,772    | 27.88       | 3000     | ▼11,650   |  -13.93%
8215     | 明基材        | 28.80    | 29.10    | 28.00    | 28.55    | 1,408,350    | 31.60       | 200      | ▼610      |   -9.65%
00405A   | 主動富邦台灣龍耀   | 9.20     | 9.20     | 8.65     | 8.65     | 285,257,030  | 9.34        | 11000    | ▼7,590    |   -7.39%
5498     | 凱崴         | 62.10    | 62.40    | 59.80    | 61.10    | 2,046,019    | 69.61       | 188      | ▼1,600    |  -12.23%
1301     | 台塑         | 57.00    | 58.50    | 56.50    | 58.00    | 44,452,791   | 50.50       | 100      | ▲750      |  +14.85%
6498     | 久禾光        | 92.00    | 92.00    | 88.20    | 89.00    | 91,210       | 67.30       | 12       | ▲260      |  +32.24%
009821   | 野村稀土關鍵資源   | 14.33    | 14.33    | 14.10    | 14.11    | 19,173,404   | 17.30       | 12000    | ▼38,280   |  -18.44%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        +134,512 (  +2.09%)
