
📅 投資日報表: 2026-08-26
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 246.00   | 246.50   | 243.50   | 243.50   | 22,420,689   | 241.21      | 2000     | ▲4,580    |   +0.95%
4142     | 國光生        | 18.35    | 18.55    | 17.80    | 17.80    | 1,629,160    | 25.32       | 1000     | ▼7,520    |  -29.70%
0050     | 元大台灣50     | 104.65   | 104.80   | 103.80   | 103.80   | 40,662,714   | 46.60       | 16000    | ▲915,200  | +122.75%
0056     | 元大高股息      | 52.05    | 52.45    | 51.80    | 52.40    | 13,164,921   | 36.43       | 4000     | ▲63,880   |  +43.84%
00635U   | 期元大S&P黃金   | 46.76    | 47.06    | 46.74    | 46.96    | 4,477,061    | 55.25       | 3000     | ▼24,870   |  -15.00%
00738U   | 期元大道瓊白銀    | 55.35    | 55.35    | 54.55    | 54.90    | 5,400,955    | 66.26       | 1000     | ▼11,360   |  -17.14%
00929    | 復華台灣科技優息   | 28.42    | 28.50    | 28.26    | 28.33    | 14,255,149   | 19.73       | 8000     | ▲68,800   |  +43.59%
009816   | 凱基台灣TOP50  | 15.13    | 15.28    | 15.03    | 15.25    | 45,709,862   | 11.01       | 63000    | ▲267,120  |  +38.51%
00990A   | 主動元大AI新經濟  | 15.60    | 15.60    | 15.29    | 15.38    | 10,403,610   | 11.48       | 5000     | ▲19,500   |  +33.97%
2009     | 第一銅        | 40.40    | 42.85    | 40.40    | 41.90    | 8,176,644    | 50.56       | 4000     | ▼34,640   |  -17.13%
2337     | 旺宏         | 121.00   | 128.00   | 119.50   | 124.00   | 39,602,232   | 95.28       | 2000     | ▲57,440   |  +30.14%
2409     | 友達         | 25.70    | 26.10    | 25.25    | 25.25    | 72,089,963   | 16.21       | 2000     | ▲18,080   |  +55.77%
3481     | 群創         | 46.05    | 46.95    | 45.45    | 45.45    | 121,986,896  | 25.10       | 4000     | ▲81,400   |  +81.08%
3105     | 穩懋         | 370.50   | 372.50   | 355.00   | 355.00   | 11,863,506   | 556.47      | 300      | ▼60,441   |  -36.21%
4966     | 譜瑞-KY      | 567.00   | 573.00   | 557.00   | 557.00   | 561,622      | 1921.64     | 1000     | ▼1,364,640 |  -71.01%
2327     | 國巨*        | 557.00   | 580.00   | 551.00   | 551.00   | 22,417,765   | 1030.00     | 1        | ▼479      |  -46.50%
00403A   | 主動統一升級50   | 10.00    | 10.02    | 9.86     | 9.92     | 99,417,544   | 10.68       | 26000    | ▼19,760   |   -7.12%
00981A   | 主動統一台股增長   | 29.11    | 29.12    | 28.62    | 28.72    | 132,738,503  | 27.48       | 2000     | ▲2,480    |   +4.51%
2330     | 台積電        | 2410.00  | 2410.00  | 2375.00  | 2375.00  | 10,658,045   | 225.55      | 10       | ▲21,494   | +952.98%
6789     | 采鈺         | 428.50   | 431.00   | 415.00   | 415.00   | 747,499      | 593.50      | 400      | ▼71,400   |  -30.08%
6849     | 奇鼎科技       | 140.00   | 140.00   | 132.50   | 133.00   | 65,988       | 266.40      | 280      | ▼37,352   |  -50.08%
7853     | 政美應用       | 296.00   | 301.00   | 289.00   | 294.50   | 227,052      | 409.29      | 280      | ▼32,141   |  -28.05%
3576     | 聯合再生       | 17.30    | 17.55    | 17.00    | 17.00    | 6,939,355    | 18.15       | 5000     | ▼5,750    |   -6.34%
1721     | 三晃         | 19.90    | 20.15    | 19.55    | 19.60    | 376,300      | 27.88       | 3000     | ▼24,850   |  -29.71%
8215     | 明基材        | 23.95    | 24.20    | 23.80    | 23.85    | 265,039      | 31.60       | 200      | ▼1,550    |  -24.53%
00405A   | 主動富邦台灣龍耀   | 8.35     | 8.43     | 8.19     | 8.19     | 50,272,871   | 9.34        | 11000    | ▼12,650   |  -12.31%
5498     | 凱崴         | 50.50    | 52.50    | 50.10    | 51.10    | 1,882,310    | 69.61       | 188      | ▼3,480    |  -26.59%
1301     | 台塑         | 59.00    | 59.30    | 55.90    | 57.00    | 41,541,763   | 50.50       | 100      | ▲650      |  +12.87%
6498     | 久禾光        | 76.30    | 77.00    | 74.40    | 74.80    | 68,000       | 67.30       | 12       | ▲90       |  +11.14%
009821   | 野村稀土關鍵資源   | 15.16    | 15.16    | 15.05    | 15.09    | 3,677,435    | 17.30       | 12000    | ▼26,520   |  -12.77%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:        -218,689 (  -3.40%)
