日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-08-26,2317,鴻海,243.5,241.21,2000,4580,0.95%
2026-08-26,4142,國光生,17.8,25.32,1000,-7520,-29.70%
2026-08-26,0050,元大台灣50,103.8,46.6,16000,915200,122.75%
2026-08-26,0056,元大高股息,52.4,36.43,4000,63880,43.84%
2026-08-26,00635U,期元大S&P黃金,46.96,55.25,3000,-24870,-15.00%
2026-08-26,00738U,期元大道瓊白銀,54.9,66.26,1000,-11360,-17.14%
2026-08-26,00929,復華台灣科技優息,28.33,19.73,8000,68800,43.59%
2026-08-26,009816,凱基台灣TOP50,15.25,11.01,63000,267120,38.51%
2026-08-26,00990A,主動元大AI新經濟,15.38,11.48,5000,19500,33.97%
2026-08-26,2009,第一銅,41.9,50.56,4000,-34640,-17.13%
2026-08-26,2337,旺宏,124.0,95.28,2000,57440,30.14%
2026-08-26,2409,友達,25.25,16.21,2000,18080,55.77%
2026-08-26,3481,群創,45.45,25.1,4000,81400,81.08%
2026-08-26,3105,穩懋,355.0,556.47,300,-60441,-36.21%
2026-08-26,4966,譜瑞-KY,557.0,1921.64,1000,-1364640,-71.01%
2026-08-26,2327,國巨*,551.0,1030.0,1,-479,-46.50%
2026-08-26,00403A,主動統一升級50,9.92,10.68,26000,-19760,-7.12%
2026-08-26,00981A,主動統一台股增長,28.72,27.48,2000,2480,4.51%
2026-08-26,2330,台積電,2375.0,225.55,10,21494,952.98%
2026-08-26,6789,采鈺,415.0,593.5,400,-71400,-30.08%
2026-08-26,6849,奇鼎科技,133.0,266.4,280,-37352,-50.08%
2026-08-26,7853,政美應用,294.5,409.29,280,-32141,-28.05%
2026-08-26,3576,聯合再生,17.0,18.15,5000,-5750,-6.34%
2026-08-26,1721,三晃,19.6,27.88,3000,-24850,-29.71%
2026-08-26,8215,明基材,23.85,31.6,200,-1550,-24.53%
2026-08-26,00405A,主動富邦台灣龍耀,8.19,9.34,11000,-12650,-12.31%
2026-08-26,5498,凱崴,51.1,69.61,188,-3480,-26.59%
2026-08-26,1301,台塑,57.0,50.5,100,650,12.87%
2026-08-26,6498,久禾光,74.8,67.3,12,90,11.14%
2026-08-26,009821,野村稀土關鍵資源,15.09,17.3,12000,-26520,-12.77%
