股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
----------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         76.0          6         70.0           9.94        2      -125427 📉 觀望/賣出             
0052.TW      富邦科技          45.54          6        65.22           8.68        2        -2309 📉 觀望/賣出             
0056.TW      元大高股息         38.88          3         75.0           6.28        3         6076 📉 觀望/賣出             
00631L.TW    元大台灣50正2      472.5          3        71.43           1.82        2          -49 📉 觀望/賣出             
00632R.TW    元大台灣50反1      14.08          6        33.33          -4.91        3          495 📉 觀望/賣出             
00633L.TW    富邦上証正2        46.95         19        33.33          -3.21        2          958 📈 持有                
00634R.TW    富邦上証反1         3.29          5         50.0          -2.64        4            0 📉 觀望/賣出             
00635U.TW    期元大S&P黃金      51.45          5        77.78          14.59        3        -4184 📉 觀望/賣出             
00637L.TW    元大滬深300正2     19.36         11        45.45          -0.26        2        12870 📈 持有                
00638R.TW    元大滬深300反1      7.08          7        47.37           -2.4        4           25 📉 觀望/賣出             
00640L.TW    富邦日本正2        85.85          6        63.16           8.74        2           15 📉 觀望/賣出             
00641R.TW    富邦日本反1         4.28         11        41.18          -1.76        3            0 📈 持有                
00642U.TW    期元大S&P石油       26.1         11        61.11          68.17        0         4754 📈 持有                
00646.TW     元大S&P500      66.55         16          0.0          -2.73        3         -729 📉 觀望/賣出             
00648R.TW    元大S&P500反1     4.54         15        44.44           -0.1        3           56 📈 持有                
00650L.TW    復華香港正2        17.24          3         50.0           1.57        5           90 📉 觀望/賣出             
00651R.TW    復華香港反1         5.35         19        42.11           1.67        2            0 📈 持有                
00654R.TW    富邦印度反1         7.08         11        60.87           8.14        2            0 📈 持有                
00655L.TW    未知            32.58         11        41.67           1.72        1         1263 📈 持有                
00656R.TW    國泰中國A50反1      6.26          6         50.0           -3.5        5            0 📉 觀望/賣出             
00662.TW     富邦NASDAQ     100.15         16        33.33          -7.15        4          789 📉 觀望/賣出             
00663L.TW    國泰臺灣加權正2      61.75          3        61.54           2.31        2          280 📉 觀望/賣出             
00664R.TW    國泰臺灣加權反1       2.27          6         37.5          -4.17        3            0 📉 觀望/賣出             
00665L.TW    富邦恒生國企正2       10.0          3         50.0          -1.68        4         1922 📉 觀望/賣出             
00666R.TW    富邦恒生國企反1        9.1          8        47.37           1.27        3            0 📉 觀望/賣出             
00669R.TW    國泰美國道瓊反1       5.97         16        57.89           0.87        3            0 📈 持有                
00671R.TW    富邦NASDAQ反1     2.96         19        38.89          -2.41        3            0 📉 觀望/賣出             
00673R.TW    期元大S&P原油反1     19.0         12          0.0            0.0        0            0 📉 觀望/賣出             
00674R.TW    期元大S&P黃金反1     5.13         17         80.0           5.99        0          -88 📈 持有                
00675L.TW    富邦臺灣加權正2      186.9          3        71.43           1.73        2          -22 📉 觀望/賣出             
00676R.TW    富邦臺灣加權反1       7.75          6        33.33          -4.18        3           20 📉 觀望/賣出             
00679B.TWO   元大美債20年       27.38         14        56.25           2.35        1        12180 📉 觀望/賣出             
00680L.TW    元大美債20正2       7.15          7         60.0           2.57        3         -589 📉 觀望/賣出             
