股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
---------------------------------------------------------------------------------------------------------------------------------------
0050.TW      元大台灣50         76.0          6         64.0           8.09        3      -125427 📉 建議賣出              
0052.TW      富邦科技          45.54          6        62.07           11.3        2        -2309 📉 建議賣出              
0056.TW      元大高股息         38.88          5        65.52           6.32        4         6076 📉 建議賣出              
00631L.TW    元大台灣50正2      472.5          7        67.86          13.82        4          -49 📉 建議賣出              
00632R.TW    元大台灣50反1      14.08          6        36.36          -3.06        3          495 📈 持有 → 繼續持有         
00633L.TW    富邦上証正2        46.95         19        33.33          -3.21        2          958 📈 持有 → 繼續持有         
00634R.TW    富邦上証反1         3.29          5        54.55           0.08        5            0 📈 持有 → 繼續持有         
00635U.TW    期元大S&P黃金      51.45          5         75.0          16.84        4        -4184 📉 建議賣出              
00637L.TW    元大滬深300正2     19.36         11        45.45          -0.26        2        12870 📈 持有 → 繼續持有         
00638R.TW    元大滬深300反1      7.08          5        52.17          -1.85        6           25 📈 持有 → 繼續持有         
00640L.TW    富邦日本正2        85.85          6        59.09           3.06        4           15 📉 建議賣出              
00641R.TW    富邦日本反1         4.28          5         40.0          -1.06        5            0 📈 持有 → 繼續持有         
00642U.TW    期元大S&P石油       26.1         11        61.11          68.17        0         4754 📈 持有 → 繼續持有         
00646.TW     元大S&P500      66.55         19          0.0          -3.01        3         -729 📉 建議賣出              
00648R.TW    元大S&P500反1     4.54         15        44.44           -0.1        3           56 📈 持有 → 繼續持有         
00650L.TW    復華香港正2        17.24          4         50.0          -0.96        5           90 📉 建議賣出              
00651R.TW    復華香港反1         5.35          3         40.0           3.26        8            0 📈 持有 → 繼續持有         
00654R.TW    富邦印度反1         7.08         12         56.0           8.24        3            0 📈 持有 → 繼續持有         
00655L.TW    未知            32.58         11        41.67           1.72        1         1263 📈 持有 → 繼續持有         
00656R.TW    國泰中國A50反1      6.26          6         56.0          -1.16        5            0 📈 持有 → 繼續持有         
00662.TW     富邦NASDAQ     100.15         16        30.77          -7.73        5          789 📉 建議賣出              
00663L.TW    國泰臺灣加權正2      61.75          7        62.96          14.55        4          280 📉 建議賣出              
00664R.TW    國泰臺灣加權反1       2.27          6         40.0          -2.45        3            0 📉 建議賣出              
00665L.TW    富邦恒生國企正2       10.0          4         55.0           5.16        5         1922 📉 建議賣出              
00666R.TW    富邦恒生國企反1        9.1          4        56.52           7.24        6            0 📈 持有 → 繼續持有         
00669R.TW    國泰美國道瓊反1       5.97         16         60.0           1.41        3            0 📈 持有 → 繼續持有         
00671R.TW    富邦NASDAQ反1     2.96         19        42.11          -1.75        3            0 📈 持有 → 繼續持有         
00673R.TW    期元大S&P原油反1     19.0         12          0.0            0.0        0            0 📉 建議賣出              
00674R.TW    期元大S&P黃金反1     5.13         17        66.67           2.25        1          -88 📈 持有 → 繼續持有         
00675L.TW    富邦臺灣加權正2      186.9          7        67.86          13.39        4          -22 📉 建議賣出              
00676R.TW    富邦臺灣加權反1       7.75          7        36.36          -2.42        3           20 📈 持有 → 繼續持有         
00679B.TWO   元大美債20年       27.38         15         50.0           0.08        4        12180 📉 建議賣出              
00680L.TW    元大美債20正2       7.15          3        56.52           1.48        6         -589 📉 建議賣出              
00685L.TW    群益臺灣加權正2     168.35          7        67.86          13.91        4           16 📉 建議賣出              
00686R.TW    群益臺灣加權反1       1.39          6         40.0          -0.68        2           78 📈 持有 → 繼續持有         
00687B.TWO   國泰20年美債       28.42         15         50.0           0.13        2          189 📉 建議賣出              
00688L.TW    國泰20年美債正2      7.15          3        52.17           1.49        6         1101 📉 建議賣出              
00693U.TW    期街口S&P黃豆      21.87          4        75.86           9.66        5          -41 📉 建議賣出              
00696B.TWO   富邦美債20年       29.78         14        52.63           1.14        3         3950 📉 建議賣出              
00700.TW     富邦�琤肭磪�       17.74          4         50.0           4.38        4          240 📉 建議賣出              
