
📅 投資日報表: 2026-09-12
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 247.50   | 249.50   | 247.00   | 248.00   | 23,496,234   | 241.21      | 2000     | ▲13,580   |   +2.81%
4142     | 國光生        | 17.50    | 17.50    | 17.20    | 17.20    | 774,500      | 25.32       | 1000     | ▼8,120    |  -32.07%
0050     | 元大台灣50     | 109.95   | 110.60   | 109.50   | 109.65   | 43,057,835   | 46.60       | 16000    | ▲1,008,800 | +135.30%
0056     | 元大高股息      | 55.80    | 56.00    | 55.70    | 55.75    | 15,274,486   | 36.43       | 4000     | ▲77,280   |  +53.03%
00635U   | 期元大S&P黃金   | 45.01    | 45.30    | 45.00    | 45.30    | 2,359,105    | 55.25       | 3000     | ▼29,850   |  -18.01%
00738U   | 期元大道瓊白銀    | 52.20    | 52.85    | 52.10    | 52.60    | 1,196,136    | 66.26       | 1000     | ▼13,660   |  -20.62%
00929    | 復華台灣科技優息   | 28.99    | 29.19    | 28.99    | 29.12    | 16,596,051   | 19.73       | 8000     | ▲75,120   |  +47.59%
009816   | 凱基台灣TOP50  | 16.16    | 16.23    | 16.08    | 16.11    | 58,095,982   | 11.01       | 63000    | ▲321,300  |  +46.32%
00990A   | 主動元大AI新經濟  | 15.16    | 15.25    | 15.12    | 15.16    | 10,655,556   | 11.48       | 5000     | ▲18,400   |  +32.06%
2009     | 第一銅        | 39.00    | 39.15    | 38.65    | 39.00    | 2,600,520    | 50.56       | 4000     | ▼46,240   |  -22.86%
2337     | 旺宏         | 118.50   | 120.50   | 117.50   | 119.00   | 21,904,636   | 95.28       | 2000     | ▲47,440   |  +24.90%
2409     | 友達         | 30.50    | 30.90    | 29.00    | 30.20    | 517,956,595  | 16.21       | 2000     | ▲27,980   |  +86.30%
3481     | 群創         | 48.10    | 48.35    | 47.25    | 47.70    | 137,767,040  | 25.10       | 4000     | ▲90,400   |  +90.04%
3105     | 穩懋         | 449.50   | 450.00   | 435.00   | 437.50   | 14,148,810   | 556.47      | 300      | ▼35,691   |  -21.38%
4966     | 譜瑞-KY      | 536.00   | 536.00   | 528.00   | 528.00   | 304,420      | 1921.64     | 1000     | ▼1,393,640 |  -72.52%
2327     | 國巨*        | 552.00   | 570.00   | 544.00   | 544.00   | 33,780,557   | 1030.00     | 1        | ▼486      |  -47.18%
00403A   | 主動統一升級50   | 10.36    | 10.47    | 10.31    | 10.35    | 186,303,809  | 10.68       | 26000    | ▼8,580    |   -3.09%
00981A   | 主動統一台股增長   | 29.94    | 30.35    | 29.82    | 29.92    | 125,219,881  | 27.48       | 2000     | ▲4,880    |   +8.88%
2330     | 台積電        | 2430.00  | 2430.00  | 2405.00  | 2410.00  | 18,149,016   | 225.55      | 10       | ▲21,844   | +968.50%
6789     | 采鈺         | 459.00   | 459.00   | 446.00   | 446.00   | 1,228,411    | 593.50      | 400      | ▼59,000   |  -24.85%
6849     | 奇鼎科技       | 187.00   | 193.00   | 170.50   | 181.00   | 765,528      | 266.40      | 280      | ▼23,912   |  -32.06%
7853     | 政美應用       | 313.50   | 315.50   | 294.50   | 315.00   | 434,519      | 409.29      | 280      | ▼26,401   |  -23.04%
3576     | 聯合再生       | 16.50    | 16.60    | 16.40    | 16.40    | 4,329,700    | 18.15       | 5000     | ▼8,750    |   -9.64%
1721     | 三晃         | 23.30    | 23.30    | 22.35    | 22.40    | 783,365      | 27.88       | 3000     | ▼16,450   |  -19.67%
8215     | 明基材        | 24.75    | 25.20    | 24.70    | 25.05    | 500,000      | 31.60       | 200      | ▼1,310    |  -20.73%
00405A   | 主動富邦台灣龍耀   | 8.80     | 8.94     | 8.75     | 8.78     | 59,291,687   | 9.34        | 11000    | ▼6,160    |   -6.00%
5498     | 凱崴         | 51.60    | 52.00    | 50.30    | 50.60    | 1,221,522    | 69.61       | 188      | ▼3,574    |  -27.31%
1301     | 台塑         | 64.60    | 65.50    | 64.20    | 64.60    | 12,559,254   | 50.50       | 100      | ▲1,410    |  +27.92%
6498     | 久禾光        | 67.20    | 68.30    | 65.50    | 65.50    | 415,310      | 67.30       | 12       | ▼22       |   -2.67%
009821   | 野村稀土關鍵資源   | 15.01    | 15.04    | 14.98    | 15.01    | 3,577,969    | 17.30       | 12000    | ▼27,480   |  -13.24%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:            -891 (  -0.01%)
