股號,名稱,開盤,最高,最低,現價,漲跌,狀態
2317,鴻海,206.0,209.5,204.5,207.5,+1.50 (+0.73%),均線糾撐 -> 趨勢運行
3702,大聯大,100.0,103.0,100.0,100.5,+1.70 (+1.72%),進入盤整 -> 趨勢運行
2485,兆赫,77.3,77.5,70.9,71.0,-6.70 (-8.62%),均線糾撐
2367,燿華,69.2,69.4,65.0,65.6,-2.90 (-4.23%),均線糾撐 -> 離開盤整 (向下)
4142,國光生,18.5,18.5,18.0,18.05,-0.45 (-2.43%),均線糾撐
0050,元大台灣50,84.55,85.1,84.45,84.55,+0.40 (+0.48%),趨勢運行
0056,元大高股息,41.31,41.58,41.31,41.47,+0.49 (+1.20%),離開盤整 (向上)
009816,凱基台灣TOP50,12.01,12.15,12.0,12.07,+0.12 (+1.00%),趨勢運行
2009,第一銅,40.7,40.8,39.7,39.7,-0.80 (-1.98%),均線糾撐
2337,旺宏,120.0,125.0,118.0,120.5,-10.50 (-8.02%),均線糾撐
2352,佳世達,25.8,25.9,25.55,25.65,+0.00 (+0.00%),均線糾撐 -> 離開盤整 (向上)
2409,友達,20.0,20.0,19.1,19.25,-0.60 (-3.02%),趨勢運行
3481,群創,26.05,26.4,25.5,26.15,+0.25 (+0.97%),趨勢運行
6136,富爾特,24.6,24.6,24.35,24.5,+0.05 (+0.20%),均線糾撐
6806,森崴能源,27.1,27.1,27.1,27.1,+2.45 (+9.94%),趨勢運行
3105,穩懋,546.0,592.0,539.0,592.0,+53.00 (+9.83%),進入盤整 -> 離開盤整 (向上)
4966,譜瑞-KY,549.0,558.0,531.0,532.0,-14.00 (-2.56%),進入盤整 -> 趨勢運行
6188,廣明,87.0,87.7,85.5,85.8,-0.50 (-0.58%),均線糾撐
7792,安葆,370.5,371.5,358.0,359.5,-9.50 (-2.57%),趨勢運行
2327,國巨*,320.0,329.5,315.5,319.5,+3.00 (+0.95%),進入盤整 -> 趨勢運行
3714,富采,78.0,80.1,74.5,77.4,-0.50 (-0.64%),離開盤整 (向上) -> 趨勢運行
1802,台玻,75.5,76.0,70.4,70.9,-3.30 (-4.45%),進入盤整 -> 趨勢運行
1721,三晃,21.95,22.55,21.55,22.55,+2.05 (+10.00%),離開盤整 (向上)
8104,錸寶,40.25,40.85,38.7,38.7,-1.30 (-3.25%),離開盤整 (向上) -> 趨勢運行
