股號,名稱,現價,漲跌幅,建議
0050,元大台灣50,84.15,0.00%,續抱/觀望
2382,廣達,323.0,0.00%,續抱/觀望
3105,穩懋,539.0,0.00%,續抱/觀望
4966,譜瑞-KY,548.0,0.37%,續抱/觀望
00635U,期元大S&P黃金,50.5,0.00%,賣出
00738U,期元大道瓊白銀,64.25,0.00%,賣出
009816,凱基台灣TOP50,11.95,0.00%,續抱/觀望
2399,映泰,36.25,2.84%,續抱/觀望
2609,陽明,50.7,0.00%,賣出
2618,長榮航,35.3,0.00%,續抱/觀望
