SID,Name,Price,Advice
0050,元大台灣50,84.15,⏳ 觀望
2382,廣達,323.0,⏳ 觀望
3105,穩懋,539.0,⏳ 觀望
4966,譜瑞-KY,546.0,🚨 賣出
00635U,期元大S&P黃金,50.5,⏳ 觀望
00738U,期元大道瓊白銀,64.25,⏳ 觀望
009816,凱基台灣TOP50,11.95,⏳ 觀望
2399,映泰,35.25,⏳ 觀望
2609,陽明,50.7,🚨 賣出
2618,長榮航,35.3,⏳ 觀望
