股號,名稱,現價,漲跌幅,建議
2317,鴻海,206.0,0.00%,賣出
3702,大聯大,98.8,0.00%,賣出
2485,兆赫,77.7,0.00%,賣出
2367,燿華,68.5,0.00%,賣出
4142,國光生,18.5,0.00%,續抱/觀望
0050,元大台灣50,84.15,0.00%,續抱/觀望
0056,元大高股息,40.98,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.95,0.00%,續抱/觀望
2009,第一銅,39.95,-1.36%,賣出
2337,旺宏,131.0,0.00%,賣出
2352,佳世達,25.65,0.00%,續抱/觀望
2409,友達,19.65,-1.01%,賣出
3481,群創,25.9,0.00%,賣出
6136,富爾特,24.45,0.00%,續抱/觀望
6806,森崴能源,24.65,0.00%,賣出
3105,穩懋,539.0,0.00%,續抱/觀望
4966,譜瑞-KY,546.0,0.00%,續抱/觀望
6188,廣明,86.3,0.00%,賣出
7792,安葆,369.0,0.00%,續抱/觀望
2327,國巨*,325.0,2.69%,續抱/觀望
3714,富采,76.0,-2.44%,續抱/觀望
1802,台玻,74.2,0.00%,買入
1721,三晃,22.55,10.00%,買入
8104,錸寶,40.0,0.00%,續抱/觀望
