代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,207.5,+0.73%,WAIT,58.2,38020,✅|❌|❌|✅|✅
3702,大聯大,100.5,+1.72%,WAIT,69.3,18512,✅|✅|❌|✅|✅
2485,兆赫,71.0,-8.62%,WAIT,37.7,38939,✅|❌|❌|❌|❌
2367,燿華,65.6,-4.23%,WAIT,26.5,60690,✅|❌|❌|❌|❌
4142,國光生,18.05,-2.43%,WAIT,42.4,1485,✅|❌|❌|❌|❌
0050,元大台灣50,84.55,+0.48%,WAIT,73.9,95480,✅|❌|❌|✅|❌
0056,元大高股息,41.47,+1.20%,WAIT,74.4,70882,✅|✅|❌|✅|✅
009816,凱基台灣TOP50,12.07,+1.00%,WAIT,74.5,193266,✅|❌|❌|✅|✅
2009,第一銅,39.7,-1.98%,WAIT,45.6,2699,✅|❌|✅|❌|❌
2337,旺宏,120.5,-8.02%,WAIT,47.9,167720,✅|❌|❌|❌|❌
2352,佳世達,25.65,+0.00%,WAIT,71.7,5588,✅|✅|❌|✅|❌
2409,友達,19.25,-3.02%,WAIT,72.8,307986,✅|❌|❌|✅|❌
3481,群創,26.15,+0.97%,WAIT,56.4,215257,✅|❌|❌|✅|✅
6136,富爾特,24.5,+0.20%,WAIT,53.7,100,❌|❌|❌|✅|❌
6806,森崴能源,27.1,+9.94%,WAIT,30.5,223,✅|❌|❌|❌|❌
3105,穩懋,592.0,+9.83%,WAIT,81.6,41962,✅|✅|❌|✅|✅
4966,譜瑞-KY,532.0,-2.56%,WAIT,60.4,1465,✅|❌|✅|✅|❌
6188,廣明,85.8,-0.58%,WAIT,37.2,1812,✅|❌|❌|❌|❌
7792,安葆,359.5,-2.57%,WAIT,68.3,382,❌|❌|❌|✅|❌
2327,國巨*,319.5,+0.95%,WAIT,74.7,30588,✅|❌|❌|✅|❌
3714,富采,77.4,-0.64%,WAIT,75.8,23248,✅|❌|❌|✅|❌
1802,台玻,70.9,-4.45%,WAIT,72.5,259983,✅|❌|✅|✅|❌
1721,三晃,22.55,+10.00%,🔥 SIGNAL,67.4,6724,✅|✅|✅|✅|✅
8104,錸寶,38.7,-3.25%,WAIT,63.7,3130,✅|❌|❌|✅|❌
