日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-09-02,1540,喬福,19.5,44.99,2000,-50980,-56.66%
2026-09-02,2399,映泰,45.6,41.99,3000,10830,8.60%
2026-09-02,2609,陽明,59.5,77.27,1000,-17770,-23.00%
2026-09-02,2618,長榮航,42.0,46.14,2000,-8280,-8.97%
2026-09-02,00738U,期元大道瓊白銀,53.1,68.36,1000,-15260,-22.32%
2026-09-02,00635U,期元大S&P黃金,47.38,53.65,2000,-12540,-11.69%
2026-09-02,009816,凱基台灣TOP50,15.59,11.32,35000,149450,37.72%
