代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6245.TWO,立端,78.2,-172,0,-3,20260902,-82,0,0,N/A,-2.02%,🚨 外資提款
00970B.TWO,新光BBB投等債20+,8.99,0,0,104,20260902,-44,0,0,N/A,-1.43%,🚨 外資提款
6858.TWO,愛比科技,21.5,0,0,0,20260901,0,0,0,N/A,-2.71%,🚨 外資提款
1342.TW,八貫,102.5,-6,0,-1,20260902,-1,0,0,N/A,-0.97%,🚨 外資提款
6144.TWO,得利影,13.25,0,0,0,20260902,0,0,0,N/A,1.15%,🚨 外資提款
6671.TW,三能-KY,22.8,-1,0,1,20260902,0,0,0,N/A,-2.56%,🚨 外資提款
1809.TW,中釉,38.5,145,0,-1,20260902,-229,0,0,N/A,-3.99%,🚨 外資提款
2495.TW,普安,38.05,32,0,-4,20260902,-8,0,0,N/A,-1.42%,🚨 外資提款
1721.TW,三晃,20.4,51,0,2,20260902,82,0,0,N/A,1.49%,🚨 外資提款
7856.TWO,漢測,5050.0,0,0,0,20260902,0,0,0,N/A,1.00%,🚨 外資提款
5225.TW,東科-KY,61.1,70,0,0,20260902,50,0,0,N/A,0.33%,🚨 外資提款
2501.TW,國建,22.5,-874,0,-8,20260902,11,0,0,N/A,-2.17%,🚨 外資提款
4142.TW,國光生,17.8,-93,0,-2,20260902,2360,0,0,N/A,-1.11%,🚨 外資提款
7907.TWO,錸恩帕斯,246.0,0,0,0,20260902,0,0,0,N/A,8.61%,🚨 外資提款
3141.TWO,晶宏,99.5,1348,0,38,20260902,994,0,0,N/A,28.06%,🚨 外資提款
7796.TWO,擷發科,60.4,0,0,0,20260902,0,0,0,N/A,-0.17%,🚨 外資提款
1308.TW,亞聚,14.6,706,0,14,20260902,743,0,0,N/A,3.55%,🚨 外資提款
2460.TW,建通,28.45,-16,0,-1,20260902,-2,0,0,N/A,-2.57%,🚨 外資提款
5607.TW,遠雄港,55.6,-222,0,22,20260902,1101,0,0,N/A,2.39%,🚨 外資提款
5871.TW,中租-KY,113.0,-6159,2513,119,20260902,6000,0,0,N/A,-3.42%,🚨 外資提款
4588.TW,玖鼎電力,52.7,3,0,1,20260902,1,0,0,N/A,0.76%,🚨 外資提款
4195.TWO,,,4,0,2,20260902,0,0,0,N/A,0.00%,🚨 外資提款
9933.TW,中鼎,40.75,-337,403,-9,20260902,300,0,0,N/A,-2.98%,🚨 外資提款
3027.TW,盛達,18.35,-10,0,1,20260902,14,0,0,N/A,0.27%,🚨 外資提款
2201.TW,裕隆,31.95,1808,0,174,20260902,423,0,0,N/A,10.94%,🚨 外資提款
6209.TW,今國光,84.3,301,0,5,20260902,9982,0,0,N/A,12.85%,🚨 外資提款
4581.TW,光隆精密-KY,48.3,-1,0,0,20260902,0,0,0,N/A,-0.51%,🚨 外資提款
1307.TW,三芳,30.45,123,0,-16,20260902,72,0,0,N/A,-1.30%,🚨 外資提款
5443.TWO,均豪,112.0,-1388,0,-23,20260902,175,0,0,N/A,6.16%,🚨 外資提款
1707.TW,葡萄王,91.8,-97,0,-10,20260902,-72,0,0,N/A,1.77%,🚨 外資提款
4526.TW,東台,31.25,-327,0,6,20260902,-48,0,0,N/A,2.12%,🚨 外資提款
5348.TWO,正能量智能,16.75,0,0,0,20260902,0,0,0,N/A,2.76%,🚨 外資提款
3206.TWO,志豐,34.05,2,0,0,20260902,-1,0,0,N/A,-1.16%,🚨 外資提款
6994.TW,富威電力,36.1,50,0,6,20260902,-58,0,0,N/A,-0.82%,🚨 外資提款
00992A.TW,主動群益科技創新,18.68,4318,0,8515,20260902,-16398,0,0,N/A,2.86%,🚨 外資提款
7820.TWO,立盈,119.5,1,0,0,20260902,1,0,0,N/A,-2.85%,🚨 外資提款
3617.TW,碩天,249.0,-30,1,7,20260902,-455,0,0,N/A,-0.99%,🚨 外資提款
7888.TWO,麗寶新藥,28.9,0,0,0,20260902,0,0,0,N/A,-3.51%,🚨 外資提款
911622.TW,泰聚亨-DR,3.6,0,0,0,20260902,0,0,0,N/A,-0.28%,🚨 外資提款
6612.TWO,奈米醫材,70.8,3,0,0,20260902,2,0,0,N/A,0.28%,🚨 外資提款
009817.TW,國泰日本不動產,8.96,-52,0,4,20260902,-392,0,0,N/A,-2.08%,🚨 外資提款
5538.TW,東明-KY,37.15,10,0,1,20260902,8,0,0,N/A,-1.59%,🚨 外資提款
2313.TW,華通,249.0,6413,1266,221,20260902,21715,0,0,N/A,12.16%,🚨 外資提款
6581.TW,鋼聯,108.5,-3,0,1,20260902,0,0,0,N/A,0.00%,🚨 外資提款
8114.TW,振樺電,198.5,94,0,-3,20260902,-103,0,0,N/A,0.25%,🚨 外資提款
2419.TW,仲琦,27.9,12,0,-7,20260902,10,0,0,N/A,11.60%,🚨 外資提款
2364.TW,倫飛,67.5,-113,0,0,20260902,219,0,0,N/A,1.92%,🚨 外資提款
8436.TWO,大江,114.0,57,-106,-9,20260902,-384,0,0,N/A,-5.36%,🚨 外資提款
6830.TW,汎銓,598.0,-49,0,77,20260902,-11538,0,0,N/A,13.69%,🚨 外資提款
2440.TW,太空梭,14.25,-25,0,-1,20260902,3,0,0,N/A,1.79%,🚨 外資提款
4770.TW,上品,216.0,473,0,-36,20260902,-96,0,0,N/A,3.35%,🚨 外資提款
6811.TWO,宏�硌穈T,224.5,-10,0,1,20260902,-3,0,0,N/A,-1.75%,🚨 外資提款
5328.TWO,華容,61.5,-129,0,-6,20260902,-448,0,0,N/A,-0.65%,🚨 外資提款
1725.TW,元禎,31.45,-6,0,0,20260902,1,0,0,N/A,-0.16%,🚨 外資提款
3684.TWO,榮昌,54.0,1,0,0,20260902,-4,0,0,N/A,0.00%,🚨 外資提款
6931.TW,青松健康,41.2,3,0,0,20260902,2,0,0,N/A,-1.08%,🚨 外資提款
7776.TWO,奧孟亞,32.35,0,0,0,20260902,0,0,0,N/A,2.21%,🚨 外資提款
4764.TW,雙鍵,240.0,-243,-104,-6,20260902,-163,0,0,N/A,3.00%,🚨 外資提款
1312.TW,國喬,15.25,14188,0,437,20260902,-1115,0,0,N/A,17.31%,🚨 外資提款
00760B.TWO,復華新興企業債,52.1,0,0,2,20260902,0,0,0,N/A,-1.04%,🚨 外資提款
6810.TWO,新穎生醫,21.45,0,0,0,20260902,0,0,0,N/A,-2.28%,🚨 外資提款
2731.TW,雄獅,143.5,9,0,-2,20260902,124,0,0,N/A,-1.03%,🚨 外資提款
6757.TW,台灣虎航,55.3,15,0,1,20260902,92,0,0,N/A,-1.78%,🚨 外資提款
6831.TW,邁科,609.0,-138,-95,3,20260902,-137,0,0,N/A,5.73%,🚨 外資提款
2881.TW,富邦金,143.5,-1983,1459,-276,20260902,9876,0,0,N/A,3.61%,🚨 外資提款
7911.TWO,阿波羅電力,90.0,0,0,0,20260902,0,0,0,N/A,-3.95%,🚨 外資提款
6572.TWO,博錸,7.99,0,0,0,20260902,0,0,0,N/A,2.30%,🚨 外資提款
00955.TWO,中信日本商社,15.76,340,0,-91,20260902,-1618,0,0,N/A,1.16%,🚨 外資提款
