eps,prev_year,om,status,symbol,date,expansion,gm,advice,prev_rev_yoy,prev_eps_yoy,est_price,rev_yoy,prev_eps,name,pe,eps_yoy,price
0.26,2025,8.69%,🚀 利潤擴張,3285.TWO,2026-03,511.73,28.61%,⚠️ 追價風險,-19.66,-40.68,15.75,688.27,0.7,微端,40.095236641999996,1200.0,42.0999984741
1.64,2025,N/A,🚀 利潤擴張,6902.TW,2026-03,487.52,N/A,⚠️ 追價風險,20.92,222.58,52.05,43.25,1.58,GOGOLOOK,35.73487031700289,530.77,124.0
0.46,2025,N/A,🔄 轉虧為盈,6241.TWO,2026-03,484.25,N/A,⚪ 數據不足,5.06,74.6,-7.499999999999999,335.75,-0.16,鑫永洋,0.0,820.0,17.25
0.22,2025,N/A,🚀 利潤擴張,8440.TWO,2026-03,472.41999999999996,N/A,⚠️ 追價風險,-6.1,-42.59,8.850000000000001,727.58,0.31,綠電,34.15254172627118,1200.0,20.1499996185
1.21,2025,-0.34%,🧐 疑業外收益,4590.TW,2026-03,444.74,30.54%,⚪ 數據不足,-41.11,-1.45,0.0,-25.82,2.72,富田-創,0.0,418.92,89.8000030518
0.25,2025,11.05%,🚀 利潤擴張,2302.TW,2026-03,412.3,36.04%,⚠️ 追價風險,11.66,-34.67,17.400000000000002,187.7,0.49,麗正,36.853448275862064,600.0,42.75
2.25,2025,15.37%,🚀 利潤擴張,2344.TW,2026-03,390.63,41.86%,⚠️ 追價風險,9.55,576.92,40.8,646.87,0.88,華邦電,65.80882352941177,1037.5,179.0
0.41,2025,N/A,🚀 利潤擴張,6908.TW,2026-03,381.05,N/A,⚪ 數據不足,28.36,5.88,0.0,6.45,1.44,宏�砦C戲-創,0.0,387.5,30.2999992371
1.59,2025,N/A,🚀 利潤擴張,6716.TWO,2026-03,356.01,N/A,⚠️ 追價風險,-15.3,-49.65,81.60000000000001,359.78,2.19,應廣,23.069852941176467,715.79,125.5
0.24,2025,N/A,🚀 利潤擴張,5210.TWO,2026-03,342.59000000000003,N/A,⚠️ 追價風險,9.95,207.35,19.499999999999996,37.41,0.73,寶碩,22.230768937307698,380.0,28.8999996185
0.99,2025,N/A,🔄 轉虧為盈,5228.TWO,2026-03,339.47,N/A,⚪ 數據不足,25.85,90.52,-8.4,750.53,-0.2,鈺鎧,0.0,1090.0,40.75
