om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
N/A,24.55,2.08,雅特力-KY,133.0,⚪ 數據不足,6907.TWO,N/A,1.38,0.12,2025,1.91,🚀 利潤擴張,2025-12,0.0,22.64,0.0,56.82
N/A,51.69,35.12,新代,0.0,⚪ 數據不足,7750.TW,N/A,22.8,26.18,2025,29.17,🚀 利潤擴張,2025-12,0.0,22.519999999999996,0.0,21.35
7.57%,27.34,1.63,五鼎,28.5499992371,💎 強力關注,1733.TW,30.15%,1.13,7.7,2025,5.0,🚀 利潤擴張,2025-12,6.655011477179487,22.34,64.35,25.56
N/A,60.88,5.37,動力-KY,56.4000015259,💎 強力關注,6591.TW,N/A,4.65,38.83,2025,38.81,🚀 利潤擴張,2025-12,3.868312861858711,22.07,218.7,74.3
3.72%,45.42,4.03,海華,56.7999992371,💎 強力關注,3694.TW,15.30%,3.27,26.88,2025,23.39,🚀 利潤擴張,2025-12,5.731584181342079,22.03,148.65,51.89
2.25%,24.44,0.56,新鋼,17.7000007629,✅ 穩健價值,2032.TW,6.08%,0.37,9.42,2025,2.45,🚀 利潤擴張,2025-12,14.274194163629032,21.990000000000002,18.6,12.12
6.32%,24.88,11.19,鮮活果汁-KY,177.0,💎 強力關注,1256.TW,24.61%,9.32,-3.77,2025,2.94,🚀 利潤擴張,2025-12,6.924882629107983,21.939999999999998,383.3999999999999,13.52
19.61%,40.52,8.6,長榮鋼,97.6999969482,💎 強力關注,2211.TW,25.25%,7.36,21.52,2025,18.61,🚀 利潤擴張,2025-12,4.453053643947128,21.910000000000004,329.1,46.61
N/A,73.18,31.0,富世達,1995.0,⚠️ 追價風險,6805.TW,N/A,20.04,55.74,2025,51.62,🚀 利潤擴張,2025-12,30.108662843344398,21.56000000000001,993.9000000000001,68.69
N/A,-40.62,-5.1,北極星藥業-KY,16.8999996185,⚪ 數據不足,6550.TW,N/A,-2.91,-51.12,2025,-62.05,🌑 雙重衰退,2025-12,0.0,21.43,-163.35,-31.08
-18.87%,31.02,-1.29,中天,0.0,⚪ 數據不足,4128.TWO,42.56%,-1.23,10.85,2025,9.94,🚀 利潤擴張,2025-12,0.0,21.08,0.0,8.21
N/A,40.61,2.77,遠雄港,50.5999984741,💎 強力關注,5607.TW,N/A,2.13,17.61,2025,19.58,🚀 利潤擴張,2025-12,7.529761677693451,21.03,100.80000000000001,41.06
N/A,26.43,4.02,汎瑋材料,76.0,💎 強力關注,6967.TWO,N/A,2.87,-1.08,2025,5.45,🚀 利潤擴張,2025-12,8.491620111731843,20.98,134.25000000000003,14.98
N/A,39.69,-1.65,中探針,282.0,⚪ 數據不足,6217.TWO,N/A,-1.31,20.43,2025,19.12,🚀 利潤擴張,2025-12,0.0,20.569999999999997,-78.60000000000001,10.71
N/A,-34.98,3.96,理銘,30.0,💎 強力關注,6212.TWO,N/A,3.26,-39.92,2025,-55.31,🌑 雙重衰退,2025-12,2.4193548387096775,20.330000000000005,185.99999999999997,59.8
N/A,57.43,5.51,海韻電,74.6999969482,💎 強力關注,6203.TWO,N/A,3.28,42.84,2025,37.15,🚀 利潤擴張,2025-12,6.524017200716157,20.28,171.75,26.15
N/A,26.76,3.7,來頡,90.8000030518,💎 強力關注,6799.TW,N/A,2.29,6.38,2025,6.56,🚀 利潤擴張,2025-12,11.293532717885574,20.200000000000003,120.6,5.14
7.93%,32.41,-0.73,達航科技,139.5,⚪ 數據不足,4577.TWO,23.60%,-0.92,23.84,2025,12.25,🚀 利潤擴張,2025-12,0.0,20.159999999999997,-48.449999999999996,35.66
N/A,40.48,7.08,騰雲,190.0,✅ 穩健價值,6870.TWO,N/A,4.38,20.49,2025,20.33,🚀 利潤擴張,2025-12,13.95007342143906,20.15,204.3,64.04
N/A,32.55,7.37,達興材料,414.5,⚠️ 追價風險,5234.TW,N/A,5.33,12.88,2025,12.43,🚀 利潤擴張,2025-12,23.01499167129373,20.119999999999997,270.15,39.9
N/A,16.48,2.11,廣穎,109.5,⚠️ 追價風險,4973.TWO,N/A,-0.17,-2.98,2025,-3.19,🔄 轉虧為盈,2025-12,88.30645161290323,19.67,18.6,-108.72
N/A,38.78,0.7,百徽,24.7999992371,✅ 穩健價值,6259.TWO,N/A,0.45,22.11,2025,19.41,🚀 利潤擴張,2025-12,14.76190430779762,19.37,25.2,15.38
4.30%,26.8,1.23,新建,13.0500001907,💎 強力關注,2516.TW,6.67%,0.57,12.18,2025,7.45,🚀 利潤擴張,2025-12,5.262096851088711,19.35,37.199999999999996,-5.0
0.36%,19.51,2.45,安心,57.5,✅ 穩健價值,1259.TWO,23.02%,1.03,-0.82,2025,0.27,🚀 利潤擴張,2025-12,12.286324786324787,19.240000000000002,70.19999999999999,-53.6
N/A,16.9,-0.59,志旭,12.4499998093,⚪ 數據不足,8067.TWO,N/A,0.02,2.3,2025,-2.17,🧐 疑業外收益,2025-12,0.0,19.07,-25.200000000000003,110.53
N/A,17.15,-2.07,光麗-KY,20.1499996185,⚪ 數據不足,6431.TW,N/A,-1.44,2.36,2025,-1.12,🧐 疑業外收益,2025-12,0.0,18.27,-74.85,11.69
N/A,-15.31,-10.06,綠河-KY,7.1500000954,⚪ 數據不足,8444.TWO,N/A,-5.84,-31.52,2025,-33.25,🌑 雙重衰退,2025-12,0.0,17.939999999999998,-315.75,-22.62
15.62%,31.15,5.01,聯鈞,428.0,⚠️ 追價風險,3450.TW,26.67%,3.48,26.94,2025,13.44,🚀 利潤擴張,2025-12,31.24087591240876,17.71,205.5,91.21
-58.34%,17.57,-0.61,中裕,48.8499984741,⚪ 數據不足,4147.TWO,28.91%,-0.36,-0.63,2025,0.19,🚀 利潤擴張,2025-12,0.0,17.38,-20.55,-20.0
N/A,12.0,1.68,美隆電,21.1499996185,💎 強力關注,2477.TW,N/A,1.58,-5.96,2025,-5.34,🧐 疑業外收益,2025-12,4.806818095113637,17.34,65.99999999999999,15.33
8.37%,14.36,2.31,大甲,38.0,💎 強力關注,2221.TWO,20.63%,1.72,0.76,2025,-2.98,🧐 疑業外收益,2025-12,6.529209621993127,17.34,87.30000000000001,28.36
16.47%,45.05,7.94,建準,151.0,💎 強力關注,2421.TW,32.82%,5.65,27.79,2025,27.72,🚀 利潤擴張,2025-12,8.197611292073832,17.33,276.3,45.85
N/A,13.93,15.46,萬潤,1110.0,⚠️ 追價風險,6187.TWO,N/A,12.1,13.75,2025,-3.04,🧐 疑業外收益,2025-12,28.55672755338307,16.97,583.0500000000001,29.69
N/A,22.61,2.65,碩網,71.1999969482,💎 強力關注,7547.TWO,N/A,2.13,11.11,2025,5.66,🚀 利潤擴張,2025-12,11.465377930466989,16.95,93.14999999999999,41.18
21.55%,24.54,8.73,立隆電,225.0,✅ 穩健價值,2472.TW,32.60%,5.19,8.92,2025,7.68,🚀 利潤擴張,2025-12,12.168739859383448,16.86,277.35,4.85
N/A,31.78,1.42,榮群,25.3999996185,💎 強力關注,8034.TWO,N/A,1.09,71.04,2025,15.15,🚀 利潤擴張,2025-12,8.438538079235881,16.630000000000003,45.15,208.57
N/A,32.54,4.48,建國,38.5999984741,💎 強力關注,5515.TW,N/A,2.91,28.4,2025,15.92,🚀 利潤擴張,2025-12,4.514619704573099,16.619999999999997,128.25,20.75
21.14%,16.56,3.66,中再保,31.5499992371,💎 強力關注,2851.TW,24.99%,2.0,-7.87,2025,0.05,🚀 利潤擴張,2025-12,4.234899226456376,16.509999999999998,111.75,-23.95
-22.91%,41.55,-1.4,力銘,18.6000003815,⚪ 數據不足,3593.TW,-4.13%,-1.8,43.83,2025,25.06,🚀 利潤擴張,2025-12,0.0,16.49,-66.3,7.69
N/A,12.64,8.68,大江,120.5,💎 強力關注,8436.TWO,N/A,5.89,-3.22,2025,-3.47,🧐 疑業外收益,2025-12,6.276041666666667,16.11,288.0,16.0
4.63%,41.92,59.99,華碩,686.0,💎 強力關注,2357.TW,15.94%,44.63,23.74,2025,25.86,🚀 利潤擴張,2025-12,4.505451201891501,16.060000000000002,2283.9,11.41
N/A,43.01,5.43,華星光,672.0,⚠️ 追價風險,4979.TWO,N/A,3.73,34.44,2025,27.06,🚀 利潤擴張,2025-12,52.214452214452216,15.95,193.04999999999998,37.64
10.89%,28.24,2.18,祺驊,32.5,💎 強力關注,1593.TWO,31.32%,1.28,12.07,2025,12.31,🚀 利潤擴張,2025-12,6.842105263157895,15.929999999999998,71.25,26.73
N/A,55.56,-0.12,太欣,11.3999996185,⚪ 數據不足,5302.TWO,N/A,-0.2,22.1,2025,39.69,🚀 利潤擴張,2025-12,0.0,15.870000000000005,-8.85,0.0
N/A,95.65,-0.09,成信實業*-創,28.5,⚪ 數據不足,6969.TW,N/A,-0.24,95.06,2025,79.86,🚀 利潤擴張,2025-12,0.0,15.790000000000006,-8.85,87.3
-32.45%,34.88,-1.4,光環,97.5,⚪ 數據不足,3234.TWO,8.38%,-0.94,19.64,2025,19.09,🚀 利潤擴張,2025-12,0.0,15.790000000000003,-41.099999999999994,45.03
9.94%,24.18,9.37,日月光投控,537.0,⚠️ 追價風險,3711.TW,19.52%,5.99,7.92,2025,8.39,🚀 利潤擴張,2025-12,26.080621661000485,15.79,308.85,11.64
-18.36%,26.25,-0.59,易威,0.0,⚪ 數據不足,1799.TWO,41.11%,-0.35,12.53,2025,10.54,🚀 利潤擴張,2025-12,0.0,15.71,0.0,44.44
N/A,16.81,-0.99,業強,30.7000007629,⚪ 數據不足,6124.TWO,N/A,-0.86,12.2,2025,1.16,🚀 利潤擴張,2025-12,0.0,15.649999999999999,-49.95,-22.86
N/A,75.21,21.72,宜鼎,1760.0,⚠️ 追價風險,5289.TWO,N/A,12.46,41.37,2025,59.96,🚀 利潤擴張,2025-12,40.4040404040404,15.249999999999993,653.4000000000001,33.7
18.42%,20.66,2.92,固緯,60.9000015259,💎 強力關注,2423.TW,51.76%,2.0,4.13,2025,5.54,🏰 高護城河,2025-12,8.969072389675995,15.120000000000001,101.85,26.58
N/A,14.63,-0.4,立軒,22.8999996185,⚪ 數據不足,6222.TWO,N/A,-0.31,12.72,2025,-0.4,🧐 疑業外收益,2025-12,0.0,15.030000000000001,-15.449999999999998,16.13
54.00%,46.42,66.26,台積電,2235.0,✅ 穩健價值,2330.TW,62.33%,46.75,36.39,2025,31.61,🏰 高護城河,2025-12,14.302169322326744,14.810000000000002,2344.0499999999997,51.8
N/A,17.48,2.87,聚和,43.7000007629,💎 強力關注,6509.TWO,N/A,2.35,4.39,2025,2.77,🚀 利潤擴張,2025-12,5.86577191448322,14.71,111.75000000000001,9.22
N/A,11.54,2.9,輝創,40.3499984741,⚪ 數據不足,6722.TW,N/A,2.02,-0.96,2025,-2.79,🧐 疑業外收益,2025-12,0.0,14.329999999999998,0.0,-11.4
5.38%,8.0,1.62,福懋油,32.0499992371,💎 強力關注,1225.TW,10.74%,1.12,-5.83,2025,-6.25,🧐 疑業外收益,2025-12,8.17602021354592,14.25,58.8,-6.67
N/A,11.76,2.08,資拓宏宇,0.0,⚪ 數據不足,6614.TW,N/A,0.87,15.97,2025,-2.37,🧐 疑業外收益,2025-12,0.0,14.129999999999999,0.0,163.64
N/A,44.26,14.61,東聯互動,178.5,⚪ 數據不足,7738.TWO,N/A,11.58,32.44,2025,30.15,🚀 利潤擴張,2025-12,0.0,14.11,0.0,75.19
15.49%,30.18,9.28,中砂,629.0,⚠️ 追價風險,1560.TW,34.18%,6.02,15.28,2025,16.1,🚀 利潤擴張,2025-12,29.895437262357415,14.079999999999998,315.59999999999997,9.71
N/A,56.1,2.56,致和證,36.7000007629,⚪ 中性觀察,5864.TWO,N/A,1.17,-34.55,2025,42.16,🚀 利潤擴張,2025-12,17.230047306525822,13.940000000000005,31.95,-53.39
N/A,13.14,2.67,德勝,61.7999992371,💎 強力關注,8048.TWO,N/A,1.67,-5.79,2025,-0.76,🧐 疑業外收益,2025-12,10.74782595427826,13.9,86.25,5.03
7.24%,25.87,1.8,欣陸,20.75,💎 強力關注,3703.TW,13.84%,0.92,-3.98,2025,11.98,🚀 利潤擴張,2025-12,6.545741324921136,13.89,47.55,-42.14
N/A,14.29,-0.06,天瀚,24.8999996185,⚪ 數據不足,6225.TW,N/A,-0.19,-19.16,2025,0.42,🚀 利潤擴張,2025-12,0.0,13.87,-7.199999999999999,-375.0
N/A,21.15,2.77,宣德,36.4000015259,💎 強力關注,5457.TWO,N/A,1.54,11.53,2025,7.36,🚀 利潤擴張,2025-12,6.1904764499829925,13.79,88.20000000000002,-11.11
32.37%,28.3,0.68,高雄銀,11.8500003815,💎 強力關注,2836.TW,89.95%,0.49,13.69,2025,14.52,🏰 高護城河,2025-12,7.269938884355828,13.780000000000001,24.45,28.21
-33.95%,-9.8,-2.24,燁興,7.3200001717,⚪ 數據不足,2007.TW,-29.22%,-1.54,-17.76,2025,-23.43,🌑 雙重衰退,2025-12,0.0,13.629999999999999,-76.95,0.0
N/A,22.08,6.8,亞泰金屬,495.0,⚠️ 追價風險,6727.TWO,N/A,4.14,-2.39,2025,8.58,🚀 利潤擴張,2025-12,34.47075208913649,13.499999999999998,215.39999999999998,-7.17
1.57%,10.87,1.56,合勤控,35.0499992371,💎 強力關注,3704.TW,30.58%,1.13,6.34,2025,-2.6,🧐 疑業外收益,2025-12,11.12698388479365,13.469999999999999,47.25000000000001,633.33
N/A,44.34,3.43,驊陞,0.0,⚪ 數據不足,6272.TW,N/A,2.94,41.28,2025,30.88,🚀 利潤擴張,2025-12,0.0,13.460000000000004,0.0,137.1
-27.74%,6.63,-8.65,泰鼎-KY,54.9000015259,⚪ 數據不足,4927.TW,-13.35%,-4.9,-4.71,2025,-6.83,🧐 疑業外收益,2025-12,0.0,13.46,-262.95000000000005,31.27
N/A,10.59,23.26,樺漢,359.0,💎 強力關注,6414.TW,N/A,17.04,-3.72,2025,-2.8,🧐 疑業外收益,2025-12,6.360737065910702,13.39,846.5999999999999,28.02
N/A,47.62,6.25,捷創科技,233.0,⚪ 數據不足,7810.TWO,N/A,3.21,23.91,2025,34.56,🚀 利潤擴張,2025-12,0.0,13.059999999999995,0.0,56.59
N/A,25.0,0.61,富強鑫,23.8999996185,⚠️ 追價風險,6603.TWO,N/A,0.27,9.61,2025,12.22,🚀 利潤擴張,2025-12,27.471263929310346,12.78,13.05,-35.71
N/A,51.64,9.13,必應,73.4000015259,💎 強力關注,6625.TW,N/A,6.5,33.28,2025,38.99,🚀 利潤擴張,2025-12,3.822916746140625,12.649999999999999,288.0,68.94
N/A,17.71,3.92,瀚荃,115.5,✅ 穩健價值,8103.TW,N/A,2.47,4.44,2025,5.25,🚀 利潤擴張,2025-12,13.949275362318838,12.46,124.20000000000002,2.54
10.97%,17.23,5.51,華通,242.0,⚪ 中性觀察,2313.TW,18.70%,3.61,4.46,2025,4.87,🚀 利潤擴張,2025-12,20.133111480865225,12.36,180.29999999999998,9.06
N/A,22.25,13.46,實威,175.0,💎 強力關注,8416.TWO,N/A,8.34,13.82,2025,9.96,🚀 利潤擴張,2025-12,5.839172505839173,12.29,449.54999999999995,24.85
1.48%,19.21,2.42,英業達,50.2000007629,💎 強力關注,2356.TW,5.21%,1.85,15.92,2025,6.95,🚀 利潤擴張,2025-12,8.61063477922813,12.260000000000002,87.44999999999999,35.04
7.02%,94.5,2.12,彬台,36.5999984741,✅ 穩健價值,3379.TWO,13.52%,0.5,71.69,2025,82.32,🚀 利潤擴張,2025-12,12.40677914376271,12.180000000000007,44.25,100.0
N/A,52.82,103.92,信驊,17825.0,⚠️ 追價風險,5274.TWO,N/A,72.23,52.48,2025,40.64,🚀 利潤擴張,2025-12,74.35758384782245,12.18,3595.8,67.72
N/A,66.99,3.44,坤悅,24.5,💎 強力關注,5206.TWO,N/A,3.69,56.94,2025,55.14,🚀 利潤擴張,2025-12,1.9758064516129032,11.849999999999994,186.0,61.14
2.40%,18.15,3.19,中鋼構,42.9500007629,💎 強力關注,2013.TW,4.40%,2.27,10.09,2025,6.36,🚀 利潤擴張,2025-12,5.757372756420911,11.79,111.9,13.5
23.11%,1.75,-0.57,國光生,17.6499996185,⚪ 數據不足,4142.TW,49.56%,-1.09,-35.17,2025,-9.99,🧐 疑業外收益,2025-12,0.0,11.74,-48.6,-137.78
28.21%,41.67,9.01,京元電子,299.5,💎 強力關注,2449.TW,37.66%,7.17,27.65,2025,30.08,🚀 利潤擴張,2025-12,11.989591673338673,11.590000000000003,374.69999999999993,52.55
N/A,13.14,1.98,康和證,24.0499992371,✅ 穩健價值,6016.TWO,N/A,1.11,-12.49,2025,1.59,🚀 利潤擴張,2025-12,12.085426752311559,11.55,29.849999999999998,-23.97
-125.48%,-20.55,-2.68,蔚華科,100.0,⚪ 數據不足,3055.TW,16.83%,-1.73,-39.2,2025,-31.79,🌑 雙重衰退,2025-12,0.0,11.239999999999998,-99.60000000000001,-19.72
N/A,31.09,17.36,華景電,467.5,💎 強力關注,6788.TWO,N/A,12.09,19.97,2025,19.97,🚀 利潤擴張,2025-12,11.494959429554957,11.120000000000001,610.05,34.48
N/A,15.38,1.35,鉅橡,83.0,⚠️ 追價風險,8074.TWO,N/A,0.81,4.12,2025,4.4,🚀 利潤擴張,2025-12,30.291970802919707,10.98,41.1,-10.99
24.30%,64.8,19.47,金像電,1400.0,⚠️ 追價風險,2368.TW,33.66%,13.61,49.83,2025,54.05,🚀 利潤擴張,2025-12,31.992687385740403,10.75,656.4,50.06
17.08%,21.94,19.45,健鼎,489.5,💎 強力關注,3044.TW,25.47%,14.75,11.61,2025,11.54,🚀 利潤擴張,2025-12,10.238443840200794,10.400000000000002,717.1500000000001,25.96
4.34%,30.21,1.25,華經,34.2000007629,✅ 穩健價值,2468.TW,11.41%,0.77,25.51,2025,19.94,🚀 利潤擴張,2025-12,12.258064789569891,10.27,41.85,32.76
12.48%,-80.68,0.93,宏璟,34.3499984741,⚠️ 追價風險,2527.TW,61.03%,0.6,-70.82,2025,-90.93,🏰 高護城河,2025-12,429.3749809262502,10.25,1.1999999999999993,-55.04
2.59%,4.73,1.59,泰山,0.0,⚪ 數據不足,1218.TW,16.49%,1.07,-6.62,2025,-5.32,🧐 疑業外收益,2025-12,0.0,10.05,0.0,-16.8
1.75%,32.83,11.61,文曄,264.5,💎 強力關注,3036.TW,3.74%,8.11,19.83,2025,22.78,🚀 利潤擴張,2025-12,9.854694485842028,10.049999999999997,402.59999999999997,41.71
14.20%,30.29,10.26,臺慶科,186.5,✅ 穩健價值,3357.TWO,28.44%,7.84,20.14,2025,20.3,🚀 利潤擴張,2025-12,7.282311597032409,9.989999999999998,384.15,58.06
18.06%,39.18,3.42,虹冠電,55.2999992371,✅ 穩健價值,3257.TW,45.11%,2.65,22.45,2025,29.32,🚀 利潤擴張,2025-12,6.703030210557576,9.86,123.75,26.19
40.48%,30.06,2.12,玉山金,32.2999992371,✅ 穩健價值,2884.TW,91.14%,1.62,15.61,2025,20.44,🏰 高護城河,2025-12,6.06003738031895,9.619999999999997,79.95,23.66
-72.91%,-25.0,0.03,首利,11.0,⚠️ 追價風險,1471.TW,5.75%,-0.05,-27.03,2025,-34.37,🔄 轉虧為盈,2025-12,50.0,9.369999999999997,3.3,-117.24
10.83%,5.37,6.47,東和鋼鐵,67.6999969482,✅ 穩健價值,2006.TW,15.94%,4.55,-2.5,2025,-3.84,🧐 疑業外收益,2025-12,4.359304375286542,9.21,232.95,-0.44
N/A,31.94,13.04,茂達,285.0,✅ 穩健價值,6138.TWO,N/A,9.27,21.32,2025,22.89,🚀 利潤擴張,2025-12,9.433962264150944,9.05,453.15000000000003,24.31
45.93%,13.1,1.9,華南金,33.25,✅ 穩健價值,2880.TW,97.25%,1.43,1.87,2025,4.06,🏰 高護城河,2025-12,7.291666666666667,9.04,68.39999999999999,10.0
N/A,6.41,-0.73,攸泰科技,48.5,⚪ 數據不足,6928.TW,N/A,-0.1,5.88,2025,-2.54,🧐 疑業外收益,2025-12,0.0,8.95,-7.05,79.17
N/A,2.44,0.72,光譜,23.7999992371,✅ 穩健價值,5381.TWO,N/A,0.65,-6.16,2025,-5.88,🧐 疑業外收益,2025-12,10.967741583917052,8.32,32.55,12.28
N/A,10.9,9.97,力泰,81.0999984741,✅ 穩健價值,5520.TWO,N/A,7.92,3.98,2025,2.6,🚀 利潤擴張,2025-12,3.172926387875587,8.3,383.4,17.13
-65.06%,15.65,-1.54,大略-KY,3.2699999809,⚪ 數據不足,4804.TWO,-7.81%,-0.65,8.04,2025,7.41,🚀 利潤擴張,2025-12,0.0,8.24,-39.300000000000004,55.65
N/A,7.5,3.87,宇智,47.1500015259,✅ 穩健價值,6470.TWO,N/A,2.27,12.82,2025,-0.56,🧐 疑業外收益,2025-12,5.95328302094697,8.06,118.8,14.07
N/A,4.25,7.93,智冠,96.3000030518,✅ 穩健價值,5478.TWO,N/A,5.84,-8.2,2025,-3.78,🧐 疑業外收益,2025-12,4.966477723145951,8.03,290.85,-5.4
8.19%,28.92,2.45,華泰,59.0,✅ 穩健價值,2329.TW,15.35%,1.41,19.58,2025,20.92,🚀 利潤擴張,2025-12,11.94331983805668,8.0,74.1,-2.16
31.26%,49.96,36.75,健策,4015.0,⚠️ 追價風險,3653.TW,41.25%,26.92,52.19,2025,42.0,🚀 利潤擴張,2025-12,44.26681367144432,7.960000000000001,1360.5,62.75
8.38%,38.68,19.63,鼎翰,191.0,✅ 穩健價值,3611.TWO,32.53%,13.9,40.71,2025,31.04,🚀 利潤擴張,2025-12,4.148566463944396,7.640000000000001,690.6,23.16
N/A,23.44,4.74,凌網,48.0,✅ 穩健價值,5212.TWO,N/A,2.82,17.89,2025,15.91,🚀 利潤擴張,2025-12,5.9405940594059405,7.530000000000001,121.2,-1.4
14.85%,25.64,2.02,東浦,48.5999984741,✅ 穩健價值,3290.TWO,30.40%,1.22,15.97,2025,18.23,🚀 利潤擴張,2025-12,12.335024993426396,7.41,59.1,-0.64
-5.62%,6.35,-1.18,矽瑪,21.5,⚪ 數據不足,3511.TWO,15.28%,-1.0,1.3,2025,-0.93,🧐 疑業外收益,2025-12,0.0,7.279999999999999,-45.89999999999999,11.5
-1.88%,4.35,0.75,華新,35.0,⚪ 中性觀察,1605.TW,4.90%,0.52,-0.21,2025,-2.83,🧐 疑業外收益,2025-12,20.23121387283237,7.18,25.95,-41.67
13.88%,46.52,48.08,漢唐,1025.0,✅ 穩健價值,2404.TW,17.19%,34.07,30.93,2025,39.37,🚀 利潤擴張,2025-12,9.262606181095245,7.150000000000006,1659.9,52.4
5.81%,12.1,6.58,禾伸堂,329.5,⚪ 中性觀察,3026.TW,17.62%,4.75,5.39,2025,5.01,🚀 利潤擴張,2025-12,20.491293532338307,7.09,241.20000000000002,5.79
N/A,13.09,10.02,生展,98.1999969482,✅ 穩健價值,8279.TWO,N/A,8.62,7.66,2025,6.1,🚀 利潤擴張,2025-12,3.7211063640848803,6.99,395.85,28.46
10.49%,28.09,6.64,光寶科,224.0,✅ 穩健價值,2301.TW,21.72%,4.94,23.16,2025,21.11,🚀 利潤擴張,2025-12,14.017521902377972,6.98,239.70000000000002,28.23
N/A,-3.49,1.66,樂斯科,30.4500007629,✅ 穩健價值,6662.TWO,N/A,0.99,-7.37,2025,-10.2,🌑 雙重衰退,2025-12,8.700000217971429,6.709999999999999,52.5,3.13
2.52%,7.2,1.34,精聯,30.8999996185,✅ 穩健價值,3652.TW,32.08%,0.94,0.48,2025,0.59,🚀 利潤擴張,2025-12,10.231787953145696,6.61,45.3,10.59
N/A,10.11,3.06,上海商銀,39.8499984741,✅ 穩健價值,5876.TW,N/A,2.56,3.26,2025,3.7,🚀 利潤擴張,2025-12,4.865689679377288,6.409999999999999,122.85000000000002,17.51
N/A,2.97,-3.92,惠特,168.5,⚪ 數據不足,6706.TW,N/A,-3.69,38.55,2025,-3.41,🧐 疑業外收益,2025-12,0.0,6.380000000000001,-168.45000000000002,7.98
N/A,18.59,9.14,元太,178.0,✅ 穩健價值,8069.TWO,N/A,8.17,29.4,2025,12.29,🚀 利潤擴張,2025-12,7.504215851602023,6.300000000000001,355.8,75.65
N/A,-2.0,9.9,軒郁,119.5,✅ 穩健價值,6703.TWO,N/A,5.77,-15.54,2025,-8.29,🌑 雙重衰退,2025-12,5.471611721611721,6.289999999999999,327.6,-23.43
6.80%,0.5,2.05,瑞智,23.2000007629,✅ 穩健價值,4532.TW,17.17%,1.5,-0.93,2025,-5.76,🧐 疑業外收益,2025-12,4.249084388809525,6.26,81.89999999999999,2.8
N/A,8.14,6.4,矽力*-KY,468.0,⚠️ 追價風險,6415.TW,N/A,4.31,0.55,2025,1.94,🚀 利潤擴張,2025-12,32.95774647887324,6.200000000000001,213.00000000000003,19.44
N/A,-23.57,6.0,長虹,79.4000015259,✅ 穩健價值,5534.TW,N/A,2.24,-38.06,2025,-29.66,🌑 雙重衰退,2025-12,7.884806507040715,6.09,151.04999999999998,-17.65
14.37%,16.67,8.43,神基,99.8000030518,✅ 穩健價值,3005.TW,31.02%,6.36,9.96,2025,10.6,🚀 利潤擴張,2025-12,4.750119136211328,6.070000000000002,315.15000000000003,15.04
N/A,7.69,0.42,台聯櫃,35.2999992371,⚠️ 追價風險,5601.TWO,N/A,0.32,1.76,2025,1.81,🚀 利潤擴張,2025-12,33.61904689247619,5.880000000000001,15.75,0.0
-65.33%,-12.99,-1.74,再生-KY,4.9000000954,⚪ 數據不足,1337.TW,-19.71%,-1.24,-18.71,2025,-18.82,🌑 雙重衰退,2025-12,0.0,5.83,-62.85000000000001,-18.1
5.88%,4.0,2.6,興農,41.4500007629,✅ 穩健價值,1712.TW,29.22%,2.07,-2.3,2025,-1.68,🧐 疑業外收益,2025-12,5.938395524770773,5.68,104.69999999999999,6.7
N/A,7.03,4.78,擎邦,48.9500007629,✅ 穩健價值,6122.TWO,N/A,3.44,-2.12,2025,1.36,🚀 利潤擴張,2025-12,4.230769296707001,5.67,173.55,-0.87
13.35%,-12.16,2.31,太普高,17.4500007629,✅ 穩健價值,3284.TWO,25.16%,1.21,-29.91,2025,-17.82,🌑 雙重衰退,2025-12,3.69703405993644,5.66,70.80000000000001,-53.6
41.07%,3.25,3.18,台航,0.0,⚪ 數據不足,2617.TW,46.23%,2.36,-5.48,2025,-2.28,🧐 疑業外收益,2025-12,0.0,5.529999999999999,0.0,0.43
N/A,2.89,7.34,穩得,210.0,✅ 穩健價值,6761.TWO,N/A,5.51,2.55,2025,-2.32,🧐 疑業外收益,2025-12,11.431682090364724,5.21,275.55,1.73
N/A,17.33,2.64,群益證,32.25,✅ 穩健價值,6005.TW,N/A,1.87,6.33,2025,12.14,🚀 利潤擴張,2025-12,5.522260273972603,5.189999999999998,87.6,5.65
38.59%,13.53,1.51,彰銀,20.8999996185,✅ 穩健價值,2801.TW,88.90%,1.2,7.51,2025,8.35,🏰 高護城河,2025-12,5.414507673186528,5.18,57.900000000000006,20.0
N/A,-14.34,2.45,欣高,34.4500007629,✅ 穩健價值,9931.TW,N/A,1.86,-27.73,2025,-19.51,🌑 雙重衰退,2025-12,5.6199022451712874,5.170000000000002,91.95000000000002,-6.06
N/A,35.66,18.5,振樺電,218.0,✅ 穩健價值,8114.TW,N/A,15.84,69.45,2025,30.67,🚀 利潤擴張,2025-12,4.09697425295997,4.989999999999995,798.15,86.67
N/A,-1.26,2.36,全國,56.5999984741,✅ 穩健價值,9937.TW,N/A,1.74,-6.0,2025,-6.2,🌑 雙重衰退,2025-12,9.89510462833916,4.94,85.8,-1.14
3.28%,23.02,13.61,鴻海,252.0,✅ 穩健價值,2317.TW,5.88%,10.38,16.23,2025,18.13,🚀 利潤擴張,2025-12,7.578947368421052,4.890000000000001,498.75,34.73
