om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
N/A,544.54,5.29,琉園,0.0,⚪ 數據不足,9949.TWO,N/A,5.5,-19.03,2025,-17.0,🧐 疑業外收益,2025-12,0.0,561.54,0.0,1270.21
N/A,550.0,0.18,康舒,55.4000015259,⚪ 數據不足,6282.TW,N/A,-0.38,-4.33,2025,0.1,🔄 轉虧為盈,2025-12,0.0,549.9,-13.950000000000003,-90.0
-66.51%,457.5,1.43,吉祥全,21.0,⚠️ 追價風險,2491.TW,43.42%,0.49,-12.66,2025,-10.43,🧐 疑業外收益,2025-12,123.52941176470577,467.93,2.5500000000000025,179.03
-18.51%,461.54,0.47,杭特,32.5999984741,⚠️ 追價風險,3297.TWO,30.70%,0.54,18.74,2025,20.59,🚀 利潤擴張,2025-12,26.942147499256198,440.95000000000005,18.15,2600.0
4.44%,752.94,1.28,博士旺,218.0,⚪ 數據不足,3555.TWO,18.45%,-0.58,310.97,2025,334.57,🔄 轉虧為盈,2025-12,0.0,418.37000000000006,-9.599999999999998,7.84
15.14%,408.33,1.22,宏旭-KY,21.6499996185,⚠️ 追價風險,2243.TW,22.27%,-0.11,-10.45,2025,-9.02,🔄 轉虧為盈,2025-12,24.60227229375001,417.34999999999997,13.199999999999998,38.89
18.24%,474.47,8.13,大量,728.0,⚠️ 追價風險,3167.TW,42.12%,5.45,119.15,2025,95.35,🚀 利潤擴張,2025-12,41.340147643384434,379.12,264.15000000000003,790.16
0.23%,364.71,0.45,宏洲,9.6300001144,💎 強力關注,1413.TW,2.52%,0.43,-6.34,2025,-9.55,🧐 疑業外收益,2025-12,8.754545558545455,374.26,16.499999999999996,326.32
7.74%,377.27,1.22,雙鍵,321.0,⚠️ 追價風險,4764.TW,23.49%,0.62,6.23,2025,5.46,🚀 利潤擴張,2025-12,123.93822393822394,371.81,38.849999999999994,187.32
N/A,382.35,1.69,同亨,28.5499992371,💎 強力關注,5490.TWO,N/A,1.26,13.03,2025,12.01,🚀 利潤擴張,2025-12,6.26096474497807,370.34000000000003,68.4,916.67
N/A,358.33,0.55,新天地,18.0499992371,💎 強力關注,8940.TW,N/A,0.02,-10.3,2025,-6.42,🧐 疑業外收益,2025-12,6.446428298964286,364.75,42.0,103.23
-15.39%,406.67,1.52,倚強科,75.5,⚪ 中性觀察,3219.TWO,69.49%,1.65,43.11,2025,49.68,🏰 高護城河,2025-12,18.969849246231156,356.99,59.699999999999996,179.66
-2.70%,327.5,0.9,友達,18.8500003815,💎 強力關注,2409.TW,10.73%,0.52,-0.15,2025,0.41,🚀 利潤擴張,2025-12,7.421259992716535,327.09,38.1,185.25
0.97%,346.24,7.73,冠星-KY,97.8000030518,💎 強力關注,4439.TW,15.60%,7.71,30.37,2025,29.26,🚀 利潤擴張,2025-12,4.557316078835042,316.98,321.90000000000003,114.76
-12.67%,275.0,0.15,映泰,44.7999992371,⚪ 數據不足,2399.TW,8.40%,-0.11,-14.04,2025,-14.09,🔄 轉虧為盈,2025-12,0.0,289.09,-2.7000000000000006,-222.22
-79.17%,275.85,7.21,宏達電,40.25,💎 強力關注,2498.TW,34.44%,7.88,-0.73,2025,-5.85,🧐 疑業外收益,2025-12,1.6805845511482256,281.70000000000005,359.25,352.24
N/A,271.37,4.01,美利達,57.5,💎 強力關注,9914.TW,N/A,4.81,-8.55,2025,-9.71,🧐 疑業外收益,2025-12,4.443585780525502,281.08,194.10000000000002,-18.34
N/A,288.24,4.02,浪凡,0.0,⚪ 數據不足,6165.TW,N/A,3.02,12.63,2025,12.97,🚀 利潤擴張,2025-12,0.0,275.27,0.0,410.34
13.23%,294.12,2.01,大銀微系統,250.5,⚠️ 追價風險,4576.TW,38.42%,1.26,19.84,2025,20.44,🚀 利潤擴張,2025-12,57.32265446224256,273.68,65.55,447.83
-53.06%,241.18,0.25,冠西電,51.5999984741,⚪ 數據不足,2466.TW,-4.21%,0.98,-6.66,2025,-14.27,🧐 疑業外收益,2025-12,0.0,255.45000000000002,-8.100000000000001,230.67
6.96%,254.81,5.5,華榮,34.25,💎 強力關注,1608.TW,9.17%,4.75,-0.36,2025,0.02,🚀 利潤擴張,2025-12,2.9449699054170253,254.79,174.45,241.94
18.72%,250.0,0.09,中纖,6.4800000191,⚠️ 追價風險,1718.TW,41.46%,0.19,4.96,2025,-0.24,🧐 疑業外收益,2025-12,24.923076996538462,250.24,3.9000000000000004,-11.76
N/A,240.74,1.91,有成精密,95.4000015259,⚪ 中性觀察,4949.TW,N/A,1.48,-1.75,2025,-0.48,🧐 疑業外收益,2025-12,20.967033302395603,241.22,68.25,180.87
25.89%,237.01,1.74,三地開發,21.7000007629,⚪ 數據不足,1438.TW,29.82%,-0.9,-98.23,2025,7.93,🔄 轉虧為盈,2025-12,0.0,229.07999999999998,-2.4000000000000004,10.89
248.16%,207.21,3.41,怡華,14.6499996185,💎 強力關注,1456.TW,46.73%,-0.9,-26.31,2025,-20.46,🔄 轉虧為盈,2025-12,9.965986135034013,227.67000000000002,22.050000000000004,15.89
14.09%,230.83,1.74,晶相光,69.5,⚠️ 追價風險,3530.TW,31.94%,0.47,-5.41,2025,6.6,🚀 利潤擴張,2025-12,33.25358851674641,224.23000000000002,31.349999999999998,-50.0
-1.87%,200.0,0.21,允強,21.0499992371,⚪ 中性觀察,2034.TW,5.45%,0.33,-4.98,2025,-13.63,🧐 疑業外收益,2025-12,21.927082538645834,213.63,14.399999999999999,94.12
