om,price,eps_yoy,rev_yoy,eps,advice,est_price,name,date,prev_eps_yoy,status,gm,prev_eps,prev_rev_yoy,expansion,symbol,prev_year,pe
N/A,28.4500007629,-45.92,108.08,0.53,⚪ 中性觀察,68.7,耿鼎,2026-03,-45.98,📉 獲利侵蝕,N/A,1.95,-12.78,-154.0,1524.TW,2025,6.211790559585153
41.07%,0.0,22.41,177.0,0.71,⚪ 數據不足,0.0,台航,2026-03,3.25,⚠️ 獲利稀釋,46.23%,3.18,-2.28,-154.59,2617.TW,2025,0.0
-12.95%,30.1499996185,45.28,199.88,-0.29,⚪ 數據不足,-67.95,笙泉,2026-03,-22.38,⚠️ 獲利稀釋,34.82%,-1.75,-11.1,-154.6,3122.TWO,2025,0.0
N/A,54.9000015259,4.29,159.07,-0.68,⚪ 數據不足,-87.9,芯鼎,2026-03,-355.0,⚠️ 獲利稀釋,N/A,-1.83,10.49,-154.78,6695.TW,2025,0.0
27.57%,1270.0,70.37,225.35,3.68,❌ 暫避觀望,290.7,昇達科,2026-03,-12.03,🏰 高護城河,58.57%,7.83,5.02,-154.98,3491.TWO,2025,65.53147574819401
N/A,54.2999992371,45.61,200.61,0.83,⚪ 中性觀察,100.05,捷波,2026-03,-20.23,⚠️ 獲利稀釋,N/A,2.72,12.38,-155.0,6161.TWO,2025,8.140929420854574
N/A,136.0,-23.31,132.18,1.29,⚪ 中性觀察,179.25000000000003,鐿鈦,2026-03,-5.16,📉 獲利侵蝕,N/A,5.13,1.22,-155.49,4163.TWO,2025,11.380753138075313
N/A,190.0,-14.89,140.64,1.6,⚪ 中性觀察,269.25,穩得,2026-03,2.89,📉 獲利侵蝕,N/A,7.34,-2.32,-155.52999999999997,6761.TWO,2025,10.584958217270195
11.18%,57.9000015259,-81.4,74.54,0.08,❌ 暫避觀望,44.849999999999994,港建*,2026-03,15.09,📉 獲利侵蝕,40.97%,1.22,38.76,-155.94,3093.TWO,2025,19.364549005317727
N/A,161.0,-41.18,115.66,0.6,⚪ 中性觀察,185.7,聰泰,2026-03,-22.13,📉 獲利侵蝕,N/A,5.49,22.92,-156.84,5474.TWO,2025,13.004846526655898
N/A,89.0,16.67,173.58,1.75,⚪ 中性觀察,229.95000000000002,久禾光,2026-03,11.33,⚠️ 獲利稀釋,N/A,6.51,19.77,-156.91000000000003,6498.TWO,2025,5.805609915198955
N/A,43.0999984741,16.98,174.38,0.63,⚪ 中性觀察,65.4,欣天然,2026-03,-28.18,⚠️ 獲利稀釋,N/A,1.61,2.96,-157.4,9918.TW,2025,9.885320750940366
N/A,12.75,-100.0,57.79,-0.62,⚪ 數據不足,-29.85,志旭,2026-03,16.9,📉 獲利侵蝕,N/A,-0.59,-2.17,-157.79,8067.TWO,2025,0.0
N/A,20.4500007629,-90.0,68.27,-0.57,⚪ 數據不足,-50.4,笙科,2026-03,-1377.78,📉 獲利侵蝕,N/A,-1.33,2.86,-158.26999999999998,5272.TWO,2025,0.0
-2.71%,12.4499998093,-90.0,68.51,0.02,⚪ 中性觀察,13.800000000000002,憶聲,2026-03,-57.58,📉 獲利侵蝕,24.73%,0.28,-31.39,-158.51,3024.TW,2025,13.532608488369563
N/A,27.6499996185,-81.82,76.73,0.02,❌ 暫避觀望,9.0,泰霖,2026-03,139.29,📉 獲利侵蝕,N/A,0.12,22.38,-158.55,8080.TWO,2025,46.083332697500005
N/A,179.5,-68.65,90.37,1.0,⚪ 中性觀察,277.65,三集瑞-KY,2026-03,-19.59,📉 獲利侵蝕,N/A,8.29,2.98,-159.02,6862.TW,2025,9.697460831982713
-18.87%,18.0,26.19,185.58,-0.31,⚪ 數據不足,-58.650000000000006,中天,2026-03,31.02,⚠️ 獲利稀釋,42.56%,-1.29,9.94,-159.39000000000001,4128.TWO,2025,0.0
N/A,200.0,36.13,195.54,3.27,⚪ 中性觀察,419.85,力領科技,2026-03,-14.17,⚠️ 獲利稀釋,N/A,12.15,-9.4,-159.41,6996.TWO,2025,7.145409074669525
17.09%,33.75,-3.77,155.84,0.51,⚪ 中性觀察,49.35,倉佑,2026-03,-13.92,📉 獲利侵蝕,34.44%,1.36,0.3,-159.61,1568.TW,2025,10.25835866261398
N/A,42.3499984741,52.94,214.29,-0.24,⚪ 數據不足,-67.2,驊訊,2026-03,-462.96,⚠️ 獲利稀釋,N/A,-1.52,11.69,-161.35,6237.TWO,2025,0.0
N/A,68.0,-61.9,100.37,0.4,⚪ 中性觀察,79.49999999999999,傑霖科技,2026-03,-62.55,📉 獲利侵蝕,N/A,2.25,-23.31,-162.27,8102.TWO,2025,12.830188679245285
N/A,67.0,-25.14,137.15,1.37,⚪ 中性觀察,164.85,海韻電,2026-03,57.43,📉 獲利侵蝕,N/A,5.51,37.15,-162.29000000000002,6203.TWO,2025,6.096451319381256
N/A,159.5,22.89,186.39,2.47,⚪ 中性觀察,234.00000000000003,全宇昕,2026-03,-22.95,⚠️ 獲利稀釋,N/A,6.32,3.91,-163.5,6651.TWO,2025,10.224358974358973
7.00%,132.5,-8.48,155.73,2.59,⚪ 中性觀察,292.35,茂訊,2026-03,-12.32,📉 獲利侵蝕,25.33%,7.4,1.19,-164.20999999999998,3213.TWO,2025,6.798358132375577
-40.94%,10.5,-114.81,50.4,-0.58,⚪ 數據不足,-58.8,隴華,2026-03,59.69,📉 獲利侵蝕,27.86%,-1.34,34.04,-165.21,2424.TW,2025,0.0
12.42%,51.2000007629,-26.32,139.24,0.84,⚪ 中性觀察,145.8,曜亞,2026-03,-32.69,📉 獲利侵蝕,44.64%,3.81,-11.82,-165.56,4138.TWO,2025,5.26748979042181
30.49%,63.0,333.33,499.13,1.17,⚪ 中性觀察,139.19999999999996,裕民,2026-03,-22.2,⚠️ 獲利稀釋,35.36%,4.31,-4.75,-165.8,2606.TW,2025,6.788793103448278
22.84%,17.5499992371,12.5,179.42,0.09,❌ 暫避觀望,2.55,海灣,2026-03,141.94,⚠️ 獲利稀釋,43.11%,0.13,-3.71,-166.92,3252.TWO,2025,103.23528963000001
N/A,71.9000015259,197.5,364.73,1.19,⚪ 中性觀察,80.1,有成精密,2026-03,240.74,⚠️ 獲利稀釋,N/A,1.91,-0.48,-167.23000000000002,4949.TW,2025,13.464419761404494
N/A,369.0,96.93,264.19,3.21,❌ 暫避觀望,325.49999999999994,佳必琪,2026-03,-0.23,⚠️ 獲利稀釋,N/A,8.67,12.03,-167.26,6197.TW,2025,17.00460829493088
N/A,13.3999996185,25.58,192.98,-0.64,⚪ 數據不足,-160.04999999999998,北極星藥業-KY,2026-03,-40.62,⚠️ 獲利稀釋,N/A,-5.1,-62.05,-167.39999999999998,6550.TW,2025,0.0
-38.32%,17.4500007629,-4.55,162.93,-0.23,⚪ 數據不足,-45.3,連宇,2026-03,-234.57,📉 獲利侵蝕,35.81%,-1.09,-16.89,-167.48000000000002,2482.TW,2025,0.0
N/A,10.0500001907,-11.11,157.19,-0.4,⚪ 數據不足,-46.050000000000004,大地-KY,2026-03,-516.13,📉 獲利侵蝕,N/A,-1.29,-31.28,-168.3,8437.TWO,2025,0.0
15.69%,546.0,21.52,190.06,3.85,❌ 暫避觀望,453.6,研華,2026-03,17.26,⚠️ 獲利稀釋,39.78%,12.25,18.56,-168.54,2395.TW,2025,18.055555555555554
N/A,75.0999984741,46.51,215.08,0.64,❌ 暫避觀望,46.949999999999996,聚鼎,2026-03,-69.96,⚠️ 獲利稀釋,N/A,0.67,-2.5,-168.57000000000002,6224.TW,2025,23.99360973613419
23.34%,877.0,63.39,232.49,3.66,❌ 暫避觀望,432.6,新應材,2026-03,32.78,⚠️ 獲利稀釋,44.02%,11.33,28.3,-169.10000000000002,4749.TWO,2025,30.409153952843273
N/A,259.5,31.51,201.37,0.96,❌ 暫避觀望,103.49999999999999,天虹,2026-03,-50.25,⚠️ 獲利稀釋,N/A,3.01,-13.26,-169.86,6937.TW,2025,37.608695652173914
N/A,166.5,21.39,191.57,2.27,⚪ 中性觀察,358.95000000000005,安�硌穈T,2026-03,36.27,⚠️ 獲利稀釋,N/A,10.22,13.3,-170.18,6690.TWO,2025,6.957793564563309
N/A,77.6999969482,-100.0,70.28,0.0,❌ 暫避觀望,10.5,點序,2026-03,152.21,📉 獲利侵蝕,N/A,0.71,16.84,-170.28,6485.TWO,2025,110.99999564028572
N/A,22.7999992371,25.0,195.61,-0.21,⚪ 數據不足,-49.05,佑全,2026-03,-54.29,⚠️ 獲利稀釋,N/A,-1.63,-1.45,-170.61,6929.TWO,2025,0.0
N/A,123.5,18.71,189.52,1.65,⚪ 中性觀察,161.55,杰力,2026-03,-22.77,⚠️ 獲利稀釋,N/A,4.58,-12.32,-170.81,5299.TWO,2025,11.467038068709376
1.25%,20.3999996185,620.0,792.05,0.36,❌ 暫避觀望,10.2,永裕,2026-03,-89.88,⚠️ 獲利稀釋,15.09%,0.26,-23.91,-172.04999999999995,1323.TW,2025,29.99999943897059
17.87%,62.0999984741,-43.18,129.05,0.28,⚪ 中性觀察,65.1,精湛,2026-03,-22.56,📉 獲利侵蝕,45.13%,2.3,-2.97,-172.23000000000002,2070.TWO,2025,14.308755408778802
N/A,50.7999992371,-55.88,116.4,0.75,⚪ 中性觀察,204.29999999999998,動力-KY,2026-03,60.88,📉 獲利侵蝕,N/A,5.37,38.81,-172.28,6591.TW,2025,3.729809048245228
-1.48%,32.4000015259,6.25,178.72,0.17,❌ 暫避觀望,19.2,誠品生活,2026-03,100.0,⚠️ 獲利稀釋,40.82%,0.54,1.84,-172.47,2926.TWO,2025,25.312501192109377
-18.51%,30.6000003815,28.57,201.59,-0.05,❌ 暫避觀望,18.45,杭特,2026-03,461.54,⚠️ 獲利稀釋,30.70%,0.47,20.59,-173.02,3297.TWO,2025,24.878049090650407
N/A,60.9000015259,42.86,216.12,0.7,⚪ 中性觀察,73.49999999999999,明遠精密,2026-03,-22.56,⚠️ 獲利稀釋,N/A,2.07,-11.73,-173.26,7704.TWO,2025,12.428571739979594
N/A,62.9000015259,18.94,192.24,1.57,⚪ 中性觀察,96.74999999999999,諾貝兒,2026-03,-21.14,⚠️ 獲利稀釋,N/A,2.35,1.36,-173.3,6844.TWO,2025,9.75193822106977
N/A,982.0,218.52,392.93,5.19,❌ 暫避觀望,487.05000000000007,均華,2026-03,-14.04,⚠️ 獲利稀釋,N/A,12.75,10.19,-174.41,6640.TWO,2025,30.243301509085303
17.33%,139.5,3.17,177.66,1.3,⚪ 中性觀察,189.75,中華電,2026-03,3.96,⚠️ 獲利稀釋,33.63%,4.99,2.67,-174.49,2412.TW,2025,11.027667984189723
N/A,33.5,29.27,203.95,0.53,⚪ 中性觀察,56.7,邁達康,2026-03,-13.79,⚠️ 獲利稀釋,N/A,1.75,-3.52,-174.67999999999998,9960.TWO,2025,8.862433862433862
N/A,27.0,416.67,592.65,0.19,❌ 暫避觀望,15.3,鴻名,2026-03,-43.1,⚠️ 獲利稀釋,N/A,0.33,-3.87,-175.97999999999996,3021.TW,2025,26.470588235294116
9.03%,440.0,11.85,188.41,1.51,❌ 暫避觀望,92.85,德微,2026-03,-66.46,⚠️ 獲利稀釋,36.51%,2.67,-9.88,-176.56,3675.TWO,2025,71.08239095315025
N/A,172.5,84.31,261.06,3.81,⚪ 中性觀察,221.54999999999998,研揚,2026-03,-27.15,⚠️ 獲利稀釋,N/A,5.62,20.03,-176.75,6579.TW,2025,11.679079214624238
10.56%,10.1000003815,-30.0,147.2,0.14,❌ 暫避觀望,8.100000000000001,寶徠,2026-03,-93.38,📉 獲利侵蝕,21.75%,0.2,-54.43,-177.2,1805.TW,2025,18.703704410185182
-1.96%,68.0,42.31,219.88,0.37,❌ 暫避觀望,22.95,通嘉,2026-03,-73.51,⚠️ 獲利稀釋,31.63%,0.5,-7.24,-177.57,3588.TW,2025,44.44444444444444
10.45%,287.0,196.0,373.81,2.24,❌ 暫避觀望,221.1,閎康,2026-03,-40.84,⚠️ 獲利稀釋,30.02%,6.1,8.51,-177.81,3587.TWO,2025,19.470827679782904
21.78%,335.0,24.71,202.94,1.06,❌ 暫避觀望,105.0,全新,2026-03,-18.46,⚠️ 獲利稀釋,37.27%,2.97,4.29,-178.23,2455.TW,2025,47.857142857142854
13.35%,29.0,-10.71,167.71,0.5,⚪ 中性觀察,69.89999999999999,太普高,2026-03,-12.16,📉 獲利侵蝕,25.16%,2.31,-17.82,-178.42000000000002,3284.TWO,2025,6.223175965665237
N/A,46.0999984741,-9.84,168.81,0.55,⚪ 中性觀察,146.25,綠界科技*,2026-03,117.01,📉 獲利侵蝕,N/A,4.21,8.73,-178.65,6763.TWO,2025,4.728204971702564
N/A,29.75,-16.67,162.23,0.1,⚪ 數據不足,-4.35,天鉞電,2026-03,-50.0,📉 獲利侵蝕,N/A,0.03,10.32,-178.89999999999998,5251.TWO,2025,0.0
N/A,94.3000030518,-26.34,152.96,1.42,⚪ 中性觀察,295.65000000000003,中菲,2026-03,-0.37,📉 獲利侵蝕,N/A,8.57,7.88,-179.3,5403.TWO,2025,4.78437356934551
N/A,26.0,-81.89,97.83,0.48,❌ 暫避觀望,21.0,嘉威,2026-03,-99.85,📉 獲利侵蝕,N/A,0.01,-24.49,-179.72,3557.TW,2025,18.571428571428573
15.62%,510.0,-70.51,109.26,0.69,❌ 暫避觀望,180.75,聯鈞,2026-03,31.15,📉 獲利侵蝕,26.67%,5.01,13.44,-179.77,3450.TW,2025,42.32365145228216
N/A,55.7000007629,-23.33,156.53,0.92,⚪ 中性觀察,164.1,岱稜,2026-03,16.97,📉 獲利侵蝕,N/A,4.57,0.49,-179.86,3303.TWO,2025,5.09140774797989
11.05%,13.25,8.33,188.41,0.13,❌ 暫避觀望,3.6,中電,2026-03,-94.0,⚠️ 獲利稀釋,37.93%,0.03,-8.17,-180.07999999999998,1611.TW,2025,55.20833333333333
N/A,32.4500007629,-48.65,131.75,0.57,⚪ 中性觀察,79.35,森田,2026-03,-56.63,📉 獲利侵蝕,N/A,3.27,-4.28,-180.4,8410.TWO,2025,6.13421564516068
N/A,70.5999984741,-24.52,156.16,1.18,⚪ 中性觀察,172.79999999999998,虎山,2026-03,-31.43,📉 獲利侵蝕,N/A,5.04,22.39,-180.68,7736.TW,2025,6.1284720897656255
N/A,113.0,-67.69,113.25,0.83,⚪ 中性觀察,397.80000000000007,波力-KY,2026-03,-10.98,📉 獲利侵蝕,N/A,10.03,-1.52,-180.94,8467.TW,2025,4.2609351432880835
N/A,23.1000003815,152.58,334.61,2.45,⚪ 中性觀察,208.2,坤悅,2026-03,66.99,⚠️ 獲利稀釋,N/A,3.44,55.14,-182.03,5206.TWO,2025,1.664265157168588
N/A,30.2000007629,100.0,282.06,0.02,❌ 暫避觀望,0.15000000000000013,宏齊,2026-03,66.67,⚠️ 獲利稀釋,N/A,0.05,5.6,-182.06,6168.TW,2025,3020.000076289997
-5.26%,12.6000003815,45.45,228.74,-0.12,⚪ 數據不足,-23.549999999999997,東訊,2026-03,18.37,⚠️ 獲利稀釋,29.80%,-0.76,16.01,-183.29000000000002,2321.TW,2025,0.0
7.82%,68.4000015259,-42.76,140.62,0.83,⚪ 中性觀察,148.65,倫飛,2026-03,2.69,📉 獲利侵蝕,39.87%,4.2,20.5,-183.38,2364.TW,2025,6.902119225620584
N/A,24.8999996185,-34.88,148.52,-1.18,⚪ 數據不足,-152.85,科懋,2026-03,-85.58,📉 獲利侵蝕,N/A,-3.97,4.22,-183.4,6496.TWO,2025,0.0
N/A,179.0,2.36,186.36,2.6,⚪ 中性觀察,275.7,宸曜,2026-03,-8.99,⚠️ 獲利稀釋,N/A,6.9,13.67,-184.0,6922.TWO,2025,9.738846572361263
-3.01%,13.4499998093,8.33,192.47,-0.11,⚪ 數據不足,-13.799999999999999,優盛,2026-03,-5.88,⚠️ 獲利稀釋,33.58%,-0.36,-1.34,-184.14,4121.TWO,2025,0.0
N/A,56.7999992371,-99.76,84.83,0.01,⚪ 中性觀察,126.74999999999999,安格,2026-03,137.2,📉 獲利侵蝕,N/A,1.57,-15.36,-184.59,6684.TWO,2025,6.721893400840238
10.77%,147.5,92.31,277.35,2.25,⚪ 中性觀察,159.45,艾訊,2026-03,-37.99,⚠️ 獲利稀釋,33.38%,4.68,1.82,-185.04000000000002,3088.TWO,2025,13.875823142050802
N/A,88.0,-45.58,139.57,1.23,⚪ 中性觀察,380.4,生展,2026-03,13.09,📉 獲利侵蝕,N/A,10.02,6.1,-185.14999999999998,8279.TWO,2025,3.470031545741325
2.59%,78.5999984741,26.37,211.77,1.15,⚪ 中性觀察,141.15,統一,2026-03,-5.22,⚠️ 獲利稀釋,31.73%,3.45,2.32,-185.4,1216.TW,2025,8.352815990871413
N/A,57.7999992371,-2.33,183.17,0.42,⚪ 中性觀察,92.99999999999999,碩網,2026-03,22.61,📉 獲利侵蝕,N/A,2.65,5.66,-185.5,7547.TWO,2025,9.322580522112904
N/A,57.4000015259,19.05,204.61,0.5,❌ 暫避觀望,52.2,凌通,2026-03,-54.63,⚠️ 獲利稀釋,N/A,1.03,-13.56,-185.56,4952.TW,2025,16.494253312040232
N/A,155.5,6.4,192.19,1.34,❌ 暫避觀望,137.10000000000002,宏觀,2026-03,4.76,⚠️ 獲利稀釋,N/A,4.0,6.74,-185.79,6568.TWO,2025,17.013129102844637
N/A,134.0,-12.5,173.42,4.41,⚪ 中性觀察,490.50000000000006,帝寶,2026-03,-26.4,📉 獲利侵蝕,N/A,13.97,-3.69,-185.92,6605.TW,2025,4.097859327217125
18.05%,187.0,-3.23,182.83,1.8,⚪ 中性觀察,262.95,融程電,2026-03,4.56,📉 獲利侵蝕,38.51%,7.39,19.07,-186.06,3416.TW,2025,10.66742726754136
N/A,435.0,46.38,232.47,1.02,❌ 暫避觀望,76.95,嘉基,2026-03,-65.38,⚠️ 獲利稀釋,N/A,1.8,-25.1,-186.09,6715.TW,2025,84.79532163742691
13.69%,195.0,-38.46,147.7,2.63,⚪ 中性觀察,364.8,可成,2026-03,-37.78,📉 獲利侵蝕,33.00%,11.33,3.18,-186.16,2474.TW,2025,8.018092105263158
N/A,348.0,9.03,195.24,1.57,❌ 暫避觀望,202.05000000000004,富鼎,2026-03,19.71,⚠️ 獲利稀釋,N/A,5.73,6.37,-186.21,8261.TW,2025,25.835189309576833
N/A,375.0,40.71,226.99,3.68,⚪ 中性觀察,469.34999999999997,茂達,2026-03,31.94,⚠️ 獲利稀釋,N/A,13.04,22.89,-186.28,6138.TWO,2025,11.984659635666347
7.24%,20.6000003815,560.0,746.29,0.33,⚪ 中性觀察,51.74999999999999,欣陸,2026-03,25.87,⚠️ 獲利稀釋,13.84%,1.8,11.98,-186.28999999999996,3703.TW,2025,5.971014603333334
N/A,24.5499992371,18.42,205.02,-0.31,⚪ 數據不足,-57.3,上亞科技,2026-03,-129.33,⚠️ 獲利稀釋,N/A,-1.72,-20.79,-186.60000000000002,6130.TWO,2025,0.0
19.78%,163.0,108.06,295.15,1.29,❌ 暫避觀望,127.64999999999999,聯電,2026-03,-11.97,⚠️ 獲利稀釋,30.67%,3.34,2.26,-187.08999999999997,2303.TW,2025,19.153936545240892
2.42%,12.1999998093,-34.62,152.59,0.17,⚪ 數據不足,-0.5999999999999996,昶和,2026-03,-77.66,📉 獲利侵蝕,18.12%,0.21,-23.26,-187.21,1468.TW,2025,0.0
-223.66%,33.5,62.2,249.55,-0.31,⚪ 數據不足,-46.50000000000001,德晉,2026-03,58.98,⚠️ 獲利稀釋,-8.98%,-1.11,-72.48,-187.35000000000002,3466.TWO,2025,0.0
10.21%,52.7000007629,66.67,254.52,-0.07,⚪ 數據不足,-0.5999999999999996,磐儀,2026-03,-63.43,⚠️ 獲利稀釋,41.27%,0.49,29.3,-187.85000000000002,3594.TWO,2025,0.0
13.23%,220.5,118.18,306.09,0.96,❌ 暫避觀望,73.35,大銀微系統,2026-03,294.12,⚠️ 獲利稀釋,38.42%,2.01,20.44,-187.90999999999997,4576.TW,2025,45.0920245398773
4.49%,163.0,18.82,207.08,2.05,⚪ 中性觀察,213.89999999999998,宜特,2026-03,-34.26,⚠️ 獲利稀釋,25.60%,4.81,11.44,-188.26000000000002,3289.TWO,2025,11.430575035063114
7.57%,29.8999996185,30.65,219.52,0.81,⚪ 中性觀察,67.19999999999999,五鼎,2026-03,27.34,⚠️ 獲利稀釋,30.15%,1.63,5.0,-188.87,1733.TW,2025,6.674107057700894
N/A,20.25,-41.67,147.3,0.28,⚪ 數據不足,-268.8,上福,2026-03,-431.94,🔄 轉虧為盈,N/A,-9.56,-4.71,-188.97000000000003,6128.TW,2025,0.0
N/A,46.0999984741,-43.51,145.78,0.87,⚪ 中性觀察,158.25,百和,2026-03,-13.68,📉 獲利侵蝕,N/A,4.1,2.05,-189.29,9938.TW,2025,4.369668101810426
16.61%,34.0,-17.39,171.96,0.76,⚪ 中性觀察,111.15,強信-KY,2026-03,48.04,📉 獲利侵蝕,33.75%,3.02,6.92,-189.35000000000002,4560.TW,2025,4.588394062078272
0.48%,520.0,-81.73,107.78,1.54,⚪ 中性觀察,586.35,營邦,2026-03,-38.69,📉 獲利侵蝕,29.12%,15.5,-11.96,-189.51,3693.TWO,2025,13.30263494499872
18.42%,202.0,15.17,205.07,2.46,⚪ 中性觀察,314.85,世禾,2026-03,17.2,⚠️ 獲利稀釋,36.55%,8.36,16.17,-189.9,3551.TWO,2025,9.623630300142924
19.22%,740.0,9.67,200.1,3.29,❌ 暫避觀望,467.85,華城,2026-03,-6.3,⚠️ 獲利稀釋,42.20%,13.99,20.89,-190.43,1519.TW,2025,23.725553061878806
9.76%,51.2000007629,3.13,194.32,0.33,❌ 暫避觀望,24.15,普安,2026-03,-49.1,⚠️ 獲利稀釋,43.31%,1.13,-10.89,-191.19,2495.TW,2025,31.801242709875776
12.48%,65.1999969482,-17.11,174.54,1.9,⚪ 中性觀察,193.65,友輝,2026-03,-18.35,📉 獲利侵蝕,28.71%,5.77,2.41,-191.64999999999998,4933.TWO,2025,5.050348330611929
N/A,72.0,177.08,369.13,1.33,⚪ 中性觀察,122.25,迎廣,2026-03,-7.65,⚠️ 獲利稀釋,N/A,3.77,11.78,-192.04999999999998,6117.TW,2025,8.834355828220858
N/A,16.0,94.64,286.81,-0.03,⚪ 數據不足,-30.450000000000003,創業家,2026-03,53.77,⚠️ 獲利稀釋,N/A,-0.92,-52.73,-192.17000000000002,8477.TWO,2025,0.0
N/A,65.5999984741,39.39,231.62,1.38,⚪ 中性觀察,148.95,幸康,2026-03,61.93,⚠️ 獲利稀釋,N/A,3.53,19.44,-192.23000000000002,3332.TWO,2025,6.606243552275933
N/A,306.0,64.76,257.27,1.73,❌ 暫避觀望,184.95,騰輝電子-KY,2026-03,-2.81,⚠️ 獲利稀釋,N/A,4.85,0.88,-192.51,6672.TW,2025,24.817518248175187
N/A,26.8999996185,-103.03,89.63,-0.67,⚪ 數據不足,-22.8,凱衛,2026-03,-102.22,📉 獲利侵蝕,N/A,-0.06,12.63,-192.66,5201.TWO,2025,0.0
-198.78%,26.6499996185,-20.0,172.74,-0.48,⚪ 數據不足,-106.95,揚智,2026-03,-35.42,📉 獲利侵蝕,5.61%,-3.43,-29.93,-192.74,3041.TW,2025,0.0
-4.97%,66.8000030518,-3.47,190.77,1.96,⚪ 中性觀察,78.60000000000001,世德,2026-03,-77.5,📉 獲利侵蝕,19.80%,1.34,-9.64,-194.24,2066.TWO,2025,12.748092185458015
N/A,101.0,201.59,396.14,0.67,⚪ 數據不足,-137.10000000000002,智崴,2026-03,-356.73,🔄 轉虧為盈,N/A,-2.87,-3.81,-194.54999999999998,5263.TWO,2025,0.0
N/A,207.0,24.03,219.37,3.82,⚪ 中性觀察,510.59999999999997,視陽,2026-03,39.41,⚠️ 獲利稀釋,N/A,14.08,15.02,-195.34,6782.TW,2025,6.081081081081082
N/A,282.0,22.93,218.89,2.52,⚪ 中性觀察,285.45000000000005,意德士,2026-03,19.42,⚠️ 獲利稀釋,N/A,7.1,19.26,-195.95999999999998,7556.TWO,2025,14.818707304256437
N/A,26.5499992371,-4.35,192.14,0.44,⚪ 中性觀察,63.0,晶采,2026-03,-31.2,📉 獲利侵蝕,N/A,1.72,-0.92,-196.48999999999998,8049.TWO,2025,6.321428389785714
N/A,212.0,10.24,206.96,3.66,⚪ 中性觀察,472.04999999999995,望隼,2026-03,10.57,⚠️ 獲利稀釋,N/A,12.71,16.17,-196.72,4771.TW,2025,6.736574515411503
-262.93%,32.25,-70.0,126.74,-0.51,⚪ 數據不足,-69.45,鴻華先進-創,2026-03,-73.98,📉 獲利侵蝕,19.82%,-2.15,-51.34,-196.74,2258.TW,2025,0.0
12.10%,59.5,-61.08,135.88,0.72,⚪ 中性觀察,228.6,僑威,2026-03,8.01,📉 獲利侵蝕,23.99%,6.07,16.17,-196.95999999999998,3078.TWO,2025,3.904199475065617
16.17%,345.5,8.26,205.28,6.55,⚪ 中性觀察,795.6,南寶,2026-03,-9.03,⚠️ 獲利稀釋,33.74%,20.25,0.95,-197.02,4766.TW,2025,6.51395173453997
N/A,154.0,28.57,226.47,0.9,❌ 暫避觀望,127.95000000000002,正淩,2026-03,62.03,⚠️ 獲利稀釋,N/A,3.08,29.59,-197.9,8147.TWO,2025,18.05392731535756
-3.25%,37.5999984741,-91.84,106.5,0.04,❌ 暫避觀望,15.9,遠見,2026-03,-57.53,🏰 高護城河,58.07%,0.32,-4.54,-198.34,3040.TW,2025,35.47169667367924
6.32%,199.5,350.0,548.43,3.24,⚪ 中性觀察,421.2,鮮活果汁-KY,2026-03,24.88,⚠️ 獲利稀釋,24.61%,11.19,2.94,-198.42999999999995,1256.TW,2025,7.104700854700855
18.52%,168.5,-19.45,179.22,2.41,⚪ 中性觀察,361.8,鈞興-KY,2026-03,4.45,📉 獲利侵蝕,33.35%,9.61,0.1,-198.67,4571.TW,2025,6.985903814262023
N/A,80.5999984741,-29.91,168.9,0.75,⚪ 中性觀察,147.45,立端,2026-03,-28.08,📉 獲利侵蝕,N/A,4.38,-3.53,-198.81,6245.TWO,2025,8.19938946837233
N/A,105.5,0.64,199.94,1.6,⚪ 中性觀察,249.29999999999995,中保科,2026-03,5.71,⚠️ 獲利稀釋,N/A,6.77,6.29,-199.3,9917.TW,2025,6.3477737665463305
7.44%,28.5,-17.07,182.28,0.35,⚪ 中性觀察,38.7,裕隆,2026-03,-75.14,📉 獲利侵蝕,30.14%,0.93,-15.65,-199.35,2201.TW,2025,11.046511627906977
26.59%,232.0,53.66,253.02,1.95,❌ 暫避觀望,219.00000000000003,欣銓,2026-03,34.97,⚠️ 獲利稀釋,37.83%,5.99,7.08,-199.36,3264.TWO,2025,15.890410958904107
N/A,29.7000007629,23.53,223.18,0.21,⚪ 中性觀察,53.1,樂斯科,2026-03,-3.49,⚠️ 獲利稀釋,N/A,1.66,-10.2,-199.65,6662.TWO,2025,8.389830723983051
N/A,18.0,-92.57,107.98,0.13,⚪ 中性觀察,97.2,大研生醫*,2026-03,-76.4,📉 獲利侵蝕,N/A,0.51,39.1,-200.55,7780.TW,2025,2.7777777777777777
2.95%,241.0,6.45,208.08,2.97,⚪ 中性觀察,420.30000000000007,統一超,2026-03,-2.88,⚠️ 獲利稀釋,34.07%,10.78,3.79,-201.63000000000002,2912.TW,2025,8.600999286224125
9.78%,132.0,-91.21,110.9,0.08,⚪ 中性觀察,207.45,喬山,2026-03,13.11,📉 獲利侵蝕,48.58%,9.06,13.69,-202.11,1736.TW,2025,9.544468546637743
N/A,95.9000015259,58.9,261.03,1.17,⚪ 中性觀察,130.8,瀚荃,2026-03,17.71,⚠️ 獲利稀釋,N/A,3.92,5.25,-202.12999999999997,8103.TW,2025,10.997706597006879
