om,price,eps_yoy,rev_yoy,eps,advice,est_price,name,date,prev_eps_yoy,status,gm,prev_eps,prev_rev_yoy,expansion,symbol,prev_year,pe
15.37%,168.5,1037.5,646.87,2.25,⚠️ 追價風險,40.8,華邦電,2026-03,576.92,🚀 利潤擴張,41.86%,0.88,9.55,390.63,2344.TW,2025,61.94852941176471
N/A,37.0,387.5,6.45,0.41,⚪ 數據不足,0.0,宏�砦C戲-創,2026-03,5.88,🚀 利潤擴張,N/A,1.44,28.36,381.05,6908.TW,2025,0.0
N/A,101.5,715.79,359.78,1.59,⚪ 中性觀察,81.60000000000001,應廣,2026-03,-49.65,🚀 利潤擴張,N/A,2.19,-15.3,356.01,6716.TWO,2025,18.658088235294116
N/A,30.3500003815,380.0,37.41,0.24,⚠️ 追價風險,19.499999999999996,寶碩,2026-03,207.35,🚀 利潤擴張,N/A,0.73,9.95,342.59000000000003,5210.TWO,2025,23.346154139615386
N/A,55.0,1090.0,750.53,0.99,⚪ 數據不足,-8.4,鈺鎧,2026-03,90.52,🔄 轉虧為盈,N/A,-0.2,25.85,339.47,5228.TWO,2025,0.0
N/A,68.8000030518,517.65,179.43,1.42,💎 強力關注,92.55,亞洲藏壽司,2026-03,1.73,🚀 利潤擴張,N/A,2.35,5.96,338.21999999999997,2754.TWO,2025,11.150729830113454
14.30%,92.6999969482,550.0,237.41,0.13,⚠️ 追價風險,26.4,旭然,2026-03,170.59,🚀 利潤擴張,42.07%,0.92,-3.75,312.59000000000003,4556.TWO,2025,52.67045281147727
7.94%,30.0499992371,650.0,343.32,0.15,⚪ 中性觀察,25.95,協禧,2026-03,-29.63,🚀 利潤擴張,30.11%,0.57,-5.82,306.68,3071.TWO,2025,17.36994175554913
N/A,2140.0,1143.3,849.86,68.8,✅ 穩健價值,2097.2999999999997,群聯,2026-03,3.78,🚀 利潤擴張,N/A,41.98,23.29,293.43999999999994,8299.TWO,2025,15.305392647689887
N/A,36.75,546.67,270.3,0.67,⚪ 數據不足,-2.2499999999999996,慧智,2026-03,-150.59,🔄 轉虧為盈,N/A,-0.43,-14.91,276.36999999999995,6615.TWO,2025,0.0
N/A,59.0,640.0,371.03,0.27,⚪ 數據不足,-9.150000000000002,康舒,2026-03,550.0,🚀 利潤擴張,N/A,0.18,0.1,268.97,6282.TW,2025,0.0
N/A,21.8500003815,445.45,186.87,0.38,⚪ 數據不足,-20.1,三貝德,2026-03,55.83,🔄 轉虧為盈,N/A,-0.76,5.03,258.58,8489.TWO,2025,0.0
8.07%,111.0,701.79,473.51,4.49,✅ 穩健價值,120.3,事欣科,2026-03,8050.0,🚀 利潤擴張,18.73%,1.77,0.89,228.27999999999997,4916.TW,2025,13.840399002493767
N/A,16.6499996185,518.75,292.4,2.97,💎 強力關注,44.1,銘旺實,2026-03,-66.67,🚀 利潤擴張,N/A,0.88,-3.15,226.35000000000002,4432.TWO,2025,5.663265176360545
-88.29%,9.9600000381,350.0,132.31,0.45,💎 強力關注,14.700000000000001,中美實,2026-03,51.72,🚀 利潤擴張,35.38%,0.88,-61.59,217.69,4702.TWO,2025,10.163265345
N/A,155.5,512.9,297.67,3.8,💎 強力關注,493.65000000000003,東哥遊艇,2026-03,33.97,🚀 利潤擴張,N/A,13.25,5.83,215.22999999999996,8478.TW,2025,4.725007596475235
8.70%,39.5,925.0,713.51,0.66,💎 強力關注,76.65,大亞,2026-03,-21.15,🚀 利潤擴張,13.61%,1.65,3.39,211.49,1609.TW,2025,7.729941291585127
7.12%,27.5499992371,213.33,26.54,0.47,⚪ 數據不足,0.0,聯嘉投控,2026-03,-80.0,🚀 利潤擴張,19.34%,0.08,3.55,186.79000000000002,3717.TW,2025,0.0
N/A,48.3499984741,266.67,80.73,0.33,⚪ 數據不足,-43.199999999999996,巨虹,2026-03,-280.2,🔄 轉虧為盈,N/A,-1.82,-10.9,185.94,8084.TWO,2025,0.0
14.85%,67.4000015259,728.13,542.69,2.65,💎 強力關注,94.05,東浦,2026-03,25.64,🚀 利潤擴張,30.40%,2.02,18.23,185.43999999999994,3290.TWO,2025,10.749601519282297
N/A,17.3500003815,550.0,385.95,0.09,⚪ 數據不足,-7.95,同協,2026-03,-177.27,🔄 轉虧為盈,N/A,-0.17,-15.68,164.05,5460.TWO,2025,0.0
N/A,0.0,276.67,116.02,0.53,⚪ 數據不足,0.0,未知,2026-03,1640.0,🚀 利潤擴張,N/A,1.54,32.98,160.65000000000003,4582.TWO,2025,0.0
N/A,26.5499992371,276.67,116.02,0.53,⚪ 數據不足,0.0,聚恆-創,2026-03,1640.0,🚀 利潤擴張,N/A,1.54,32.98,160.65000000000003,4582.TW,2025,0.0
-2.91%,73.5,700.0,542.01,0.06,⚪ 數據不足,-6.6,鼎元,2026-03,-219.05,🔄 轉虧為盈,10.78%,-0.25,-2.43,157.99,2426.TW,2025,0.0
8.42%,45.0,264.29,108.24,0.28,⚪ 數據不足,-25.049999999999997,圓剛,2026-03,54.55,🔄 轉虧為盈,56.31%,-0.19,2.69,156.05,2417.TW,2025,0.0
N/A,10.25,366.67,214.33,0.28,⚠️ 追價風險,1.050000000000001,成霖,2026-03,-125.22,🔄 轉虧為盈,N/A,-0.29,-4.25,152.34,9934.TW,2025,146.4285714285713
N/A,65.6999969482,323.08,180.76,1.1,⚠️ 追價風險,32.250000000000014,六角,2026-03,-77.02,🚀 利潤擴張,N/A,1.09,7.13,142.32,2732.TWO,2025,30.558138115441846
N/A,105.5,442.11,307.94,1.03,⚪ 中性觀察,96.15,醫揚,2026-03,-38.68,🚀 利潤擴張,N/A,2.88,5.8,134.17000000000002,6569.TWO,2025,16.458658346333852
N/A,135.5,406.45,273.28,1.57,⚠️ 追價風險,85.05,凌華,2026-03,921.74,🚀 利潤擴張,N/A,2.35,17.09,133.17000000000002,6166.TW,2025,23.897707231040563
41.27%,2095.0,645.65,515.18,3.44,⚠️ 追價風險,183.0,聯亞,2026-03,884.75,🏰 高護城河,54.76%,4.66,82.29,130.47000000000003,3081.TWO,2025,171.72131147540983
N/A,59.9000015259,228.49,113.17,2.21,💎 強力關注,172.05,奇偶,2026-03,-20.59,🚀 利潤擴張,N/A,6.21,-14.96,115.32000000000001,3356.TW,2025,5.2223192263208364
N/A,80.0,383.33,268.59,0.29,⚪ 數據不足,-7.200000000000001,美達科技,2026-03,-84.51,🚀 利潤擴張,N/A,0.33,-4.81,114.74000000000001,6735.TWO,2025,0.0
-12.62%,7.5500001907,87.5,-21.56,-0.02,⚪ 數據不足,-33.6,益航,2026-03,-365.71,🏰 高護城河,102.69%,-1.63,-7.78,109.06,2601.TW,2025,0.0
N/A,186.0,270.0,161.56,0.37,⚠️ 追價風險,50.699999999999996,暉盛-創,2026-03,-45.51,🚀 利潤擴張,N/A,1.73,-5.33,108.44,7730.TW,2025,55.02958579881657
N/A,8.0,163.46,67.27,0.66,⚪ 數據不足,-40.05,麗嬰房,2026-03,152.83,🚀 利潤擴張,N/A,2.15,-16.81,96.19000000000001,2911.TW,2025,0.0
12.73%,26.8999996185,150.0,57.36,0.3,⚠️ 追價風險,13.05,網龍,2026-03,-46.91,🏰 高護城河,87.57%,0.43,-7.4,92.64,3083.TWO,2025,30.91953979137931
N/A,39.8499984741,1080.0,990.52,0.49,✅ 穩健價值,44.550000000000004,青松健康,2026-03,104.41,🚀 利潤擴張,N/A,1.39,14.16,89.48000000000002,6931.TW,2025,13.417507903737372
-21.33%,23.5,575.0,486.21,0.28,⚪ 數據不足,-24.299999999999994,宏佳騰,2026-03,-169.49,🔄 轉虧為盈,16.92%,-0.84,-18.58,88.79000000000002,1599.TWO,2025,0.0
-58.34%,70.8000030518,166.67,81.97,0.06,⚪ 數據不足,-18.3,中裕,2026-03,17.57,🔄 轉虧為盈,28.91%,-0.61,0.19,84.69999999999999,4147.TWO,2025,0.0
13.17%,45.1500015259,186.6,102.97,2.78,💎 強力關注,97.8,昭輝,2026-03,-51.9,🚀 利潤擴張,33.66%,2.41,-14.02,83.63,1339.TW,2025,6.924846859800614
3.76%,68.9000015259,392.86,309.82,0.7,✅ 穩健價值,81.9,偉詮電,2026-03,78.06,🚀 利潤擴張,30.84%,3.02,15.32,83.04000000000002,2436.TW,2025,12.619047898516483
N/A,102.0,178.26,97.11,0.64,⚠️ 追價風險,45.449999999999996,威鋒電子,2026-03,-50.67,🚀 利潤擴張,N/A,1.11,-8.83,81.14999999999999,6756.TW,2025,33.663366336633665
20.17%,73.0999984741,136.36,62.07,2.34,✅ 穩健價值,77.99999999999999,宇峻,2026-03,-64.44,🏰 高護城河,89.44%,1.97,2.09,74.29000000000002,3546.TWO,2025,14.057692014250003
N/A,83.8000030518,99.93,26.64,-0.15,⚪ 數據不足,0.0,奧義賽博-KY創,2026-03,96.29,🚀 利潤擴張,N/A,-1.49,22.72,73.29,7823.TW,2025,0.0
N/A,14.75,-25.93,-97.71,-0.68,⚪ 數據不足,-96.44999999999999,昱泉,2026-03,-99.18,🌑 雙重衰退,N/A,-2.43,19.25,71.78,6169.TWO,2025,0.0
N/A,17.3999996185,650.0,578.38,0.3,⚪ 數據不足,-17.549999999999997,冠好,2026-03,-91.14,🚀 利潤擴張,N/A,0.14,0.63,71.62,8354.TWO,2025,0.0
0.20%,67.1999969482,386.11,315.9,1.75,✅ 穩健價值,71.25,台聯電,2026-03,-5.15,🚀 利潤擴張,25.49%,2.76,22.56,70.21000000000004,4905.TWO,2025,14.14736777856842
N/A,1925.0,121.74,51.84,1.02,⚪ 數據不足,0.0,創新服務,2026-03,44.08,🚀 利潤擴張,N/A,6.33,76.4,69.89999999999999,7828.TWO,2025,0.0
38.94%,15.6999998093,127.27,58.58,0.25,💎 強力關注,22.95,國票金,2026-03,3.28,🏰 高護城河,90.85%,0.63,4.6,68.69,2889.TW,2025,10.26143778385621
20.98%,94.8000030518,107.35,40.15,1.41,💎 強力關注,257.1,麗豐-KY,2026-03,24.43,🏰 高護城河,82.18%,7.13,-4.63,67.19999999999999,4137.TW,2025,5.530921998354726
3.73%,8.5900001526,175.0,110.52,0.06,⚪ 數據不足,-15.3,研勤,2026-03,-31.03,🔄 轉虧為盈,54.59%,-0.38,-28.72,64.48,3632.TWO,2025,0.0
N/A,47.5499992371,106.9,42.91,0.6,⚪ 數據不足,0.0,和迅,2026-03,-24.06,🚀 利潤擴張,N/A,2.43,2.38,63.99000000000001,6986.TWO,2025,0.0
-45.46%,34.2000007629,175.0,111.03,0.11,⚪ 數據不足,-38.1,穎漢,2026-03,-184.44,🔄 轉虧為盈,31.44%,-1.28,-7.78,63.97,4562.TW,2025,0.0
-55.72%,19.5,62.5,-1.0,-0.27,⚪ 數據不足,-122.4,泰偉,2026-03,-7120.0,🏰 高護城河,93.22%,-3.51,-29.69,63.5,3064.TWO,2025,0.0
N/A,36.25,235.0,171.79,1.34,💎 強力關注,101.7,群益證,2026-03,17.33,🚀 利潤擴張,N/A,2.64,12.14,63.21000000000001,6005.TW,2025,5.346607669616519
N/A,36.4000015259,500.0,438.18,0.84,⚠️ 追價風險,10.049999999999997,車王電,2026-03,152.25,🚀 利潤擴張,N/A,0.58,19.69,61.81999999999999,1533.TW,2025,54.32836048641793
7.12%,23.3999996185,600.0,538.23,0.56,✅ 穩健價值,22.5,正隆,2026-03,34.55,🚀 利潤擴張,20.98%,0.74,-4.85,61.76999999999998,1904.TW,2025,15.599999745666667
N/A,90.5,206.45,150.03,1.9,💎 強力關注,113.85,日揚,2026-03,-26.32,🚀 利潤擴張,N/A,2.52,-4.59,56.41999999999999,6208.TWO,2025,11.923583662714098
N/A,48.7999992371,204.17,148.33,1.46,💎 強力關注,72.30000000000001,強生,2026-03,-36.9,🚀 利潤擴張,N/A,1.19,-6.81,55.839999999999975,4747.TWO,2025,10.124481169522822
N/A,94.5,244.44,189.01,0.13,⚪ 數據不足,-18.45,九暘,2026-03,49.15,🔄 轉虧為盈,N/A,-0.6,2.65,55.43000000000001,8040.TWO,2025,0.0
-106.23%,39.3499984741,239.47,185.42,2.62,💎 強力關注,273.29999999999995,晟德,2026-03,905.92,🚀 利潤擴張,41.95%,12.33,-6.28,54.05000000000001,4123.TWO,2025,2.1597145155927553
N/A,73.5999984741,-2.96,-55.48,-1.43,⚪ 數據不足,0.0,心誠鎂,2026-03,-48.08,🌑 雙重衰退,N/A,-3.92,-29.22,52.519999999999996,6934.TW,2025,0.0
N/A,122.5,147.37,95.63,3.29,💎 強力關注,252.6,霈方,2026-03,66.34,🚀 利潤擴張,N/A,6.82,6.51,51.74000000000001,6574.TWO,2025,7.274346793349169
N/A,0.0,139.49,91.93,7.68,⚪ 數據不足,0.0,永擎,2026-03,38.44,🚀 利潤擴張,N/A,13.04,182.72,47.56,7711.TW,2025,0.0
N/A,30.5499992371,406.06,359.48,1.01,✅ 穩健價值,31.8,廣寰科,2026-03,-36.17,🚀 利潤擴張,N/A,1.5,23.54,46.579999999999984,3287.TWO,2025,14.410376998632074
N/A,28.7999992371,112.5,66.65,0.03,💎 強力關注,146.54999999999998,琉園,2026-03,544.54,🚀 利潤擴張,N/A,5.29,-17.0,45.849999999999994,9949.TWO,2025,2.9477993077891504
