代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
6770.TW,力積電,73.0,73710,0,2740,20260831,-345662,175091,520753,-0.5x,3.44%,▲ 順勢追意
8039.TW,台虹,327.0,-2996,8,295,20260831,-149474,85043,234518,-0.6x,23.40%,▲ 順勢追意
8358.TWO,金居,540.0,3516,9,390,20260831,26047,134858,108810,5.2x,29.50%,▲ 順勢追意
4958.TW,臻鼎-KY,500.0,2178,1230,587,20260831,-42443,17793,60236,-0.4x,14.81%,▲ 順勢追意
6226.TW,光鼎,31.6,1445,0,-15,20260831,66835,120698,53862,1.8x,35.62%,▲ 順勢追意
8103.TW,瀚荃,119.0,207,0,39,20260831,-5673,45881,51555,-8.1x,22.43%,▲ 順勢追意
6269.TW,台郡,74.9,-282,0,1628,20260831,-339,36524,36863,-107.7x,21.00%,▲ 順勢追意
8111.TWO,立��,68.6,3279,0,174,20260831,6101,36398,30297,6.0x,8.72%,▲ 順勢追意
9105.TW,泰金寶-DR,8.71,8081,0,89,20260831,-14437,12949,27386,-0.9x,3.44%,▲ 順勢追意
8086.TWO,宏捷科,116.32,-723,0,112,20260831,-27528,-3288,24239,0.1x,3.86%,🚨 外資提款
8070.TW,長華*,50.2,-686,-23,-13,20260831,-21453,666,22120,-0.0x,2.45%,▲ 順勢追意
8261.TW,富鼎,178.5,-174,0,-49,20260831,-28095,-10893,17201,0.4x,0.56%,🚨 外資提款
3673.TW,TPK-KY,68.2,-223,0,-38,20260831,-9384,6336,15721,-0.7x,8.08%,▲ 順勢追意
4976.TW,佳凌,38.7,-196,0,2,20260831,-2277,12156,14434,-5.3x,3.48%,▲ 順勢追意
6451.TW,訊芯-KY,456.0,-153,0,1,20260831,-10263,3822,14086,-0.4x,14.00%,▲ 順勢追意
4927.TW,泰鼎-KY,40.35,-1108,0,16,20260831,-406,11044,11450,-27.2x,16.28%,▲ 順勢追意
8150.TW,南茂,89.1,-4040,50,-115,20260831,-3413,7114,10528,-2.1x,1.60%,▲ 順勢追意
8042.TWO,金山電,105.0,-283,0,-3,20260831,-12604,-2505,10098,0.2x,6.06%,🚨 外資提款
6805.TW,富世達,2305.0,1108,-620,-27,20260831,-2324,7430,9755,-3.2x,34.80%,▲ 順勢追意
7788.TW,松川精密,316.0,485,0,-117,20260831,-496,8655,9152,-17.4x,24.90%,▲ 順勢追意
8021.TW,尖點,435.0,-1803,0,-13,20260831,-19782,-10744,9037,0.5x,11.97%,🚨 外資提款
5388.TW,中磊,77.2,-832,0,-132,20260831,-10941,-3270,7671,0.3x,-0.52%,🚨 外資提款
5608.TW,四維航,16.95,-810,0,2,20260831,-15853,-9271,6582,0.6x,-5.83%,🚨 外資提款
6168.TW,宏齊,28.45,406,0,1,20260831,312,6874,6562,22.0x,4.79%,▲ 順勢追意
4938.TW,和碩,91.1,3238,63,135,20260831,-4476,1666,6143,-0.4x,2.02%,▲ 順勢追意
4540.TW,全球傳動,59.1,-370,0,0,20260831,-2758,3363,6121,-1.2x,4.05%,▲ 順勢追意
6282.TW,康舒,44.9,6,0,-184,20260831,-816,5215,6032,-6.4x,1.24%,▲ 順勢追意
6108.TW,競國,23.85,-1321,0,-3,20260831,12878,18563,5684,1.4x,1.92%,▲ 順勢追意
5880.TW,合庫金,25.55,8441,40,-61,20260831,-2078,3364,5442,-1.6x,2.20%,▲ 順勢追意
6830.TW,汎銓,520.0,130,0,7,20260831,-9942,-4625,5317,0.5x,16.46%,🚨 外資提款
8028.TW,昇陽半導體,241.0,1024,-449,-33,20260831,-4123,1085,5208,-0.3x,-0.62%,★ 壓低偷買
3714.TW,富采,61.6,-517,0,12,20260831,-1407,3515,4922,-2.5x,7.69%,▲ 順勢追意
