date,eps,advice,prev_year,prev_eps,symbol,status,name,expansion,est_price,prev_rev_yoy,gm,price,prev_eps_yoy,pe,rev_yoy,om,eps_yoy
2026-03,1.64,⚠️ 追價風險,2025,1.58,6902.TW,🚀 利潤擴張,GOGOLOOK,487.52,52.05,20.92,N/A,127.5,222.58,36.74351585014409,43.25,N/A,530.77
2026-03,0.46,⚪ 數據不足,2025,-0.16,6241.TWO,🔄 轉虧為盈,鑫永洋,484.25,-7.499999999999999,5.06,N/A,17.0499992371,74.6,0.0,335.75,N/A,820.0
2026-03,0.22,⚠️ 追價風險,2025,0.31,8440.TWO,🚀 利潤擴張,綠電,472.41999999999996,8.850000000000001,-6.1,N/A,20.3500003815,-42.59,34.49152607033898,727.58,N/A,1200.0
2026-03,1.21,⚪ 數據不足,2025,2.72,4590.TW,🧐 疑業外收益,富田-創,444.74,0.0,-41.11,30.54%,88.5,-1.45,0.0,-25.82,-0.34%,418.92
2026-03,0.25,⚠️ 追價風險,2025,0.49,2302.TW,🚀 利潤擴張,麗正,412.3,17.400000000000002,11.66,36.04%,44.1500015259,-34.67,38.06034614301724,187.7,11.05%,600.0
2026-03,2.25,⚠️ 追價風險,2025,0.88,2344.TW,🚀 利潤擴張,華邦電,390.63,40.8,9.55,41.86%,182.5,576.92,67.09558823529413,646.87,15.37%,1037.5
2026-03,0.41,⚪ 數據不足,2025,1.44,6908.TW,🚀 利潤擴張,宏�砦C戲-創,381.05,0.0,28.36,N/A,30.25,5.88,0.0,6.45,N/A,387.5
2026-03,1.59,⚠️ 追價風險,2025,2.19,6716.TWO,🚀 利潤擴張,應廣,356.01,81.60000000000001,-15.3,N/A,124.0,-49.65,22.794117647058822,359.78,N/A,715.79
2026-03,0.24,⚠️ 追價風險,2025,0.73,5210.TWO,🚀 利潤擴張,寶碩,342.59000000000003,19.499999999999996,9.95,N/A,28.7999992371,207.35,22.153845567,37.41,N/A,380.0
2026-03,0.99,⚪ 數據不足,2025,-0.2,5228.TWO,🔄 轉虧為盈,鈺鎧,339.47,-8.4,25.85,N/A,41.0499992371,90.52,0.0,750.53,N/A,1090.0
2026-03,1.42,💎 強力關注,2025,2.35,2754.TWO,🚀 利潤擴張,亞洲藏壽司,338.21999999999997,92.55,5.96,N/A,68.5999984741,1.73,11.118314177325772,179.43,N/A,517.65
2026-03,0.13,⚠️ 追價風險,2025,0.92,4556.TWO,🚀 利潤擴張,旭然,312.59000000000003,26.4,-3.75,42.07%,69.8000030518,170.59,39.659092643068185,237.41,14.30%,550.0
2026-03,0.15,✅ 穩健價值,2025,0.57,3071.TWO,🚀 利潤擴張,協禧,306.68,25.95,-5.82,30.11%,24.4500007629,-29.63,14.132948417861272,343.32,7.94%,650.0
2026-03,68.8,✅ 穩健價值,2025,41.98,8299.TWO,🚀 利潤擴張,群聯,293.43999999999994,2097.2999999999997,23.29,N/A,2165.0,3.78,15.484193963667574,849.86,N/A,1143.3
2026-03,0.67,⚪ 數據不足,2025,-0.43,6615.TWO,🔄 轉虧為盈,慧智,276.36999999999995,-2.2499999999999996,-14.91,N/A,34.4500007629,-150.59,0.0,270.3,N/A,546.67
2026-03,0.27,⚪ 數據不足,2025,0.18,6282.TW,🚀 利潤擴張,康舒,268.97,-9.150000000000002,0.1,N/A,44.9000015259,550.0,0.0,371.03,N/A,640.0
2026-03,0.38,⚪ 數據不足,2025,-0.76,8489.TWO,🔄 轉虧為盈,三貝德,258.58,-20.1,5.03,N/A,22.3999996185,55.83,0.0,186.87,N/A,445.45
2026-03,4.49,✅ 穩健價值,2025,1.77,4916.TW,🚀 利潤擴張,事欣科,228.27999999999997,120.3,0.89,18.73%,99.9000015259,8050.0,12.456359292506235,473.51,8.07%,701.79
2026-03,2.97,💎 強力關注,2025,0.88,4432.TWO,🚀 利潤擴張,銘旺實,226.35000000000002,44.1,-3.15,N/A,15.75,-66.67,5.357142857142858,292.4,N/A,518.75
2026-03,0.45,💎 強力關注,2025,0.88,4702.TWO,🚀 利潤擴張,中美實,217.69,14.700000000000001,-61.59,35.38%,9.6400003433,51.72,9.836735044183673,132.31,-88.29%,350.0
2026-03,3.8,💎 強力關注,2025,13.25,8478.TW,🚀 利潤擴張,東哥遊艇,215.22999999999996,493.65000000000003,5.83,N/A,141.0,33.97,4.284412032816773,297.67,N/A,512.9
2026-03,0.66,💎 強力關注,2025,1.65,1609.TW,🚀 利潤擴張,大亞,211.49,76.65,3.39,13.61%,37.5999984741,-21.15,7.358121032113502,713.51,8.70%,925.0
2026-03,0.47,⚪ 數據不足,2025,0.08,3717.TW,🚀 利潤擴張,聯嘉投控,186.79000000000002,0.0,3.55,19.34%,22.6499996185,-80.0,0.0,26.54,7.12%,213.33
2026-03,0.33,⚪ 數據不足,2025,-1.82,8084.TWO,🔄 轉虧為盈,巨虹,185.94,-43.199999999999996,-10.9,N/A,46.0,-280.2,0.0,80.73,N/A,266.67
2026-03,2.65,💎 強力關注,2025,2.02,3290.TWO,🚀 利潤擴張,東浦,185.43999999999994,94.05,18.23,30.40%,49.4500007629,25.64,7.886762482121212,542.69,14.85%,728.13
2026-03,0.09,⚪ 數據不足,2025,-0.17,5460.TWO,🔄 轉虧為盈,同協,164.05,-7.95,-15.68,N/A,15.8500003815,-177.27,0.0,385.95,N/A,550.0
2026-03,0.53,⚪ 數據不足,2025,1.54,4582.TWO,🚀 利潤擴張,未知,160.65000000000003,0.0,32.98,N/A,0.0,1640.0,0.0,116.02,N/A,276.67
2026-03,0.53,⚪ 數據不足,2025,1.54,4582.TW,🚀 利潤擴張,聚恆-創,160.65000000000003,0.0,32.98,N/A,23.5499992371,1640.0,0.0,116.02,N/A,276.67
2026-03,0.06,⚪ 數據不足,2025,-0.25,2426.TW,🔄 轉虧為盈,鼎元,157.99,-6.6,-2.43,10.78%,97.8000030518,-219.05,0.0,542.01,-2.91%,700.0
2026-03,0.28,⚪ 數據不足,2025,-0.19,2417.TW,🔄 轉虧為盈,圓剛,156.05,-25.049999999999997,2.69,56.31%,43.75,54.55,0.0,108.24,8.42%,264.29
