日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-07-04,2317,鴻海,240.5,241.21,2000,-1420,-0.29%
2026-07-04,4142,國光生,17.8,25.32,1000,-7520,-29.70%
2026-07-04,0050,元大台灣50,108.8,46.6,16000,995200,133.48%
2026-07-04,0056,元大高股息,52.6,36.43,4000,64680,44.39%
2026-07-04,00635U,期元大S&P黃金,42.31,55.25,3000,-38820,-23.42%
2026-07-04,00738U,期元大道瓊白銀,48.13,66.26,1000,-18130,-27.36%
2026-07-04,00929,復華台灣科技優息,31.19,19.73,8000,91680,58.08%
2026-07-04,009816,凱基台灣TOP50,15.78,11.01,63000,300510,43.32%
2026-07-04,00990A,主動元大AI新經濟,20.38,11.48,5000,44500,77.53%
2026-07-04,2009,第一銅,39.65,50.56,4000,-43640,-21.58%
2026-07-04,2337,旺宏,142.5,95.28,2000,94440,49.56%
2026-07-04,2409,友達,30.0,16.21,2000,27580,85.07%
2026-07-04,3481,群創,66.0,25.1,4000,163600,162.95%
2026-07-04,6806,森崴能源,3.51,45.39,5000,-209400,-92.27%
2026-07-04,3105,穩懋,411.0,556.47,300,-43641,-26.14%
2026-07-04,4966,譜瑞-KY,654.0,1921.64,1000,-1267640,-65.97%
2026-07-04,2327,國巨*,1045.0,1030.0,1,15,1.46%
2026-07-04,00403A,主動統一升級50,11.14,10.68,26000,11960,4.31%
2026-07-04,00981A,主動統一台股增長,32.05,27.48,2000,9140,16.63%
2026-07-04,2330,台積電,2445.0,225.55,10,22194,984.02%
2026-07-04,6789,采鈺,528.0,593.5,400,-26200,-11.04%
2026-07-04,6849,奇鼎科技,172.5,266.4,280,-26292,-35.25%
2026-07-04,7853,政美應用,421.0,409.29,280,3279,2.86%
2026-07-04,3576,聯合再生,17.05,18.15,5000,-5500,-6.06%
2026-07-04,1721,三晃,26.45,27.88,3000,-4300,-5.14%
2026-07-04,8215,明基材,29.5,31.6,200,-420,-6.65%
2026-07-04,00405A,主動富邦台灣龍耀,9.45,9.34,11000,1210,1.18%
2026-07-04,5498,凱崴,61.0,69.61,188,-1619,-12.37%
2026-07-04,1301,台塑,62.1,50.5,100,1160,22.97%
2026-07-04,6498,久禾光,94.4,67.3,12,325,40.27%
2026-07-04,009821,野村稀土關鍵資源,14.22,17.3,12000,-36960,-17.80%
