股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2069.TW,2026-01-28,20.3,2026-01-29,20.55,2026-02-04,19.5,-5.11%,-0.05109485528371119,交易結束,2069.TW 運錩
2367.TW,2026-01-07,31.65,2026-01-08,32.0,2026-02-11,52.1,62.81%,0.6281249523156249,交易結束,2367.TW 燿華
2367.TW,2026-03-02,70.9,2026-03-03,74.0,2026-03-10,65.0,-12.16%,-0.12162162162162163,交易結束,2367.TW 燿華
2367.TW,2026-03-27,78.2,2026-03-30,77.5,2026-04-01,78.0,0.65%,0.0064516129032258064,交易結束,2367.TW 燿華
2485.TW,2026-01-15,36.55,2026-01-16,38.1,2026-02-10,40.9,7.35%,0.0734908966913324,交易結束,2485.TW 兆赫
2485.TW,2026-03-03,54.4,2026-03-04,54.0,2026-04-07,80.7,49.44%,0.4944443879296295,交易結束,2485.TW 兆赫
3049.TW,2026-01-07,7.19,2026-01-08,7.48,2026-01-12,6.98,-6.68%,-0.06684491961540936,交易結束,3049.TW 精金
3049.TW,2026-01-22,11.1,2026-01-23,12.15,2026-01-29,8.65,-28.81%,-0.28806585266642987,交易結束,3049.TW 精金
3049.TW,2026-03-05,13.5,2026-03-06,13.75,2026-03-16,12.85,-6.55%,-0.06545451770909097,交易結束,3049.TW 精金
3049.TW,2026-03-18,14.95,2026-03-19,14.95,2026-03-26,11.85,-20.74%,-0.207357823902551,交易結束,3049.TW 精金
3481.TW,2026-01-02,18.1,2026-01-05,18.8,2026-01-26,24.55,30.59%,0.3058510762411588,交易結束,3481.TW 群創
3481.TW,2026-03-12,32.95,2026-03-13,30.25,2026-03-17,27.9,-7.77%,-0.07768596302479336,交易結束,3481.TW 群創
3702.TW,2026-02-24,66.6,2026-02-25,67.0,2026-03-31,89.6,33.73%,0.3373134100611941,交易結束,3702.TW 大聯大
4956.TW,2026-02-03,24.15,2026-02-04,23.45,2026-02-23,24.5,4.48%,0.04477608541323344,交易結束,4956.TW 光鋐
4956.TW,2026-03-13,31.2,2026-03-16,33.35,2026-03-31,31.8,-4.65%,-0.046476740867132146,交易結束,4956.TW 光鋐
4956.TW,2026-04-14,41.8,2026-04-15,45.1,持股中,45.1,0.00%,0.0,續抱中,4956.TW 光鋐
