prev_eps,advice,om,status,symbol,eps_yoy,prev_rev_yoy,name,expansion,gm,prev_eps_yoy,pe,price,est_price,eps,rev_yoy,date,prev_year
5.5,⚪ 數據不足,N/A,🧐 疑業外收益,9949.TWO,544.54,-19.03,琉園,561.54,N/A,1270.21,0.0,0.0,0.0,5.29,-17.0,2025-12,2025
-0.38,⚪ 數據不足,N/A,🔄 轉虧為盈,6282.TW,550.0,-4.33,康舒,549.9,N/A,-90.0,0.0,62.4000015259,-13.950000000000003,0.18,0.1,2025-12,2025
0.49,⚠️ 追價風險,-66.51%,🧐 疑業外收益,2491.TW,457.5,-12.66,吉祥全,467.93,43.42%,179.03,131.47059047941164,22.3500003815,2.5500000000000025,1.43,-10.43,2025-12,2025
0.54,⚠️ 追價風險,-18.51%,🚀 利潤擴張,3297.TWO,461.54,18.74,杭特,440.95000000000005,30.70%,2600.0,24.876033373140498,30.1000003815,18.15,0.47,20.59,2025-12,2025
-0.58,⚪ 數據不足,4.44%,🔄 轉虧為盈,3555.TWO,752.94,310.97,博士旺,418.37000000000006,18.45%,7.84,0.0,242.5,-9.599999999999998,1.28,334.57,2025-12,2025
-0.11,⚠️ 追價風險,15.14%,🔄 轉虧為盈,2243.TW,408.33,-10.45,宏旭-KY,417.34999999999997,22.27%,38.89,26.70454545454546,23.5,13.199999999999998,1.22,-9.02,2025-12,2025
5.45,⚠️ 追價風險,18.24%,🚀 利潤擴張,3167.TW,474.47,119.15,大量,379.12,42.12%,790.16,47.18909710391822,831.0,264.15000000000003,8.13,95.35,2025-12,2025
0.43,💎 強力關注,0.23%,🧐 疑業外收益,1413.TW,364.71,-6.34,宏洲,374.26,2.52%,326.32,8.563636433000001,9.4200000763,16.499999999999996,0.45,-9.55,2025-12,2025
0.62,⚠️ 追價風險,7.74%,🚀 利潤擴張,4764.TW,377.27,6.23,雙鍵,371.81,23.49%,187.32,130.5019305019305,338.0,38.849999999999994,1.22,5.46,2025-12,2025
1.26,💎 強力關注,N/A,🚀 利潤擴張,5490.TWO,382.35,13.03,同亨,370.34000000000003,N/A,916.67,6.403508939232456,29.2000007629,68.4,1.69,12.01,2025-12,2025
0.02,💎 強力關注,N/A,🧐 疑業外收益,8940.TW,358.33,-10.3,新天地,364.75,N/A,103.23,5.96428598675,16.7000007629,42.0,0.55,-6.42,2025-12,2025
1.65,⚠️ 追價風險,-15.39%,🏰 高護城河,3219.TWO,406.67,43.11,倚強科,356.99,69.49%,179.66,22.512562430678397,89.5999984741,59.699999999999996,1.52,49.68,2025-12,2025
0.52,💎 強力關注,-2.70%,🚀 利潤擴張,2409.TW,327.5,-0.15,友達,327.09,10.73%,185.25,8.661417322834646,22.0,38.1,0.9,0.41,2025-12,2025
7.71,💎 強力關注,0.97%,🚀 利潤擴張,4439.TW,346.24,30.37,冠星-KY,316.98,15.60%,114.76,4.315004588727866,92.5999984741,321.90000000000003,7.73,29.26,2025-12,2025
-0.11,⚪ 數據不足,-12.67%,🔄 轉虧為盈,2399.TW,275.0,-14.04,映泰,289.09,8.40%,-222.22,0.0,50.5,-2.7000000000000006,0.15,-14.09,2025-12,2025
