代號,名稱,前日均價,報買價,報買量,報賣價,報賣量,日最高,日最低,日均價,成交,成交量,進度日期,上市櫃進度(註)
1260,富味鄉,24.05,23.75,3000,24.5,20000,24.95,23.80,24.08,23.80,97001,-,
1269,乾杯,70.80,67.5,1000,70.8,2489,70.80,67.50,68.17,67.50,2511,-,
1271,晨暉生技,61.94,61.3,6000,61.9,8000,61.90,61.20,61.52,61.70,54657,-,
1293,利統,28.00,27,2000,28,3000,28.25,27.00,27.05,28.25,12707,-,
1343,旭東環保,20.16,19.9,9999,20.5,2999,20.55,19.90,20.15,20.50,26856,-,
1480,東盟開發,9.31,9.06,4999,9.35,4999,9.35,9.06,9.21,9.35,2,-,
1594,日高,10.30,10.5,2000,10.9,4789,11.95,10.40,11.05,10.90,192588,-,
1780,立弘,35.48,33.1,2700,33.25,3000,36.25,31.90,33.27,33.10,413371,115/01/28,櫃買中心同意上櫃契約
2071,震南鐵,20.55,20.4,6000,21,4995,21.00,20.50,20.59,21.00,9305,-,
2237,華德動能,37.31,37.55,3000,38.05,3000,38.15,36.50,37.60,37.55,338684,115/03/09,證交所同意創新板上市契約
2245,詠勝昌*,27.15,26.6,3000,27.05,3000,26.75,26.55,26.64,26.65,31644,-,
2249,湧盛,125.14,120,1999,122.5,4564,123.50,120.00,121.84,120.00,67895,115/05/08,送件申請上櫃
2252,為昇科,18.41,17.65,10000,18,15000,18.65,17.60,17.81,17.95,188966,-,
2255,凱銳光電,19.93,19.2,1000,20,4600,20.10,19.20,19.32,20.00,10695,-,
2256,歐特明,89.97,86.4,3000,88.3,3000,95.70,82.00,87.17,88.00,687861,-,
2644,中信造船,78.98,78.5,3000,79,3000,79.80,78.00,78.92,79.00,67850,-,
2733,維格餅家,11.05,10.5,10000,11.05,9999,11.05,11.05,11.05,11.05,1,-,
2741,老四川,21.00,20.9,3000,21.5,2800,21.50,21.00,21.27,21.50,2219,-,
2758,路易莎咖啡,65.19,63.5,3000,66.5,5000,66.50,63.40,64.57,66.50,7132,-,
2760,巨宇翔,20.10,19.1,10000,20.1,6000,-,-,-,-,-,-,
2761,橘焱胡同,15.23,15.2,5000,15.7,5000,15.60,14.55,15.20,15.25,178222,-,
2938,床的世界,23.10,22.85,3000,23.25,3000,23.30,22.85,23.03,22.95,7468,115/04/29,送件申請上櫃
2940,歐都納,23.64,23.5,6000,24.25,3000,-,-,-,-,-,-,
2942,京站,38.05,38.2,2774,39.95,3000,38.25,37.25,38.14,38.20,39675,-,
3097,拍檔,25.74,26.1,3000,27.4,1000,27.40,25.80,26.45,27.40,64522,-,
3117,年程,29.00,28.3,3000,29.6,3000,31.30,26.00,29.28,29.20,533045,-,
3184,微邦,23.70,23.75,2950,24.4,3000,26.20,23.70,24.78,23.75,909295,-,
3473,智通聯網,92.99,90.9,3000,93,2999,93.80,91.00,91.73,93.00,19350,-,
3585,聯致,87.39,84.1,8000,85.2,5000,89.40,82.70,85.57,84.00,2454316,-,
3595,山太士,2843.66,2710,2000,2730,3083,2870.00,2695.00,2752.81,2725.00,451379,-,
3603,建祥國際,7.95,7.85,5000,8.25,5000,8.31,7.85,8.01,8.00,14411,-,
3633,云光,129.33,129,4000,130.5,7000,130.50,129.00,129.57,129.00,78580,-,
3659,百辰,23.03,21.9,3000,22.95,3000,22.95,21.90,22.28,21.90,11348,-,
