股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,65.50,842,65.50,37.20,---,強勢突破 (軌外),連4日大漲,無,股價衝破布林上軌 (59.21)，進入噴發段,強勢突破 (軌外)
7806,精華生醫,65.00,0,80.50,61.00,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6831,邁科,820.00,410,820.00,160.00,---,趨勢運行,隔二漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,28.62,3728,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.41%,均線糾擺
6153,嘉聯益,18.55,3948,20.65,10.50,---,貼軌運行 -> 均線糾擺,無,無,MA 乖離率僅 1.32%,均線糾擺
8261,富鼎,193.50,14428,193.50,75.30,---,強勢突破 (軌外),連3日大漲,無,股價衝破布林上軌 (177.16)，進入噴發段,強勢突破 (軌外)
6205,詮欣,83.00,2950,98.20,37.00,---,進入盤整,無,無,ADX 為 10.10 (低於 20),進入盤整
7595,世基生醫,9.40,12,13.60,9.03,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3479,安勤,134.00,2983,134.00,83.70,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (129.58)，進入噴發段,強勢突破 (軌外)
1789,神隆,19.05,587,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 1.05%,均線糾擺
3171,炎洲流通,70.50,24,72.50,38.22,---,貼軌運行 -> 均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
4721,美琪瑪,92.10,1207,97.80,57.22,---,均線糾擺,無,無,MA 乖離率僅 0.58%,均線糾擺
911608,明輝-DR,2.64,33,3.12,2.59,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.40%,均線糾擺
6924,榮惠-KY創,161.00,67,168.50,47.80,---,進入盤整,無,無,ADX 為 19.98 (低於 20),進入盤整
3044,健鼎,510.00,4575,529.00,189.44,---,均線糾擺,隔二漲,無,MA 乖離率僅 0.71%,均線糾擺
3011,今皓,13.05,1666,17.15,11.40,---,均線糾擺,無,無,MA 乖離率僅 1.14%,均線糾擺
00876,元大全球5G,90.60,364,90.60,33.63,---,貼軌運行,無,無,股價於高位貼軌 (90.60 > 1.5σ)，動能強勁,貼軌運行
00676,富邦臺灣加權反1,5.92,4925,13.03,5.89,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.93%,均線糾擺
4961,天鈺,174.50,1271,216.45,135.00,---,進入盤整,無,無,ADX 為 17.45 (低於 20),進入盤整
2012,春雨,14.65,96,20.22,14.20,---,均線糾擺,無,無,MA 乖離率僅 0.78%,均線糾擺
8114,振樺電,260.50,728,314.53,164.00,---,貼軌運行,無,無,股價於高位貼軌 (260.50 > 1.5σ)，動能強勁,貼軌運行
6638,沅聖,57.00,84,66.90,24.50,---,貼軌運行 -> 趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
8028,昇陽半導體,311.00,13532,311.50,128.00,📅 預告 (20260601),強勢突破 (軌外),無,無,股價衝破布林上軌 (310.30)，進入噴發段,強勢突破 (軌外)
6972,博瑞達應材,23.90,14,32.48,22.70,---,均線糾擺,無,無,MA 乖離率僅 0.03%,均線糾擺
6443,元晶,42.30,42000,52.30,11.95,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2748,雲品,39.20,85,50.68,38.45,---,均線糾擺,無,無,MA 乖離率僅 0.66%,均線糾擺
6525,捷敏-KY,134.00,4296,134.00,65.60,---,貼軌運行 -> 強勢突破 (軌外),連2日大漲,無,股價衝破布林上軌 (129.05)，進入噴發段,強勢突破 (軌外)
