代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00403A.TW,主動統一升級50,10.64,130829,0,25641,20260526,-11285001,651178,11936179,-0.1x,9.47%,▲ 順勢追意
00981A.TW,主動統一台股增長,31.49,98463,0,56949,20260526,-1025334,623086,1648420,-0.6x,14.55%,▲ 順勢追意
6770.TW,力積電,70.8,70137,27,1933,20260526,442661,1546802,1104141,3.5x,21.03%,▲ 順勢追意
2344.TW,華邦電,141.0,51442,-1191,1879,20260526,66748,1059033,992285,15.9x,20.00%,▲ 順勢追意
2312.TW,金寶,40.0,18945,-4063,1019,20260526,-9572,880225,889798,-92.0x,44.14%,▲ 順勢追意
5351.TWO,鈺創,82.2,-1211,0,1,20260526,-757194,5138,762333,-0.0x,7.03%,▲ 順勢追意
6282.TW,康舒,62.4,7423,0,1980,20260526,-155901,539986,695888,-3.5x,22.83%,▲ 順勢追意
2489.TW,瑞軒,51.7,1180,0,342,20260526,7315,595236,587921,81.4x,24.58%,▲ 順勢追意
1802.TW,台玻,72.2,36033,11,1418,20260526,-98457,439282,537739,-4.5x,10.57%,▲ 順勢追意
2324.TW,仁寶,33.6,21202,-24282,314,20260526,-43749,488394,532144,-11.2x,20.86%,▲ 順勢追意
00992A.TW,主動群益科技創新,18.92,29171,0,9072,20260526,-283409,239185,522595,-0.8x,12.96%,▲ 順勢追意
2303.TW,聯電,130.5,-30346,-24885,766,20260526,-197858,188595,386453,-1.0x,15.49%,▲ 順勢追意
1717.TW,長興,83.0,23654,540,143,20260526,-74265,254919,329185,-3.4x,11.41%,▲ 順勢追意
2337.TW,旺宏,160.5,9085,24,598,20260526,44029,361384,317354,8.2x,11.46%,▲ 順勢追意
2313.TW,華通,284.5,29085,119,2232,20260526,-77358,193500,270858,-2.5x,11.13%,▲ 順勢追意
2369.TW,菱生,37.7,10420,0,315,20260526,-8452,261069,269522,-30.9x,32.28%,▲ 順勢追意
2449.TW,京元電子,338.5,1265,-2870,256,20260526,-39812,226375,266188,-5.7x,17.13%,▲ 順勢追意
3236.TWO,千如,58.2,-58,0,4,20260526,-138199,116524,254724,-0.8x,44.42%,▲ 順勢追意
4927.TW,泰鼎-KY,61.2,6918,0,61,20260526,-14329,236427,250756,-16.5x,22.65%,▲ 順勢追意
2408.TW,南亞科,303.5,-310,-249,811,20260526,-204823,24817,229641,-0.1x,10.56%,▲ 順勢追意
00999A.TW,主動野村臺灣高息,10.66,15586,0,13304,20260526,29280,257891,228611,8.8x,6.28%,▲ 順勢追意
8358.TWO,金居,533.0,522,41,-129,20260526,-188240,18844,207085,-0.1x,24.24%,▲ 順勢追意
4916.TW,事欣科,100.5,666,-124,-177,20260526,30687,235598,204910,7.7x,22.86%,▲ 順勢追意
5425.TWO,台半,100.5,4904,0,1019,20260526,6941,201866,194925,29.1x,17.41%,▲ 順勢追意
00631L.TW,元大台灣50正2,34.4,9520,0,48755,20260526,-76062,114132,190195,-1.5x,14.93%,▲ 順勢追意
3211.TWO,順達,469.0,8955,-1600,215,20260526,-2099,171075,173175,-81.5x,30.64%,▲ 順勢追意
9105.TW,泰金寶-DR,8.16,328,0,5406,20260526,4177,167591,163414,40.1x,46.24%,▲ 順勢追意
3231.TW,緯創,146.0,11198,54,602,20260526,-42621,118678,161300,-2.8x,10.19%,▲ 順勢追意
3673.TW,TPK-KY,87.4,-823,0,42,20260526,-56114,98437,154552,-1.8x,15.92%,▲ 順勢追意
3305.TW,昇貿,163.5,4011,0,234,20260526,-92176,58490,150666,-0.6x,18.48%,▲ 順勢追意
00982A.TW,主動群益台灣強棒,24.06,15545,0,18201,20260526,53454,196157,142703,3.7x,13.22%,▲ 順勢追意
2399.TW,映泰,50.5,4636,-2,-544,20260526,-45455,94712,140168,-2.1x,17.44%,▲ 順勢追意
6265.TWO,方土昶,52.9,965,0,45,20260526,-21072,118556,139629,-5.6x,24.47%,▲ 順勢追意
4958.TW,臻鼎-KY,540.0,-6680,1551,-587,20260526,53378,189486,136108,3.5x,32.19%,▲ 順勢追意
3149.TW,正達,68.0,866,0,80,20260526,-9035,111136,120172,-12.3x,17.65%,▲ 順勢追意
0050.TW,元大台灣50,100.1,7809,85,16868,20260526,-74141,45599,119740,-0.6x,7.52%,▲ 順勢追意
3105.TWO,穩懋,562.0,-2520,663,1147,20260526,-93934,17067,111001,-0.2x,23.11%,▲ 順勢追意
1727.TW,中華化,97.0,3003,0,22,20260526,-52049,57712,109762,-1.1x,10.86%,▲ 順勢追意
5328.TWO,華容,35.3,-4336,0,-91,20260526,-44472,64184,108657,-1.4x,25.62%,▲ 順勢追意
2377.TW,微星,126.0,19984,2656,785,20260526,-77586,26725,104311,-0.3x,13.00%,▲ 順勢追意
00878.TW,國泰永續高股息,29.62,45651,0,29285,20260526,-53872,48959,102832,-0.9x,9.70%,▲ 順勢追意
1303.TW,南亞,90.8,-13197,-18,-98,20260526,-38308,61269,99577,-1.6x,11.14%,▲ 順勢追意
3221.TWO,台嘉碩,59.3,413,0,-2,20260526,-29924,65172,95097,-2.2x,31.19%,▲ 順勢追意
3715.TW,定穎投控,186.0,3976,0,71,20260526,-15375,77316,92691,-5.0x,12.73%,▲ 順勢追意
2484.TW,希華,56.0,64,0,115,20260526,-2052,80683,82736,-39.3x,38.96%,▲ 順勢追意
2603.TW,長榮,211.5,6895,5062,652,20260526,-19327,61850,81177,-3.2x,7.36%,▲ 順勢追意
3189.TW,景碩,696.0,-15,1159,-179,20260526,31883,112469,80586,3.5x,35.67%,▲ 順勢追意
4919.TW,新唐,211.0,159,2592,319,20260526,-9651,69041,78693,-7.2x,40.67%,▲ 順勢追意
3037.TW,欣興,1085.0,1775,-450,-134,20260526,-27958,42165,70124,-1.5x,32.64%,▲ 順勢追意
3706.TW,神達,87.4,2845,1837,4,20260526,-37490,32455,69946,-0.9x,8.30%,▲ 順勢追意
4931.TWO,新盛力,215.0,2374,0,-34,20260526,-15202,53879,69081,-3.5x,17.49%,▲ 順勢追意
5309.TWO,系統電,68.0,-87,0,128,20260526,6612,74131,67518,11.2x,5.10%,▲ 順勢追意
1605.TW,華新,37.15,12082,-12,1799,20260526,5263,71734,66471,13.6x,11.23%,▲ 順勢追意
4971.TWO,IET-KY,765.0,52,0,28,20260526,-65949,187,66137,-0.0x,18.60%,▲ 順勢追意
5388.TW,中磊,84.6,1721,0,-17,20260526,-52103,13463,65567,-0.3x,6.42%,▲ 順勢追意
3035.TW,智原,208.0,-1454,0,378,20260526,-35333,30222,65556,-0.9x,10.34%,▲ 順勢追意
2436.TW,偉詮電,79.6,4000,10,203,20260526,-5231,59646,64877,-11.4x,14.53%,▲ 順勢追意
2367.TW,燿華,66.7,22863,0,855,20260526,-32735,28519,61255,-0.9x,5.37%,▲ 順勢追意
00922.TW,國泰台灣領袖50,38.38,670,0,4311,20260526,-8436,51316,59753,-6.1x,9.53%,▲ 順勢追意
00980A.TW,主動野村臺灣優選,24.24,3203,0,2885,20260526,10963,70261,59297,6.4x,12.17%,▲ 順勢追意
8039.TW,台虹,155.5,-378,-89,-18,20260526,17397,75495,58098,4.3x,16.48%,▲ 順勢追意
00927.TW,群益半導體收益,39.46,5088,0,174,20260526,1755,59263,57507,33.8x,17.27%,▲ 順勢追意
0052.TW,富邦科技,59.25,8677,0,5977,20260526,-24330,32358,56689,-1.3x,8.12%,▲ 順勢追意
6456.TW,GIS-KY,82.0,-998,0,-186,20260526,184,56778,56593,307.3x,20.41%,▲ 順勢追意
4906.TW,正文,42.85,7546,0,562,20260526,5951,62536,56584,10.5x,12.76%,▲ 順勢追意
8110.TW,華東,55.1,2219,0,70,20260526,3917,59432,55515,15.2x,16.37%,▲ 順勢追意
00935.TW,野村臺灣新科技50,60.0,-8,0,-673,20260526,13096,67419,54322,5.1x,16.96%,▲ 順勢追意
00994A.TW,主動第一金台股優,18.6,2035,0,2565,20260526,-22798,30736,53534,-1.3x,14.32%,▲ 順勢追意
00929.TW,復華台灣科技優息,29.21,9214,0,14741,20260526,-829,51479,52308,-62.0x,16.37%,▲ 順勢追意
4973.TWO,廣穎,126.5,-456,0,41,20260526,-30401,20712,51113,-0.7x,15.00%,▲ 順勢追意
2495.TW,普安,46.05,1640,210,265,20260526,191,49007,48816,256.5x,28.81%,▲ 順勢追意
6244.TWO,茂迪,29.7,2238,0,479,20260526,-43892,863,44755,-0.0x,2.41%,▲ 順勢追意
2421.TW,建準,165.0,1974,947,185,20260526,-6125,37657,43782,-6.1x,13.79%,▲ 順勢追意
2406.TW,國碩,34.5,1033,0,0,20260526,-18895,24682,43577,-1.3x,9.18%,▲ 順勢追意
009816.TW,凱基台灣TOP50,14.76,10766,0,21612,20260526,-6862,36036,42898,-5.3x,10.07%,▲ 順勢追意
00961.TW,FT臺灣永續高息,11.84,3078,0,-753,20260526,-20850,21645,42496,-1.0x,8.62%,▲ 順勢追意
6257.TW,矽格,237.0,1780,-909,-273,20260526,486,42607,42121,87.6x,12.59%,▲ 順勢追意
00401A.TW,主動摩根台灣鑫收,13.58,3404,0,959,20260526,-11733,30132,41865,-2.6x,11.77%,▲ 順勢追意
8021.TW,尖點,464.5,2561,738,-250,20260526,-19015,22769,41785,-1.2x,18.49%,▲ 順勢追意
00891.TW,中信關鍵半導體,35.11,10188,0,5031,20260526,46035,85133,39097,1.8x,12.17%,▲ 順勢追意
6284.TWO,佳邦,117.5,-205,0,403,20260526,6767,45721,38953,6.8x,38.07%,▲ 順勢追意
2338.TW,光罩,55.4,3757,0,132,20260526,-2092,36631,38723,-17.5x,13.87%,▲ 順勢追意
4749.TWO,新應材,1140.0,232,2,-72,20260526,-31671,6070,37741,-0.2x,15.74%,▲ 順勢追意
4526.TW,東台,44.35,1086,0,22,20260526,8615,46075,37459,5.3x,18.58%,▲ 順勢追意
2498.TW,宏達電,44.35,3083,0,250,20260526,-37067,14,37081,-0.0x,-2.85%,★ 壓低偷買
6163.TWO,華電網,51.0,109,0,67,20260526,-32108,3144,35252,-0.1x,-0.20%,★ 壓低偷買
00987A.TW,主動台新優勢成長,18.12,1588,0,-834,20260526,-523,33097,33620,-63.2x,13.61%,▲ 順勢追意
2328.TW,廣宇,54.5,4151,167,920,20260526,-2960,29533,32494,-10.0x,7.71%,▲ 順勢追意
3062.TW,建漢,30.05,1493,0,525,20260526,-4252,27068,31321,-6.4x,9.07%,▲ 順勢追意
6664.TWO,群翊,466.5,-41,0,-4,20260526,-28919,2345,31265,-0.1x,15.47%,▲ 順勢追意
6104.TWO,創惟,101.5,584,0,-5,20260526,-21668,9224,30893,-0.4x,9.14%,▲ 順勢追意
00680L.TW,元大美債20正2,6.78,4812,0,9972,20260526,-5004,25621,30625,-5.1x,2.88%,▲ 順勢追意
00632R.TW,元大台灣50反1,10.72,1356,0,-19357,20260526,-10496,19654,30150,-1.9x,-8.06%,★ 壓低偷買
6271.TW,同欣電,260.5,-1525,0,-16,20260526,4652,34778,30125,7.5x,43.92%,▲ 順勢追意
5443.TWO,均豪,129.5,779,-426,189,20260526,-14116,15375,29492,-1.1x,8.37%,▲ 順勢追意
3289.TWO,宜特,172.5,-102,0,-89,20260526,-28799,225,29024,-0.0x,6.48%,▲ 順勢追意
2609.TW,陽明,52.0,16973,-27,742,20260526,-8770,19018,27789,-2.2x,5.05%,▲ 順勢追意
6215.TW,和椿,132.5,-869,0,-41,20260526,-10986,16677,27663,-1.5x,7.29%,▲ 順勢追意
3019.TW,亞光,153.5,2436,0,-240,20260526,-3290,23103,26393,-7.0x,2.68%,▲ 順勢追意
2485.TW,兆赫,74.6,6169,-4,490,20260526,25148,51520,26371,2.0x,3.04%,▲ 順勢追意
5483.TWO,中美晶,164.0,1668,-432,488,20260526,-5520,20811,26331,-3.8x,20.59%,▲ 順勢追意
00989A.TW,主動摩根美國科技,17.74,3099,0,-2775,20260526,-7144,18362,25506,-2.6x,5.22%,▲ 順勢追意
2404.TW,漢唐,1265.0,1473,-11,25,20260526,5757,31077,25320,5.4x,22.82%,▲ 順勢追意
6706.TW,惠特,197.0,-1297,0,-153,20260526,-8335,16917,25252,-2.0x,13.87%,▲ 順勢追意
6202.TW,盛群,61.5,269,146,18,20260526,-2120,22467,24588,-10.6x,17.59%,▲ 順勢追意
6290.TWO,良維,332.0,1412,0,356,20260526,-8648,15506,24154,-1.8x,23.19%,▲ 順勢追意
2359.TW,所羅門,144.0,808,0,190,20260526,-18091,5909,24000,-0.3x,6.67%,▲ 順勢追意
3709.TWO,鑫聯大投控,89.4,1017,0,-41,20260526,-10086,13872,23959,-1.4x,13.31%,▲ 順勢追意
6548.TWO,長科*,60.3,2069,0,553,20260526,152,23872,23719,156.5x,24.33%,▲ 順勢追意
00993A.TW,主動安聯台灣,13.65,1027,0,7406,20260526,3188,25896,22708,8.1x,12.16%,▲ 順勢追意
2329.TW,華泰,58.4,1112,38,-176,20260526,-16358,5654,22013,-0.3x,13.84%,▲ 順勢追意
2891.TW,中信金,57.6,10104,-2089,-1434,20260526,22836,44153,21316,1.9x,3.97%,▲ 順勢追意
4720.TW,德淵,24.8,-47,0,-8,20260526,-18795,2456,21251,-0.1x,-0.60%,★ 壓低偷買
6168.TW,宏齊,28.5,-3142,0,30,20260526,-958,19903,20861,-20.8x,10.47%,▲ 順勢追意
3376.TW,新日興,219.0,4985,0,454,20260526,16317,37115,20797,2.3x,7.09%,▲ 順勢追意
3537.TWO,堡達,69.1,1032,0,-156,20260526,1682,21995,20313,13.1x,31.37%,▲ 順勢追意
00981B.TWO,第一金優選非投債,9.09,-730,0,-13199,20260526,1245,21523,20278,17.3x,-0.55%,★ 壓低偷買
2464.TW,盟立,173.5,-1519,155,-35,20260526,-2032,18008,20040,-8.9x,28.52%,▲ 順勢追意
2061.TWO,風青,32.2,184,0,-41,20260526,-1319,18064,19383,-13.7x,48.39%,▲ 順勢追意
3265.TWO,台星科,191.5,276,-13,-33,20260526,-12285,6969,19255,-0.6x,11.99%,▲ 順勢追意
3059.TW,華晶科,42.45,266,0,102,20260526,-18919,150,19070,-0.0x,0.83%,▲ 順勢追意
3014.TW,聯陽,151.0,-478,2,14,20260526,-957,17846,18804,-18.6x,12.69%,▲ 順勢追意
2357.TW,華碩,699.0,1435,853,82,20260526,-15874,2616,18490,-0.2x,8.88%,▲ 順勢追意
3227.TWO,原相,236.0,341,7,-7,20260526,-12923,5390,18314,-0.4x,8.01%,▲ 順勢追意
6217.TWO,中探針,277.0,125,0,-66,20260526,-16418,1783,18201,-0.1x,4.33%,▲ 順勢追意
5498.TWO,凱崴,70.3,-289,0,-4,20260526,-9030,8994,18025,-1.0x,7.49%,▲ 順勢追意
1711.TW,永光,50.7,-595,0,-5,20260526,-11402,6580,17982,-0.6x,5.41%,▲ 順勢追意
2354.TW,鴻準,60.5,1551,-4,42,20260526,-16171,1681,17852,-0.1x,4.85%,▲ 順勢追意
2317.TW,鴻海,259.0,20815,-85,301,20260526,57187,74858,17670,1.3x,5.71%,▲ 順勢追意
6016.TWO,康和證,24.3,-829,0,0,20260526,-16202,456,16658,-0.0x,12.24%,▲ 順勢追意
6530.TWO,創威,117.5,163,0,0,20260526,-13733,2462,16196,-0.2x,15.76%,▲ 順勢追意
2305.TW,全友,20.8,2356,-1,51,20260526,98,16247,16149,165.8x,26.83%,▲ 順勢追意
2493.TW,揚博,163.5,401,0,49,20260526,-946,15160,16107,-16.0x,24.33%,▲ 順勢追意
2301.TW,光寶科,239.5,1125,-62,-5,20260526,-14444,1608,16053,-0.1x,15.98%,▲ 順勢追意
00947.TW,台新臺灣IC設計,37.79,1317,500,-1520,20260526,4396,20244,15847,4.6x,14.58%,▲ 順勢追意
