股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
2734.TWO,+3.86%,+10.00%,+10.00%,+2.72%,-2.87%,+4.73%,+1.69%,+2.78%,-1.95%,-5.07%
4527.TWO,+0.63%,+0.63%,+0.47%,+0.46%,+0.46%,+1.38%,-0.15%,+0.00%,-0.45%,-1.06%
4541.TWO,-2.90%,-0.72%,+2.29%,-1.06%,-0.12%,+9.89%,-0.76%,+1.64%,-3.23%,-4.00%
8450.TWO,+0.41%,+0.81%,-0.20%,+1.62%,+0.00%,+0.00%,-0.40%,+0.00%,-0.20%,-0.40%
6265.TWO,-1.45%,+1.47%,+0.97%,-0.96%,+1.45%,-0.48%,+0.96%,+0.00%,-0.47%,-0.95%
3206.TWO,+3.15%,+0.69%,-0.14%,-0.41%,-1.25%,+1.26%,+1.80%,+0.68%,-1.62%,+0.41%
5340.TWO,+2.05%,+2.96%,+7.01%,+1.07%,+4.99%,+4.86%,-1.74%,+0.00%,-0.79%,-2.67%
6879.TWO,+1.24%,+0.00%,-2.04%,+0.00%,-1.25%,+0.00%,+0.00%,+1.27%,+0.00%,-4.17%
2741.TWO,+4.87%,+0.80%,+3.02%,-0.77%,-0.16%,-1.56%,+1.58%,+4.36%,-2.39%,-2.14%
5302.TWO,-1.28%,+3.45%,+0.31%,-0.21%,+0.00%,-1.77%,+0.21%,+0.85%,-0.94%,+0.64%
8390.TWO,-1.58%,+2.76%,-2.57%,-1.15%,-1.16%,+2.82%,+0.11%,+0.68%,-0.34%,-1.02%
6535.TWO,+4.07%,+6.74%,-2.04%,+1.87%,+6.33%,+9.98%,+9.95%,+4.44%,-5.47%,+2.89%
5240.TWO,-1.03%,-2.09%,+6.76%,+6.33%,-1.57%,+3.82%,-0.92%,-0.93%,+4.69%,+2.09%
3672.TWO,-0.55%,+0.74%,+1.48%,+0.00%,-1.45%,+2.58%,+2.16%,-1.58%,-1.97%,+1.28%
5297.TWO,-1.12%,-2.27%,-1.74%,+2.07%,+1.74%,+0.85%,-1.13%,+0.00%,+0.57%,-2.27%
6720.TWO,+10.07%,+0.41%,-4.66%,+0.21%,-0.42%,+17.02%,+6.91%,+3.57%,-3.28%,-3.90%
8383.TWO,-0.48%,+0.12%,+1.20%,-0.12%,+0.60%,+0.12%,+0.12%,+0.00%,-1.06%,-1.43%
6895.TWO,-2.73%,-1.25%,+2.52%,-2.77%,-0.95%,-0.64%,+6.11%,-0.61%,+7.01%,+6.55%
4195.TWO,+0.71%,-1.41%,-0.24%,+0.72%,+0.24%,-0.95%,+0.24%,+0.24%,+6.43%,-1.79%
6651.TWO,-1.12%,+0.38%,+0.75%,+0.75%,+0.49%,+0.61%,+1.34%,-0.12%,-0.36%,-1.33%
6538.TWO,+1.43%,+3.29%,+0.45%,-0.90%,-2.28%,+0.47%,+0.00%,-0.93%,-2.82%,-0.97%
6228.TWO,-2.38%,+9.76%,-0.37%,-2.23%,-1.90%,-1.55%,+7.87%,-2.92%,-1.50%,-1.91%
7419.TWO,-4.59%,+3.85%,+0.93%,-3.67%,+4.76%,+5.00%,-0.43%,+0.00%,-3.48%,+3.60%
6275.TWO,-3.27%,+0.73%,+2.48%,+0.28%,-0.71%,+1.71%,+1.40%,-0.83%,+0.00%,-1.96%
6469.TWO,+1.64%,-0.67%,-0.14%,+1.22%,-1.07%,-0.95%,-0.68%,-1.92%,+2.38%,-0.96%
3659.TWO,-0.88%,+0.30%,+4.14%,+0.00%,-0.57%,-0.57%,+0.00%,+0.00%,+4.31%,+0.28%
5272.TWO,-2.20%,+1.69%,+0.74%,+0.73%,-0.73%,+1.65%,+0.72%,-0.72%,-1.98%,-0.92%
3631.TWO,-3.69%,+0.32%,+1.75%,-1.25%,-2.06%,+0.81%,+0.80%,-0.80%,-0.32%,+0.32%
