股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,+0.36%,-8.84%,+8.91%,+0.55%,-0.18%,-0.18%,+5.07%,+0.00%,+0.34%,+0.69%
8261.TW,-3.67%,-9.86%,+9.98%,+2.09%,-4.62%,-4.62%,+5.91%,+1.86%,+2.99%,-1.13%
6205.TW,+0.48%,-9.92%,+7.99%,+1.97%,-2.10%,-2.10%,+1.65%,-0.81%,+0.33%,+0.98%
1789.TW,-1.89%,+2.70%,-1.50%,+0.95%,-1.32%,-1.32%,-0.19%,-0.77%,-0.77%,+0.97%
911608.TW,+0.26%,-6.75%,+5.85%,+1.05%,-1.82%,-1.82%,-1.33%,+0.00%,-0.54%,+5.41%
3044.TW,+1.63%,+1.60%,+0.39%,-1.18%,+0.40%,+0.40%,+0.40%,+1.18%,+0.00%,-3.11%
3011.TW,-0.41%,-9.52%,+9.91%,+2.64%,-1.62%,-1.62%,+3.85%,+0.53%,+3.29%,+1.15%
00876.TW,+1.54%,+0.15%,+1.74%,-0.73%,+0.26%,+0.26%,+1.87%,-0.43%,+2.13%,-0.07%
00676R.TW,-1.02%,+2.56%,-5.75%,+0.80%,+0.53%,+0.53%,-2.09%,-0.53%,-1.34%,-0.27%
4961.TW,+0.43%,-9.27%,+9.98%,+9.94%,-1.77%,-1.77%,+0.40%,+9.96%,+9.96%,+1.15%
2012.TW,-1.45%,-9.05%,+9.95%,+9.89%,-4.02%,-4.02%,+3.39%,+0.77%,-3.07%,+1.19%
8114.TW,+2.51%,-2.74%,+1.93%,+0.87%,-0.14%,-0.14%,+2.16%,+0.00%,-1.13%,-0.29%
8028.TW,-1.64%,-9.52%,+10.00%,+3.11%,-1.74%,-1.74%,+3.54%,+1.14%,+2.59%,+0.22%
6443.TW,+3.92%,-9.91%,+9.25%,+4.31%,-6.58%,-6.58%,+1.15%,+2.76%,+2.37%,+0.00%
2748.TW,+0.39%,-5.39%,+3.39%,+0.00%,+0.00%,+0.00%,+2.36%,-0.77%,+1.42%,+0.38%
6525.TW,+3.69%,-4.92%,+5.90%,-0.41%,-1.77%,-1.77%,+2.08%,+2.31%,+1.06%,-1.58%
1802.TW,-9.89%,-9.93%,+9.86%,+3.87%,-5.76%,-5.76%,+6.65%,-0.34%,+3.05%,-0.16%
9938.TW,+0.11%,-6.44%,+6.89%,-0.78%,+0.56%,+0.56%,+2.00%,+3.82%,-1.05%,+0.74%
00635U.TW,+0.25%,+1.72%,+0.80%,-0.12%,+0.44%,+0.44%,+0.00%,+0.52%,-0.43%,+1.43%
2408.TW,-1.75%,-1.78%,+7.11%,-2.21%,+0.13%,+0.13%,+1.46%,+0.39%,+2.87%,-1.27%
2504.TW,+0.22%,-9.52%,+9.57%,+0.22%,-1.74%,-1.74%,+5.99%,+0.63%,+3.95%,+1.80%
5546.TW,-0.27%,-0.95%,+0.27%,+0.27%,+1.36%,+1.36%,+2.82%,-0.26%,-0.39%,+3.82%
2395.TW,+4.01%,-0.62%,+1.55%,-1.53%,+0.00%,+0.00%,-1.09%,+0.31%,+0.94%,+0.77%
3050.TW,-2.46%,-9.39%,+9.96%,+5.43%,-1.72%,-1.72%,+4.55%,+2.34%,+0.98%,+0.32%
6591.TW,-1.91%,-8.62%,+8.90%,-0.33%,-1.64%,-1.64%,+3.00%,+0.49%,+2.42%,+1.26%
6176.TW,+0.00%,-5.17%,+5.45%,+0.43%,-0.43%,-0.43%,+0.43%,-0.43%,+1.29%,+0.00%
00757.TW,+0.53%,+1.36%,+0.78%,-1.83%,+0.62%,+0.62%,+2.73%,-0.49%,+2.11%,+0.35%
2101.TW,+0.81%,-6.17%,+5.43%,-0.27%,-0.54%,-0.54%,+1.37%,+3.50%,+0.39%,-0.26%
1612.TW,+1.57%,-9.93%,+9.80%,+4.91%,-3.40%,-3.40%,+2.42%,+0.86%,+1.28%,+1.68%
00685L.TW,+1.70%,-5.03%,+10.32%,-0.14%,-1.52%,-1.52%,+3.09%,+1.39%,+3.75%,+0.00%
6446.TW,-0.91%,-2.37%,+3.77%,+10.00%,+4.72%,+4.72%,-5.19%,-2.50%,-1.46%,+9.90%
2374.TW,+0.67%,-8.64%,+6.55%,-0.68%,-1.72%,-1.72%,+2.45%,+1.37%,+0.00%,+1.35%
1443.TW,-1.28%,+3.45%,+1.67%,-1.23%,+1.24%,+1.24%,+0.41%,-2.04%,+2.08%,+0.00%
2025.TW,+0.65%,-9.35%,+9.96%,+9.71%,+9.73%,+9.73%,+3.49%,-1.30%,-8.16%,+2.29%
6141.TW,+0.00%,-9.11%,+9.81%,+1.94%,-2.48%,-2.48%,+2.34%,+1.91%,+3.56%,-1.27%
5243.TW,-3.36%,-4.20%,+7.82%,-0.35%,-0.89%,-0.89%,+4.30%,+2.58%,+1.84%,-2.30%
2303.TW,-1.58%,-6.09%,+9.90%,+0.00%,-3.73%,-3.73%,+0.97%,+3.73%,+6.57%,-1.16%
4968.TW,+1.98%,+2.17%,+3.69%,-3.02%,+2.33%,+2.33%,+0.43%,+3.46%,+4.18%,+2.91%
2417.TW,+4.51%,+9.99%,-0.93%,-2.71%,-5.89%,-5.89%,+0.00%,-0.23%,-1.82%,+1.74%
2402.TW,-0.95%,-7.96%,+9.34%,+1.27%,-2.19%,-2.19%,+3.19%,+1.24%,+2.45%,+1.49%
2351.TW,+8.47%,-8.54%,+10.00%,-0.73%,-1.95%,-1.95%,+3.11%,+8.57%,+0.11%,-1.78%
2420.TW,+0.56%,-2.64%,+3.29%,-0.14%,-0.55%,-0.55%,+0.84%,-0.14%,+0.69%,+0.00%
911622.TW,+4.89%,-10.00%,+6.39%,-2.72%,-4.85%,-4.85%,+0.00%,-4.64%,-2.76%,+0.17%
8222.TW,+0.00%,-6.02%,+5.56%,-2.83%,-2.50%,-2.50%,+5.13%,+0.81%,+0.81%,+0.00%
2497.TW,+1.07%,-9.84%,+9.94%,+2.66%,-3.63%,-3.63%,+1.43%,+4.77%,-1.69%,+0.51%
2059.TW,+2.73%,-3.72%,+5.94%,-0.26%,-0.52%,-0.52%,+0.66%,+1.83%,+0.13%,-0.26%
3030.TW,-0.53%,-5.72%,+4.93%,+1.27%,-0.71%,-0.71%,+0.90%,+0.53%,+0.53%,-0.18%
1786.TW,+0.20%,-6.89%,+5.71%,-0.60%,+0.00%,+0.00%,+2.01%,-0.39%,+0.20%,-0.40%
9802.TW,+1.97%,-8.79%,+9.64%,+5.31%,+0.00%,+0.00%,+1.83%,+6.31%,-0.85%,+3.85%
3022.TW,+0.21%,-5.80%,+7.05%,+0.42%,-0.73%,-0.73%,+1.47%,+1.45%,+1.53%,+0.20%
5906.TW,-0.22%,-6.74%,+3.37%,+1.17%,+0.00%,+0.00%,+1.15%,-2.28%,+0.70%,-2.08%
00641R.TW,-2.13%,+0.45%,-1.90%,+1.20%,-0.18%,-0.18%,-0.46%,-0.46%,-0.37%,-0.18%
2412.TW,+2.25%,-0.88%,+0.89%,-0.88%,+0.89%,+0.89%,+0.88%,-1.31%,+0.88%,-0.88%
2428.TW,+1.99%,-7.14%,+9.09%,-2.56%,-1.97%,-1.97%,+2.35%,+2.95%,+2.23%,-1.56%
4536.TW,+3.57%,-4.08%,+1.96%,-1.28%,+0.00%,+0.00%,+4.55%,+0.31%,-0.31%,-0.31%
2901.TW,-3.11%,-3.55%,+2.28%,-1.72%,+0.00%,+0.00%,+2.44%,-0.17%,-0.68%,-2.06%
3231.TW,-0.51%,-5.58%,+2.87%,+1.57%,+0.17%,+0.17%,-0.34%,+0.69%,+0.85%,+0.51%
2464.TW,+0.73%,-5.78%,+7.42%,-0.83%,-1.20%,-1.20%,+0.73%,+1.33%,+1.19%,+0.35%
2884.TW,+0.79%,-2.35%,+2.61%,-0.78%,-0.59%,-0.59%,+0.79%,-0.79%,+0.59%,+0.59%
2007.TW,-9.77%,-9.75%,+6.80%,+6.74%,-9.12%,-9.12%,+2.70%,-1.13%,-3.04%,+1.57%
6116.TW,+1.13%,-9.19%,+9.82%,+9.78%,-4.33%,-4.33%,+2.13%,+2.60%,+5.58%,-2.88%
2453.TW,+0.21%,-9.75%,+9.43%,+2.52%,-0.82%,-0.82%,+1.65%,+2.03%,+0.00%,+2.19%
