股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6153.TW,-1.53%,+3.63%,+0.50%,-1.74%,+3.04%,+0.25%,-1.23%,-0.74%,-1.00%,-0.51%
8261.TW,-1.46%,-0.21%,-0.85%,-1.50%,+3.49%,+0.00%,+0.63%,-1.05%,+0.85%,+0.42%
6205.TW,+1.65%,-0.50%,-1.63%,-0.13%,-0.77%,+0.90%,-1.91%,-0.26%,-0.65%,+0.39%
1789.TW,+3.94%,-0.61%,+0.86%,-0.85%,+0.86%,-0.24%,+0.37%,+0.24%,+0.36%,+0.24%
911608.TW,+8.52%,+0.00%,+0.00%,-1.65%,+0.00%,-2.52%,+0.00%,-7.33%,+2.33%,-0.91%
3044.TW,-1.42%,+2.22%,-1.20%,-1.10%,-1.11%,+1.12%,-0.44%,-0.11%,+7.49%,-6.56%
3011.TW,-0.14%,+0.41%,-0.95%,-1.10%,-0.14%,+0.55%,+0.69%,+0.68%,+9.93%,+2.10%
00676R.TW,-0.44%,-0.33%,+0.33%,+0.33%,+0.11%,-0.33%,-0.11%,-0.33%,-0.89%,+0.22%
4961.TW,-1.35%,-3.62%,-1.59%,-2.91%,+5.37%,+1.48%,+0.76%,-0.24%,+0.69%,+1.03%
2012.TW,+0.00%,-0.36%,+0.00%,+0.36%,+0.36%,+0.00%,+0.00%,+0.72%,-0.36%,-0.36%
8114.TW,-0.62%,+0.00%,+0.62%,+0.31%,-0.62%,+0.00%,+2.48%,+0.91%,+0.60%,+0.60%
8028.TW,+4.42%,+0.96%,+4.42%,-0.60%,+0.33%,-0.67%,-1.77%,+1.80%,+0.98%,+1.12%
6443.TW,+1.89%,+0.00%,+2.78%,+0.45%,+1.35%,-0.88%,-2.68%,-1.38%,-0.47%,-0.93%
2748.TW,+0.35%,+2.11%,+0.52%,+0.34%,+2.21%,+2.50%,-1.63%,+3.47%,+0.48%,+0.16%
6525.TW,-0.52%,+1.22%,-0.34%,+0.17%,+1.72%,+6.61%,-1.27%,-0.97%,+0.81%,+0.00%
1802.TW,-2.03%,+0.69%,-1.37%,-1.74%,-2.13%,-1.81%,+3.32%,+0.00%,+1.07%,+0.35%
9938.TW,+0.00%,-3.14%,+0.51%,-0.70%,+0.10%,-0.10%,+0.51%,+0.81%,-0.30%,+0.20%
00635U.TW,+0.31%,+0.10%,+0.77%,+1.12%,-0.70%,+0.15%,+0.76%,-0.80%,+0.51%,-0.10%
2408.TW,+5.10%,-2.99%,-1.35%,-1.36%,+0.00%,-0.59%,+0.40%,+0.79%,+0.00%,-0.39%
2504.TW,+2.40%,+0.67%,+1.55%,-0.33%,+0.11%,+0.11%,-0.11%,+0.11%,+0.44%,+1.53%
2395.TW,+0.41%,+0.21%,+0.82%,-1.83%,-0.21%,-0.21%,+0.42%,+0.62%,+0.82%,+0.20%
3050.TW,+4.01%,-0.86%,+1.08%,-0.21%,+0.54%,-0.21%,-0.11%,+0.00%,+0.32%,+0.32%
6591.TW,-0.38%,+3.61%,+0.10%,-1.55%,-0.79%,-0.41%,-0.10%,-0.18%,-0.01%,+0.30%
6176.TW,+0.77%,-1.83%,+0.00%,-0.47%,+0.94%,-0.62%,+1.56%,+0.00%,+0.15%,+0.00%
2101.TW,+0.00%,+0.35%,-0.53%,-1.79%,+0.55%,+0.00%,-0.18%,+0.72%,+0.00%,+0.72%
1612.TW,+0.97%,+0.00%,+0.11%,+0.43%,-0.21%,+0.21%,+0.32%,+2.65%,+1.13%,+0.31%
00685L.TW,+0.98%,+0.00%,-0.49%,-0.68%,-0.20%,+0.79%,+0.49%,+0.39%,+1.55%,-0.38%
6446.TW,+2.42%,+0.68%,-2.35%,-0.69%,-0.35%,+0.35%,-0.69%,+3.48%,-1.01%,-1.02%
2374.TW,-3.26%,-1.81%,+2.11%,-1.55%,+0.52%,+1.04%,-1.29%,+0.26%,+0.26%,-0.26%
1443.TW,+3.99%,-2.56%,-1.15%,+0.83%,-1.98%,+0.17%,+1.01%,-2.16%,+1.87%,-2.17%
2025.TW,+0.00%,-2.58%,+2.32%,-2.27%,-0.66%,+0.00%,+1.00%,+1.98%,+0.65%,-0.96%
6141.TW,-1.58%,-1.07%,-3.24%,-0.28%,+0.84%,-1.11%,+1.97%,+0.55%,-0.82%,-2.49%
5243.TW,-0.99%,-0.55%,-0.78%,-1.24%,+1.14%,-0.34%,+2.15%,+2.99%,+0.00%,-1.07%
2303.TW,-0.41%,-0.82%,+0.41%,+0.41%,-0.41%,+0.41%,+0.82%,+0.00%,+0.40%,+0.40%
4968.TW,-2.70%,+3.17%,+1.15%,-3.42%,-3.15%,-2.85%,+2.51%,+0.00%,+0.00%,-6.12%
2417.TW,-0.99%,+0.50%,-0.50%,-0.40%,+2.41%,-0.49%,-0.49%,+1.98%,-1.46%,+0.99%
2402.TW,-0.83%,-2.79%,+2.87%,+1.68%,-1.10%,-1.67%,+3.11%,-0.82%,+3.31%,-1.60%
2351.TW,-0.75%,-2.28%,+0.97%,-1.73%,+4.50%,+2.06%,-0.55%,-0.92%,+0.00%,+1.49%
2420.TW,-1.53%,+1.13%,-0.56%,-0.14%,+0.42%,+0.84%,+0.56%,+0.14%,+1.66%,-0.54%
911622.TW,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
8222.TW,-0.42%,-0.64%,+0.86%,+0.00%,-0.85%,-1.72%,+1.75%,+2.15%,-1.05%,-0.21%
2497.TW,+0.62%,-0.93%,+0.94%,-0.93%,+0.31%,+0.31%,+2.34%,-0.91%,+2.46%,+0.00%
2059.TW,-0.46%,-1.40%,+1.65%,+0.23%,-0.46%,-0.70%,+1.05%,+3.13%,-2.02%,+0.69%
3030.TW,-0.38%,+0.00%,+0.00%,-0.38%,+0.39%,+0.00%,+0.64%,+0.76%,+0.13%,+0.25%
1786.TW,+2.93%,-1.09%,-1.11%,-1.57%,-3.18%,-3.17%,+0.36%,-2.17%,+0.49%,-0.86%
9802.TW,+1.48%,-0.61%,+1.59%,+0.00%,-0.36%,-3.14%,+0.50%,+2.23%,-0.97%,+0.12%
3022.TW,+0.64%,-1.05%,-1.28%,+0.65%,+0.75%,+0.21%,-0.11%,+0.32%,+0.53%,+0.42%
5906.TW,+0.00%,+3.98%,+3.28%,-9.52%,+0.00%,+0.19%,-2.53%,+1.80%,+0.59%,-1.36%
00641R.TW,+0.00%,-0.41%,+0.41%,+1.06%,-0.47%,-0.35%,-0.06%,-0.47%,-0.47%,+0.59%
2412.TW,+0.47%,+0.00%,+0.00%,+0.00%,-0.47%,+0.47%,+0.00%,+0.00%,+0.94%,+0.00%
2428.TW,+9.70%,+2.71%,-3.33%,+1.90%,+2.33%,-1.48%,-0.58%,-0.58%,+0.47%,-0.47%
4536.TW,-0.95%,-0.48%,+0.00%,+0.97%,+0.96%,-1.42%,+0.48%,+0.48%,+0.48%,-0.95%
2901.TW,-0.84%,+0.21%,-0.21%,-0.42%,+0.85%,+0.00%,-0.21%,-0.21%,+0.42%,+0.21%
3231.TW,+0.18%,+0.36%,-1.43%,-0.73%,+0.00%,+0.00%,-1.65%,+2.98%,+0.54%,-0.18%
2464.TW,+0.80%,+0.00%,-0.13%,+0.13%,-0.26%,-0.66%,+1.06%,+0.53%,+0.65%,+0.52%
2884.TW,+0.00%,+0.27%,+1.08%,+0.00%,-0.27%,+0.00%,+0.27%,-0.27%,+0.27%,+0.27%
2007.TW,+0.45%,+0.44%,-0.88%,-0.22%,+1.34%,-0.22%,+0.66%,+9.89%,+3.80%,-3.66%
6116.TW,+0.78%,+1.15%,+0.13%,-0.38%,+0.76%,-1.01%,+0.00%,-0.13%,-1.15%,-0.13%
2453.TW,+2.81%,+0.39%,-0.78%,+3.14%,-1.52%,-1.16%,+0.78%,+0.39%,+0.00%,+0.39%
9958.TW,+0.74%,-0.74%,-0.64%,+0.32%,+0.21%,+0.53%,-0.21%,-0.74%,-0.53%,+0.86%
