日期,代號,名稱,最新價格,成本,股數,損益,報酬率
2026-05-16,2317,鴻海,248.5,241.21,2000,14580,3.02%
2026-05-16,4142,國光生,17.2,25.32,1000,-8120,-32.07%
2026-05-16,0050,元大台灣50,96.05,46.6,16016,791991,106.12%
2026-05-16,0056,元大高股息,45.15,36.43,8000,69760,23.94%
2026-05-16,00635U,期元大S&P黃金,49.22,55.25,3000,-18090,-10.91%
2026-05-16,00738U,期元大道瓊白銀,70.35,66.26,1000,4090,6.17%
2026-05-16,00929,復華台灣科技優息,26.1,19.73,8000,50960,32.29%
2026-05-16,009816,凱基台灣TOP50,13.74,11.01,63000,171990,24.80%
2026-05-16,00990A,主動元大AI新經濟,17.67,11.48,5000,30950,53.92%
2026-05-16,2009,第一銅,38.85,50.56,4000,-46840,-23.16%
2026-05-16,2337,旺宏,162.5,95.28,2000,134440,70.55%
2026-05-16,2409,友達,19.05,16.21,2000,5680,17.52%
2026-05-16,3481,群創,36.1,25.1,4000,44000,43.82%
2026-05-16,6806,森崴能源,15.6,45.39,5000,-148950,-65.63%
2026-05-16,3105,穩懋,458.5,556.47,300,-29391,-17.61%
2026-05-16,4966,譜瑞-KY,800.0,1921.64,1000,-1121640,-58.37%
2026-05-16,00403A,主動統一升級50,10.0,10.68,26026,-17698,-6.37%
2026-05-16,00981A,主動統一台股增長,28.42,27.48,2000,1880,3.42%
2026-05-16,2313,華通,235.5,250.71,1000,-15210,-6.07%
2026-05-16,2330,台積電,2265.0,225.55,10,20394,904.21%
2026-05-16,6789,采鈺,587.0,593.5,400,-2600,-1.10%
2026-05-16,5474,聰泰,164.0,175.15,2000,-22300,-6.37%
2026-05-16,6849,奇鼎科技,228.5,266.4,280,-10612,-14.23%
2026-05-16,7853,政美應用,333.0,409.29,280,-21361,-18.64%
