expansion,est_price,price,date,prev_rev_yoy,prev_eps,status,om,rev_yoy,prev_eps_yoy,advice,prev_year,name,eps_yoy,eps,pe,gm,symbol
487.52,52.05,120.5,2026-03,20.92,1.58,🚀 利潤擴張,N/A,43.25,222.58,⚠️ 追價風險,2025,GOGOLOOK,530.77,1.64,34.726224783861674,N/A,6902.TW
484.25,-7.499999999999999,16.5,2026-03,5.06,-0.16,🔄 轉虧為盈,N/A,335.75,74.6,⚪ 數據不足,2025,鑫永洋,820.0,0.46,0.0,N/A,6241.TWO
472.41999999999996,8.850000000000001,20.1000003815,2026-03,-6.1,0.31,🚀 利潤擴張,N/A,727.58,-42.59,⚠️ 追價風險,2025,綠電,1200.0,0.22,34.067797256779656,N/A,8440.TWO
444.74,0.0,91.4000015259,2026-03,-41.11,2.72,🧐 疑業外收益,-0.34%,-25.82,-1.45,⚪ 數據不足,2025,富田-創,418.92,1.21,0.0,30.54%,4590.TW
412.3,17.400000000000002,39.5999984741,2026-03,11.66,0.49,🚀 利潤擴張,11.05%,187.7,-34.67,⚠️ 追價風險,2025,麗正,600.0,0.25,34.13792971905172,36.04%,2302.TW
390.63,40.8,155.5,2026-03,9.55,0.88,🚀 利潤擴張,15.37%,646.87,576.92,⚠️ 追價風險,2025,華邦電,1037.5,2.25,57.169117647058826,41.86%,2344.TW
381.05,0.0,35.8499984741,2026-03,28.36,1.44,🚀 利潤擴張,N/A,6.45,5.88,⚪ 數據不足,2025,宏�砦C戲-創,387.5,0.41,0.0,N/A,6908.TW
356.01,81.60000000000001,83.0,2026-03,-15.3,2.19,🚀 利潤擴張,N/A,359.78,-49.65,✅ 穩健價值,2025,應廣,715.79,1.59,15.25735294117647,N/A,6716.TWO
342.59000000000003,19.499999999999996,30.0,2026-03,9.95,0.73,🚀 利潤擴張,N/A,37.41,207.35,⚠️ 追價風險,2025,寶碩,380.0,0.24,23.07692307692308,N/A,5210.TWO
339.47,-8.4,43.2999992371,2026-03,25.85,-0.2,🔄 轉虧為盈,N/A,750.53,90.52,⚪ 數據不足,2025,鈺鎧,1090.0,0.99,0.0,N/A,5228.TWO
338.21999999999997,92.55,69.4000015259,2026-03,5.96,2.35,🚀 利潤擴張,N/A,179.43,1.73,💎 強力關注,2025,亞洲藏壽司,517.65,1.42,11.247974315380874,N/A,2754.TWO
312.59000000000003,26.4,125.5,2026-03,-3.75,0.92,🚀 利潤擴張,14.30%,237.41,170.59,⚠️ 追價風險,2025,旭然,550.0,0.13,71.30681818181819,42.07%,4556.TWO
306.68,25.95,26.2000007629,2026-03,-5.82,0.57,🚀 利潤擴張,7.94%,343.32,-29.63,✅ 穩健價值,2025,協禧,650.0,0.15,15.14450911150289,30.11%,3071.TWO
293.43999999999994,2097.2999999999997,1855.0,2026-03,23.29,41.98,🚀 利潤擴張,N/A,849.86,3.78,✅ 穩健價值,2025,群聯,1143.3,68.8,13.267057645544272,N/A,8299.TWO
276.36999999999995,-2.2499999999999996,34.0499992371,2026-03,-14.91,-0.43,🔄 轉虧為盈,N/A,270.3,-150.59,⚪ 數據不足,2025,慧智,546.67,0.67,0.0,N/A,6615.TWO
268.97,-9.150000000000002,48.5,2026-03,0.1,0.18,🚀 利潤擴張,N/A,371.03,550.0,⚪ 數據不足,2025,康舒,640.0,0.27,0.0,N/A,6282.TW
258.58,-20.1,22.9500007629,2026-03,5.03,-0.76,🔄 轉虧為盈,N/A,186.87,55.83,⚪ 數據不足,2025,三貝德,445.45,0.38,0.0,N/A,8489.TWO
228.27999999999997,120.3,107.0,2026-03,0.89,1.77,🚀 利潤擴張,8.07%,473.51,8050.0,✅ 穩健價值,2025,事欣科,701.79,4.49,13.341645885286784,18.73%,4916.TW
226.35000000000002,44.1,15.8999996185,2026-03,-3.15,0.88,🚀 利潤擴張,N/A,292.4,-66.67,💎 強力關注,2025,銘旺實,518.75,2.97,5.408163135544218,N/A,4432.TWO
