====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260721 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.43      | 💥 賣出           |       +7.96% |     13 |    56.86% | [P:0.48] RSI:31.87|MACD:-0.30|KD_Diff:2.63|BIAS_20:-5.94
00401A.TW    | 主動摩根台灣鑫收   | 12.86      | 🟢 持股           |      +11.09% |      9 |    58.00% | [P:0.66] RSI:36.74|MACD:-0.17|KD_Diff:1.85|BIAS_20:-3.54
00402A.TW    | 主動安聯美國科技   | 9.59       | 🟢 持股           |       +0.00% |      1 |    58.33% | [P:0.63] [⚠️降級預設] RSI:35.06|MACD:-0.07|KD_Diff:-5.93|D_Value:33.27
00403A.TW    | 主動統一升級50   | 9.75       | 🟢 持股           |       +6.59% |      3 |    55.26% | [P:0.65] [⚠️降級預設] RSI:27.27|MACD:-0.24|KD_Diff:1.03|D_Value:23.15
00404A.TW    | 主動聯博動能50   | 9.41       | 🟢 持股           |       -0.10% |      3 |    50.00% | [P:0.63] [⚠️降級預設] RSI:29.21|MACD:-0.17|KD_Diff:1.75|D_Value:24.51
00405A.TW    | 主動富邦台灣龍耀   | 8.00       | 🟢 持股           |       +0.00% |      1 |    25.00% | [P:0.62] [⚠️降級預設] RSI:29.86|MACD:-0.37|KD_Diff:1.72|D_Value:22.98
0050.TW      | 元大台灣50     | 102.50     | 💥 賣出           |      +30.27% |     33 |    48.72% | [P:0.32] Vol_Ratio:0.46|BIAS_20:-2.99|MA_Slope:-0.36|BB_Upper:8.38
0052.TW      | 富邦科技       | 60.30      | ❄️ 空倉          |      +32.87% |     18 |    51.06% | [P:0.45] MACD:-0.27|D_Value:31.01|Vol_Ratio:0.91|BB_Upper:8.67
0056.TW      | 元大高股息      | 49.55      | ❄️ 空倉          |      +16.53% |     24 |    51.42% | [P:0.45] KD_Diff:-8.68|Vol_Ratio:0.63|BB_Upper:9.65|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.82      | 🟢 持股           |      +11.03% |      9 |    51.75% | [P:0.53] [⚠️降級預設] RSI:38.76|MACD:-0.12|KD_Diff:3.42|D_Value:34.88
006201.TWO   | 元大富櫃50     | 41.69      | 💥 賣出           |      +59.50% |     41 |    50.10% | [P:0.39] Vol_Ratio:0.85|MA_Slope:-0.81|BB_Upper:22.91|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 185.95     | ❄️ 空倉          |      +19.47% |     46 |    51.05% | [P:0.50] KD_Diff:0.17|D_Value:32.08|Vol_Ratio:0.40|MA_Bull:0.00
006205.TW    | 富邦上証       | 40.83      | 🟢 持股           |       +2.34% |     11 |    51.91% | [P:0.52] [⚠️降級預設] RSI:40.86|MACD:-0.16|KD_Diff:4.62|D_Value:33.71
006208.TW    | 富邦台50      | 234.55     | 💥 賣出           |      +28.57% |     17 |    50.13% | [P:0.47] MACD:-1.63|D_Value:27.71|Vol_Ratio:0.62|BIAS_20:-3.74
00631L.TW    | 元大台灣50正2   | 34.34      | 🟢 持股           |      +10.24% |     17 |    50.19% | [P:0.55] KD_Diff:-0.75|BIAS_20:-6.63|MA_Slope:-0.79|BB_Upper:19.00
00632R.TW    | 元大台灣50反1   | 10.48      | 🚀 買進           |       +4.08% |      8 |    57.13% | [P:0.53] MACD:0.03|D_Value:69.58|BIAS_20:2.66|MA_Slope:0.32
00633L.TW    | 富邦上証正2     | 50.05      | ❄️ 空倉          |       +3.99% |     22 |    49.38% | [P:0.47] MACD:-0.77|KD_Diff:4.50|MA_Slope:-0.28|BB_Upper:7.24
00634R.TW    | 富邦上証反1     | 3.10       | 💥 賣出           |       -7.21% |     21 |    52.64% | [P:0.45] KD_Diff:-5.99|D_Value:58.77|Vol_Ratio:0.51|MA_Slope:0.13
00635U.TW    | 期元大S&P黃金   | 42.26      | 🟢 持股           |      +29.06% |     27 |    51.68% | [P:0.52] MACD:-0.76|D_Value:28.76|Vol_Ratio:0.71|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 20.90      | 🚀 買進           |       +2.35% |     18 |    50.00% | [P:0.55] MACD:-0.28|KD_Diff:5.05|BIAS_20:0.18|BB_Upper:6.53
00638R.TW    | 元大滬深300反1  | 6.63       | ❄️ 空倉          |       -3.54% |      8 |    53.08% | [P:0.44] RSI:53.96|MACD:0.04|KD_Diff:-6.93|D_Value:53.27
00639.TW     | 富邦深100     | 17.39      | 🟢 持股           |      +12.79% |     13 |    50.02% | [P:0.58] [⚠️降級預設] RSI:35.44|MACD:-0.25|KD_Diff:1.95|D_Value:25.99
00640L.TW    | 富邦日本正2     | 103.90     | ❄️ 空倉          |       +1.46% |     34 |    50.15% | [P:0.36] RSI:48.62|D_Value:42.17|Vol_Ratio:0.31|BIAS_20:-0.56
00641R.TW    | 富邦日本反1     | 3.78       | ❄️ 空倉          |       +2.21% |     32 |    56.20% | [P:0.43] RSI:49.32|KD_Diff:0.08|BIAS_20:-0.33|MA_Slope:0.01
00642U.TW    | 期元大S&P石油   | 26.99      | 🟢 持股           |     +113.14% |     43 |    52.81% | [P:0.57] RSI:80.59|D_Value:88.94|Vol_Ratio:1.15|MA_Slope:0.61
00643.TW     | 群益深証中小     | 18.92      | 🟢 持股           |       +9.04% |      7 |    49.49% | [P:0.66] [⚠️降級預設] RSI:29.49|MACD:-0.27|KD_Diff:-1.79|D_Value:25.96
00646.TW     | 元大S&P500   | 76.15      | 💥 賣出           |      +11.27% |     35 |    49.80% | [P:0.38] KD_Diff:-12.31|D_Value:69.87|BIAS_20:1.00|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.03       | ❄️ 空倉          |       -0.69% |     12 |    57.82% | [P:0.44] MACD:-0.00|D_Value:55.38|BIAS_20:-0.05|MA_Slope:-0.01
00650L.TW    | 復華香港正2     | 16.92      | ❄️ 空倉          |       +5.62% |     34 |    49.82% | [P:0.28] RSI:77.56|MACD:0.27|MA_Slope:0.81|MA_Bull:10.00
00651R.TW    | 復華香港反1     | 5.28       | 🟢 持股           |      +11.71% |     19 |    53.02% | [P:0.61] RSI:21.88|D_Value:16.20|BIAS_20:-5.31|MA_Slope:-0.35
00653L.TW    | 富邦印度正2     | 46.90      | ❄️ 空倉          |       +7.91% |     42 |    48.84% | [P:0.45] RSI:55.74|KD_Diff:3.33|Vol_Ratio:1.21|BB_Upper:2.69
00654R.TW    | 富邦印度反1     | 6.74       | ❄️ 空倉          |       +7.26% |     32 |    53.09% | [P:0.50] RSI:47.06|D_Value:67.24|BIAS_20:-0.16|MA_Slope:0.01
00655L.TW    | 國泰中國A50正2  | 35.08      | 🟢 持股           |      +10.25% |     37 |    50.92% | [P:0.53] RSI:45.22|Vol_Ratio:0.83|MA_Slope:-0.25|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.84       | ❄️ 空倉          |       +3.33% |     12 |    53.96% | [P:0.49] RSI:54.33|D_Value:56.68|MA_Slope:0.09|BB_Upper:4.09
00657K.TW    | 國泰日經225+U  | 24.01      | 🟢 持股           |      +38.64% |     41 |    49.74% | [P:0.66] RSI:31.67|KD_Diff:6.48|BIAS_20:-3.74|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 45.41      | 🚀 買進           |      +19.59% |     32 |    52.70% | [P:0.52] RSI:43.49|MACD:0.20|D_Value:36.32|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 120.05     | 🟢 持股           |      +14.46% |     37 |    50.37% | [P:0.57] RSI:35.25|KD_Diff:-7.68|MA_Slope:-0.06|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 98.00      | 🟢 持股           |      +72.24% |     31 |    49.32% | [P:0.67] RSI:28.87|D_Value:27.26|Vol_Ratio:0.72|MA_Slope:-0.85
00664R.TW    | 國泰臺灣加權反1   | 1.69       | ❄️ 空倉          |       +0.00% |      2 |    59.17% | [P:0.30] RSI:67.86|MACD:0.00|D_Value:67.69|Vol_Ratio:1.12
00665L.TW    | 富邦�琤肭磪囓�2  | 9.34       | 🚀 買進           |       +3.55% |     26 |    53.36% | [P:0.52] RSI:75.35|MACD:0.12|Vol_Ratio:0.65|MA_Slope:0.81
00666R.TW    | 富邦�琤肭磪齯�1  | 9.20       | ❄️ 空倉          |       +9.14% |     18 |    53.53% | [P:0.29] RSI:23.62|D_Value:16.78|MA_Slope:-0.36|BB_Upper:14.44
00669R.TW    | 國泰美國道瓊反1   | 5.34       | ❄️ 空倉          |       -6.32% |     16 |    56.16% | [P:0.43] RSI:59.26|KD_Diff:5.57|MA_Slope:0.00|BB_Upper:0.51
00670L.TW    | 富邦NASDAQ正2 | 195.10     | 🟢 持股           |      +27.18% |     19 |    49.82% | [P:0.55] RSI:27.38|MACD:-2.90|KD_Diff:-6.53|MA_Slope:-0.40
00671R.TW    | 富邦NASDAQ反1 | 2.48       | ❄️ 空倉          |      -11.97% |     12 |    52.55% | [P:0.39] RSI:66.67|D_Value:65.02|BIAS_20:1.35|MA_Slope:0.14
00673R.TW    | 期元大S&P原油反1 | 13.24      | 🟢 持股           |      -48.11% |     33 |    50.89% | [P:0.56] KD_Diff:-2.19|Vol_Ratio:0.92|MA_Slope:-0.60|MA_Bull:0.00
00674R.TW    | 期元大S&P黃金反1 | 30.38      | ❄️ 空倉          |     +363.51% |     14 |    53.90% | [P:0.40] RSI:41.99|KD_Diff:-4.83|D_Value:67.96|Vol_Ratio:0.96
00675L.TW    | 富邦臺灣加權正2   | 296.55     | 🟢 持股           |      +54.90% |     29 |    50.23% | [P:0.67] RSI:29.45|D_Value:26.45|Vol_Ratio:0.70|MA_Slope:-0.85
00676R.TW    | 富邦臺灣加權反1   | 5.77       | 🟢 持股           |       -8.88% |     13 |    57.58% | [P:0.57] MACD:0.02|KD_Diff:-0.52|Vol_Ratio:1.11|MA_Bull:10.00
00678.TW     | 群益那斯達克生技   | 40.19      | 🟢 持股           |      +22.36% |     41 |    51.98% | [P:0.50] RSI:50.38|D_Value:33.84|MA_Slope:0.41|MA_Bull:0.00
00679B.TWO   | 元大美債20年    | 26.83      | ❄️ 空倉          |       +2.21% |     16 |    50.96% | [P:0.40] MACD:0.01|KD_Diff:12.14|BIAS_20:-0.66|MA_Bull:0.00
