advice,price,prev_year,symbol,rev_yoy,status,gm,prev_eps_yoy,prev_rev_yoy,est_price,date,expansion,pe,name,prev_eps,eps_yoy,om,eps
⚪ 數據不足,42.8499984741,2025,4510.TWO,543.13,🔄 轉虧為盈,14.87%,-197.14,-2.21,-36.6,2026-03,556.87,0.0,高鋒,-1.02,1100.0,-1.97%,0.2
⚠️ 追價風險,36.7999992371,2025,3285.TWO,688.27,🚀 利潤擴張,28.61%,-40.68,-19.66,15.75,2026-03,511.73,35.04761832104762,微端,0.7,1200.0,8.69%,0.26
⚠️ 追價風險,125.0,2025,6902.TW,43.25,🚀 利潤擴張,N/A,222.58,20.92,52.05,2026-03,487.52,36.02305475504323,GOGOLOOK,1.58,530.77,N/A,1.64
⚪ 數據不足,17.1499996185,2025,6241.TWO,335.75,🔄 轉虧為盈,N/A,74.6,5.06,-7.499999999999999,2026-03,484.25,0.0,鑫永洋,-0.16,820.0,N/A,0.46
⚠️ 追價風險,20.7000007629,2025,8440.TWO,727.58,🚀 利潤擴張,N/A,-42.59,-6.1,8.850000000000001,2026-03,472.41999999999996,35.084747055762705,綠電,0.31,1200.0,N/A,0.22
⚪ 數據不足,84.6999969482,2025,4590.TW,-25.82,🧐 疑業外收益,30.54%,-1.45,-41.11,0.0,2026-03,444.74,0.0,富田-創,2.72,418.92,-0.34%,1.21
⚠️ 追價風險,41.5999984741,2025,2302.TW,187.7,🚀 利潤擴張,36.04%,-34.67,11.66,17.400000000000002,2026-03,412.3,35.8620676500862,麗正,0.49,600.0,11.05%,0.25
⚠️ 追價風險,179.0,2025,2344.TW,646.87,🚀 利潤擴張,41.86%,576.92,9.55,40.8,2026-03,390.63,65.80882352941177,華邦電,0.88,1037.5,15.37%,2.25
⚪ 數據不足,30.6499996185,2025,6908.TW,6.45,🚀 利潤擴張,N/A,5.88,28.36,0.0,2026-03,381.05,0.0,宏�砦C戲-創,1.44,387.5,N/A,0.41
⚠️ 追價風險,127.5,2025,6716.TWO,359.78,🚀 利潤擴張,N/A,-49.65,-15.3,81.60000000000001,2026-03,356.01,23.4375,應廣,2.19,715.79,N/A,1.59
⚠️ 追價風險,29.1000003815,2025,5210.TWO,37.41,🚀 利潤擴張,N/A,207.35,9.95,19.499999999999996,2026-03,342.59000000000003,22.384615678076926,寶碩,0.73,380.0,N/A,0.24
⚪ 數據不足,40.1500015259,2025,5228.TWO,750.53,🔄 轉虧為盈,N/A,90.52,25.85,-8.4,2026-03,339.47,0.0,鈺鎧,-0.2,1090.0,N/A,0.99
💎 強力關注,69.4000015259,2025,2754.TWO,179.43,🚀 利潤擴張,N/A,1.73,5.96,92.55,2026-03,338.21999999999997,11.247974315380874,亞洲藏壽司,2.35,517.65,N/A,1.42
⚠️ 追價風險,72.3000030518,2025,4556.TWO,237.41,🚀 利潤擴張,42.07%,170.59,-3.75,26.4,2026-03,312.59000000000003,41.07954718852273,旭然,0.92,550.0,14.30%,0.13
✅ 穩健價值,24.3999996185,2025,3071.TWO,343.32,🚀 利潤擴張,30.11%,-29.63,-5.82,25.95,2026-03,306.68,14.104046022254336,協禧,0.57,650.0,7.94%,0.15
✅ 穩健價值,2085.0,2025,8299.TWO,849.86,🚀 利潤擴張,N/A,3.78,23.29,2097.2999999999997,2026-03,293.43999999999994,14.912029752538979,群聯,41.98,1143.3,N/A,68.8
⚪ 數據不足,33.9500007629,2025,6615.TWO,270.3,🔄 轉虧為盈,N/A,-150.59,-14.91,-2.2499999999999996,2026-03,276.36999999999995,0.0,慧智,-0.43,546.67,N/A,0.67
⚪ 數據不足,44.0,2025,6282.TW,371.03,🚀 利潤擴張,N/A,550.0,0.1,-9.150000000000002,2026-03,268.97,0.0,康舒,0.18,640.0,N/A,0.27
⚪ 數據不足,22.8500003815,2025,8489.TWO,186.87,🔄 轉虧為盈,N/A,55.83,5.03,-20.1,2026-03,258.58,0.0,三貝德,-0.76,445.45,N/A,0.38
✅ 穩健價值,101.5,2025,4916.TW,473.51,🚀 利潤擴張,18.73%,8050.0,0.89,120.3,2026-03,228.27999999999997,12.655860349127183,事欣科,1.77,701.79,8.07%,4.49
💎 強力關注,15.6499996185,2025,4432.TWO,292.4,🚀 利潤擴張,N/A,-66.67,-3.15,44.1,2026-03,226.35000000000002,5.323129121938776,銘旺實,0.88,518.75,N/A,2.97
💎 強力關注,9.6199998856,2025,4702.TWO,132.31,🚀 利潤擴張,35.38%,51.72,-61.59,14.700000000000001,2026-03,217.69,9.816326413877551,中美實,0.88,350.0,-88.29%,0.45
💎 強力關注,142.0,2025,8478.TW,297.67,🚀 利潤擴張,N/A,33.97,5.83,493.65000000000003,2026-03,215.22999999999996,4.314797933758736,東哥遊艇,13.25,512.9,N/A,3.8
💎 強力關注,37.3499984741,2025,1609.TW,713.51,🚀 利潤擴張,13.61%,-21.15,3.39,76.65,2026-03,211.49,7.309197353052837,大亞,1.65,925.0,8.70%,0.66
⚪ 數據不足,22.75,2025,3717.TW,26.54,🚀 利潤擴張,19.34%,-80.0,3.55,0.0,2026-03,186.79000000000002,0.0,聯嘉投控,0.08,213.33,7.12%,0.47
⚪ 數據不足,46.9000015259,2025,8084.TWO,80.73,🔄 轉虧為盈,N/A,-280.2,-10.9,-43.199999999999996,2026-03,185.94,0.0,巨虹,-1.82,266.67,N/A,0.33
💎 強力關注,49.25,2025,3290.TWO,542.69,🚀 利潤擴張,30.40%,25.64,18.23,94.05,2026-03,185.43999999999994,7.8548644338118025,東浦,2.02,728.13,14.85%,2.65
⚪ 數據不足,16.75,2025,5460.TWO,385.95,🔄 轉虧為盈,N/A,-177.27,-15.68,-7.95,2026-03,164.05,0.0,同協,-0.17,550.0,N/A,0.09
⚪ 數據不足,0.0,2025,4582.TWO,116.02,🚀 利潤擴張,N/A,1640.0,32.98,0.0,2026-03,160.65000000000003,0.0,未知,1.54,276.67,N/A,0.53
⚪ 數據不足,23.3500003815,2025,4582.TW,116.02,🚀 利潤擴張,N/A,1640.0,32.98,0.0,2026-03,160.65000000000003,0.0,聚恆-創,1.54,276.67,N/A,0.53
⚪ 數據不足,90.8000030518,2025,2426.TW,542.01,🔄 轉虧為盈,10.78%,-219.05,-2.43,-6.6,2026-03,157.99,0.0,鼎元,-0.25,700.0,-2.91%,0.06
⚪ 數據不足,43.0,2025,2417.TW,108.24,🔄 轉虧為盈,56.31%,54.55,2.69,-25.049999999999997,2026-03,156.05,0.0,圓剛,-0.19,264.29,8.42%,0.28
⚠️ 追價風險,11.1999998093,2025,9934.TW,214.33,🔄 轉虧為盈,N/A,-125.22,-4.25,1.050000000000001,2026-03,152.34,159.99999727571415,成霖,-0.29,366.67,N/A,0.28
⚠️ 追價風險,64.0999984741,2025,2732.TWO,180.76,🚀 利潤擴張,N/A,-77.02,7.13,32.250000000000014,2026-03,142.32,29.813952778651153,六角,1.09,323.08,N/A,1.1
✅ 穩健價值,91.3000030518,2025,6569.TWO,307.94,🚀 利潤擴張,N/A,-38.68,5.8,96.15,2026-03,134.17000000000002,14.243370210889235,醫揚,2.88,442.11,N/A,1.03
⚪ 中性觀察,116.0,2025,6166.TW,273.28,🚀 利潤擴張,N/A,921.74,17.09,85.05,2026-03,133.17000000000002,20.458553791887127,凌華,2.35,406.45,N/A,1.57
⚠️ 追價風險,2960.0,2025,3081.TWO,515.18,🏰 高護城河,54.76%,884.75,82.29,183.0,2026-03,130.47000000000003,242.62295081967216,聯亞,4.66,645.65,41.27%,3.44
💎 強力關注,61.9000015259,2025,3356.TW,113.17,🚀 利潤擴張,N/A,-20.59,-14.96,172.05,2026-03,115.32000000000001,5.396687142624237,奇偶,6.21,228.49,N/A,2.21
⚪ 數據不足,62.4000015259,2025,6735.TWO,268.59,🚀 利潤擴張,N/A,-84.51,-4.81,-7.200000000000001,2026-03,114.74000000000001,0.0,美達科技,0.33,383.33,N/A,0.29
⚪ 數據不足,7.1700000763,2025,2601.TW,-21.56,🏰 高護城河,102.69%,-365.71,-7.78,-33.6,2026-03,109.06,0.0,益航,-1.63,87.5,-12.62%,-0.02
⚠️ 追價風險,182.5,2025,7730.TW,161.56,🚀 利潤擴張,N/A,-45.51,-5.33,50.699999999999996,2026-03,108.44,53.994082840236686,暉盛-創,1.73,270.0,N/A,0.37
⚪ 數據不足,6.5599999428,2025,2911.TW,67.27,🚀 利潤擴張,N/A,152.83,-16.81,-40.05,2026-03,96.19000000000001,0.0,麗嬰房,2.15,163.46,N/A,0.66
⚠️ 追價風險,23.1000003815,2025,3083.TWO,57.36,🏰 高護城河,87.57%,-46.91,-7.4,13.05,2026-03,92.64,26.55172457643678,網龍,0.43,150.0,12.73%,0.3
✅ 穩健價值,41.5,2025,6931.TW,990.52,🚀 利潤擴張,N/A,104.41,14.16,44.550000000000004,2026-03,89.48000000000002,13.973063973063972,青松健康,1.39,1080.0,N/A,0.49
⚪ 數據不足,23.1000003815,2025,1599.TWO,486.21,🔄 轉虧為盈,16.92%,-169.49,-18.58,-24.299999999999994,2026-03,88.79000000000002,0.0,宏佳騰,-0.84,575.0,-21.33%,0.28
⚪ 數據不足,63.7999992371,2025,4147.TWO,81.97,🔄 轉虧為盈,28.91%,17.57,0.19,-18.3,2026-03,84.69999999999999,0.0,中裕,-0.61,166.67,-58.34%,0.06
💎 強力關注,45.3499984741,2025,1339.TW,102.97,🚀 利潤擴張,33.66%,-51.9,-14.02,97.8,2026-03,83.63,6.955521238358896,昭輝,2.41,186.6,13.17%,2.78
💎 強力關注,63.5999984741,2025,2436.TW,309.82,🚀 利潤擴張,30.84%,78.06,15.32,81.9,2026-03,83.04000000000002,11.648351368882784,偉詮電,3.02,392.86,3.76%,0.7
⚠️ 追價風險,102.0,2025,6756.TW,97.11,🚀 利潤擴張,N/A,-50.67,-8.83,45.449999999999996,2026-03,81.14999999999999,33.663366336633665,威鋒電子,1.11,178.26,N/A,0.64
✅ 穩健價值,71.3000030518,2025,3546.TWO,62.07,🏰 高護城河,89.44%,-64.44,2.09,77.99999999999999,2026-03,74.29000000000002,13.711539048423079,宇峻,1.97,136.36,20.17%,2.34
⚪ 數據不足,82.6999969482,2025,7823.TW,26.64,🚀 利潤擴張,N/A,96.29,22.72,0.0,2026-03,73.29,0.0,奧義賽博-KY創,-1.49,99.93,N/A,-0.15
⚪ 數據不足,12.3000001907,2025,6169.TWO,-97.71,🌑 雙重衰退,N/A,-99.18,19.25,-96.44999999999999,2026-03,71.78,0.0,昱泉,-2.43,-25.93,N/A,-0.68
⚪ 數據不足,17.7000007629,2025,8354.TWO,578.38,🚀 利潤擴張,N/A,-91.14,0.63,-17.549999999999997,2026-03,71.62,0.0,冠好,0.14,650.0,N/A,0.3
⚪ 中性觀察,90.0999984741,2025,4905.TWO,315.9,🚀 利潤擴張,25.49%,-5.15,22.56,71.25,2026-03,70.21000000000004,18.968420731389475,台聯電,2.76,386.11,0.20%,1.75
⚪ 數據不足,1520.0,2025,7828.TWO,51.84,🚀 利潤擴張,N/A,44.08,76.4,0.0,2026-03,69.89999999999999,0.0,創新服務,6.33,121.74,N/A,1.02
💎 強力關注,15.6000003815,2025,2889.TW,58.58,🏰 高護城河,90.85%,3.28,4.6,22.95,2026-03,68.69,10.196078680718953,國票金,0.63,127.27,38.94%,0.25
💎 強力關注,87.4000015259,2025,4137.TW,40.15,🏰 高護城河,82.18%,24.43,-4.63,257.1,2026-03,67.19999999999999,5.099183286225204,麗豐-KY,7.13,107.35,20.98%,1.41
⚪ 數據不足,7.1999998093,2025,3632.TWO,110.52,🔄 轉虧為盈,54.59%,-31.03,-28.72,-15.3,2026-03,64.48,0.0,研勤,-0.38,175.0,3.73%,0.06
⚪ 數據不足,42.2999992371,2025,6986.TWO,42.91,🚀 利潤擴張,N/A,-24.06,2.38,0.0,2026-03,63.99000000000001,0.0,和迅,2.43,106.9,N/A,0.6
⚪ 數據不足,31.0,2025,4562.TW,111.03,🔄 轉虧為盈,31.44%,-184.44,-7.78,-38.1,2026-03,63.97,0.0,穎漢,-1.28,175.0,-45.46%,0.11
⚪ 數據不足,19.6000003815,2025,3064.TWO,-1.0,🏰 高護城河,93.22%,-7120.0,-29.69,-122.4,2026-03,63.5,0.0,泰偉,-3.51,62.5,-55.72%,-0.27
💎 強力關注,30.3500003815,2025,6005.TW,171.79,🚀 利潤擴張,N/A,17.33,12.14,101.7,2026-03,63.21000000000001,4.47640123620944,群益證,2.64,235.0,N/A,1.34
⚠️ 追價風險,31.6000003815,2025,1533.TW,438.18,🚀 利潤擴張,N/A,152.25,19.69,10.049999999999997,2026-03,61.81999999999999,47.16417967388061,車王電,0.58,500.0,N/A,0.84
⚪ 中性觀察,25.3500003815,2025,1904.TW,538.23,🚀 利潤擴張,20.98%,34.55,-4.85,22.5,2026-03,61.76999999999998,16.90000025433333,正隆,0.74,600.0,7.12%,0.56
💎 強力關注,81.5,2025,6208.TWO,150.03,🚀 利潤擴張,N/A,-26.32,-4.59,113.85,2026-03,56.41999999999999,10.737812911725955,日揚,2.52,206.45,N/A,1.9
💎 強力關注,28.25,2025,4747.TWO,148.33,🚀 利潤擴張,N/A,-36.9,-6.81,72.30000000000001,2026-03,55.839999999999975,5.860995850622406,強生,1.19,204.17,N/A,1.46
⚪ 數據不足,70.6999969482,2025,8040.TWO,189.01,🔄 轉虧為盈,N/A,49.15,2.65,-18.45,2026-03,55.43000000000001,0.0,九暘,-0.6,244.44,N/A,0.13
💎 強力關注,32.4500007629,2025,4123.TWO,185.42,🚀 利潤擴張,41.95%,905.92,-6.28,273.29999999999995,2026-03,54.05000000000001,1.7810099211251371,晟德,12.33,239.47,-106.23%,2.62
⚪ 數據不足,74.1999969482,2025,6934.TW,-55.48,🌑 雙重衰退,N/A,-48.08,-29.22,0.0,2026-03,52.519999999999996,0.0,心誠鎂,-3.92,-2.96,N/A,-1.43
💎 強力關注,118.5,2025,6574.TWO,95.63,🚀 利潤擴張,N/A,66.34,6.51,252.6,2026-03,51.74000000000001,7.036817102137768,霈方,6.82,147.37,N/A,3.29
⚪ 數據不足,0.0,2025,7711.TW,91.93,🚀 利潤擴張,N/A,38.44,182.72,0.0,2026-03,47.56,0.0,永擎,13.04,139.49,N/A,7.68
⚪ 中性觀察,39.0,2025,3287.TWO,359.48,🚀 利潤擴張,N/A,-36.17,23.54,31.8,2026-03,46.579999999999984,18.39622641509434,廣寰科,1.5,406.06,N/A,1.01
💎 強力關注,23.9500007629,2025,9949.TWO,66.65,🚀 利潤擴張,N/A,544.54,-17.0,146.54999999999998,2026-03,45.849999999999994,2.4513818590481065,琉園,5.29,112.5,N/A,0.03
💎 強力關注,74.5999984741,2025,6620.TWO,15.93,🚀 利潤擴張,N/A,31.64,108.17,172.35,2026-03,39.24,6.492602130034813,漢達,4.85,55.17,N/A,0.46
⚪ 數據不足,71.9000015259,2025,2388.TW,264.14,🚀 利潤擴張,20.64%,-93.75,-40.0,-30.6,2026-03,35.860000000000014,0.0,威盛,0.12,300.0,-8.17%,0.08
💎 強力關注,61.5,2025,3556.TWO,156.04,🏰 高護城河,50.66%,-5.7,1.24,81.9,2026-03,34.20000000000002,11.263736263736265,禾瑞亞,2.15,190.24,14.95%,1.19
⚪ 數據不足,38.8499984741,2025,7821.TW,10.24,🚀 利潤擴張,N/A,91.67,19.28,0.0,2026-03,32.379999999999995,0.0,神數,2.99,42.62,N/A,0.87
⚪ 數據不足,0.0,2025,2072.TWO,6.33,🚀 利潤擴張,35.24%,-17.2,15.19,0.0,2025-12,28.590000000000003,0.0,未知,7.56,34.92,30.89%,11.94
⚪ 數據不足,75.5,2025,6794.TW,-3.86,🧐 疑業外收益,N/A,-13.21,-5.58,-70.05,2026-03,27.259999999999998,0.0,向榮生技,-1.89,23.4,N/A,-0.36
⚪ 數據不足,8.3000001907,2025,1467.TW,422.96,🔄 轉虧為盈,23.39%,-197.83,2.23,-28.950000000000003,2026-03,27.04000000000002,0.0,南緯,-0.45,450.0,1.90%,0.11
⚪ 數據不足,283.0,2025,7768.TW,16.63,🚀 利潤擴張,N/A,-27.83,3.08,0.0,2026-03,26.23,0.0,頌勝科技,3.24,42.86,N/A,1.62
⚪ 數據不足,0.0,2025,7768.TWO,16.63,🚀 利潤擴張,N/A,-27.83,3.08,0.0,2026-03,26.23,0.0,未知,3.24,42.86,N/A,1.62
⚪ 數據不足,0.0,2025,1623.TW,12.42,🚀 利潤擴張,21.29%,11.37,20.5,0.0,2026-03,25.689999999999998,0.0,大東電,13.61,38.11,16.93%,4.33
💎 強力關注,62.4000015259,2025,2885.TW,62.36,🏰 高護城河,80.00%,-1.08,6.4,105.6,2026-03,20.689999999999998,8.863636580383522,元大金,2.74,83.05,33.03%,1.08
