date,gm,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,est_price,prev_year,price,name,expansion,symbol,status,advice,om,rev_yoy,pe,eps_yoy
2025-12,N/A,5.29,5.5,1270.21,-19.03,0.0,2025,0.0,琉園,561.54,9949.TWO,🧐 疑業外收益,⚪ 數據不足,N/A,-17.0,0.0,544.54
2025-12,N/A,0.18,-0.38,-90.0,-4.33,-13.950000000000003,2025,50.0999984741,康舒,549.9,6282.TW,🔄 轉虧為盈,⚪ 數據不足,N/A,0.1,0.0,550.0
2025-12,43.42%,1.43,0.49,179.03,-12.66,2.5500000000000025,2025,19.0499992371,吉祥全,467.93,2491.TW,🧐 疑業外收益,⚠️ 追價風險,-66.51%,-10.43,112.05881904176461,457.5
2025-12,30.70%,0.47,0.54,2600.0,18.74,18.15,2025,31.5,杭特,440.95000000000005,3297.TWO,🚀 利潤擴張,⚠️ 追價風險,-18.51%,20.59,26.03305785123967,461.54
2025-12,18.45%,1.28,-0.58,7.84,310.97,-9.599999999999998,2025,249.5,博士旺,418.37000000000006,3555.TWO,🔄 轉虧為盈,⚪ 數據不足,4.44%,334.57,0.0,752.94
2025-12,22.27%,1.22,-0.11,38.89,-10.45,13.199999999999998,2025,26.3999996185,宏旭-KY,417.34999999999997,2243.TW,🔄 轉虧為盈,⚠️ 追價風險,15.14%,-9.02,29.999999566477282,408.33
2025-12,42.12%,8.13,5.45,790.16,119.15,264.15000000000003,2025,795.0,大量,379.12,3167.TW,🚀 利潤擴張,⚠️ 追價風險,18.24%,95.35,45.14480408858602,474.47
2025-12,2.52%,0.45,0.43,326.32,-6.34,16.499999999999996,2025,9.6499996185,宏洲,374.26,1413.TW,🧐 疑業外收益,💎 強力關注,0.23%,-9.55,8.772726925909092,364.71
2025-12,23.49%,1.22,0.62,187.32,6.23,38.849999999999994,2025,342.0,雙鍵,371.81,4764.TW,🚀 利潤擴張,⚠️ 追價風險,7.74%,5.46,132.04633204633205,377.27
2025-12,N/A,1.69,1.26,916.67,13.03,68.4,2025,28.0499992371,同亨,370.34000000000003,5490.TWO,🚀 利潤擴張,💎 強力關注,N/A,12.01,6.151315622171052,382.35
2025-12,N/A,0.55,0.02,103.23,-10.3,42.0,2025,18.2999992371,新天地,364.75,8940.TW,🧐 疑業外收益,💎 強力關注,N/A,-6.42,6.535714013250001,358.33
2025-12,69.49%,1.52,1.65,179.66,43.11,59.699999999999996,2025,67.5999984741,倚強科,356.99,3219.TWO,🏰 高護城河,⚪ 中性觀察,-15.39%,49.68,16.98492423972362,406.67
2025-12,10.73%,0.9,0.52,185.25,-0.15,38.1,2025,18.0499992371,友達,327.09,2409.TW,🚀 利潤擴張,💎 強力關注,-2.70%,0.41,7.106298912244094,327.5
2025-12,15.60%,7.73,7.71,114.76,30.37,321.90000000000003,2025,99.4000015259,冠星-KY,316.98,4439.TW,🚀 利潤擴張,💎 強力關注,0.97%,29.26,4.631873323667287,346.24
2025-12,8.40%,0.15,-0.11,-222.22,-14.04,-2.7000000000000006,2025,44.7999992371,映泰,289.09,2399.TW,🔄 轉虧為盈,⚪ 數據不足,-12.67%,-14.09,0.0,275.0
2025-12,34.44%,7.21,7.88,352.24,-0.73,359.25,2025,40.0999984741,宏達電,281.70000000000005,2498.TW,🧐 疑業外收益,💎 強力關注,-79.17%,-5.85,1.6743214394196242,275.85
2025-12,N/A,4.01,4.81,-18.34,-8.55,194.10000000000002,2025,56.4000015259,美利達,281.08,9914.TW,🧐 疑業外收益,💎 強力關注,N/A,-9.71,4.358578170471406,271.37
2025-12,N/A,4.02,3.02,410.34,12.63,0.0,2025,0.0,浪凡,275.27,6165.TW,🚀 利潤擴張,⚪ 數據不足,N/A,12.97,0.0,288.24
2025-12,38.42%,2.01,1.26,447.83,19.84,65.55,2025,233.0,大銀微系統,273.68,4576.TW,🚀 利潤擴張,⚠️ 追價風險,13.23%,20.44,53.31807780320366,294.12
2025-12,-4.21%,0.25,0.98,230.67,-6.66,-8.100000000000001,2025,53.2999992371,冠西電,255.45000000000002,2466.TW,🧐 疑業外收益,⚪ 數據不足,-53.06%,-14.27,0.0,241.18
2025-12,9.17%,5.5,4.75,241.94,-0.36,174.45,2025,33.0499992371,華榮,254.79,1608.TW,🚀 利潤擴張,💎 強力關注,6.96%,0.02,2.8417884124763546,254.81
2025-12,41.46%,0.09,0.19,-11.76,4.96,3.9000000000000004,2025,6.4200000763,中纖,250.24,1718.TW,🧐 疑業外收益,⚠️ 追價風險,18.72%,-0.24,24.69230798576923,250.0
2025-12,N/A,1.91,1.48,180.87,-1.75,68.25,2025,96.1999969482,有成精密,241.22,4949.TW,🧐 疑業外收益,⚪ 中性觀察,N/A,-0.48,21.142856472131868,240.74
2025-12,29.82%,1.74,-0.9,10.89,-98.23,-2.4000000000000004,2025,20.4500007629,三地開發,229.07999999999998,1438.TW,🔄 轉虧為盈,⚪ 數據不足,25.89%,7.93,0.0,237.01
2025-12,46.73%,3.41,-0.9,15.89,-26.31,22.050000000000004,2025,12.9499998093,怡華,227.67000000000002,1456.TW,🔄 轉虧為盈,💎 強力關注,248.16%,-20.46,8.809523679795916,207.21
2025-12,31.94%,1.74,0.47,-50.0,-5.41,31.349999999999998,2025,70.5,晶相光,224.23000000000002,3530.TW,🚀 利潤擴張,⚠️ 追價風險,14.09%,6.6,33.73205741626794,230.83
2025-12,5.45%,0.21,0.33,94.12,-4.98,14.399999999999999,2025,21.3999996185,允強,213.63,2034.TW,🧐 疑業外收益,⚠️ 追價風險,-1.87%,-13.63,22.291666269270834,200.0
2025-12,30.12%,1.72,1.43,237.21,-6.23,83.1,2025,18.7000007629,松瑞藥,204.79,4167.TWO,🧐 疑業外收益,💎 強力關注,9.56%,-1.28,3.3754514012454875,203.51
2025-12,42.43%,2.51,1.0,400.0,14.04,66.44999999999999,2025,31.8999996185,皇將,203.79,4744.TWO,🚀 利潤擴張,💎 強力關注,14.38%,12.21,7.200902848419865,216.0
2025-12,N/A,1.58,0.23,119.47,20.7,31.349999999999998,2025,105.0,GOGOLOOK,201.66000000000003,6902.TW,🚀 利潤擴張,⚠️ 追價風險,N/A,20.92,50.23923444976077,222.58
2025-12,5.71%,13.38,10.81,260.07,8.72,468.90000000000003,2025,117.0,楠梓電,200.22,2316.TW,🚀 利潤擴張,💎 強力關注,-7.46%,12.25,3.742802303262956,212.47
2025-12,31.84%,0.7,0.31,150.0,36.52,20.249999999999996,2025,37.5999984741,金穎生技,199.70999999999998,1796.TWO,🚀 利潤擴張,⚠️ 追價風險,10.64%,29.92,27.851850721555557,229.63
2025-12,N/A,1.58,1.18,76.12,5.51,51.15,2025,66.9000015259,東研信超,197.42,6840.TWO,🚀 利潤擴張,⚪ 中性觀察,N/A,8.46,19.618768775923755,205.88
2025-12,29.43%,0.51,0.55,219.57,-1.51,7.2,2025,13.8000001907,雲嘉南,197.22,3191.TWO,🧐 疑業外收益,⚠️ 追價風險,-10.81%,-7.75,28.750000397291664,189.47
2025-12,3.50%,2.01,1.14,153.27,5.31,60.59999999999999,2025,41.2000007629,益登,193.66,3048.TW,🚀 利潤擴張,💎 強力關注,1.71%,2.05,10.198019990816833,195.71
2025-12,N/A,0.76,0.62,191.04,31.27,34.199999999999996,2025,56.9000015259,盛群,191.41,6202.TW,🚀 利潤擴張,⚠️ 追價風險,N/A,22.23,24.956141020131582,213.64
2025-12,17.05%,0.41,-0.25,62.12,8.02,-9.6,2025,44.2999992371,環科,189.66,2413.TW,🔄 轉虧為盈,⚪ 數據不足,3.38%,3.52,0.0,193.18
2025-12,5.36%,0.04,0.1,-70.59,-90.58,0.30000000000000027,2025,21.7999992371,川飛,187.65,1516.TW,🧐 疑業外收益,⚠️ 追價風險,-14.33%,-87.0,1089.9999618549991,100.65
2025-12,N/A,1.82,1.2,-3.23,20.56,56.25,2025,47.1500015259,邁達特,184.49,6112.TW,🚀 利潤擴張,✅ 穩健價值,N/A,18.84,12.57333374024,203.33
2025-12,N/A,1.14,-0.04,97.79,11.15,11.099999999999998,2025,17.2999992371,臺龍,179.8,6246.TWO,🔄 轉虧為盈,⚠️ 追價風險,N/A,6.56,23.378377347432437,186.36
2025-12,41.59%,3.67,2.44,39.43,4.96,0.0,2025,0.0,台耀,177.61,4746.TW,🚀 利潤擴張,⚪ 數據不足,21.37%,2.54,0.0,180.15
2025-12,8.05%,6.42,7.31,314.37,27.17,163.5,2025,22.2000007629,三一東林,177.55,3609.TWO,🚀 利潤擴張,💎 強力關注,-11.23%,70.72,2.036697317697248,248.27
2025-12,N/A,1.23,1.61,228.8,-11.95,20.7,2025,12.6000003815,虹揚-KY,176.83,6573.TW,🧐 疑業外收益,💎 強力關注,N/A,-13.43,9.130435059057971,163.4
2025-12,N/A,6.58,4.25,89.73,22.77,213.00000000000003,2025,188.0,力智,174.75,6719.TW,🚀 利潤擴張,✅ 穩健價值,N/A,23.89,13.239436619718308,198.64
2025-12,N/A,0.47,0.91,275.0,-0.97,29.999999999999996,2025,46.5999984741,九豪,174.57,6127.TWO,🧐 疑業外收益,⚠️ 追價風險,N/A,-1.13,23.299999237050002,173.44
2025-12,42.07%,0.92,0.49,172.22,-8.55,24.750000000000004,2025,43.25,旭然,174.34,4556.TWO,🧐 疑業外收益,⚠️ 追價風險,14.30%,-3.75,26.21212121212121,170.59
2025-12,N/A,0.53,0.09,175.0,4.04,13.5,2025,14.0,亞都,173.32999999999998,5703.TWO,🚀 利潤擴張,✅ 穩健價值,N/A,5.62,15.555555555555555,178.95
2025-12,N/A,0.92,0.49,190.57,39.08,22.800000000000004,2025,68.1999969482,今國光,172.01999999999998,6209.TW,🚀 利潤擴張,⚠️ 追價風險,N/A,50.65,44.86841904486841,222.67
2025-12,N/A,0.89,0.81,1700.0,2.1,33.150000000000006,2025,60.9000015259,長佳智能,171.64000000000001,6841.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,12.23,27.556561776425337,183.87
2025-12,N/A,5.45,1.75,3.33,-4.54,0.0,2025,0.0,聯友金屬-創,166.18,7610.TW,🚀 利潤擴張,⚪ 數據不足,N/A,27.9,0.0,194.08
2025-12,18.05%,0.37,0.24,155.81,19.92,10.35,2025,33.0,吉茂,164.99,1587.TW,🚀 利潤擴張,⚠️ 追價風險,2.96%,23.11,47.82608695652174,188.1
2025-12,15.86%,0.22,0.16,300.0,13.26,4.65,2025,288.0,一詮,164.91,2486.TW,🚀 利潤擴張,⚠️ 追價風險,1.35%,10.09,929.0322580645161,175.0
2025-12,N/A,6.34,1.13,47.95,21.0,0.0,2025,0.0,富威電力,164.37,6994.TW,🚀 利潤擴張,⚪ 數據不足,N/A,164.5,0.0,328.87
2025-12,N/A,18.83,17.41,241.37,97.52,693.9,2025,97.5,寬宏藝術,164.31,6596.TWO,🚀 利潤擴張,💎 強力關注,N/A,78.68,2.1076523994811933,242.99
2025-12,N/A,0.68,-0.24,-271.43,25.19,-11.25,2025,44.0999984741,方土昶,160.96,6265.TWO,🔄 轉虧為盈,⚪ 數據不足,N/A,62.85,0.0,223.81
2025-12,N/A,13.74,9.52,280.8,130.37,435.15,2025,406.0,高技,160.61999999999998,5439.TWO,🚀 利潤擴張,✅ 穩健價值,N/A,130.83,13.995174077904172,291.45
2025-12,10.14%,-0.09,-0.13,23.53,-54.34,-4.95,2025,21.8999996185,森寶,159.73000000000002,3489.TWO,🧐 疑業外收益,⚪ 數據不足,3.61%,-69.84,0.0,89.89
2025-12,7.66%,1.81,2.61,271.05,-1.22,106.8,2025,37.0,東台,157.18,4526.TW,🧐 疑業外收益,💎 強力關注,-21.47%,-6.62,5.1966292134831455,150.56
2025-12,4.18%,1.86,2.19,219.44,18.28,91.05,2025,27.6499996185,新鉅科,153.81,3630.TWO,🚀 利潤擴張,💎 強力關注,-22.27%,19.21,4.555189393492587,173.02
