股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
5386.TWO,青雲,🔥 訊號出現,475.0,64.46,🟢 黃金標的,75.00%,87.50%,35.74%,-1.85%,8,466.22,0.875,0.3574
4741.TWO,泓瀚,🔥 訊號出現,63.2000007629,62.36,🟢 黃金標的,60.00%,70.00%,9.96%,-5.00%,10,60.04,0.7,0.0996
8042.TWO,金山電,🔥 訊號出現,77.3000030518,67.99,🟢 黃金標的,33.33%,66.67%,4.33%,-5.26%,3,73.23,0.6667,0.0433
3518.TW,柏騰,🔥 訊號出現,38.9000015259,84.44,🟢 黃金標的,50.00%,66.67%,12.31%,-2.88%,6,37.78,0.6667,0.1231
4764.TW,雙鍵,🔥 訊號出現,342.0,80.61,🟢 黃金標的,20.00%,60.00%,8.70%,-5.70%,5,322.5,0.6,0.087
6488.TWO,環球晶,🔥 訊號出現,721.0,70.54,🟡 妖股/高波動,44.44%,44.44%,3.74%,-6.94%,9,670.93,0.4444,0.0374
2399.TW,映泰,🔥 訊號出現,44.7999992371,67.03,🟡 妖股/高波動,50.00%,41.67%,4.75%,-4.25%,12,42.9,0.4167,0.0475
3532.TW,台勝科,🔥 訊號出現,250.5,73.95,🟡 妖股/高波動,60.00%,40.00%,4.50%,-3.56%,10,241.58,0.4,0.045
3184.TWO,微邦,🔥 訊號出現,31.0499992371,74.72,🟡 妖股/高波動,53.85%,38.46%,3.35%,-9.13%,13,28.21,0.3846,0.0335
6775.TWO,穎台科技,🔥 訊號出現,50.2999992371,78.64,🟡 妖股/高波動,50.00%,37.50%,9.87%,-8.43%,8,46.06,0.375,0.0987
3443.TW,創意,🔥 訊號出現,4955.0,87.93,🟡 妖股/高波動,50.00%,33.33%,8.48%,-6.74%,6,4620.79,0.3333,0.0848
6274.TWO,台燿,🔥 訊號出現,1315.0,80.94,🟡 妖股/高波動,80.00%,20.00%,15.14%,0.91%,5,1326.96,0.2,0.1514
00900.TW,富邦特選高股息30,🔥 訊號出現,16.4200000763,85.93,⚪ 一般監控,75.00%,75.00%,1.38%,-0.40%,8,16.35,0.75,0.0138
2382.TW,廣達,🔥 訊號出現,346.5,68.63,⚪ 一般監控,33.33%,66.67%,1.11%,-2.41%,3,338.13,0.6667,0.0111
4721.TWO,美琪瑪,🔥 訊號出現,93.3000030518,61.16,⚪ 一般監控,62.50%,50.00%,6.84%,-0.82%,8,92.54,0.5,0.0684
3706.TW,神達,🔥 訊號出現,87.8000030518,68.83,⚪ 一般監控,0.00%,50.00%,1.97%,-7.13%,2,81.54,0.5,0.0197
3317.TWO,尼克森,🔥 訊號出現,64.9000015259,76.6,⚪ 一般監控,37.50%,50.00%,3.15%,-3.84%,8,62.41,0.5,0.0315
6015.TWO,宏遠證,🔥 訊號出現,15.0500001907,91.66,⚪ 一般監控,62.50%,50.00%,4.72%,-2.66%,8,14.65,0.5,0.0472
6641.TW,基士德-KY,🔥 訊號出現,19.9500007629,72.73,⚪ 一般監控,50.00%,50.00%,4.63%,1.86%,4,20.32,0.5,0.0463
2061.TWO,風青,🔥 訊號出現,20.6499996185,83.85,⚪ 一般監控,25.00%,50.00%,1.30%,-3.96%,4,19.83,0.5,0.013
00951.TW,台新日本半導體,🔥 訊號出現,16.3799991608,67.63,⚪ 一般監控,0.00%,50.00%,1.49%,-2.01%,4,16.05,0.5,0.0149
3088.TWO,艾訊,🔥 訊號出現,120.5,83.89,⚪ 一般監控,83.33%,50.00%,3.22%,-0.79%,12,119.55,0.5,0.0322
00916.TW,國泰全球品牌50,🔥 訊號出現,27.3899993896,78.42,⚪ 一般監控,50.00%,50.00%,1.90%,0.00%,2,27.39,0.5,0.019
2603.TW,長榮,🔥 訊號出現,212.0,66.67,⚪ 一般監控,33.33%,50.00%,1.92%,-1.30%,6,209.24,0.5,0.0192
6257.TW,矽格,🔥 訊號出現,203.5,69.92,⚪ 一般監控,66.67%,50.00%,3.66%,-5.25%,6,192.81,0.5,0.0366
3617.TW,碩天,🔥 訊號出現,197.5,63.01,⚪ 一般監控,50.00%,50.00%,3.72%,-0.27%,2,196.97,0.5,0.0372
00887.TWO,永豐中國科技50大,🔥 訊號出現,15.6899995804,88.89,⚪ 一般監控,50.00%,50.00%,3.87%,0.52%,2,15.77,0.5,0.0387
1785.TWO,光洋科,🔥 訊號出現,168.5,65.08,⚪ 一般監控,25.00%,50.00%,16.67%,-7.66%,4,155.6,0.5,0.1667
3023.TW,信邦,🔥 訊號出現,305.5,72.29,⚪ 一般監控,20.00%,40.00%,2.71%,-4.38%,5,292.13,0.4,0.0271
5210.TWO,寶碩,🔥 訊號出現,28.6000003815,89.94,⚪ 一般監控,80.00%,40.00%,1.14%,-1.82%,5,28.08,0.4,0.0114
6967.TWO,汎瑋材料,🔥 訊號出現,86.6999969482,71.43,⚪ 一般監控,20.00%,40.00%,1.50%,-3.77%,5,83.43,0.4,0.015
6108.TW,競國,🔥 訊號出現,22.0,74.09,⚪ 一般監控,18.18%,36.36%,1.32%,-3.32%,11,21.27,0.3636,0.0132
2376.TW,技嘉,🔥 訊號出現,301.0,63.92,⚪ 一般監控,66.67%,33.33%,0.01%,-1.61%,3,296.16,0.3333,0.0001
3515.TW,華擎,🔥 訊號出現,244.0,75.86,⚪ 一般監控,33.33%,33.33%,0.76%,-2.69%,3,237.44,0.3333,0.0076
00961.TW,FT臺灣永續高息,🔥 訊號出現,10.8299999237,76.23,⚪ 一般監控,66.67%,33.33%,1.24%,-0.95%,6,10.73,0.3333,0.0124
6207.TWO,雷科,🔥 訊號出現,68.6999969482,70.52,⚪ 一般監控,28.57%,28.57%,0.07%,-7.05%,7,63.86,0.2857,0.0007
2395.TW,研華,🔥 訊號出現,409.5,80.0,⚪ 一般監控,50.00%,25.00%,0.28%,-4.09%,8,392.73,0.25,0.0028
2059.TW,川湖,🔥 訊號出現,4400.0,72.22,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,4400.0,0.0,
00633L.TW,富邦上証正2,🔥 訊號出現,53.2999992371,79.81,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,2,53.3,0.0,
00637L.TW,元大滬深300正2,🔥 訊號出現,22.0100002289,77.97,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,22.01,0.0,
00988A.TW,主動統一全球創新,🔥 訊號出現,18.8299999237,86.28,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,2,18.83,0.0,
00646.TW,元大S&P500,🔥 訊號出現,72.3000030518,85.06,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,72.3,0.0,
8215.TW,明基材,🔥 訊號出現,31.2000007629,63.87,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,31.2,0.0,
1459.TW,聯發,🔥 訊號出現,12.1000003815,71.43,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,2,12.1,0.0,
3213.TWO,茂訊,🔥 訊號出現,111.0,69.7,⚪ 一般監控,50.00%,0.00%,0.00%,-0.94%,2,109.96,0.0,0.0
00886.TWO,永豐美國科技,🔥 訊號出現,41.1399993896,91.16,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,2,41.14,0.0,
00990A.TW,主動元大AI新經濟,🔥 訊號出現,17.4500007629,90.73,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,17.45,0.0,
00655L.TW,國泰中國A50正2,🔥 訊號出現,37.1300010681,78.36,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,1,37.13,0.0,
00932.TW,兆豐永續高息等權,🔥 訊號出現,16.25,70.05,🔴 空頭陷阱,71.43%,57.14%,-0.01%,-1.06%,7,16.08,0.5714,-0.0001
3527.TWO,聚積,🔥 訊號出現,60.0999984741,58.05,🔴 空頭陷阱,50.00%,50.00%,-0.72%,-2.75%,6,58.45,0.5,-0.0072
1583.TW,程泰,🔥 訊號出現,48.4500007629,65.47,🔴 空頭陷阱,50.00%,50.00%,-0.03%,-0.86%,4,48.04,0.5,-0.0003
2414.TW,精技,🔥 訊號出現,48.0,71.85,🔴 空頭陷阱,28.57%,42.86%,-0.12%,-2.14%,7,46.97,0.4286,-0.0012
2317.TW,鴻海,🔥 訊號出現,252.0,81.12,🔴 空頭陷阱,20.00%,40.00%,-0.99%,-4.35%,5,241.03,0.4,-0.0099
3162.TWO,精確,🔥 訊號出現,89.8000030518,71.62,🔴 空頭陷阱,40.00%,40.00%,-2.11%,-5.43%,5,84.92,0.4,-0.0211
8210.TW,勤誠,🔥 訊號出現,1325.0,81.84,🔴 空頭陷阱,40.00%,40.00%,-0.18%,-3.87%,5,1273.66,0.4,-0.0018
2027.TW,大成鋼,🔥 訊號出現,38.4500007629,59.09,🔴 空頭陷阱,40.00%,40.00%,-0.89%,-2.11%,5,37.64,0.4,-0.0089
6609.TWO,瀧澤科,🔥 訊號出現,44.0,71.24,🔴 空頭陷阱,62.50%,37.50%,-0.63%,-3.67%,8,42.38,0.375,-0.0063
6563.TWO,映智,🔥 訊號出現,33.5999984741,64.51,🔴 空頭陷阱,66.67%,33.33%,-4.35%,-9.51%,6,30.41,0.3333,-0.0435
2301.TW,光寶科,🔥 訊號出現,185.0,70.63,🔴 空頭陷阱,66.67%,33.33%,-1.80%,-4.40%,3,176.85,0.3333,-0.018
00946.TW,群益科技高息成長,🔥 訊號出現,12.4899997711,78.54,🔴 空頭陷阱,0.00%,33.33%,-2.24%,-4.19%,3,11.97,0.3333,-0.0224
00875.TW,國泰網路資安,🔥 訊號出現,42.1599998474,80.54,🔴 空頭陷阱,0.00%,33.33%,-3.09%,-6.52%,3,39.41,0.3333,-0.0309
