股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,狀態,連續大漲,連續大跌,原因,最終狀態
7806,精華生醫,73.00,16,80.50,61.00,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 1.30%,均線糾擺
6831,邁科,561.00,3258,561.00,160.00,---,進入盤整 -> 強勢突破 (軌外),連2日大漲,無,股價衝破布林上軌 (559.10)，進入噴發段,強勢突破 (軌外)
00696,富邦美債20年,28.93,2737,30.21,25.92,---,均線糾擺,無,無,MA 乖離率僅 0.29%,均線糾擺
6153,嘉聯益,18.55,7381,20.65,10.50,---,均線糾擺,無,無,MA 乖離率僅 0.48%,均線糾擺
8261,富鼎,122.00,3314,128.00,67.07,---,均線糾擺,無,無,MA 乖離率僅 1.10%,均線糾擺
6205,詮欣,94.10,15836,98.20,37.00,---,貼軌運行 -> 進入盤整,無,無,ADX 為 12.60 (低於 20),進入盤整
7595,世基生醫,9.95,10,13.60,9.55,---,均線糾擺,無,無,MA 乖離率僅 0.54%,均線糾擺
1789,神隆,20.35,738,28.25,16.02,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
3171,炎洲流通,69.50,27,72.50,35.99,---,均線糾擺,無,無,MA 乖離率僅 0.32%,均線糾擺
4721,美琪瑪,93.30,7473,93.50,49.00,---,均線糾擺,隔一漲,無,MA 乖離率僅 1.10%,均線糾擺
911608,明輝-DR,2.76,30,3.12,2.59,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 1.08%,均線糾擺
6924,榮惠-KY創,93.90,21,94.90,47.80,---,進入盤整,無,無,ADX 為 19.16 (低於 20),進入盤整
3044,健鼎,488.00,8225,488.00,168.34,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3011,今皓,13.65,1094,17.15,11.40,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00876,元大全球5G,80.30,180,80.30,32.09,---,趨勢運行 -> 貼軌運行,無,無,股價於高位貼軌 (80.30 > 1.5σ)，動能強勁,貼軌運行
00676,富邦臺灣加權反1,6.24,11582,14.11,6.24,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4961,天鈺,156.50,1033,216.45,135.00,📅 預告 (20260511),均線糾擺,無,無,MA 乖離率僅 0.81%,均線糾擺
2012,春雨,15.05,104,20.22,14.70,---,趨勢運行 -> 進入盤整,無,無,ADX 為 18.80 (低於 20),進入盤整
8114,振樺電,177.50,692,314.53,164.00,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.48%,均線糾擺
6638,沅聖,43.00,49,45.50,24.50,---,趨勢運行 -> 進入盤整,無,無,ADX 為 19.64 (低於 20),進入盤整
8028,昇陽半導體,236.50,14347,246.00,115.75,---,進入盤整,無,無,ADX 為 9.59 (低於 20),進入盤整
6972,博瑞達應材,24.70,3,32.81,22.70,---,趨勢運行,隔一漲,無,股價具備方向性，未達特定過濾標準,趨勢運行
6443,元晶,37.85,2486,52.30,11.95,---,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 1.33%,均線糾擺
2748,雲品,41.80,217,50.68,38.45,---,均線糾擺,無,無,MA 乖離率僅 0.71%,均線糾擺
6525,捷敏-KY,103.00,2241,103.00,59.50,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (101.88)，進入噴發段,強勢突破 (軌外)
6877,鏵友益,174.50,2027,186.00,66.74,---,進入盤整,無,無,ADX 為 15.65 (低於 20),進入盤整
2758,路易莎咖啡,75.40,22,104.34,75.40,---,離開盤整 (向下),無,無,跌破布林下軌 (76.29),離開盤整 (向下)
1802,台玻,71.20,245456,74.20,14.00,---,均線糾擺,無,無,MA 乖離率僅 0.82%,均線糾擺
7642,昶瑞機電,69.50,68,129.00,63.20,---,進入盤整,連1日大漲,無,ADX 為 18.83 (低於 20),進入盤整
9938,百和,45.60,2007,60.40,42.90,---,均線糾擺,無,無,MA 乖離率僅 0.69%,均線糾擺
4442,竣邦-KY,55.60,10,71.50,42.35,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00635,期元大S&P黃金,48.81,4200,60.55,34.73,---,均線糾擺,無,無,MA 乖離率僅 1.14%,均線糾擺
2408,南亞科,282.00,149328,326.50,34.25,---,強勢突破 (軌外),連3日大漲,無,股價衝破布林上軌 (261.52)，進入噴發段,強勢突破 (軌外)
2504,國產,34.70,2545,43.62,33.70,---,離開盤整 (向下) -> 均線糾擺,無,無,MA 乖離率僅 0.93%,均線糾擺
5546,永固-KY,16.55,22,28.50,16.35,---,均線糾擺,無,無,MA 乖離率僅 0.60%,均線糾擺
3086,華義*,43.50,1641,260.00,21.80,---,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2395,研華,409.50,6175,409.50,273.50,⚠️ 今天 (20260506),強勢突破 (軌外),隔一漲,無,股價衝破布林上軌 (399.05)，進入噴發段,強勢突破 (軌外)
3050,鈺德,12.15,662,15.30,11.20,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00984,大華優利美A債15,16.30,5426,16.82,14.24,---,均線糾擺,無,無,MA 乖離率僅 0.35%,均線糾擺
6591,動力-KY,57.10,494,98.76,41.96,---,均線糾擺,無,無,MA 乖離率僅 0.29%,均線糾擺
6176,瑞儀,102.50,7502,150.54,88.50,---,進入盤整,無,無,ADX 為 15.33 (低於 20),進入盤整
6811,宏�硌穈T,215.00,431,263.00,182.50,---,強勢突破 (軌外),連1日大漲,無,股價衝破布林上軌 (207.72)，進入噴發段,強勢突破 (軌外)
4544,春日,16.05,5,18.00,14.00,---,均線糾擺,無,無,MA 乖離率僅 0.85%,均線糾擺
9949,琉園,24.40,35,36.70,23.99,---,進入盤整,無,無,ADX 為 13.24 (低於 20),進入盤整
4510,高鋒,47.20,3837,55.20,35.05,---,進入盤整,無,無,ADX 為 17.51 (低於 20),進入盤整
6194,育富,32.45,175,39.65,30.95,---,均線糾擺,無,無,MA 乖離率僅 0.40%,均線糾擺
6124,業強,30.95,89,37.95,23.30,---,均線糾擺,無,無,MA 乖離率僅 0.35%,均線糾擺
00757,統一FANG+,124.15,2808,125.35,88.45,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2101,南港,33.55,1251,45.45,31.02,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00945,凱基美國非投等債,14.47,6917,14.53,12.63,---,均線糾擺,無,無,MA 乖離率僅 0.09%,均線糾擺
4556,旭然,43.25,2339,43.25,22.45,---,進入盤整 -> 貼軌運行,連2日大漲,無,股價於高位貼軌 (43.25 > 1.5σ)，動能強勁,貼軌運行
1612,宏泰,36.75,1236,40.45,28.78,---,強勢突破 (軌外),無,無,股價衝破布林上軌 (36.61)，進入噴發段,強勢突破 (軌外)
6624,萬年清,50.00,42,72.50,31.85,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3081,聯亞,2655.00,4733,3020.00,248.14,---,進入盤整,無,連1日大跌,ADX 為 8.49 (低於 20),進入盤整
00685,群益臺灣加權正2,249.30,1604,249.30,56.70,---,貼軌運行,無,無,股價於高位貼軌 (249.30 > 1.5σ)，動能強勁,貼軌運行
6446,藥華藥,655.00,1720,779.00,438.80,📅 預告 (20260514),均線糾擺,無,無,MA 乖離率僅 0.83%,均線糾擺
