advice,price,est_price,prev_eps,eps,prev_year,pe,om,name,rev_yoy,symbol,date,prev_eps_yoy,eps_yoy,status,gm,expansion,prev_rev_yoy
⚠️ 追價風險,45.25,15.75,0.7,0.26,2025,43.095238095238095,8.69%,微端,688.27,3285.TWO,2026-03,-40.68,1200.0,🚀 利潤擴張,28.61%,511.73,-19.66
⚠️ 追價風險,135.0,52.05,1.58,1.64,2025,38.90489913544669,N/A,GOGOLOOK,43.25,6902.TW,2026-03,222.58,530.77,🚀 利潤擴張,N/A,487.52,20.92
⚪ 數據不足,16.1499996185,-7.499999999999999,-0.16,0.46,2025,0.0,N/A,鑫永洋,335.75,6241.TWO,2026-03,74.6,820.0,🔄 轉虧為盈,N/A,484.25,5.06
⚠️ 追價風險,21.6499996185,8.850000000000001,0.31,0.22,2025,36.69491460762711,N/A,綠電,727.58,8440.TWO,2026-03,-42.59,1200.0,🚀 利潤擴張,N/A,472.41999999999996,-6.1
⚪ 數據不足,76.0,0.0,2.72,1.21,2025,0.0,-0.34%,富田-創,-25.82,4590.TW,2026-03,-1.45,418.92,🧐 疑業外收益,30.54%,444.74,-41.11
⚠️ 追價風險,48.0,17.400000000000002,0.49,0.25,2025,41.37931034482758,11.05%,麗正,187.7,2302.TW,2026-03,-34.67,600.0,🚀 利潤擴張,36.04%,412.3,11.66
⚠️ 追價風險,219.5,40.8,0.88,2.25,2025,80.69852941176471,15.37%,華邦電,646.87,2344.TW,2026-03,576.92,1037.5,🚀 利潤擴張,41.86%,390.63,9.55
⚪ 數據不足,38.5,0.0,1.44,0.41,2025,0.0,N/A,宏�砦C戲-創,6.45,6908.TW,2026-03,5.88,387.5,🚀 利潤擴張,N/A,381.05,28.36
⚪ 中性觀察,95.0,81.60000000000001,2.19,1.59,2025,17.463235294117645,N/A,應廣,359.78,6716.TWO,2026-03,-49.65,715.79,🚀 利潤擴張,N/A,356.01,-15.3
⚠️ 追價風險,33.25,19.499999999999996,0.73,0.24,2025,25.57692307692308,N/A,寶碩,37.41,5210.TWO,2026-03,207.35,380.0,🚀 利潤擴張,N/A,342.59000000000003,9.95
⚪ 數據不足,66.0,-8.4,-0.2,0.99,2025,0.0,N/A,鈺鎧,750.53,5228.TWO,2026-03,90.52,1090.0,🔄 轉虧為盈,N/A,339.47,25.85
💎 強力關注,68.9000015259,92.55,2.35,1.42,2025,11.166937038233387,N/A,亞洲藏壽司,179.43,2754.TWO,2026-03,1.73,517.65,🚀 利潤擴張,N/A,338.21999999999997,5.96
⚠️ 追價風險,75.4000015259,26.4,0.92,0.13,2025,42.84090995789772,14.30%,旭然,237.41,4556.TWO,2026-03,170.59,550.0,🚀 利潤擴張,42.07%,312.59000000000003,-3.75
⚪ 中性觀察,31.8999996185,25.95,0.57,0.15,2025,18.439306137861273,7.94%,協禧,343.32,3071.TWO,2026-03,-29.63,650.0,🚀 利潤擴張,30.11%,306.68,-5.82
⚪ 中性觀察,2475.0,2097.2999999999997,41.98,68.8,2025,17.701330281790874,N/A,群聯,849.86,8299.TWO,2026-03,3.78,1143.3,🚀 利潤擴張,N/A,293.43999999999994,23.29
⚪ 數據不足,36.4500007629,-2.2499999999999996,-0.43,0.67,2025,0.0,N/A,慧智,270.3,6615.TWO,2026-03,-150.59,546.67,🔄 轉虧為盈,N/A,276.36999999999995,-14.91
⚪ 數據不足,58.7000007629,-9.150000000000002,0.18,0.27,2025,0.0,N/A,康舒,371.03,6282.TW,2026-03,550.0,640.0,🚀 利潤擴張,N/A,268.97,0.1
⚪ 數據不足,22.1000003815,-20.1,-0.76,0.38,2025,0.0,N/A,三貝德,186.87,8489.TWO,2026-03,55.83,445.45,🔄 轉虧為盈,N/A,258.58,5.03
✅ 穩健價值,99.5,120.3,1.77,4.49,2025,12.40648379052369,8.07%,事欣科,473.51,4916.TW,2026-03,8050.0,701.79,🚀 利潤擴張,18.73%,228.27999999999997,0.89
💎 強力關注,15.8500003815,44.1,0.88,2.97,2025,5.391156592346938,N/A,銘旺實,292.4,4432.TWO,2026-03,-66.67,518.75,🚀 利潤擴張,N/A,226.35000000000002,-3.15
💎 強力關注,10.0500001907,14.700000000000001,0.88,0.45,2025,10.255102235408163,-88.29%,中美實,132.31,4702.TWO,2026-03,51.72,350.0,🚀 利潤擴張,35.38%,217.69,-61.59
💎 強力關注,152.5,493.65000000000003,13.25,3.8,2025,4.633849893649346,N/A,東哥遊艇,297.67,8478.TW,2026-03,33.97,512.9,🚀 利潤擴張,N/A,215.22999999999996,5.83
💎 強力關注,36.7000007629,76.65,1.65,0.66,2025,7.181996235401173,8.70%,大亞,713.51,1609.TW,2026-03,-21.15,925.0,🚀 利潤擴張,13.61%,211.49,3.39
⚪ 數據不足,22.3500003815,0.0,0.08,0.47,2025,0.0,7.12%,聯嘉投控,26.54,3717.TW,2026-03,-80.0,213.33,🚀 利潤擴張,19.34%,186.79000000000002,3.55
⚪ 數據不足,50.0999984741,-43.199999999999996,-1.82,0.33,2025,0.0,N/A,巨虹,80.73,8084.TWO,2026-03,-280.2,266.67,🔄 轉虧為盈,N/A,185.94,-10.9
💎 強力關注,71.3000030518,94.05,2.02,2.65,2025,11.37161133202552,14.85%,東浦,542.69,3290.TWO,2026-03,25.64,728.13,🚀 利潤擴張,30.40%,185.43999999999994,18.23
⚪ 數據不足,25.1499996185,0.0,1.54,0.53,2025,0.0,N/A,未知,116.02,4582.TWO,2026-03,1640.0,276.67,🚀 利潤擴張,N/A,160.65000000000003,32.98
⚪ 數據不足,25.1499996185,0.0,1.54,0.53,2025,0.0,N/A,聚恆-創,116.02,4582.TW,2026-03,1640.0,276.67,🚀 利潤擴張,N/A,160.65000000000003,32.98
⚪ 數據不足,85.0999984741,-6.6,-0.25,0.06,2025,0.0,-2.91%,鼎元,542.01,2426.TW,2026-03,-219.05,700.0,🔄 轉虧為盈,10.78%,157.99,-2.43
⚪ 數據不足,45.0,-25.049999999999997,-0.19,0.28,2025,0.0,8.42%,圓剛,108.24,2417.TW,2026-03,54.55,264.29,🔄 轉虧為盈,56.31%,156.05,2.69
⚠️ 追價風險,10.1999998093,1.050000000000001,-0.29,0.28,2025,145.71428298999987,N/A,成霖,214.33,9934.TW,2026-03,-125.22,366.67,🔄 轉虧為盈,N/A,152.34,-4.25
⚪ 中性觀察,112.0,96.15,2.88,1.03,2025,17.472698907956318,N/A,醫揚,307.94,6569.TWO,2026-03,-38.68,442.11,🚀 利潤擴張,N/A,134.17000000000002,5.8
⚠️ 追價風險,147.0,85.05,2.35,1.57,2025,25.925925925925927,N/A,凌華,273.28,6166.TW,2026-03,921.74,406.45,🚀 利潤擴張,N/A,133.17000000000002,17.09
⚠️ 追價風險,2120.0,183.0,4.66,3.44,2025,173.7704918032787,41.27%,聯亞,515.18,3081.TWO,2026-03,884.75,645.65,🏰 高護城河,54.76%,130.47000000000003,82.29
💎 強力關注,60.2999992371,172.05,6.21,2.21,2025,5.257192610034873,N/A,奇偶,113.17,3356.TW,2026-03,-20.59,228.49,🚀 利潤擴張,N/A,115.32000000000001,-14.96
⚪ 數據不足,93.0,-7.200000000000001,0.33,0.29,2025,0.0,N/A,美達科技,268.59,6735.TWO,2026-03,-84.51,383.33,🚀 利潤擴張,N/A,114.74000000000001,-4.81
⚪ 數據不足,5.4899997711,-33.6,-1.63,-0.02,2025,0.0,-12.62%,益航,-21.56,2601.TW,2026-03,-365.71,87.5,🏰 高護城河,102.69%,109.06,-7.78
⚠️ 追價風險,179.5,50.699999999999996,1.73,0.37,2025,53.10650887573965,N/A,暉盛-創,161.56,7730.TW,2026-03,-45.51,270.0,🚀 利潤擴張,N/A,108.44,-5.33
⚪ 數據不足,7.3200001717,-40.05,2.15,0.66,2025,0.0,N/A,麗嬰房,67.27,2911.TW,2026-03,152.83,163.46,🚀 利潤擴張,N/A,96.19000000000001,-16.81
⚠️ 追價風險,28.0,13.05,0.43,0.3,2025,32.18390804597701,12.73%,網龍,57.36,3083.TWO,2026-03,-46.91,150.0,🏰 高護城河,87.57%,92.64,-7.4
✅ 穩健價值,40.7000007629,44.550000000000004,1.39,0.49,2025,13.703703960572389,N/A,青松健康,990.52,6931.TW,2026-03,104.41,1080.0,🚀 利潤擴張,N/A,89.48000000000002,14.16
