股號,名稱,收盤價,成交量,一年內最高收盤,一年內最低收盤,法說會,殖利率,狀態,連續大漲,連續大跌,原因,最終狀態
6570,維田,49.00,272,64.28,36.51,---,3.53%,趨勢運行 -> 離開盤整 (向下),無,無,跌破布林下軌 (49.99),離開盤整 (向下)
7806,精華生醫,62.00,30,80.50,61.00,---,---,均線糾擺 -> 離開盤整 (向下),無,無,跌破布林下軌 (62.55),離開盤整 (向下)
6831,邁科,797.00,1449,881.00,92.22,---,0.74%,強勢突破 (軌外) -> 趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
00696,富邦美債20年,29.92,3708,30.21,26.05,---,0.94%,均線糾擺 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (29.82)，進入噴發段,強勢突破 (軌外)
6153,嘉聯益,21.75,14832,24.45,10.50,---,---,進入盤整,無,無,ADX 為 11.32 (低於 20),進入盤整
8261,富鼎,244.00,23893,260.00,75.30,---,4.05%,貼軌運行 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6205,詮欣,74.20,1042,98.20,37.00,---,3.47%,均線糾擺,無,連1日大跌,MA 乖離率僅 1.37%,均線糾擺
7595,世基生醫,7.20,33,13.60,7.20,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3479,安勤,142.50,5935,144.00,83.70,---,5.22%,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (142.50 > 1.5σ)，動能強勁,貼軌運行
1789,神隆,20.00,791,28.25,16.02,---,2.02%,均線糾擺,無,無,MA 乖離率僅 0.24%,均線糾擺
3171,炎洲流通,68.90,25,79.40,38.22,---,7.01%,均線糾擺,無,無,MA 乖離率僅 0.95%,均線糾擺
4721,美琪瑪,87.90,1345,101.00,57.22,---,3.35%,進入盤整 -> 均線糾擺,無,連1日大跌,MA 乖離率僅 1.29%,均線糾擺
911608,明輝-DR,2.86,53,3.51,2.59,---,1.89%,均線糾擺,無,無,MA 乖離率僅 1.17%,均線糾擺
6924,榮惠-KY創,125.00,2,193.50,47.80,---,7.45%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3044,健鼎,508.00,3230,573.00,212.94,---,4.08%,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.49%,均線糾擺
3011,今皓,14.45,2263,17.15,11.40,---,---,均線糾擺,無,無,MA 乖離率僅 0.62%,均線糾擺
00876,元大全球5G,101.00,463,103.80,34.66,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
00676,富邦臺灣加權反1,5.75,15624,12.47,5.32,---,---,均線糾擺,無,無,MA 乖離率僅 1.05%,均線糾擺
4961,天鈺,165.00,1028,213.16,135.00,---,5.89%,均線糾擺,無,連1日大跌,MA 乖離率僅 0.86%,均線糾擺
2012,春雨,15.30,131,19.08,14.15,---,5.31%,均線糾擺 -> 貼軌運行,無,無,股價於高位貼軌 (15.30 > 1.5σ)，動能強勁,貼軌運行
8114,振樺電,185.00,704,292.50,164.00,---,2.62%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6638,沅聖,50.50,16,66.90,24.50,---,---,均線糾擺,無,無,MA 乖離率僅 1.21%,均線糾擺
8028,昇陽半導體,285.50,4988,356.50,128.00,---,1.49%,均線糾擺 -> 趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6972,博瑞達應材,23.45,9,31.40,22.70,---,---,均線糾擺,無,無,MA 乖離率僅 0.11%,均線糾擺
6443,元晶,34.50,8862,52.30,11.95,---,1.64%,均線糾擺 -> 離開盤整 (向下),無,連1日大跌,跌破布林下軌 (35.03),離開盤整 (向下)
2748,雲品,39.30,238,49.91,38.45,---,4.02%,均線糾擺,無,無,MA 乖離率僅 0.37%,均線糾擺
6525,捷敏-KY,146.00,3172,170.50,65.60,---,5.85%,強勢突破 (軌外) -> 趨勢運行,無,連2日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6877,鏵友益,126.00,387,186.00,71.37,---,0.1%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
4582,聚恆-創,24.40,197,43.20,17.05,---,---,資料不足 -> 離開盤整 (向下),無,無,跌破布林下軌 (24.51),離開盤整 (向下)
2758,路易莎咖啡,70.40,5,104.34,64.70,---,---,貼軌運行 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (70.16)，進入噴發段,強勢突破 (軌外)
1802,台玻,66.00,91452,76.60,15.55,---,---,趨勢運行 -> 均線糾擺,無,連1日大跌,MA 乖離率僅 1.30%,均線糾擺
7642,昶瑞機電,67.20,11,129.00,63.20,---,4.08%,均線糾擺,無,無,MA 乖離率僅 1.00%,均線糾擺
9938,百和,43.25,2042,60.40,42.10,---,5.67%,均線糾擺,無,無,MA 乖離率僅 0.67%,均線糾擺
4442,竣邦-KY,50.50,39,71.50,42.35,---,5.25%,均線糾擺,無,無,MA 乖離率僅 0.57%,均線糾擺
00635,期元大S&P黃金,41.90,3964,60.55,35.92,---,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
2408,南亞科,449.00,142576,505.00,40.55,📅 預告 (20260710),0.32%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
2539,櫻花建,38.10,1140,57.09,33.20,---,0.83%,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.90%,均線糾擺
2504,國產,32.80,10130,43.39,32.75,---,6.39%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
5546,永固-KY,16.15,4,28.45,15.40,---,6.57%,均線糾擺,無,無,MA 乖離率僅 0.52%,均線糾擺
3086,華義*,32.70,427,43.50,13.35,---,0.17%,均線糾擺 -> 進入盤整,無,無,ADX 為 16.43 (低於 20),進入盤整
2395,研華,455.50,2468,522.00,273.50,---,2.49%,均線糾擺,無,連1日大跌,MA 乖離率僅 0.78%,均線糾擺
3050,鈺德,12.25,818,15.30,11.20,---,3.5%,均線糾擺,無,無,MA 乖離率僅 0.87%,均線糾擺
00984,大華優利美A債15,16.71,3290,16.82,14.54,---,0.48%,均線糾擺 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (16.67)，進入噴發段,強勢突破 (軌外)
6591,動力-KY,53.00,236,98.76,51.30,---,3.5%,均線糾擺,無,無,MA 乖離率僅 1.36%,均線糾擺
6176,瑞儀,87.70,8036,140.20,85.59,---,7.07%,進入盤整,無,無,ADX 為 17.48 (低於 20),進入盤整
6811,宏�硌穈T,204.00,134,263.00,182.50,---,3.86%,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
4544,春日,14.25,2,18.00,13.60,---,---,均線糾擺,無,無,MA 乖離率僅 0.16%,均線糾擺
9949,琉園,24.95,37,36.70,15.58,---,8.09%,進入盤整,無,無,ADX 為 13.15 (低於 20),進入盤整
4510,高鋒,41.40,1261,55.20,35.05,---,4.14%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6194,育富,31.90,176,39.65,30.95,---,5.78%,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
6124,業強,29.70,80,37.95,23.30,---,---,均線糾擺,無,無,MA 乖離率僅 1.39%,均線糾擺
00757,統一FANG+,122.35,4286,138.05,98.95,---,---,均線糾擺,無,無,MA 乖離率僅 1.13%,均線糾擺
2101,南港,31.15,1172,45.45,29.75,---,1.99%,均線糾擺,無,無,MA 乖離率僅 1.18%,均線糾擺
00945,凱基美國非投等債,14.50,10382,14.53,12.76,---,0.6%,強勢突破 (軌外),無,無,股價衝破布林上軌 (14.50)，進入噴發段,強勢突破 (軌外)
4556,旭然,70.00,156,78.40,22.45,---,1.17%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
1612,宏泰,37.05,1287,40.65,33.50,---,5.79%,均線糾擺,無,無,MA 乖離率僅 0.43%,均線糾擺
6624,萬年清,39.10,24,72.50,31.85,---,1.56%,均線糾擺 -> 進入盤整,無,無,ADX 為 18.60 (低於 20),進入盤整
3081,聯亞,2035.00,2483,3160.00,309.55,---,0.14%,進入盤整,無,無,ADX 為 14.53 (低於 20),進入盤整
8446,華研,86.90,67,95.60,83.00,---,8.07%,均線糾擺,無,無,MA 乖離率僅 0.28%,均線糾擺
00685,群益臺灣加權正2,280.35,17022,329.55,71.60,---,---,進入盤整,無,連1日大跌,ADX 為 19.65 (低於 20),進入盤整
6446,藥華藥,1155.00,2800,1195.00,442.00,---,0.22%,強勢突破 (軌外) -> 貼軌運行,無,無,股價於高位貼軌 (1155.00 > 1.5σ)，動能強勁,貼軌運行
009813,貝萊德標普卓越50,10.68,8873,11.45,9.64,---,---,均線糾擺,無,無,MA 乖離率僅 0.99%,均線糾擺
6485,點序,81.50,906,124.50,50.00,---,0.96%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6294,智基,27.40,30,56.63,27.00,---,5.98%,均線糾擺,無,無,MA 乖離率僅 0.96%,均線糾擺
5403,中菲,92.00,84,118.35,84.50,---,5.04%,均線糾擺,無,無,MA 乖離率僅 0.76%,均線糾擺
6775,穎台科技,39.95,330,72.30,20.40,---,---,進入盤整,無,無,ADX 為 17.62 (低於 20),進入盤整
00981,平衡凱基雙核收息,10.39,7326,10.58,9.91,---,0.67%,均線糾擺 -> 強勢突破 (軌外),無,無,股價衝破布林上軌 (10.39)，進入噴發段,強勢突破 (軌外)
5455,昇益,27.10,2,38.15,22.55,---,---,進入盤整,無,無,ADX 為 9.82 (低於 20),進入盤整
2374,佳能,74.80,11564,94.96,46.06,---,0.56%,均線糾擺,無,連1日大跌,MA 乖離率僅 0.77%,均線糾擺
6113,亞矽,25.85,502,29.85,18.45,---,1.65%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
6912,益鈞環科*,12.05,48,20.40,12.05,---,---,進入盤整,無,無,ADX 為 11.70 (低於 20),進入盤整
1443,立益物流,25.65,36,32.25,21.20,---,---,趨勢運行 -> 均線糾擺,無,連1日大跌,MA 乖離率僅 0.97%,均線糾擺
2025,千興,12.90,776,15.30,9.01,---,---,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 1.31%,均線糾擺
6141,柏承,39.00,1845,46.00,10.25,---,---,進入盤整,無,連1日大跌,ADX 為 16.03 (低於 20),進入盤整
5243,乙盛-KY,98.80,3053,135.00,54.32,---,1.95%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
4771,望隼,187.50,128,207.00,170.00,---,3.09%,均線糾擺,無,無,MA 乖離率僅 0.69%,均線糾擺
2303,聯電,164.00,379386,178.50,40.40,---,6.06%,強勢突破 (軌外) -> 進入盤整,無,連1日大跌,ADX 為 13.74 (低於 20),進入盤整
3372,典範,20.25,2068,25.65,12.65,---,---,進入盤整,無,連1日大跌,ADX 為 18.00 (低於 20),進入盤整
4968,立積,110.50,1034,166.50,101.00,---,0.76%,進入盤整,無,連1日大跌,ADX 為 14.53 (低於 20),進入盤整
6158,禾昌,17.10,66,24.75,17.10,---,3.32%,均線糾擺,無,無,MA 乖離率僅 1.02%,均線糾擺
8454,富邦媒,325.50,3065,439.50,170.00,---,4.28%,趨勢運行 -> 均線糾擺,無,無,MA 乖離率僅 0.33%,均線糾擺
5603,陸海,14.85,110,21.08,14.65,---,4.6%,均線糾擺,無,無,MA 乖離率僅 0.79%,均線糾擺
8433,弘帆,52.60,27,59.80,46.57,---,7.64%,均線糾擺,無,無,MA 乖離率僅 0.45%,均線糾擺
00991,主動復華未來50,19.75,192882,21.33,9.66,---,---,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
1540,喬福,21.25,419,28.54,20.30,---,5.35%,均線糾擺,無,無,MA 乖離率僅 0.52%,均線糾擺
2417,圓剛,42.65,1340,56.90,33.40,---,0.55%,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
2402,毅嘉,64.10,3789,77.70,36.65,---,4.8%,進入盤整 -> 均線糾擺,無,無,MA 乖離率僅 0.72%,均線糾擺
2351,順德,196.50,10077,229.00,66.04,---,3.17%,進入盤整,無,連1日大跌,ADX 為 17.26 (低於 20),進入盤整
2420,新巨,60.20,759,65.30,47.60,---,5.95%,均線糾擺,無,無,MA 乖離率僅 0.92%,均線糾擺
6189,豐藝,50.50,1538,65.30,42.50,---,5.06%,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
7893,睿信,188.00,56,249.00,140.00,---,---,均線糾擺,無,無,MA 乖離率僅 1.04%,均線糾擺
911622,泰聚亨-DR,3.72,35,4.67,3.51,---,---,均線糾擺,無,無,MA 乖離率僅 0.20%,均線糾擺
8222,寶一,34.20,436,58.60,33.75,---,1.46%,均線糾擺,無,無,MA 乖離率僅 0.56%,均線糾擺
7743,金利食安,0.00,0,30.80,18.50,---,---,資料不足,無,無,缺少 MA5/10/20 指標數據,資料不足
3499,環天科,14.65,94,21.35,13.10,---,---,均線糾擺,無,無,MA 乖離率僅 0.34%,均線糾擺
6223,旺矽,6500.00,752,7175.00,853.96,---,1.5%,強勢突破 (軌外) -> 進入盤整,無,連1日大跌,ADX 為 15.01 (低於 20),進入盤整
6261,久元,90.80,2120,133.50,56.72,---,---,趨勢運行,無,連1日大跌,股價具備方向性，未達特定過濾標準,趨勢運行
7583,國際海洋,41.00,1,87.00,34.50,---,---,均線糾擺 -> 趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
3287,廣寰科,31.75,194,38.45,27.85,---,4.12%,趨勢運行,無,無,股價具備方向性，未達特定過濾標準,趨勢運行
6658,聯策,213.00,4155,233.00,46.40,---,1.31%,進入盤整 -> 貼軌運行,無,無,股價於高位貼軌 (213.00 > 1.5σ)，動能強勁,貼軌運行
2732,六角,65.50,56,82.37,60.35,---,---,均線糾擺,無,無,MA 乖離率僅 0.25%,均線糾擺
