name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
一詮,175.0,0.29,⚠️ 追價風險,2025,242.0,9.150000000000002,396.7213114754098,🚀 利潤擴張,2173.63,15.86%,2900.0,1.35%,726.37,10.09,0.22,2026-03,2486.TW
虹光,110.31,0.4,💎 強力關注,2025,17.1000003815,34.800000000000004,7.370689819612068,🚀 利潤擴張,1694.01,24.41%,1900.0,0.24%,205.99,13.61,0.72,2026-03,2380.TW
嘉晶,-92.39,0.35,⚠️ 追價風險,2025,110.0,2.849999999999999,578.9473684210528,🚀 利潤擴張,1630.13,11.81%,3400.0,4.89%,1769.87,-5.25,0.07,2026-03,3016.TW
南亞,35.71,1.8,⚠️ 追價風險,2025,244.0,27.900000000000006,131.1827956989247,🚀 利潤擴張,1516.21,9.25%,2900.0,2.06%,1383.79,0.12,0.57,2026-03,1303.TW
映泰,275.0,1.48,⚠️ 追價風險,2025,45.3499984741,18.599999999999998,36.57257941459678,🚀 利潤擴張,1335.3100000000002,8.40%,2366.67,-12.67%,1031.36,-14.09,0.15,2026-03,2399.TW
永純,50.0,0.23,⚠️ 追價風險,2025,16.6499996185,7.65,32.6470580754902,🚀 利潤擴張,1225.03,14.61%,2200.0,2.47%,974.97,-4.5,0.15,2026-03,4711.TWO
中纖,250.0,0.17,⚠️ 追價風險,2025,10.6000003815,6.15,25.853659467073168,🚀 利潤擴張,1157.6399999999999,41.46%,1300.0,18.72%,142.36,-0.24,0.09,2026-03,1718.TW
倚強科,406.67,0.48,⚪ 中性觀察,2025,88.3000030518,67.5,19.6222229004,🏰 高護城河,1154.09,69.49%,1275.0,-15.39%,120.91,49.68,1.52,2026-03,3219.TWO
邑昇,-17.95,0.17,⚠️ 追價風險,2025,60.0999984741,11.1,81.21621415418919,🚀 利潤擴張,1063.6100000000001,N/A,1600.0,N/A,536.39,9.81,0.31,2026-03,5291.TWO
星通,-6.25,0.6,💎 強力關注,2025,50.2999992371,78.44999999999999,9.617590676309753,🏰 高護城河,982.33,68.55%,1100.0,43.45%,117.67,4.27,3.45,2026-03,3025.TW
十銓,110.31,27.0,💎 強力關注,2025,276.5,669.75,6.192609182530795,🚀 利潤擴張,807.1099999999999,N/A,2600.0,N/A,1792.89,2.46,13.06,2026-03,4967.TW
所羅門,46.43,0.78,⚠️ 追價風險,2025,130.0,17.699999999999996,110.16949152542375,🚀 利潤擴張,733.74,24.10%,1014.29,2.82%,280.55,21.27,1.23,2026-03,2359.TW
中化生,-566.18,1.64,⚪ 數據不足,2025,34.75,-85.05,0.0,🔄 轉虧為盈,714.3499999999999,-78.82%,1211.11,-143.69%,496.76,-40.26,-4.39,2026-03,1762.TW
