
📅 投資日報表: 2026-08-13
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 266.00   | 266.00   | 260.50   | 263.00   | 24,024,583   | 241.21      | 2000     | ▲43,580   |   +9.03%
4142     | 國光生        | 17.40    | 17.50    | 17.25    | 17.40    | 842,421      | 25.32       | 1000     | ▼7,920    |  -31.28%
0050     | 元大台灣50     | 103.90   | 104.75   | 103.50   | 104.25   | 77,669,272   | 46.60       | 16000    | ▲922,400  | +123.71%
0056     | 元大高股息      | 51.90    | 52.45    | 51.65    | 52.45    | 66,315,154   | 36.43       | 4000     | ▲64,080   |  +43.97%
00635U   | 期元大S&P黃金   | 45.01    | 45.05    | 44.85    | 45.03    | 5,270,895    | 55.25       | 3000     | ▼30,660   |  -18.50%
00738U   | 期元大道瓊白銀    | 51.00    | 51.30    | 50.55    | 51.15    | 4,594,471    | 66.26       | 1000     | ▼15,110   |  -22.80%
00929    | 復華台灣科技優息   | 28.89    | 29.19    | 28.80    | 29.16    | 19,958,240   | 19.73       | 8000     | ▲75,440   |  +47.80%
009816   | 凱基台灣TOP50  | 15.05    | 15.20    | 15.04    | 15.12    | 100,772,417  | 11.01       | 63000    | ▲258,930  |  +37.33%
00990A   | 主動元大AI新經濟  | 15.86    | 16.07    | 15.86    | 16.03    | 11,883,110   | 11.48       | 5000     | ▲22,750   |  +39.63%
2009     | 第一銅        | 40.00    | 40.50    | 39.35    | 40.05    | 2,362,533    | 50.56       | 4000     | ▼42,040   |  -20.79%
2337     | 旺宏         | 134.00   | 139.00   | 129.00   | 132.50   | 144,441,816  | 95.28       | 2000     | ▲74,440   |  +39.06%
2409     | 友達         | 27.85    | 27.90    | 25.90    | 26.10    | 458,805,670  | 16.21       | 2000     | ▲19,780   |  +61.01%
3481     | 群創         | 51.40    | 52.30    | 49.65    | 50.10    | 357,941,978  | 25.10       | 4000     | ▲100,000  |  +99.60%
3105     | 穩懋         | 377.50   | 382.50   | 361.50   | 371.00   | 16,508,552   | 556.47      | 300      | ▼55,641   |  -33.33%
4966     | 譜瑞-KY      | 595.00   | 601.00   | 589.00   | 595.00   | 574,410      | 1921.64     | 1000     | ▼1,326,640 |  -69.04%
2327     | 國巨*        | 568.00   | 623.00   | 567.00   | 617.00   | 79,551,801   | 1030.00     | 1        | ▼413      |  -40.10%
00403A   | 主動統一升級50   | 9.87     | 9.99     | 9.85     | 9.90     | 164,174,866  | 10.68       | 26000    | ▼20,280   |   -7.30%
00981A   | 主動統一台股增長   | 28.44    | 28.88    | 28.35    | 28.53    | 157,633,078  | 27.48       | 2000     | ▲2,100    |   +3.82%
2330     | 台積電        | 2390.00  | 2405.00  | 2375.00  | 2395.00  | 15,907,911   | 225.55      | 10       | ▲21,694   | +961.85%
6789     | 采鈺         | 437.00   | 444.50   | 430.50   | 440.00   | 869,564      | 593.50      | 400      | ▼61,400   |  -25.86%
6849     | 奇鼎科技       | 137.00   | 160.50   | 137.00   | 151.50   | 587,308      | 266.40      | 280      | ▼32,172   |  -43.13%
7853     | 政美應用       | 326.50   | 327.50   | 308.00   | 315.00   | 418,331      | 409.29      | 280      | ▼26,401   |  -23.04%
3576     | 聯合再生       | 17.15    | 17.45    | 17.05    | 17.30    | 7,312,158    | 18.15       | 5000     | ▼4,250    |   -4.68%
1721     | 三晃         | 20.10    | 20.25    | 19.60    | 19.80    | 538,247      | 27.88       | 3000     | ▼24,250   |  -28.99%
8215     | 明基材        | 25.50    | 25.50    | 24.70    | 24.80    | 421,103      | 31.60       | 200      | ▼1,360    |  -21.52%
00405A   | 主動富邦台灣龍耀   | 8.11     | 8.25     | 8.07     | 8.13     | 59,902,099   | 9.34        | 11000    | ▼13,310   |  -12.96%
5498     | 凱崴         | 50.60    | 53.20    | 50.50    | 51.10    | 2,778,579    | 69.61       | 188      | ▼3,480    |  -26.59%
1301     | 台塑         | 55.60    | 55.90    | 54.30    | 55.60    | 16,944,217   | 50.50       | 100      | ▲510      |  +10.10%
6498     | 久禾光        | 75.50    | 76.50    | 73.40    | 73.50    | 110,001      | 67.30       | 12       | ▲74       |   +9.21%
009821   | 野村稀土關鍵資源   | 14.90    | 14.95    | 14.88    | 14.91    | 25,406,430   | 17.30       | 12000    | ▼28,680   |  -13.82%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:         -88,228 (  -1.37%)
