gm,symbol,prev_year,prev_rev_yoy,rev_yoy,prev_eps,est_price,eps_yoy,pe,om,date,advice,price,prev_eps_yoy,status,eps,name,expansion
N/A,6658.TW,2025,30.53,436.36,1.38,55.04999999999999,328.95,47.41144414168938,N/A,2026-03,❌ 暫避觀望,174.0,24.77,⚠️ 獲利稀釋,1.63,聯策,-107.41000000000003
N/A,1540.TW,2025,-0.53,71.52,1.11,31.5,-36.0,9.142857506142857,N/A,2026-03,⚪ 中性觀察,19.2000007629,-47.64,📉 獲利侵蝕,0.32,喬福,-107.52
75.32%,1786.TW,2025,0.37,44.42,2.24,67.2,-63.29,11.383928571428571,19.86%,2026-03,⚪ 中性觀察,51.0,-35.61,🏰 高護城河,0.29,科妍,-107.71000000000001
49.95%,3217.TWO,2025,19.44,104.27,12.69,453.6,-4.73,4.695767195767195,28.69%,2026-03,⚪ 中性觀察,142.0,12.8,📉 獲利侵蝕,2.82,優群,-109.0
N/A,7734.TWO,2025,27.91,153.11,33.5,1336.05,43.77,36.488155383406315,N/A,2026-03,❌ 暫避觀望,3250.0,-26.31,⚠️ 獲利稀釋,14.68,印能科技,-109.34
N/A,6791.TWO,2025,19.26,187.97,4.16,168.75,78.26,9.066666666666666,N/A,2026-03,⚪ 中性觀察,102.0,0.0,⚠️ 獲利稀釋,1.64,虎門科技,-109.71
30.43%,4198.TWO,2025,-15.0,95.21,-1.96,-74.55000000000001,-14.71,0.0,-23.61%,2026-03,⚪ 數據不足,41.5,-14.62,📉 獲利侵蝕,-0.39,欣大健康,-109.91999999999999
51.63%,2640.TWO,2025,4.37,119.83,9.01,333.29999999999995,9.77,6.660666066606661,21.47%,2026-03,⚪ 中性觀察,148.0,0.9,🏰 高護城河,2.36,大車隊,-110.06
44.03%,3152.TWO,2025,-15.61,105.69,9.42,391.95000000000005,-4.79,8.840413318025258,18.21%,2026-03,⚪ 中性觀察,231.0,51.69,📉 獲利侵蝕,1.39,璟德,-110.48
N/A,6859.TWO,2025,35.45,64.12,2.86,100.35000000000001,-46.56,15.470852017937219,N/A,2026-03,❌ 暫避觀望,103.5,-8.36,📉 獲利侵蝕,1.01,伯特光,-110.68
48.08%,2379.TW,2025,8.21,101.71,28.77,1165.6499999999999,-9.48,9.754214386822804,8.88%,2026-03,⚪ 中性觀察,758.0,-4.02,📉 獲利侵蝕,8.44,瑞昱,-111.19
43.22%,2633.TW,2025,2.75,123.39,1.17,45.75000000000001,12.12,8.508196971442622,38.82%,2026-03,⚪ 中性觀察,25.9500007629,1.74,⚠️ 獲利稀釋,0.37,台灣高鐵,-111.27
33.67%,3051.TW,2025,-0.63,113.93,1.01,34.5,2.33,10.173912877608696,15.38%,2026-03,⚪ 中性觀察,23.3999996185,-49.5,⚠️ 獲利稀釋,0.45,力特,-111.60000000000001
N/A,5508.TWO,2025,-74.75,76.83,3.07,119.39999999999999,-35.56,6.633165733304021,N/A,2026-03,⚪ 中性觀察,52.7999992371,-80.85,📉 獲利侵蝕,0.87,永信建,-112.39
51.18%,4583.TW,2025,1.32,98.42,12.0,438.9,-14.42,17.49829118250171,30.40%,2026-03,❌ 暫避觀望,512.0,-15.13,🏰 高護城河,3.56,台灣精銳,-112.84
N/A,5212.TWO,2025,15.91,125.36,4.74,122.09999999999998,12.5,5.737100830823096,N/A,2026-03,⚪ 中性觀察,46.7000007629,23.44,⚠️ 獲利稀釋,0.54,凌網,-112.86
N/A,5523.TWO,2025,-98.98,13.7,-0.09,-3.9000000000000004,-100.0,0.0,N/A,2026-03,⚪ 數據不足,30.3500003815,-116.36,📉 獲利侵蝕,-0.04,豐謙,-113.7
48.09%,3526.TWO,2025,22.33,128.79,16.97,633.6,14.99,6.8181818181818175,32.41%,2026-03,⚪ 中性觀察,288.0,5.64,⚠️ 獲利稀釋,4.7,凡甲,-113.8
N/A,6907.TWO,2025,1.91,403.24,2.08,0.0,289.29,0.0,N/A,2026-03,⚪ 數據不足,170.5,24.55,⚠️ 獲利稀釋,1.16,雅特力-KY,-113.94999999999999
N/A,7738.TWO,2025,30.15,117.76,14.61,545.5500000000001,2.94,4.687929612317844,N/A,2026-03,⚪ 中性觀察,170.5,44.26,⚠️ 獲利稀釋,2.8,東聯互動,-114.82000000000001
N/A,6904.TWO,2025,-3.05,164.92,5.44,183.6,50.0,9.844771241830065,N/A,2026-03,⚪ 中性觀察,120.5,-48.04,⚠️ 獲利稀釋,1.83,伯鑫,-114.91999999999999
38.23%,3066.TWO,2025,10.12,269.86,-1.4,-67.35000000000001,154.74,0.0,-18.85%,2026-03,⚪ 數據不足,23.6000003815,-207.69,🔄 轉虧為盈,0.52,李洲,-115.12
58.30%,2915.TW,2025,-16.33,97.54,9.29,339.15,-18.06,2.3927465048252987,5.98%,2026-03,⚪ 中性觀察,54.0999984741,-28.5,🏰 高護城河,2.59,潤泰全,-115.60000000000001
N/A,3164.TW,2025,4.11,42.46,0.66,17.700000000000003,-73.68,13.728814205847456,N/A,2026-03,⚪ 中性觀察,16.2000007629,0.0,📉 獲利侵蝕,0.05,景岳,-116.14000000000001
47.07%,2727.TW,2025,5.21,131.29,16.02,614.25,14.09,5.628815628815628,7.36%,2026-03,⚪ 中性觀察,230.5,2.75,⚠️ 獲利稀釋,5.04,王品,-117.19999999999999
56.51%,1784.TWO,2025,1.19,99.89,1.02,37.8,-17.86,24.682539985277778,-0.97%,2026-03,❌ 暫避觀望,62.2000007629,-38.61,🏰 高護城河,0.25,訊聯,-117.75
N/A,6491.TW,2025,3.26,114.65,20.87,789.0,-3.51,7.034220532319392,N/A,2026-03,⚪ 中性觀察,370.0,-11.08,📉 獲利侵蝕,6.06,晶碩,-118.16000000000001
N/A,6752.TWO,2025,16.33,119.32,7.41,262.2,0.0,5.778032036613272,N/A,2026-03,⚪ 中性觀察,101.0,20.95,📉 獲利侵蝕,1.39,叡揚,-119.32
46.13%,2454.TW,2025,12.32,102.07,66.16,2535.1499999999996,-17.75,24.998520797585943,14.55%,2026-03,❌ 暫避觀望,4225.0,-1.14,📉 獲利侵蝕,15.17,聯發科,-119.82
N/A,6104.TWO,2025,27.6,76.96,5.62,230.1,-42.98,6.095176010430248,N/A,2026-03,⚪ 中性觀察,93.5,66.87,📉 獲利侵蝕,1.34,創惟,-119.94
N/A,6910.TWO,2025,30.1,104.82,2.0,72.30000000000001,-15.62,5.186721991701244,N/A,2026-03,⚪ 中性觀察,25.0,58.93,📉 獲利侵蝕,0.27,德鴻,-120.44
41.62%,2740.TWO,2025,-45.74,0.01,-3.19,-137.1,-120.75,0.0,-45.63%,2026-03,⚪ 數據不足,30.25,35.27,📉 獲利侵蝕,-1.32,華軒,-120.76
N/A,6530.TWO,2025,16.68,162.97,1.95,72.30000000000001,41.3,17.8008305086722,N/A,2026-03,❌ 暫避觀望,85.8000030518,18.9,⚠️ 獲利稀釋,0.65,創威,-121.67
N/A,6921.TW,2025,28.45,-53.12,0.35,7.649999999999999,-175.0,134.3137254901961,N/A,2026-03,❌ 暫避觀望,68.5,-55.26,🌑 雙重衰退,-0.27,嘉雨思-創,-121.88
N/A,7751.TWO,2025,62.42,196.55,20.5,748.35,74.56,26.35798757265985,N/A,2026-03,❌ 暫避觀望,1315.0,60.48,⚠️ 獲利稀釋,7.0,竑騰,-121.99000000000001
N/A,6538.TWO,2025,-34.5,110.02,1.15,74.55,-12.87,35.714285714285715,N/A,2026-03,❌ 暫避觀望,177.5,-87.49,📉 獲利侵蝕,0.9,倉和,-122.89
N/A,9941.TW,2025,-4.66,115.84,7.68,288.15000000000003,-7.91,4.482040524419573,N/A,2026-03,⚪ 中性觀察,86.0999984741,-12.45,📉 獲利侵蝕,1.82,裕融,-123.75
N/A,5534.TW,2025,-29.66,44.79,6.0,140.85000000000002,-79.31,8.349307936730563,N/A,2026-03,⚪ 中性觀察,78.4000015259,-23.57,📉 獲利侵蝕,0.19,長虹,-124.1
N/A,6730.TWO,2025,7.33,106.18,2.14,78.89999999999999,-18.52,6.463878326996198,N/A,2026-03,⚪ 中性觀察,34.0,-10.33,📉 獲利侵蝕,0.44,常廣,-124.7
49.30%,2420.TW,2025,-2.6,127.83,3.91,141.3,2.97,6.125265473768577,35.64%,2026-03,⚪ 中性觀察,57.7000007629,-10.32,⚠️ 獲利稀釋,1.05,新巨,-124.86
56.72%,3176.TWO,2025,15.28,-26.36,-0.78,-9.600000000000001,-151.35,0.0,-48.58%,2026-03,⚪ 數據不足,34.1500015259,46.94,🏰 高護城河,-0.38,基亞,-124.99
18.47%,4807.TW,2025,19.6,769.01,-0.24,-3.4499999999999997,644.0,0.0,4.68%,2026-03,⚪ 數據不足,31.5,84.62,🔄 轉虧為盈,1.7,日成-KY,-125.00999999999999
N/A,6655.TW,2025,3.86,148.24,3.92,135.6,20.78,12.942477876106196,N/A,2026-03,⚪ 中性觀察,117.0,-18.72,⚠️ 獲利稀釋,0.95,科定,-127.46000000000001
73.88%,3085.TWO,2025,5.58,86.45,-0.56,-23.400000000000002,-41.18,0.0,-74.64%,2026-03,⚪ 數據不足,12.1999998093,41.67,🏰 高護城河,-0.24,新零售,-127.63
31.57%,4580.TWO,2025,-5.55,298.59,5.03,195.6,170.77,6.035275839585889,12.43%,2026-03,⚪ 中性觀察,78.6999969482,-42.92,⚠️ 獲利稀釋,1.76,捷流閥業,-127.81999999999996
46.40%,4908.TWO,2025,-12.98,129.18,1.98,75.3,1.33,31.872509960159366,17.75%,2026-03,❌ 暫避觀望,160.0,-29.79,⚠️ 獲利稀釋,0.76,前鼎,-127.85000000000001
51.54%,3533.TW,2025,12.28,133.38,70.17,2491.8,5.34,10.895738020707922,29.92%,2026-03,⚪ 中性觀察,1810.0,-15.21,🏰 高護城河,21.37,嘉澤,-128.04
N/A,6146.TWO,2025,-1.34,133.06,10.77,405.75,4.21,7.116451016635859,N/A,2026-03,⚪ 中性觀察,192.5,-14.93,⚠️ 獲利稀釋,2.97,耕興,-128.85
N/A,5904.TWO,2025,7.16,153.5,29.54,1085.5500000000002,24.33,1.130302653748791,N/A,2026-03,⚪ 中性觀察,81.8000030518,10.48,⚠️ 獲利稀釋,9.3,寶雅,-129.17000000000002
N/A,6899.TWO,2025,27.05,133.24,3.59,130.65,3.92,5.8094142909414455,N/A,2026-03,⚪ 中性觀察,50.5999984741,7.23,⚠️ 獲利稀釋,1.08,創為精密,-129.32000000000002
60.10%,4166.TWO,2025,14.52,100.47,0.9,28.35,-30.43,12.962962962962962,23.50%,2026-03,⚪ 中性觀察,24.5,79.17,🏰 高護城河,0.16,友霖,-130.9
N/A,7750.TW,2025,29.17,234.77,35.12,1357.5,103.4,26.07734806629834,N/A,2026-03,❌ 暫避觀望,2360.0,51.69,⚠️ 獲利稀釋,15.38,新代,-131.37
N/A,6205.TW,2025,-3.02,86.74,2.0,71.55,-45.71,13.270440091635223,N/A,2026-03,⚪ 中性觀察,63.2999992371,-25.66,📉 獲利侵蝕,0.38,詮欣,-132.45
N/A,4968.TW,2025,2.24,239.86,2.66,68.55000000000001,107.14,21.00656455142232,N/A,2026-03,❌ 暫避觀望,96.0,56.47,⚠️ 獲利稀釋,0.58,立積,-132.72000000000003
N/A,5490.TWO,2025,12.01,127.49,1.69,67.64999999999999,-5.56,6.796008784589801,N/A,2026-03,⚪ 中性觀察,30.6499996185,382.35,📉 獲利侵蝕,0.7,同亨,-133.04999999999998
43.28%,3680.TWO,2025,12.26,149.46,9.43,282.3,15.91,25.079702444208287,17.47%,2026-03,❌ 暫避觀望,472.0,-22.51,⚠️ 獲利稀釋,2.55,家登,-133.55
48.05%,2948.TWO,2025,1.84,136.2,2.14,77.25,2.56,7.368932186970873,9.02%,2026-03,⚪ 中性觀察,37.9500007629,-2.28,⚠️ 獲利稀釋,0.4,寶陞,-133.64
42.10%,3131.TWO,2025,59.93,215.25,45.48,1553.55,81.01,25.441730230761806,29.56%,2026-03,❌ 暫避觀望,2635.0,56.98,⚠️ 獲利稀釋,16.11,弘塑,-134.24
N/A,5906.TW,2025,-7.04,64.29,0.98,42.45,-70.27,13.003533299328623,N/A,2026-03,⚪ 中性觀察,36.7999992371,-41.32,📉 獲利侵蝕,0.11,台南-KY,-134.56
N/A,6171.TWO,2025,-35.35,301.75,3.82,158.10000000000002,166.67,2.3102467155123336,N/A,2026-03,⚪ 中性觀察,24.3500003815,-33.33,⚠️ 獲利稀釋,0.08,大城地產,-135.08
41.30%,3138.TW,2025,2.05,226.98,1.5,15.3,90.48,95.68627301382354,7.58%,2026-03,❌ 暫避觀望,97.5999984741,-51.49,⚠️ 獲利稀釋,-0.02,耀登,-136.5
N/A,5278.TWO,2025,18.28,115.09,1.05,38.849999999999994,-21.62,9.498069645366796,N/A,2026-03,⚪ 中性觀察,24.6000003815,56.72,📉 獲利侵蝕,0.29,尚凡*,-136.71
N/A,6642.TWO,2025,3.61,124.86,2.6,93.15,-11.9,13.961352165571657,N/A,2026-03,⚪ 中性觀察,86.6999969482,-27.37,📉 獲利侵蝕,0.74,富致,-136.76
24.70%,4109.TWO,2025,-9.62,182.43,0.43,13.35,45.45,12.584269448651686,-7.54%,2026-03,⚪ 中性觀察,11.1999998093,-80.37,⚠️ 獲利稀釋,0.15,加捷生醫,-136.98000000000002
N/A,6680.TWO,2025,-15.41,237.41,-0.29,-35.849999999999994,100.0,0.0,N/A,2026-03,⚪ 數據不足,51.2000007629,-106.78,🔄 轉虧為盈,0.08,鑫創電子,-137.41
33.68%,1319.TW,2025,-1.96,102.78,6.43,0.0,-34.68,0.0,18.07%,2026-03,⚪ 數據不足,0.0,-13.11,📉 獲利侵蝕,1.62,東陽,-137.46
N/A,6517.TWO,2025,-1.73,102.54,1.63,45.3,-35.0,21.09271548440397,N/A,2026-03,❌ 暫避觀望,63.7000007629,-55.59,📉 獲利侵蝕,0.52,保勝光學,-137.54000000000002
40.70%,2913.TW,2025,9.13,137.61,-0.15,-5.7,0.0,0.0,-7.01%,2026-03,⚪ 數據不足,10.9499998093,31.82,📉 獲利侵蝕,-0.04,農林,-137.61
N/A,8422.TW,2025,-7.53,43.67,1.29,299.54999999999995,-94.21,1.3244867682974462,N/A,2026-03,⚪ 中性觀察,26.4500007629,-87.79,📉 獲利侵蝕,0.21,可寧衛*,-137.88
N/A,6206.TW,2025,9.26,148.7,6.9,277.65000000000003,10.57,8.454889249054565,N/A,2026-03,⚪ 中性觀察,156.5,-0.43,⚠️ 獲利稀釋,2.51,飛捷,-138.13
N/A,6532.TWO,2025,-6.21,103.42,7.31,175.2,-34.88,7.448630136986302,N/A,2026-03,⚪ 中性觀察,87.0,81.39,📉 獲利侵蝕,0.84,瑞耘,-138.3
N/A,5211.TWO,2025,34.16,174.21,-0.77,-33.3,35.71,0.0,N/A,2026-03,⚪ 數據不足,19.5499992371,34.19,⚠️ 獲利稀釋,-0.18,蒙恬,-138.5
25.80%,3306.TWO,2025,10.49,312.01,1.95,83.55000000000001,173.33,8.00718105459605,1.28%,2026-03,⚪ 中性觀察,44.5999984741,-33.45,⚠️ 獲利稀釋,0.11,鼎天,-138.67999999999998
N/A,8109.TWO,2025,15.04,148.79,6.18,223.8,10.06,8.713136729222521,N/A,2026-03,⚪ 中性觀察,130.0,-4.63,⚠️ 獲利稀釋,1.75,博大,-138.73
15.75%,1414.TW,2025,-10.66,539.09,0.19,5.8500000000000005,400.0,49.61538559358974,-3.56%,2026-03,❌ 暫避觀望,19.3500003815,-19.23,⚠️ 獲利稀釋,0.06,東和,-139.09000000000003
N/A,7770.TWO,2025,12.79,51.4,3.0,78.0,-87.95,7.644230769230769,N/A,2026-03,⚪ 中性觀察,39.75,-47.4,📉 獲利侵蝕,0.1,君曜,-139.35
N/A,7765.TW,2025,3.64,142.19,11.47,440.70000000000005,2.74,7.70932607215793,N/A,2026-03,⚪ 中性觀察,226.5,2.97,⚠️ 獲利稀釋,3.38,中華資安,-139.45
49.97%,1295.TWO,2025,4.97,70.64,5.29,193.95,-69.05,3.5885538689791185,11.73%,2026-03,⚪ 中性觀察,46.4000015259,-6.08,📉 獲利侵蝕,0.39,生合,-139.69
N/A,6243.TW,2025,-12.93,30.39,-0.52,-18.6,-109.68,0.0,N/A,2026-03,⚪ 數據不足,43.9000015259,-147.27,📉 獲利侵蝕,-0.03,迅杰,-140.07
34.23%,4584.TWO,2025,-1.51,108.67,3.43,134.39999999999998,-31.58,4.308035543984375,12.30%,2026-03,⚪ 中性觀察,38.5999984741,-4.72,📉 獲利侵蝕,0.91,君帆,-140.25
N/A,2729.TWO,2025,0.46,104.46,6.76,290.85,-36.22,8.303249097472923,N/A,2026-03,⚪ 中性觀察,161.0,-24.75,📉 獲利侵蝕,1.64,瓦城,-140.68
42.16%,3035.TW,2025,62.61,71.65,2.81,99.74999999999999,-69.92,26.61654135338346,2.86%,2026-03,❌ 暫避觀望,177.0,-29.75,📉 獲利侵蝕,0.4,智原,-141.57
N/A,6292.TWO,2025,-3.28,244.55,2.0,52.95,102.78,18.696883852691215,N/A,2026-03,❌ 暫避觀望,66.0,-48.05,⚠️ 獲利稀釋,0.73,迅德,-141.77
N/A,8081.TW,2025,5.0,137.6,17.76,659.1,-4.18,6.1219845243513875,N/A,2026-03,⚪ 中性觀察,269.0,-0.84,📉 獲利侵蝕,4.62,致新,-141.78
N/A,6527.TWO,2025,9.33,133.59,5.8,215.7,-8.28,5.215577190542421,N/A,2026-03,⚪ 中性觀察,75.0,15.63,📉 獲利侵蝕,1.33,明達醫,-141.87
N/A,6461.TWO,2025,170.31,143.49,-2.57,-88.05,1.56,0.0,N/A,2026-03,⚪ 數據不足,16.3500003815,18.35,⚠️ 獲利稀釋,-0.63,益得,-141.93
N/A,7715.TWO,2025,-27.76,89.96,3.09,127.64999999999999,-52.24,3.7602820211515864,N/A,2026-03,⚪ 中性觀察,32.0,-39.84,📉 獲利侵蝕,0.64,裕山,-142.2
47.51%,1590.TW,2025,11.97,180.17,42.0,1583.5500000000002,37.91,13.924410343847683,31.25%,2026-03,⚪ 中性觀察,1470.0,10.18,⚠️ 獲利稀釋,13.35,亞德客-KY,-142.26
32.24%,1538.TW,2025,1.9,51.34,-1.59,-39.0,-91.38,0.0,-58.77%,2026-03,⚪ 數據不足,9.1999998093,6.47,📉 獲利侵蝕,-1.11,正峰,-142.72
N/A,5468.TWO,2025,36.88,443.05,-0.65,-13.65,300.0,0.0,N/A,2026-03,⚪ 數據不足,30.3999996185,-246.15,🔄 轉虧為盈,0.12,凱鈺,-143.05
38.19%,3034.TW,2025,-2.07,114.65,26.87,1029.8999999999999,-28.44,7.835712205068454,16.92%,2026-03,⚪ 中性觀察,538.0,-19.62,📉 獲利侵蝕,6.19,聯詠,-143.09
N/A,8033.TW,2025,14.37,185.98,0.58,35.24999999999999,41.67,78.08510638297874,N/A,2026-03,❌ 暫避觀望,183.5,14.0,⚠️ 獲利稀釋,0.34,雷虎,-144.31
N/A,4966.TWO,2025,1.76,125.8,34.51,1293.4499999999998,-19.19,6.795778731300012,N/A,2026-03,⚪ 中性觀察,586.0,6.64,📉 獲利侵蝕,6.77,譜瑞-KY,-144.99
N/A,7769.TW,2025,116.34,206.98,75.71,2791.5,61.74,36.37829124126814,N/A,2026-03,❌ 暫避觀望,6770.0,110.03,⚠️ 獲利稀釋,25.7,鴻勁,-145.23999999999998
N/A,4995.TWO,2025,-7.32,237.89,2.25,72.45,92.31,10.41407851699793,N/A,2026-03,⚪ 中性觀察,50.2999992371,-50.22,⚠️ 獲利稀釋,1.01,晶達,-145.57999999999998
N/A,4155.TW,2025,-6.81,269.52,0.58,11.549999999999999,123.53,19.610390105844157,N/A,2026-03,❌ 暫避觀望,15.1000003815,-10.94,⚠️ 獲利稀釋,0.39,訊映,-145.98999999999998
33.56%,1203.TW,2025,-10.06,130.66,1.81,63.3,-15.52,10.90047393364929,14.34%,2026-03,⚪ 中性觀察,46.0,-23.5,📉 獲利侵蝕,0.49,味王,-146.18
N/A,7642.TWO,2025,-15.67,79.57,3.29,130.35000000000002,-66.89,8.929804197249712,N/A,2026-03,⚪ 中性觀察,77.5999984741,-50.94,📉 獲利侵蝕,0.5,昶瑞機電,-146.45999999999998
N/A,7810.TWO,2025,34.56,177.74,6.25,202.2,30.71,14.873887240356085,N/A,2026-03,⚪ 中性觀察,200.5,47.62,⚠️ 獲利稀釋,1.83,捷創科技,-147.03
N/A,8932.TWO,2025,51.84,107.87,1.85,107.1,-39.77,14.705882352941178,N/A,2026-03,⚪ 中性觀察,105.0,-7.07,📉 獲利侵蝕,0.53,智通*,-147.64000000000001
N/A,6821.TWO,2025,2.84,151.01,1.13,41.699999999999996,3.33,15.467625899280577,N/A,2026-03,❌ 暫避觀望,43.0,-5.93,⚠️ 獲利稀釋,0.32,聯寶,-147.67999999999998
N/A,5234.TW,2025,12.43,165.36,7.37,275.1,17.55,18.293347873500544,N/A,2026-03,❌ 暫避觀望,335.5,32.55,⚠️ 獲利稀釋,2.21,達興材料,-147.81
N/A,6671.TW,2025,-2.1,118.45,2.37,76.94999999999999,-29.73,4.463937547465888,N/A,2026-03,⚪ 中性觀察,22.8999996185,-25.47,📉 獲利侵蝕,0.26,三能-KY,-148.18
N/A,8923.TWO,2025,2.69,86.03,0.96,34.199999999999996,-62.5,8.267544026973685,N/A,2026-03,⚪ 中性觀察,18.8500003815,3.23,📉 獲利侵蝕,0.18,時報,-148.53
N/A,4572.TW,2025,-23.02,119.1,3.0,106.8,-29.77,19.52247191011236,N/A,2026-03,❌ 暫避觀望,139.0,-58.85,📉 獲利侵蝕,0.92,駐龍,-148.87
41.25%,3653.TW,2025,42.0,148.55,36.75,1359.6,-0.63,51.13636363636363,31.26%,2026-03,❌ 暫避觀望,4635.0,49.96,📉 獲利侵蝕,9.53,健策,-149.18
23.65%,2231.TW,2025,-21.77,106.56,-1.63,-24.3,-42.86,0.0,-15.73%,2026-03,⚪ 數據不足,99.0999984741,-148.96,🔄 轉虧為盈,0.4,為升,-149.42000000000002
N/A,4188.TWO,2025,-42.69,166.01,-0.88,-33.75,16.0,0.0,N/A,2026-03,⚪ 數據不足,9.9399995804,-10.0,⚠️ 獲利稀釋,-0.21,安克,-150.01
N/A,6226.TW,2025,-3.71,261.16,-0.28,-9.9,111.11,0.0,N/A,2026-03,⚪ 數據不足,19.6000003815,38.64,🔄 轉虧為盈,0.01,光鼎,-150.05
N/A,7753.TWO,2025,9.51,159.56,4.22,157.95,9.09,3.5612535612535616,N/A,2026-03,⚪ 中性觀察,37.5,10.39,⚠️ 獲利稀釋,1.08,星亞,-150.47
49.56%,4142.TW,2025,-9.99,167.87,-0.57,-47.25000000000001,17.31,0.0,23.11%,2026-03,⚪ 數據不足,17.2999992371,1.75,⚠️ 獲利稀釋,-0.44,國光生,-150.56
N/A,6719.TW,2025,23.89,192.82,6.58,222.3,41.89,14.035087719298245,N/A,2026-03,⚪ 中性觀察,208.0,198.64,⚠️ 獲利稀釋,2.1,力智,-150.93
N/A,6683.TWO,2025,23.03,216.06,15.42,550.4999999999999,64.88,38.01089918256131,N/A,2026-03,❌ 暫避觀望,1395.0,-12.9,⚠️ 獲利稀釋,6.23,雍智科技,-151.18
44.07%,3086.TWO,2025,5.99,47.85,-0.62,-25.5,-104.55,0.0,-19.63%,2026-03,⚪ 數據不足,26.7999992371,-192.54,📉 獲利侵蝕,-0.01,華義*,-152.4
N/A,6515.TW,2025,35.51,166.0,46.93,1842.6000000000001,13.4,54.908824487137736,N/A,2026-03,❌ 暫避觀望,6745.0,40.24,⚠️ 獲利稀釋,19.54,穎崴,-152.6
N/A,4946.TWO,2025,786.25,69.99,3.14,144.9,-82.61,8.333333333333334,N/A,2026-03,⚪ 中性觀察,80.5,131.69,📉 獲利侵蝕,0.41,辣椒,-152.6
N/A,6962.TW,2025,-15.03,83.05,2.87,120.60000000000001,-69.68,4.191542383445273,N/A,2026-03,⚪ 中性觀察,33.7000007629,-39.39,📉 獲利侵蝕,0.58,奕力-KY,-152.73000000000002
49.60%,2756.TWO,2025,69.66,148.91,3.93,125.39999999999999,-3.85,6.758373205741627,5.94%,2026-03,⚪ 中性觀察,56.5,61.83,📉 獲利侵蝕,0.51,聯發國際,-152.76
38.12%,3438.TWO,2025,4.92,125.85,1.0,29.250000000000004,-27.27,30.871795263025636,-0.86%,2026-03,❌ 暫避觀望,60.2000007629,-33.77,📉 獲利侵蝕,0.24,類比科,-153.12
N/A,6585.TW,2025,-13.21,124.98,5.64,210.0,-28.46,8.571428571428571,N/A,2026-03,⚪ 中性觀察,120.0,-45.5,📉 獲利侵蝕,1.86,鼎基,-153.44
23.48%,3308.TW,2025,-88.36,55.25,0.68,7.95,-98.28,36.79245283018868,-362.94%,2026-03,❌ 暫避觀望,19.5,-32.0,📉 獲利侵蝕,0.01,聯德,-153.53
34.04%,2348.TW,2025,-27.63,60.26,6.85,208.2,-93.37,5.028818663674352,22.47%,2026-03,⚪ 中性觀察,69.8000030518,-51.27,📉 獲利侵蝕,0.16,海悅,-153.63
N/A,1524.TW,2025,-12.78,108.08,1.95,68.7,-45.92,5.884279642554585,N/A,2026-03,⚪ 中性觀察,26.9500007629,-45.98,📉 獲利侵蝕,0.53,耿鼎,-154.0
46.23%,2617.TW,2025,-2.28,177.0,3.18,0.0,22.41,0.0,41.07%,2026-03,⚪ 數據不足,0.0,3.25,⚠️ 獲利稀釋,0.71,台航,-154.59
34.82%,3122.TWO,2025,-11.1,199.88,-1.75,-67.95,45.28,0.0,-12.95%,2026-03,⚪ 數據不足,26.1000003815,-22.38,⚠️ 獲利稀釋,-0.29,笙泉,-154.6
N/A,6695.TW,2025,10.49,159.07,-1.83,-87.9,4.29,0.0,N/A,2026-03,⚪ 數據不足,51.5,-355.0,⚠️ 獲利稀釋,-0.68,芯鼎,-154.78
58.57%,3491.TWO,2025,5.02,225.35,7.83,290.7,70.37,69.4014447884417,27.57%,2026-03,❌ 暫避觀望,1345.0,-12.03,🏰 高護城河,3.68,昇達科,-154.98
N/A,6161.TWO,2025,12.38,200.61,2.72,100.05,45.61,7.841079345892054,N/A,2026-03,⚪ 中性觀察,52.2999992371,-20.23,⚠️ 獲利稀釋,0.83,捷波,-155.0
N/A,4163.TWO,2025,1.22,132.18,5.13,179.25000000000003,-23.31,11.841004184100417,N/A,2026-03,⚪ 中性觀察,141.5,-5.16,📉 獲利侵蝕,1.29,鐿鈦,-155.49
N/A,6761.TWO,2025,-2.32,140.64,7.34,269.25,-14.89,10.027855153203342,N/A,2026-03,⚪ 中性觀察,180.0,2.89,📉 獲利侵蝕,1.6,穩得,-155.52999999999997
40.97%,3093.TWO,2025,38.76,74.54,1.22,44.849999999999994,-81.4,16.471571906354516,11.18%,2026-03,❌ 暫避觀望,49.25,15.09,📉 獲利侵蝕,0.08,港建*,-155.94
N/A,5474.TWO,2025,22.92,115.66,5.49,185.7,-41.18,12.722132471728596,N/A,2026-03,⚪ 中性觀察,157.5,-22.13,📉 獲利侵蝕,0.6,聰泰,-156.84
N/A,6498.TWO,2025,19.77,173.58,6.51,229.95000000000002,16.67,4.8597521200260925,N/A,2026-03,⚪ 中性觀察,74.5,11.33,⚠️ 獲利稀釋,1.75,久禾光,-156.91000000000003
N/A,9918.TW,2025,2.96,174.38,1.61,65.4,16.98,9.747706422018348,N/A,2026-03,⚪ 中性觀察,42.5,-28.18,⚠️ 獲利稀釋,0.63,欣天然,-157.4
N/A,8067.TWO,2025,-2.17,57.79,-0.59,-29.85,-100.0,0.0,N/A,2026-03,⚪ 數據不足,13.1499996185,16.9,📉 獲利侵蝕,-0.62,志旭,-157.79
N/A,5272.TWO,2025,2.86,68.27,-1.33,-50.4,-90.0,0.0,N/A,2026-03,⚪ 數據不足,17.8500003815,-1377.78,📉 獲利侵蝕,-0.57,笙科,-158.26999999999998
