🎯 執行單一股票回測: 2455.TW
==========================================================================================

📈 標的: 2455.TW
  [2024-09-03] 入: 148.93 -> [2024-09-05] 出: 133.84 | 損益: -10.13% | 持有: 2天
  [2024-09-24] 入: 142.6 -> [2024-10-08] 出: 150.39 | 損益: 5.46% | 持有: 14天
  [2024-11-22] 入: 158.67 -> [2024-12-06] 出: 161.59 | 損益: 1.84% | 持有: 14天
  [2024-12-19] 入: 161.59 -> [2024-12-20] 出: 167.91 | 損益: 3.91% | 持有: 1天
  [2025-05-13] 入: 105.61 -> [2025-05-26] 出: 102.21 | 損益: -3.22% | 持有: 13天
  [2025-06-13] 入: 117.78 -> [2025-06-24] 出: 120.0 | 損益: 1.88% | 持有: 11天
  [2025-06-26] 入: 130.0 -> [2025-07-02] 出: 125.0 | 損益: -3.85% | 持有: 6天
  [2025-07-16] 入: 140.5 -> [2025-07-22] 出: 136.0 | 損益: -3.2% | 持有: 6天
  [2025-07-28] 入: 150.0 -> [2025-08-07] 出: 148.5 | 損益: -1.0% | 持有: 10天
  [2025-08-28] 入: 157.0 -> [2025-09-05] 出: 154.0 | 損益: -1.91% | 持有: 8天
  [2025-09-19] 入: 167.5 -> [2025-09-25] 出: 159.5 | 損益: -4.78% | 持有: 6天
  [2025-11-11] 入: 157.0 -> [2025-11-19] 出: 142.5 | 損益: -9.24% | 持有: 8天
  [2025-12-26] 入: 154.0 -> [2026-01-07] 出: 152.0 | 損益: -1.3% | 持有: 12天
  [2026-01-16] 入: 170.0 -> [2026-01-27] 出: 173.0 | 損益: 1.76% | 持有: 11天
  [2026-02-11] 入: 194.0 -> [2026-03-10] 出: 203.5 | 損益: 4.9% | 持有: 27天
  [2026-03-26] 入: 274.0 -> [2026-04-07] 出: 267.5 | 損益: -2.37% | 持有: 12天
  [2026-04-09] 入: 292.5 -> [2026-04-15] 出: 282.0 | 損益: -3.59% | 持有: 6天
  --- 小計損益: 35.83 ---

==========================================================================================
📊 總結報告：
全部總損益: 35.83
總成交筆數: 95
報告儲存位置: report/20260417
