id,pnl,count,signal,reason,price
8917.TWO,-11.15,2,☁️ 觀望,目前動能不足,52.7999992371
5011.TWO,-11.17,2,💎 持股,趨勢向上維持中,14.6499996185
1522.TW,-11.19,2,💎 持股,趨勢向上維持中,32.7999992371
2059.TW,-11.19,1,💎 持股,趨勢向上維持中,3640.0
4123.TWO,-11.19,4,☁️ 觀望,目前動能不足,40.4000015259
5607.TW,-11.19,4,🔥 買入,滿足趨勢突破條件,48.1500015259
9110.TW,-11.21,3,💎 持股,趨勢向上維持中,3.0999999046
6762.TWO,-11.22,2,💎 持股,趨勢向上維持中,170.5
2417.TW,-11.24,3,💎 持股,趨勢向上維持中,41.4000015259
8423.TWO,-11.31,4,☁️ 觀望,目前動能不足,18.2999992371
2357.TW,-11.32,2,🔥 買入,滿足趨勢突破條件,599.0
3533.TW,-11.39,3,🔥 買入,滿足趨勢突破條件,2490.0
3147.TWO,-11.45,2,💎 持股,趨勢向上維持中,163.0
5222.TW,-11.45,2,💎 持股,趨勢向上維持中,144.5
6203.TWO,-11.45,2,☁️ 觀望,目前動能不足,65.5999984741
3209.TW,-11.47,2,🔥 買入,滿足趨勢突破條件,47.4500007629
7780.TW,-11.47,2,💎 持股,趨勢向上維持中,20.3500003815
5206.TWO,-11.5,3,☁️ 觀望,目前動能不足,25.1499996185
4566.TW,-11.52,2,💎 持股,趨勢向上維持中,70.0999984741
2910.TW,-11.57,5,🔥 買入,滿足趨勢突破條件,22.75
2748.TW,-11.58,2,💎 持股,趨勢向上維持中,41.5
6811.TWO,-11.58,2,🔥 買入,滿足趨勢突破條件,195.0
4433.TWO,-11.59,3,☁️ 觀望,目前動能不足,20.7000007629
5234.TW,-11.59,2,🔥 買入,滿足趨勢突破條件,443.0
3217.TWO,-11.61,2,🔥 買入,滿足趨勢突破條件,163.0
8112.TW,-11.63,2,💎 持股,趨勢向上維持中,87.1999969482
1909.TW,-11.65,3,☁️ 觀望,目前動能不足,9.6099996567
2379.TW,-11.67,2,🔥 買入,滿足趨勢突破條件,531.0
2630.TW,-11.72,2,💎 持股,趨勢向上維持中,49.2999992371
3390.TWO,-11.79,3,💎 持股,趨勢向上維持中,24.25
7711.TW,-11.81,1,💎 持股,趨勢向上維持中,301.0
7583.TWO,-11.82,3,☁️ 觀望,目前動能不足,66.8000030518
4148.TW,-11.85,3,☁️ 觀望,目前動能不足,38.0
2399.TW,-11.86,3,💎 持股,趨勢向上維持中,35.25
6412.TW,-11.87,2,💎 持股,趨勢向上維持中,78.5999984741
6756.TW,-11.88,3,💎 持股,趨勢向上維持中,76.0999984741
4906.TW,-11.89,3,💎 持股,趨勢向上維持中,37.75
6206.TW,-12.04,3,🔥 買入,滿足趨勢突破條件,108.0
8089.TWO,-12.05,2,☁️ 觀望,目前動能不足,21.5499992371
8176.TWO,-12.06,3,☁️ 觀望,目前動能不足,10.6000003815
2527.TW,-12.07,3,💎 持股,趨勢向上維持中,36.7000007629
5228.TWO,-12.13,2,🔥 買入,滿足趨勢突破條件,37.0999984741
3376.TW,-12.17,3,☁️ 觀望,目前動能不足,195.0
6965.TW,-12.19,2,🔥 買入,滿足趨勢突破條件,89.6999969482
8255.TWO,-12.23,3,💎 持股,趨勢向上維持中,131.5
3530.TW,-12.28,2,🔥 買入,滿足趨勢突破條件,62.5
6910.TWO,-12.29,1,☁️ 觀望,目前動能不足,29.3999996185
6128.TW,-12.3,2,💎 持股,趨勢向上維持中,21.0499992371
3552.TWO,-12.32,2,💎 持股,趨勢向上維持中,59.5
8070.TW,-12.34,3,🔥 買入,滿足趨勢突破條件,48.2999992371
7740.TW,-12.36,3,☁️ 觀望,目前動能不足,178.0
5516.TWO,-12.37,2,☁️ 觀望,目前動能不足,12.1499996185
6565.TWO,-12.37,1,💎 持股,趨勢向上維持中,21.8500003815
4772.TWO,-12.38,2,💎 持股,趨勢向上維持中,308.5
1589.TW,-12.41,2,☁️ 觀望,目前動能不足,nan
1414.TW,-12.47,3,☁️ 觀望,目前動能不足,16.5499992371
1760.TW,-12.58,3,💎 持股,趨勢向上維持中,64.5
2425.TW,-12.6,3,💎 持股,趨勢向上維持中,30.2000007629
8234.TWO,-12.62,2,☁️ 觀望,目前動能不足,61.0
6649.TWO,-12.73,2,☁️ 觀望,目前動能不足,39.6500015259
3483.TWO,-12.75,2,💎 持股,趨勢向上維持中,88.0
6133.TW,-12.76,3,💎 持股,趨勢向上維持中,23.1000003815
3443.TW,-12.77,3,🔥 買入,滿足趨勢突破條件,3255.0
3150.TW,-12.8,2,💎 持股,趨勢向上維持中,19.2000007629
3323.TWO,-12.84,2,☁️ 觀望,目前動能不足,33.1500015259
8936.TWO,-12.9,3,☁️ 觀望,目前動能不足,50.0999984741
1307.TW,-12.94,3,☁️ 觀望,目前動能不足,31.8999996185
2371.TW,-12.97,2,🔥 買入,滿足趨勢突破條件,33.0999984741
1599.TWO,-13.01,2,☁️ 觀望,目前動能不足,25.3999996185
6207.TWO,-13.01,2,💎 持股,趨勢向上維持中,57.0999984741
7631.TW,-13.02,2,🔥 買入,滿足趨勢突破條件,137.0
3026.TW,-13.03,2,💎 持股,趨勢向上維持中,233.5
1476.TW,-13.17,3,💎 持股,趨勢向上維持中,349.5
6109.TWO,-13.22,3,💎 持股,趨勢向上維持中,11.9499998093
3546.TWO,-13.23,3,💎 持股,趨勢向上維持中,71.4000015259
2027.TW,-13.3,5,💎 持股,趨勢向上維持中,37.5999984741
8047.TWO,-13.3,2,💎 持股,趨勢向上維持中,55.2999992371
6921.TW,-13.33,1,🔥 買入,滿足趨勢突破條件,86.1999969482
2455.TW,-13.34,3,💎 持股,趨勢向上維持中,310.5
5245.TWO,-13.34,2,💎 持股,趨勢向上維持中,25.3999996185
3206.TWO,-13.44,2,☁️ 觀望,目前動能不足,37.5
4142.TW,-13.45,3,🔥 買入,滿足趨勢突破條件,18.5
6781.TW,-13.5,2,💎 持股,趨勢向上維持中,1040.0
9907.TW,-13.5,4,☁️ 觀望,目前動能不足,18.0
4513.TWO,-13.58,2,☁️ 觀望,目前動能不足,16.6000003815
6246.TWO,-13.59,4,☁️ 觀望,目前動能不足,16.5
2258.TW,-13.61,3,☁️ 觀望,目前動能不足,28.2999992371
3632.TWO,-13.62,3,☁️ 觀望,目前動能不足,9.0
6270.TWO,-13.69,3,☁️ 觀望,目前動能不足,25.1499996185
3708.TW,-13.71,3,💎 持股,趨勢向上維持中,123.5
6791.TWO,-13.71,2,🔥 買入,滿足趨勢突破條件,135.0
4161.TWO,-13.82,3,☁️ 觀望,目前動能不足,24.2000007629
3141.TWO,-13.83,2,💎 持股,趨勢向上維持中,44.2000007629
4585.TW,-13.84,2,🔥 買入,滿足趨勢突破條件,319.0
2468.TW,-13.86,2,☁️ 觀望,目前動能不足,34.9000015259
3665.TW,-13.88,2,💎 持股,趨勢向上維持中,2365.0
4770.TW,-13.88,2,💎 持股,趨勢向上維持中,230.5
3413.TW,-14.02,2,💎 持股,趨勢向上維持中,314.5
8103.TW,-14.02,2,🔥 買入,滿足趨勢突破條件,93.0999984741
8455.TWO,-14.08,2,☁️ 觀望,目前動能不足,20.7000007629
2317.TW,-14.09,2,💎 持股,趨勢向上維持中,206.0
2601.TW,-14.09,3,☁️ 觀望,目前動能不足,5.6399998665
7799.TW,-14.13,2,💎 持股,趨勢向上維持中,388.5
4744.TWO,-14.2,5,☁️ 觀望,目前動能不足,32.0
8478.TW,-14.2,3,🔥 買入,滿足趨勢突破條件,171.5
8171.TWO,-14.23,2,☁️ 觀望,目前動能不足,24.0
3527.TWO,-14.24,3,🔥 買入,滿足趨勢突破條件,59.9000015259
2340.TW,-14.29,3,🔥 買入,滿足趨勢突破條件,32.2999992371
6438.TW,-14.29,3,💎 持股,趨勢向上維持中,179.0
4549.TWO,-14.36,2,💎 持股,趨勢向上維持中,99.5
3447.TW,-14.43,2,💎 持股,趨勢向上維持中,39.3499984741
1541.TW,-14.44,2,☁️ 觀望,目前動能不足,25.2000007629
6785.TWO,-14.48,2,☁️ 觀望,目前動能不足,168.0
6197.TW,-14.54,3,💎 持股,趨勢向上維持中,185.5
6589.TW,-14.58,2,☁️ 觀望,目前動能不足,50.5999984741
3629.TWO,-14.62,2,☁️ 觀望,目前動能不足,17.4500007629
4766.TW,-14.62,3,💎 持股,趨勢向上維持中,347.5
4530.TWO,-14.63,2,☁️ 觀望,目前動能不足,28.0
4943.TW,-14.63,2,☁️ 觀望,目前動能不足,10.9499998093
7721.TW,-14.63,2,💎 持股,趨勢向上維持中,87.5
3583.TW,-14.65,3,💎 持股,趨勢向上維持中,760.0
2020.TW,-14.66,5,💎 持股,趨勢向上維持中,23.1499996185
3526.TWO,-14.66,5,💎 持股,趨勢向上維持中,273.5
6994.TW,-14.68,2,💎 持股,趨勢向上維持中,73.4000015259
1314.TW,-14.74,3,☁️ 觀望,目前動能不足,7.6999998093
2034.TW,-14.75,4,🔥 買入,滿足趨勢突破條件,21.0
3555.TWO,-14.75,4,🔥 買入,滿足趨勢突破條件,260.0
2108.TW,-14.77,3,💎 持股,趨勢向上維持中,26.0499992371
1402.TW,-14.79,6,☁️ 觀望,目前動能不足,26.2999992371
2438.TW,-14.82,4,💎 持股,趨勢向上維持中,22.4500007629
2327.TW,-14.87,3,💎 持股,趨勢向上維持中,316.5
3029.TW,-14.87,3,☁️ 觀望,目前動能不足,97.3000030518
3067.TWO,-14.94,3,💎 持股,趨勢向上維持中,18.6000003815
2465.TW,-15.0,2,💎 持股,趨勢向上維持中,60.4000015259
4523.TWO,-15.02,3,☁️ 觀望,目前動能不足,30.1000003815
6120.TW,-15.04,3,💎 持股,趨勢向上維持中,14.8000001907
6869.TW,-15.08,2,☁️ 觀望,目前動能不足,87.1999969482
00995A.TW,-15.09,2,🔥 買入,滿足趨勢突破條件,14.4300003052
2038.TW,-15.18,4,☁️ 觀望,目前動能不足,15.1999998093
3693.TWO,-15.26,4,🔥 買入,滿足趨勢突破條件,662.0
5450.TWO,-15.26,4,☁️ 觀望,目前動能不足,13.8999996185
3587.TWO,-15.29,3,🔥 買入,滿足趨勢突破條件,367.0
3167.TW,-15.31,4,💎 持股,趨勢向上維持中,685.0
5244.TW,-15.35,2,🔥 買入,滿足趨勢突破條件,46.2000007629
8227.TWO,-15.4,2,🔥 買入,滿足趨勢突破條件,141.0
3535.TW,-15.42,3,💎 持股,趨勢向上維持中,120.5
3357.TWO,-15.44,3,🔥 買入,滿足趨勢突破條件,181.0
4714.TWO,-15.48,3,🔥 買入,滿足趨勢突破條件,15.1999998093
2024.TW,-15.5,2,💎 持股,趨勢向上維持中,14.9499998093
3528.TW,-15.51,3,🔥 買入,滿足趨勢突破條件,72.3000030518
6144.TWO,-15.52,2,☁️ 觀望,目前動能不足,16.25
2072.TWO,-15.55,2,☁️ 觀望,目前動能不足,nan
1906.TW,-15.61,4,💎 持股,趨勢向上維持中,11.8999996185
2637.TW,-15.64,3,🔥 買入,滿足趨勢突破條件,75.6999969482
4569.TW,-15.68,2,💎 持股,趨勢向上維持中,194.5
6274.TWO,-15.71,3,💎 持股,趨勢向上維持中,946.0
6907.TWO,-15.72,1,💎 持股,趨勢向上維持中,129.0
4556.TWO,-15.73,3,💎 持股,趨勢向上維持中,32.75
6916.TW,-15.79,2,🔥 買入,滿足趨勢突破條件,18.8999996185
9958.TW,-15.79,2,☁️ 觀望,目前動能不足,106.0
7749.TW,-15.84,2,💎 持股,趨勢向上維持中,411.5
8210.TW,-15.88,2,🔥 買入,滿足趨勢突破條件,1020.0
3490.TWO,-15.91,4,🔥 買入,滿足趨勢突破條件,29.0
6862.TW,-15.92,2,💎 持股,趨勢向上維持中,188.5
2724.TWO,-15.97,4,☁️ 觀望,目前動能不足,17.4500007629
2428.TW,-15.98,2,💎 持股,趨勢向上維持中,182.5
2102.TW,-16.01,5,☁️ 觀望,目前動能不足,18.8999996185
6560.TWO,-16.09,2,☁️ 觀望,目前動能不足,38.4000015259
6104.TWO,-16.1,2,💎 持股,趨勢向上維持中,93.9000015259
8482.TW,-16.11,4,🔥 買入,滿足趨勢突破條件,49.7999992371
4304.TWO,-16.15,1,💎 持股,趨勢向上維持中,28.3999996185
8077.TWO,-16.2,6,☁️ 觀望,目前動能不足,41.5999984741
2612.TW,-16.25,3,🔥 買入,滿足趨勢突破條件,60.0
2457.TW,-16.26,2,☁️ 觀望,目前動能不足,24.75
6217.TWO,-16.27,3,💎 持股,趨勢向上維持中,244.0
6550.TW,-16.32,2,☁️ 觀望,目前動能不足,18.7999992371
1616.TW,-16.46,2,💎 持股,趨勢向上維持中,23.6499996185
6477.TW,-16.47,4,💎 持股,趨勢向上維持中,34.4500007629
6582.TW,-16.5,3,☁️ 觀望,目前動能不足,32.25
8093.TWO,-16.51,3,💎 持股,趨勢向上維持中,20.0
2889.TW,-16.64,5,☁️ 觀望,目前動能不足,15.1999998093
2486.TW,-16.67,3,💎 持股,趨勢向上維持中,185.0
6214.TW,-16.71,3,🔥 買入,滿足趨勢突破條件,126.0
6173.TWO,-16.73,3,🔥 買入,滿足趨勢突破條件,92.1999969482
1313.TW,-16.8,3,☁️ 觀望,目前動能不足,12.1999998093
8183.TWO,-16.8,3,🔥 買入,滿足趨勢突破條件,36.8499984741
8908.TWO,-16.81,4,💎 持股,趨勢向上維持中,41.75
2606.TW,-16.87,3,🔥 買入,滿足趨勢突破條件,65.0
4933.TWO,-16.88,5,💎 持股,趨勢向上維持中,60.4000015259
3710.TWO,-16.91,2,🔥 買入,滿足趨勢突破條件,6.8400001526
5392.TWO,-16.93,3,💎 持股,趨勢向上維持中,39.0
6672.TW,-16.95,3,🔥 買入,滿足趨勢突破條件,176.0
3504.TW,-17.0,3,🔥 買入,滿足趨勢突破條件,67.4000015259
1340.TW,-17.01,3,☁️ 觀望,目前動能不足,6.4099998474
1447.TW,-17.04,3,💎 持股,趨勢向上維持中,5.2800002098
6423.TWO,-17.07,2,💎 持股,趨勢向上維持中,97.9000015259
3013.TW,-17.13,2,🔥 買入,滿足趨勢突破條件,111.0
4558.TWO,-17.15,2,💎 持股,趨勢向上維持中,19.8999996185
1536.TW,-17.16,3,💎 持股,趨勢向上維持中,51.2999992371
1611.TW,-17.18,4,☁️ 觀望,目前動能不足,12.1999998093
6259.TWO,-17.23,3,🔥 買入,滿足趨勢突破條件,23.3999996185
3022.TW,-17.24,3,💎 持股,趨勢向上維持中,69.0
00665L.TW,-17.42,3,🔥 買入,滿足趨勢突破條件,10.1400003433
2301.TW,-17.46,3,💎 持股,趨勢向上維持中,162.0
4529.TWO,-17.51,3,☁️ 觀望,目前動能不足,3.0999999046
2208.TW,-17.63,3,💎 持股,趨勢向上維持中,21.1000003815
8045.TW,-17.65,2,☁️ 觀望,目前動能不足,73.5
6499.TWO,-17.79,2,☁️ 觀望,目前動能不足,83.5999984741
8086.TWO,-17.79,3,🔥 買入,滿足趨勢突破條件,148.5
8039.TW,-17.8,4,💎 持股,趨勢向上維持中,143.5
2481.TW,-17.88,3,🔥 買入,滿足趨勢突破條件,118.0
3033.TW,-17.9,5,💎 持股,趨勢向上維持中,34.6500015259
6761.TWO,-18.01,3,💎 持股,趨勢向上維持中,195.5
6735.TWO,-18.05,2,🔥 買入,滿足趨勢突破條件,75.9000015259
3684.TWO,-18.24,3,☁️ 觀望,目前動能不足,58.9000015259
3003.TW,-18.28,5,🔥 買入,滿足趨勢突破條件,54.7999992371
2035.TWO,-18.38,3,💎 持股,趨勢向上維持中,28.2999992371
3450.TW,-18.39,2,🔥 買入,滿足趨勢突破條件,366.0
2923.TW,-18.41,3,🔥 買入,滿足趨勢突破條件,28.0
3259.TWO,-18.62,2,☁️ 觀望,目前動能不足,17.1000003815
4722.TW,-18.69,2,💎 持股,趨勢向上維持中,180.0
6179.TWO,-18.76,3,☁️ 觀望,目前動能不足,24.3999996185
4171.TWO,-18.85,3,💎 持股,趨勢向上維持中,19.7000007629
8358.TWO,-18.9,3,🔥 買入,滿足趨勢突破條件,367.5
6829.TWO,-18.94,2,🔥 買入,滿足趨勢突破條件,197.0
7402.TWO,-19.01,2,💎 持股,趨勢向上維持中,125.5
9929.TW,-19.02,4,💎 持股,趨勢向上維持中,12.6999998093
6204.TWO,-19.07,3,🔥 買入,滿足趨勢突破條件,68.5
2359.TW,-19.14,3,💎 持股,趨勢向上維持中,115.0
1904.TW,-19.17,4,☁️ 觀望,目前動能不足,18.6000003815
6451.TW,-19.17,2,💎 持股,趨勢向上維持中,505.0
8937.TWO,-19.55,3,☁️ 觀望,目前動能不足,30.8500003815
6526.TW,-19.58,2,💎 持股,趨勢向上維持中,506.0
5439.TWO,-19.72,2,🔥 買入,滿足趨勢突破條件,401.5
8069.TWO,-19.81,2,🔥 買入,滿足趨勢突破條件,155.0
8096.TWO,-19.83,3,☁️ 觀望,目前動能不足,91.5
4147.TWO,-19.88,3,☁️ 觀望,目前動能不足,53.2999992371
8040.TWO,-20.18,3,🔥 買入,滿足趨勢突破條件,62.4000015259
2382.TW,-20.37,4,💎 持股,趨勢向上維持中,323.0
6958.TW,-20.44,2,💎 持股,趨勢向上維持中,19.8999996185
4442.TWO,-20.56,3,☁️ 觀望,目前動能不足,58.0999984741
6546.TWO,-20.68,3,💎 持股,趨勢向上維持中,71.8000030518
1308.TW,-20.73,5,☁️ 觀望,目前動能不足,15.25
3714.TW,-20.98,4,🔥 買入,滿足趨勢突破條件,77.9000015259
8027.TWO,-21.05,3,💎 持股,趨勢向上維持中,148.5
6821.TWO,-21.14,4,💎 持股,趨勢向上維持中,67.5
2369.TW,-21.15,4,☁️ 觀望,目前動能不足,30.6000003815
3031.TW,-21.18,4,💎 持股,趨勢向上維持中,33.2000007629
1735.TW,-21.23,5,💎 持股,趨勢向上維持中,29.2999992371
3518.TW,-21.31,4,🔥 買入,滿足趨勢突破條件,27.0499992371
6176.TW,-21.36,3,☁️ 觀望,目前動能不足,90.9000015259
6928.TW,-21.39,3,🔥 買入,滿足趨勢突破條件,48.7999992371
3211.TWO,-21.63,5,💎 持股,趨勢向上維持中,359.0
4760.TWO,-21.76,3,💎 持股,趨勢向上維持中,267.0
6504.TW,-21.94,2,💎 持股,趨勢向上維持中,41.4500007629
8032.TWO,-21.98,3,🔥 買入,滿足趨勢突破條件,36.9500007629
2543.TW,-22.03,4,☁️ 觀望,目前動能不足,57.5999984741
1301.TW,-22.05,4,💎 持股,趨勢向上維持中,53.4000015259
2484.TW,-22.09,4,🔥 買入,滿足趨勢突破條件,42.4000015259
3048.TW,-22.37,3,💎 持股,趨勢向上維持中,39.3499984741
3543.TW,-22.37,3,☁️ 觀望,目前動能不足,42.4500007629
4912.TW,-22.46,2,💎 持股,趨勢向上維持中,89.8000030518
6538.TWO,-22.48,3,💎 持股,趨勢向上維持中,72.5
2252.TWO,-22.61,2,☁️ 觀望,目前動能不足,19.25
2380.TW,-22.63,3,☁️ 觀望,目前動能不足,5.3000001907
1802.TW,-22.72,5,🔥 買入,滿足趨勢突破條件,74.1999969482
4739.TW,-22.9,4,💎 持股,趨勢向上維持中,90.4000015259
1784.TWO,-22.94,3,☁️ 觀望,目前動能不足,80.1999969482
3073.TWO,-23.27,2,☁️ 觀望,目前動能不足,27.0
7805.TWO,-23.45,4,☁️ 觀望,目前動能不足,671.0
4406.TWO,-23.47,6,☁️ 觀望,目前動能不足,10.0
6693.TWO,-24.07,3,💎 持股,趨勢向上維持中,143.5
3290.TWO,-24.08,3,💎 持股,趨勢向上維持中,48.6500015259
3523.TWO,-24.08,3,☁️ 觀望,目前動能不足,12.5500001907
6854.TW,-24.3,4,🔥 買入,滿足趨勢突破條件,167.5
8477.TWO,-24.42,4,☁️ 觀望,目前動能不足,13.25
2472.TW,-24.6,4,🔥 買入,滿足趨勢突破條件,184.5
6597.TWO,-24.78,3,☁️ 觀望,目前動能不足,58.0999984741
3715.TW,-25.19,5,💎 持股,趨勢向上維持中,198.0
6725.TWO,-25.77,3,🔥 買入,滿足趨勢突破條件,390.5
6271.TW,-25.8,3,💎 持股,趨勢向上維持中,185.5
6877.TWO,-26.87,4,🔥 買入,滿足趨勢突破條件,157.5
8935.TWO,-27.36,3,💎 持股,趨勢向上維持中,18.8999996185
3430.TWO,-27.65,4,🔥 買入,滿足趨勢突破條件,85.5999984741
6669.TW,-27.65,3,💎 持股,趨勢向上維持中,3805.0
6727.TWO,-27.77,4,💎 持股,趨勢向上維持中,399.0
8476.TW,-28.41,3,☁️ 觀望,目前動能不足,18.2000007629
1727.TW,-28.47,5,💎 持股,趨勢向上維持中,56.2999992371
3360.TWO,-28.68,4,☁️ 觀望,目前動能不足,14.1499996185
5468.TWO,-28.68,3,☁️ 觀望,目前動能不足,18.1499996185
7712.TWO,-28.7,3,💎 持股,趨勢向上維持中,120.5
6419.TWO,-28.83,5,💎 持股,趨勢向上維持中,128.0
1595.TWO,-28.88,5,🔥 買入,滿足趨勢突破條件,52.5
3028.TW,-29.06,5,💎 持股,趨勢向上維持中,62.7999992371
6291.TWO,-29.51,5,💎 持股,趨勢向上維持中,421.5
2009.TW,-29.71,3,☁️ 觀望,目前動能不足,40.5
