🚀 V3 策略績效篩選中... | 門檻: 10.0% | 起始日: 2025-11-11
====================================================================================================

🏆 【V3 策略 - 英雄榜】(累積損益 > 10.0%)
----------------------------------------------------------------------------------------------------
✅ 3264.TWO   | 總收益:   47.14% | 交易筆數:  1 | 勝率: 100.0%
✅ 6830.TW    | 總收益:   45.49% | 交易筆數:  3 | 勝率:  66.7%
✅ 7751.TWO   | 總收益:   43.57% | 交易筆數:  2 | 勝率: 100.0%
✅ 1785.TWO   | 總收益:   43.55% | 交易筆數:  2 | 勝率:  50.0%
✅ 7734.TWO   | 總收益:   43.40% | 交易筆數:  2 | 勝率:  50.0%
✅ 5274.TWO   | 總收益:   42.43% | 交易筆數:  2 | 勝率: 100.0%
✅ 4768.TWO   | 總收益:   42.42% | 交易筆數:  4 | 勝率:  25.0%
✅ 8422.TW    | 總收益:   42.31% | 交易筆數:  1 | 勝率: 100.0%
✅ 2337.TW    | 總收益:   41.76% | 交易筆數:  2 | 勝率:  50.0%
✅ 3701.TW    | 總收益:   41.71% | 交易筆數:  1 | 勝率: 100.0%
✅ 3171.TWO   | 總收益:   40.43% | 交易筆數:  1 | 勝率: 100.0%
✅ 4755.TW    | 總收益:   40.34% | 交易筆數:  2 | 勝率: 100.0%
✅ 4967.TW    | 總收益:   40.21% | 交易筆數:  3 | 勝率:  33.3%
✅ 3444.TWO   | 總收益:   39.59% | 交易筆數:  1 | 勝率: 100.0%
✅ 6770.TW    | 總收益:   39.57% | 交易筆數:  3 | 勝率:  33.3%
✅ 7610.TW    | 總收益:   39.07% | 交易筆數:  2 | 勝率: 100.0%
✅ 6574.TWO   | 總收益:   39.02% | 交易筆數:  1 | 勝率: 100.0%
✅ 00642U.TW  | 總收益:   38.98% | 交易筆數:  1 | 勝率: 100.0%
✅ 1528.TW    | 總收益:   38.92% | 交易筆數:  1 | 勝率: 100.0%
✅ 1309.TW    | 總收益:   38.82% | 交易筆數:  3 | 勝率:  33.3%
✅ 4977.TW    | 總收益:   38.65% | 交易筆數:  1 | 勝率: 100.0%
✅ 4764.TW    | 總收益:   38.20% | 交易筆數:  2 | 勝率: 100.0%
✅ 5289.TWO   | 總收益:   37.82% | 交易筆數:  4 | 勝率:  50.0%
✅ 6282.TW    | 總收益:   37.60% | 交易筆數:  1 | 勝率: 100.0%
✅ 3149.TW    | 總收益:   37.56% | 交易筆數:  1 | 勝率: 100.0%
✅ 8080.TWO   | 總收益:   37.35% | 交易筆數:  1 | 勝率: 100.0%
