代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
1815,富喬,127.0,+9.96%,🔥 SIGNAL,64.8,126907,✅|✅|✅|✅|✅
4960,誠美材,33.85,+9.72%,WAIT,69.0,75180,✅|✅|✅|✅|❌
1711,永光,47.95,+9.98%,🔥 SIGNAL,67.4,72244,✅|✅|✅|✅|✅
2481,強茂,118.0,+9.77%,WAIT,67.3,48396,✅|✅|✅|❌|✅
4958,臻鼎-KY,282.0,+9.94%,WAIT,71.2,42108,✅|✅|❌|✅|✅
6173,信昌電,92.2,+9.89%,🔥 SIGNAL,87.5,40598,✅|✅|✅|✅|✅
8358,金居,367.5,+9.87%,WAIT,83.5,39604,✅|✅|❌|✅|✅
2402,毅嘉,77.7,+9.90%,WAIT,81.7,39174,✅|❌|❌|✅|✅
3105,穩懋,539.0,+9.89%,WAIT,79.8,28631,✅|❌|❌|✅|✅
6278,台表科,157.0,+9.79%,🔥 SIGNAL,92.7,27376,✅|✅|✅|✅|✅
6548,長科*,54.7,+9.95%,WAIT,68.5,22464,✅|✅|✅|❌|✅
4540,全球傳動,57.9,+9.45%,🔥 SIGNAL,79.8,16573,✅|✅|✅|✅|✅
8111,立��,79.2,+10.00%,🔥 SIGNAL,77.6,16196,✅|✅|✅|✅|✅
5425,台半,65.7,+9.87%,WAIT,60.5,16009,✅|✅|✅|❌|✅
6415,矽力*-KY,332.5,+9.92%,🔥 SIGNAL,62.7,15798,✅|✅|✅|✅|✅
1785,光洋科,156.0,+9.86%,WAIT,88.1,14326,✅|✅|❌|✅|✅
3437,榮創,27.2,+9.90%,WAIT,67.1,14300,✅|❌|✅|✅|✅
3339,泰谷,69.3,+10.00%,WAIT,92.0,14033,✅|✅|❌|✅|✅
8261,富鼎,127.5,+9.91%,🔥 SIGNAL,77.4,10533,✅|✅|✅|✅|✅
2404,漢唐,1025.0,+9.63%,🔥 SIGNAL,67.5,10526,✅|✅|✅|✅|✅
4919,新唐,129.0,+9.79%,WAIT,70.8,10185,✅|❌|❌|✅|❌
