股號,名稱,現價,漲跌幅,建議
2317,鴻海,207.0,0.00%,續抱/觀望
3702,大聯大,98.2,0.00%,賣出
2485,兆赫,79.3,0.25%,賣出
2367,燿華,69.2,-1.70%,賣出
4142,國光生,18.7,0.00%,續抱/觀望
0050,元大台灣50,85.0,0.00%,續抱/觀望
0056,元大高股息,41.12,0.78%,續抱/觀望
00635U,期元大S&P黃金,50.8,0.00%,續抱/觀望
00738U,期元大道瓊白銀,65.55,0.00%,續抱/觀望
00929,復華台灣科技優息,21.05,0.00%,買入
009816,凱基台灣TOP50,12.0,0.00%,續抱/觀望
00990A,主動元大AI新經濟,14.57,0.00%,續抱/觀望
2009,第一銅,40.45,-1.94%,賣出
2337,旺宏,139.0,0.00%,賣出
2352,佳世達,25.7,1.78%,續抱/觀望
2409,友達,20.7,0.00%,續抱/觀望
3481,群創,27.25,0.00%,續抱/觀望
6136,富爾特,24.25,1.04%,賣出
6806,森崴能源,24.65,9.80%,賣出
3105,穩懋,490.5,0.00%,續抱/觀望
4966,譜瑞-KY,555.0,0.00%,續抱/觀望
6188,廣明,87.5,0.00%,賣出
7792,安葆,366.0,2.38%,買入
2327,國巨*,325.0,0.00%,續抱/觀望
3714,富采,76.0,0.00%,買入
1802,台玻,69.9,0.00%,買入
