代碼,名稱,現價,幅度,狀態,RSI,量(張),診斷
2317,鴻海,206.0,-0.48%,WAIT,55.7,47348,✅|❌|❌|❌|❌
3702,大聯大,98.8,+0.61%,WAIT,58.0,22231,✅|❌|❌|✅|✅
2485,兆赫,77.7,-1.77%,WAIT,48.5,37323,✅|❌|❌|❌|❌
2367,燿華,68.5,-2.70%,WAIT,37.3,39584,✅|❌|❌|❌|❌
4142,國光生,18.5,-1.07%,WAIT,52.8,1598,✅|❌|❌|✅|❌
0050,元大台灣50,84.15,-1.00%,WAIT,70.5,92740,✅|❌|❌|✅|❌
0056,元大高股息,40.98,+0.44%,WAIT,70.6,67899,✅|✅|❌|✅|✅
00635U,期元大S&P黃金,50.5,-0.59%,WAIT,67.9,3356,✅|❌|❌|✅|❌
00738U,期元大道瓊白銀,64.25,-1.98%,WAIT,64.4,7082,✅|❌|❌|✅|❌
00929,復華台灣科技優息,21.36,+1.47%,🔥 SIGNAL,73.3,109633,✅|✅|✅|✅|✅
009816,凱基台灣TOP50,11.95,-0.42%,WAIT,71.5,183365,✅|❌|❌|✅|❌
00990A,主動元大AI新經濟,14.76,+1.30%,WAIT,74.1,30074,✅|✅|❌|✅|❌
2009,第一銅,40.5,-1.82%,WAIT,50.9,1857,✅|❌|❌|❌|❌
2337,旺宏,131.0,-5.76%,WAIT,51.5,116755,✅|❌|❌|❌|❌
2352,佳世達,25.65,+1.58%,🔥 SIGNAL,66.0,6305,✅|✅|✅|✅|✅
2409,友達,19.85,-4.11%,WAIT,74.2,363428,✅|❌|❌|✅|❌
3481,群創,25.9,-4.95%,WAIT,54.3,336503,✅|❌|❌|✅|❌
6136,富爾特,24.45,+1.87%,WAIT,51.2,157,❌|❌|❌|✅|❌
6806,森崴能源,24.65,+9.80%,WAIT,26.2,1049,✅|❌|❌|❌|❌
3105,穩懋,539.0,+9.89%,WAIT,79.8,28631,✅|❌|❌|✅|✅
4966,譜瑞-KY,546.0,-1.62%,WAIT,65.6,881,✅|❌|❌|✅|❌
6188,廣明,86.3,-1.37%,WAIT,37.2,1617,✅|❌|❌|❌|❌
7792,安葆,369.0,+3.22%,WAIT,75.1,543,❌|✅|❌|✅|✅
2327,國巨*,316.5,-2.62%,WAIT,72.8,48799,✅|❌|❌|✅|❌
3714,富采,77.9,+2.50%,🔥 SIGNAL,74.6,152380,✅|✅|✅|✅|✅
1802,台玻,74.2,+6.15%,🔥 SIGNAL,80.8,344361,✅|✅|✅|✅|✅
