📊 量化獲利品質診斷報告 - 基準日: 20260417 (生成時間: 2026-04-18 19:23)
代號       名稱           價格         PE       15X推估        空間%        狀態
----------------------------------------------------------------------------------------------------
4916.TW    事欣科        67.80      16.42      61.95           8049.11%    🚀 利潤擴張
3062.TW    建漢         30.05      4.79       94.05           6583.45%    🚀 利潤擴張
2547.TW    日勝生        10.85      0.96       169.50          3625.39%    🧐 疑業外收益
6649.TWO   台生材        39.65      9.60       61.95           3471.78%    🚀 利潤擴張
3189.TW    景碩         391.50     51.72      113.55          3043.86%    🚀 利潤擴張
5521.TW    工信         12.30      12.18      15.15           2472.68%    🚀 利潤擴張
4523.TWO   永彰         30.10      0.79       573.75          1569.15%    🧐 疑業外收益
1432.TW    大魯閣        16.95      3.06       83.10           1497.70%    🔄 轉虧為盈
4542.TWO   科嶠         169.50     53.98      47.10           1462.34%    🚀 利潤擴張
3708.TW    上緯投控       123.50     3.36       550.65          1307.40%    🧐 疑業外收益
4903.TWO   聯光通        47.80      28.80      24.90           1292.63%    🚀 利潤擴張
1815.TWO   富喬         127.00     41.64      45.75           1075.98%    🚀 利潤擴張
5284.TW    jpp-KY     318.50     11.24      424.95          1048.91%    🚀 利潤擴張
5488.TWO   松普         10.15      27.43      5.55            1008.11%    🧐 疑業外收益
2331.TW    精英         21.80      4.54       72.00            966.30%    🚀 利潤擴張
4123.TWO   晟德         40.40      2.47       245.40           912.20%    🧐 疑業外收益
6166.TW    凌華         73.80      16.73      66.15            904.65%    🚀 利潤擴張
1529.TW    樂事綠能       24.15      8.36       43.35            844.03%    🚀 利潤擴張
3081.TWO   聯亞         2600.00    282.00     138.30           802.46%    🚀 利潤擴張
6182.TWO   合晶         35.80      0.00       0.00             787.43%    🔄 轉虧為盈
2102.TW    泰豐         18.90      12.52      22.65            722.00%    🔄 轉虧為盈
4414.TW    如興         0.00       0.00       0.00             705.37%    🧐 疑業外收益
3236.TWO   千如         35.25      141.00     3.75             689.09%    🚀 利潤擴張
2323.TW    中環         10.75      22.40      7.20             688.58%    🧐 疑業外收益
