Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
00631L.TW,元大台灣50正2,2026-04-08,看漲 FVG,22.66,20.81,23.79,⏳ 待回測,💎鑽石結構 ⚠️過熱,0,4.22,-,4,False
00673R.TW,期元大S&P原油反1,2026-04-08,看跌 FVG,13.87,14.45,13.18,⏳ 待回測,⚡結構突破 ⚠️過熱,1,11.75,-,4,False
00715L.TW,期街口S&P布蘭特油正2,2026-04-08,看跌 FVG,50.2,64.32,47.69,⏳ 待回測,⚡結構突破 🧹 ⚠️過熱,1,46.18,-,4,False
00910.TW,第一金太空衛星,2026-04-08,看漲 FVG,65.8,62.93,69.09,⏳ 待回測,⚡結構突破 ⚠️過熱,0,69.55,-,4,False
1435.TW,中福,2026-04-07,看跌 FVG,14.75,16.38,14.01,⏳ 待回測,⚡結構突破 ⚠️過熱,0,20.28,-,4,False
1449.TW,佳和,2026-04-08,看漲 FVG,15.85,13.53,16.64,⏳ 待回測,⚡結構突破 ⚠️過熱,1,72.53,-,4,False
1477.TW,聚陽,2026-04-02,看跌 FVG,222.5,226.63,211.38,⚠️ 壓力確認,🔴 放空,0,21.41,2026-04-09,4,True
1538.TW,正峰,2026-04-01,看跌 FVG,12.8,12.96,12.16,⏳ 待回測,⚡結構突破 ⚠️過熱,0,6.31,-,4,False
1582.TW,信錦,2026-03-27,看漲 FVG,102.0,92.53,107.1,💰 已達標,獲利點,1,65.75,2026-03-31,4,False
1589.TW,永冠-KY,2026-04-02,看跌 FVG,5.54,5.97,5.26,⏳ 待回測,⚡結構突破 ⚠️過熱,1,28.75,-,4,False
1735.TW,日勝化,2026-03-23,看跌 FVG,28.3,29.04,26.88,💰 已達標,獲利點,0,64.52,-,4,False
1785.TWO,光洋科,2026-03-18,看漲 FVG,95.5,90.15,100.28,💰 已達標,獲利點,0,86.32,2026-03-20,4,False
1795.TW,美時,2026-03-20,看跌 FVG,211.5,224.11,200.92,⚠️ 壓力確認,🔴 放空,0,29.94,2026-03-25,4,False
1799.TWO,易威,2026-04-08,看漲 FVG,41.55,41.24,43.63,⏳ 待回測,⚡結構突破 ⚠️過熱,1,56.95,-,4,False
2072.TWO,未知,2026-04-02,看跌 FVG,178.5,183.41,169.57,❌ 已失效,實體過中線,1,19.39,-,4,False
2231.TW,為升,2026-04-02,看跌 FVG,116.5,118.09,110.67,❌ 已失效,實體過中線,0,67.01,-,4,False
2243.TW,宏旭-KY,2026-03-30,看漲 FVG,21.0,20.75,22.05,💰 已達標,獲利點,1,88.06,-,4,False
2252.TWO,為昇科,2026-03-23,看漲 FVG,20.45,18.61,21.47,❌ 已失效,實體破中線,0,70.85,2026-03-25,4,False
2258.TW,鴻華先進-創,2026-03-30,看跌 FVG,27.25,28.79,25.89,⚠️ 壓力確認,🔴 放空,0,15.79,2026-04-01,4,False
2305.TW,全友,2026-03-27,看漲 FVG,16.5,16.07,17.32,❌ 已失效,實體破中線,1,82.91,-,4,False
2308.TW,台達電,2026-04-08,看漲 FVG,1635.0,1507.42,1716.75,⏳ 待回測,⚡結構突破 ⚠️過熱,0,63.98,-,4,False
2313.TW,華通,2026-03-27,看漲 FVG,255.0,251.73,267.75,❌ 已失效,實體破中線,1,79.19,-,4,False
2344.TW,華邦電,2026-03-26,看跌 FVG,92.4,98.08,87.78,💰 已達標,獲利點,0,42.95,2026-03-30,4,False
2351.TW,順德,2026-04-08,看漲 FVG,114.0,108.95,119.7,⏳ 待回測,⚡結構突破 ⚠️過熱,1,67.29,-,4,False
2367.TW,燿華,2026-03-16,看漲 FVG,75.6,73.43,79.38,❌ 已失效,實體破中線,0,70.47,2026-03-18,4,False
2383.TW,台光電,2026-04-08,看漲 FVG,3180.0,2955.15,3339.0,⏳ 待回測,⚡結構突破 ⚠️過熱,0,63.66,-,4,False
2399.TW,映泰,2026-04-02,看漲 FVG,33.8,32.34,35.49,💰 已達標,獲利點,1,64.17,2026-04-08,4,False
2408.TW,南亞科,2026-03-31,看跌 FVG,213.0,214.57,202.35,💰 已達標,獲利點,0,31.92,2026-04-02,4,False
2417.TW,圓剛,2026-04-08,看漲 FVG,37.75,37.41,39.64,⏳ 待回測,⚡結構突破 ⚠️過熱,1,65.59,-,4,False
2419.TW,仲琦,2026-04-08,看漲 FVG,36.2,35.12,38.01,⏳ 待回測,⚡結構突破 ⚠️過熱,0,61.25,-,4,False
2429.TW,銘旺科,2026-03-30,看跌 FVG,41.05,42.16,39.0,💰 已達標,獲利點,1,34.46,2026-04-01,4,False
2436.TW,偉詮電,2026-03-18,看漲 FVG,65.6,64.18,68.88,❌ 已失效,實體破中線,1,62.5,2026-03-20,4,False
2455.TW,全新,2026-04-08,看漲 FVG,286.0,283.08,300.3,⏳ 待回測,監控中 ⚠️過熱,1,73.5,-,4,False
2461.TW,光群雷,2026-04-07,看漲 FVG,18.3,18.06,19.21,❌ 已失效,實體破中線,0,87.23,-,4,False
2466.TW,冠西電,2026-04-08,看漲 FVG,56.7,54.03,59.54,⏳ 待回測,⚡結構突破 ⚠️過熱,1,68.21,-,4,False
2467.TW,志聖,2026-04-08,看漲 FVG,453.0,415.91,475.65,⏳ 待回測,⚡結構突破 ⚠️過熱,0,67.22,-,4,False
2472.TW,立隆電,2026-04-08,看漲 FVG,140.5,134.82,147.53,⏳ 待回測,⚡結構突破 ⚠️過熱,1,65.05,-,4,False
2476.TW,鉅祥,2026-04-08,看漲 FVG,96.6,86.07,101.43,⏳ 待回測,⚡結構突破 ⚠️過熱,1,71.02,-,4,False
2497.TW,怡利電,2026-04-02,看漲 FVG,50.5,50.15,53.03,✅ 已站穩,🟢 買進,1,77.69,2026-04-08,4,False
2543.TW,皇昌,2026-03-31,看跌 FVG,59.7,60.1,56.72,⏳ 待回測,⚡結構突破 ⚠️過熱,0,15.38,-,4,False
2616.TW,山隆,2026-04-08,看跌 FVG,15.65,15.88,14.87,⏳ 待回測,⚡結構突破 ⚠️過熱,0,44.44,-,4,False
2640.TWO,大車隊,2026-04-02,看跌 FVG,181.0,188.94,171.95,💰 已達標,獲利點,0,74.19,-,4,False
3005.TW,神基,2026-03-30,看跌 FVG,100.5,105.02,95.47,⚠️ 壓力確認,🔴 放空,0,23.07,2026-04-01,4,False
