代碼,名稱,現價,漲跌,狀態
2317,鴻海,201.5,+0.00%,WAIT
3702,大聯大,91.9,+0.00%,WAIT
2485,兆赫,73.0,+0.00%,WAIT
2367,燿華,74.3,+0.00%,WAIT
4142,國光生,18.2,+0.00%,WAIT
0050,元大台灣50,79.2,+0.00%,WAIT
0056,元大高股息,39.02,+0.00%,WAIT
00635U,期元大S&P黃金,50.7,+0.00%,WAIT
00738U,期元大道瓊白銀,62.65,+0.00%,WAIT
00929,復華台灣科技優息,19.65,+0.00%,WAIT
009816,凱基台灣TOP50,11.23,+0.00%,WAIT
00990A,主動元大AI新經濟,13.29,+0.00%,WAIT
2009,第一銅,40.6,+0.00%,WAIT
2337,旺宏,139.5,-7.00%,WAIT
2352,佳世達,23.8,+0.00%,WAIT
2409,友達,17.05,+0.00%,WAIT
3481,群創,27.4,+4.58%,WAIT
6136,富爾特,24.25,+0.00%,WAIT
6806,森崴能源,28.2,+0.00%,WAIT
3105,穩懋,440.0,+0.00%,WAIT
4966,譜瑞-KY,498.5,+4.29%,WAIT
6188,廣明,89.4,+0.00%,WAIT
7792,安葆,347.0,+0.00%,WAIT
2327,國巨*,271.5,+0.00%,WAIT
