股號,名稱,現價,漲跌幅,建議
2317,鴻海,201.5,0.00%,賣出
3702,大聯大,91.9,0.00%,賣出
2485,兆赫,73.0,0.00%,賣出
2367,燿華,77.1,3.77%,續抱/觀望
4142,國光生,18.2,0.00%,賣出
0050,元大台灣50,79.1,-0.13%,續抱/觀望
0056,元大高股息,39.02,0.00%,續抱/觀望
00635U,期元大S&P黃金,50.7,0.00%,續抱/觀望
00738U,期元大道瓊白銀,62.65,0.00%,續抱/觀望
00929,復華台灣科技優息,19.65,0.00%,續抱/觀望
009816,凱基台灣TOP50,11.23,0.00%,續抱/觀望
00990A,主動元大AI新經濟,13.29,0.00%,買入
2009,第一銅,40.6,0.00%,賣出
2337,旺宏,150.0,0.00%,續抱/觀望
2352,佳世達,23.8,0.00%,續抱/觀望
2409,友達,17.05,0.00%,買入
3481,群創,26.2,0.00%,賣出
6136,富爾特,24.25,0.00%,續抱/觀望
6806,森崴能源,25.4,-9.93%,賣出
3105,穩懋,440.0,0.00%,續抱/觀望
4966,譜瑞-KY,478.0,0.00%,賣出
6188,廣明,89.4,0.00%,賣出
7792,安葆,347.0,0.00%,買入
2327,國巨*,271.5,0.00%,續抱/觀望
