=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
3550.TW    |    MA60    |    33.7% |    -15.63% |       92
3432.TW    |    MA10    |    30.3% |    -28.29% |      218
1514.TW    |    MA10    |    35.5% |    237.97% |      200
7750.TW    |    MA5     |    23.1% |     16.71% |       13
6209.TW    |    MA10    |    37.0% |    153.56% |      200
4912.TW    |    MA60    |    31.0% |    227.43% |       84
3015.TW    |    MA20    |    31.9% |     45.15% |      144
3703.TW    |    MA20    |    30.2% |    135.45% |      126
1735.TW    |    MA5     |    23.4% |   -207.91% |      372
1522.TW    |    MA60    |    32.9% |    143.20% |       79
00712.TW   |    MA20    |    41.4% |     45.43% |       87
00924.TW   |    MA20    |    45.7% |     32.04% |       35
6196.TW    |    MA20    |    36.6% |    232.84% |      134
5299.TWO   |    MA60    |    22.0% |    418.30% |       82
3002.TW    |    MA60    |    23.2% |    -26.11% |       99
4989.TW    |    MA20    |    27.0% |     49.35% |      115
6405.TW    |    MA10    |    31.3% |     63.73% |      201
2423.TW    |    MA60    |    42.9% |     83.11% |       77
00673R.TW  |    MA60    |    30.4% |    291.56% |       69
1784.TWO   |    MA60    |    29.5% |      1.35% |       95
6130.TWO   |    MA20    |    36.5% |    242.59% |      156
4749.TWO   |    MA10    |    43.3% |    212.34% |       67
00933B.TWO |    MA20    |    32.3% |      3.57% |       31
5425.TWO   |    MA60    |    33.3% |     41.42% |       75
1307.TW    |    MA20    |    32.9% |     16.42% |      146
4960.TW    |    MA5     |    25.5% |   -103.12% |      310
2235.TWO   |    MA20    |    29.3% |    -62.96% |      164
3629.TWO   |    MA5     |    32.7% |    198.61% |      309
6683.TWO   |    MA5     |    34.8% |    174.64% |      187
3290.TWO   |    MA60    |    39.2% |     27.29% |       74
1513.TW    |    MA10    |    24.2% |     57.14% |      223
1455.TW    |    MA20    |    31.3% |    172.60% |      131
6730.TWO   |    MA20    |    30.4% |    -37.44% |       92
3038.TW    |    MA60    |    32.5% |     94.72% |       83
8996.TW    |    MA10    |    35.6% |    341.01% |      205
3465.TWO   |    MA20    |    34.3% |    509.57% |      143
2485.TW    |    MA20    |    32.4% |     21.34% |      139
3708.TW    |    MA60    |    33.3% |    220.33% |       81
1466.TW    |    MA20    |    24.0% |    -99.27% |      175
4533.TWO   |    MA20    |    26.4% |     79.86% |      159
00631L.TW  |    MA10    |    41.6% |    251.74% |      178
6855.TWO   |    MA60    |    35.5% |     49.68% |       31
2108.TW    |    MA60    |    33.3% |    222.56% |       54
1409.TW    |    MA60    |    23.5% |    -10.72% |       98
2049.TW    |    MA60    |    27.4% |     36.10% |       62
6859.TWO   |    MA60    |    20.9% |    -32.41% |       43
1582.TW    |    MA20    |    25.9% |     72.41% |      143
6212.TWO   |    MA60    |    31.2% |     24.08% |      138
5474.TWO   |    MA60    |    27.1% |    192.99% |       85
8438.TW    |    MA10    |    22.9% |     75.45% |      170
5351.TWO   |    MA60    |    28.9% |      8.61% |       90
1560.TW    |    MA60    |    36.1% |    229.96% |       61
9105.TW    |    MA60    |    20.6% |     55.41% |      102
2353.TW    |    MA60    |    23.0% |     48.61% |       87
2646.TW    |    MA60    |    14.3% |     -9.50% |        7
1736.TW    |    MA60    |    27.2% |    158.56% |       81
6982.TWO   |    MA60    |    31.2% |     29.35% |       16
1593.TWO   |    MA60    |    27.3% |     48.62% |       77
6190.TWO   |    MA20    |    30.4% |     54.40% |      161
2331.TW    |    MA60    |    30.0% |     76.45% |       70
9910.TW    |    MA60    |    27.8% |      2.17% |       97
5471.TW    |    MA60    |    27.7% |    -15.96% |       83
00909.TW   |    MA60    |    64.7% |     98.00% |       17
3508.TWO   |    MA20    |    31.5% |    149.28% |      130
2498.TW    |    MA10    |    29.1% |     24.14% |      220
00753L.TW  |    MA20    |    36.7% |     27.85% |       79
6861.TW    |    MA20    |    29.1% |    -10.70% |       55
8110.TW    |    MA20    |    36.4% |    353.27% |      143
2481.TW    |    MA60    |    27.1% |    221.30% |       85
4722.TW    |    MA60    |    35.1% |    251.62% |       74
5516.TWO   |    MA60    |    33.9% |    -22.69% |      127
5223.TWO   |    MA60    |    29.4% |     53.08% |       51
3083.TWO   |    MA10    |    28.4% |     86.83% |      201
7777.TWO   |    MA5     |    24.4% |    131.15% |       41
2393.TW    |    MA20    |    27.2% |      6.17% |      147
3615.TWO   |    MA10    |    34.2% |    -38.39% |      202
6207.TWO   |    MA20    |    39.1% |    194.81% |      133
009811.TW  |    MA10    |    28.6% |      4.81% |        7
5205.TWO   |    MA10    |    25.6% |     62.11% |      223
6937.TW    |    MA10    |    41.0% |     37.31% |       61
1611.TW    |    MA60    |    22.8% |    -87.99% |       79
6230.TW    |    MA60    |    31.2% |    142.55% |       96
2413.TW    |    MA10    |    27.4% |    186.96% |      190
6887.TW    |    MA60    |     0.0% |     -2.75% |        1
6188.TWO   |    MA60    |    31.9% |    120.30% |       91
3535.TW    |    MA20    |    28.8% |    215.14% |      156
2726.TWO   |    MA60    |    40.6% |    112.85% |       69
2103.TW    |    MA60    |    28.7% |    -25.80% |       87
6980.TWO   |    MA20    |    30.8% |    148.11% |       26
2317.TW    |    MA60    |    33.3% |    152.26% |       81
8089.TWO   |    MA60    |    28.9% |    323.13% |       38
1815.TWO   |    MA10    |    29.9% |    173.58% |      211
6890.TW    |    MA60    |    22.2% |    -34.93% |        9
2431.TW    |    MA10    |    29.4% |    -37.07% |      211
9921.TW    |    MA20    |    27.3% |     34.73% |      150
6640.TWO   |    MA60    |    35.6% |    652.60% |       45
2451.TW    |    MA20    |    31.0% |     87.48% |      145
3526.TWO   |    MA10    |    38.5% |    204.03% |      192
2010.TW    |    MA60    |    28.4% |     68.70% |       81
00770.TW   |    MA60    |    42.5% |     67.91% |       40
3234.TWO   |    MA20    |    28.9% |     75.98% |      142
00795B.TWO |    MA20    |    27.2% |    -29.75% |       81
2302.TW    |    MA20    |    30.3% |     30.82% |      155
6957.TW    |    MA60    |    15.4% |    -29.34% |       13
3025.TW    |    MA20    |    27.7% |    178.18% |      148
5011.TWO   |    MA60    |    24.7% |      1.35% |       77
4406.TWO   |    MA60    |    22.9% |   -211.71% |      179
8234.TWO   |    MA60    |    32.8% |    133.11% |       61
7714.TWO   |    MA20    |    28.0% |     14.54% |       25
1432.TW    |    MA20    |    28.3% |    -30.60% |      138
3661.TW    |    MA60    |    37.5% |    666.97% |       72
3033.TW    |    MA60    |    23.2% |     38.07% |       69
00646.TW   |    MA60    |    40.7% |     37.84% |       54
6592.TW    |    MA60    |    18.9% |     36.03% |       53
2314.TW    |    MA60    |    29.5% |     18.93% |       88
6451.TW    |    MA5     |    30.1% |     61.71% |      276
3308.TW    |    MA20    |    33.8% |      8.04% |      151
00700.TW   |    MA60    |    28.6% |    -26.19% |       56
3712.TW    |    MA20    |    26.2% |    194.01% |       84
4123.TWO   |    MA60    |    22.2% |   -124.89% |      117
4973.TWO   |    MA20    |    31.9% |     80.41% |      135
2739.TW    |    MA60    |    26.8% |      8.53% |       71
00720B.TWO |    MA20    |    35.1% |      6.32% |       77
5225.TW    |    MA20    |    31.3% |    157.70% |      134
1438.TW    |    MA10    |    30.2% |     -1.51% |      291
4927.TW    |    MA20    |    35.9% |     60.65% |      117
3221.TWO   |    MA10    |    30.2% |    -85.16% |      199
00830.TW   |    MA20    |    38.3% |     84.77% |       81
8150.TW    |    MA20    |    32.6% |     76.45% |      138
6438.TW    |    MA20    |    28.5% |     48.40% |      151
2359.TW    |    MA60    |    25.5% |    231.78% |       94
2891.TW    |    MA60    |    28.0% |     71.94% |       82
6706.TW    |    MA10    |    32.8% |    186.86% |      125
2455.TW    |    MA20    |    36.2% |    135.26% |      130
5478.TWO   |    MA10    |    30.2% |     22.76% |      212
8111.TWO   |    MA60    |    32.4% |    225.48% |       71
2492.TW    |    MA10    |    34.3% |    377.22% |      198
2347.TW    |    MA60    |    29.3% |     -1.31% |       92
00981B.TWO |    MA60    |   100.0% |      7.86% |        2
3252.TWO   |    MA20    |    27.4% |   -146.27% |      197
2332.TW    |    MA10    |    30.5% |    -57.70% |      210
6789.TW    |    MA10    |    25.6% |     56.65% |       86
2404.TW    |    MA20    |    36.3% |    307.91% |      135
4916.TW    |    MA60    |    25.7% |     46.04% |       70
00953B.TW  |    MA20    |    41.7% |      3.85% |       12
3093.TWO   |    MA60    |    35.5% |     68.88% |      107
00724B.TWO |    MA20    |    28.7% |     -9.01% |       87
1418.TW    |    MA60    |    26.9% |    -61.05% |      104
6138.TWO   |    MA60    |    37.8% |    157.11% |       90
00663L.TW  |    MA10    |    42.3% |    239.58% |      149
6965.TW    |    MA20    |    25.0% |    -19.54% |       12
7812.TWO   |    MA60    |    28.6% |     -2.83% |        7
2923.TW    |    MA10    |    28.3% |   -162.86% |      254
8477.TWO   |    MA60    |    34.2% |    -88.04% |       73
6508.TWO   |    MA60    |    28.9% |    -25.46% |       83
1538.TW    |    MA20    |    31.3% |   -193.29% |      179
2466.TW    |    MA20    |    24.6% |     48.07% |      126
2612.TW    |    MA10    |    30.9% |     45.87% |      191
00740B.TWO |    MA20    |    30.4% |     11.18% |       79
2367.TW    |    MA10    |    31.8% |    143.43% |      211
3131.TWO   |    MA60    |    29.4% |    379.57% |       68
2230.TWO   |    MA60    |    29.0% |    198.72% |      100
2426.TW    |    MA20    |    31.5% |     22.91% |      143
3675.TWO   |    MA60    |    33.3% |    297.97% |       84
8431.TWO   |    MA20    |    37.2% |    133.15% |      137
3189.TW    |    MA10    |    35.4% |     28.08% |      209
2206.TW    |    MA20    |    22.0% |     -9.90% |      168
6486.TWO   |    MA60    |    26.0% |     40.58% |       77
2881.TW    |    MA60    |    34.2% |    181.84% |       79
6928.TW    |    MA5     |    22.5% |    -19.70% |       40
3443.TW    |    MA5     |    36.6% |    254.66% |      303
5328.TWO   |    MA10    |    30.7% |    112.71% |      199
2329.TW    |    MA60    |    41.7% |    218.40% |       72
6163.TWO   |    MA10    |    29.0% |    -28.25% |      217
2316.TW    |    MA20    |    36.1% |    233.07% |      147
6244.TWO   |    MA20    |    21.9% |     79.45% |      155
2834.TW    |    MA60    |    23.7% |     50.28% |       76
2022.TW    |    MA10    |    27.7% |    129.53% |      188
8088.TWO   |    MA20    |    28.7% |     12.45% |      136
1310.TW    |    MA60    |    30.9% |    -41.84% |       97
2072.TWO   |    MA60    |    37.5% |    210.59% |       32
5386.TWO   |    MA10    |    33.2% |    283.37% |      223
00703.TW   |    MA20    |    30.3% |     -2.34% |       89
4551.TW    |    MA20    |    33.8% |     17.28% |      130
5608.TW    |    MA60    |    14.5% |    530.90% |       83
5203.TW    |    MA10    |    31.0% |     27.93% |      197
7795.TW    |    MA20    |    37.5% |    103.70% |        8
4904.TW    |    MA20    |    23.7% |    -44.69% |      177
4946.TWO   |    MA60    |    18.8% |    275.70% |       80
6695.TW    |    MA60    |    30.0% |    203.34% |       50
1305.TW    |    MA20    |    30.2% |    111.84% |      126
00900.TW   |    MA20    |    28.9% |     29.40% |       45
3532.TW    |    MA10    |    33.8% |    332.41% |      204
1314.TW    |    MA10    |    31.6% |     17.21% |      196
6885.TW    |    MA60    |     0.0% |     -3.25% |        3
00719B.TWO |    MA60    |    20.6% |      2.75% |       34
1304.TW    |    MA60    |    35.8% |    120.43% |       67
5274.TWO   |    MA60    |    47.2% |    246.71% |       89
00923.TW   |    MA10    |    43.2% |     58.24% |       37
6873.TW    |    MA60    |    29.4% |    138.90% |       17
4909.TWO   |    MA60    |    26.2% |    289.53% |       61
6016.TWO   |    MA10    |    30.0% |    142.48% |      190
9906.TW    |    MA10    |    36.1% |    287.77% |      219
8069.TWO   |    MA20    |    31.5% |    161.83% |      149
2340.TW    |    MA20    |    30.6% |     58.16% |      147
00982A.TW  |    MA10    |     0.0% |      0.00% |        0
3138.TW    |    MA20    |    31.5% |    738.89% |      162
5347.TWO   |    MA20    |    32.5% |     51.36% |      160
3017.TW    |    MA60    |    30.1% |    390.57% |       93
3037.TW    |    MA20    |    33.3% |    154.57% |      153
1503.TW    |    MA60    |    27.3% |    182.75% |       99
6143.TWO   |    MA20    |    36.2% |    149.64% |      127
3441.TWO   |    MA60    |    24.0% |    -45.39% |      100
8080.TWO   |    MA60    |    30.1% |   -145.58% |      103
5490.TWO   |    MA20    |    29.0% |     11.38% |      131
2607.TW    |    MA60    |    25.2% |      5.87% |      107
4768.TWO   |    MA20    |    43.4% |    225.24% |       76
4755.TW    |    MA60    |    25.7% |    243.91% |       70
5469.TW    |    MA20    |    37.7% |    235.92% |      114
3305.TW    |    MA60    |    39.3% |    146.60% |       84
6236.TWO   |    MA20    |    26.1% |    -36.06% |      157
6214.TW    |    MA60    |    25.3% |      1.69% |       95
00640L.TW  |    MA5     |    44.0% |     73.86% |      259
2641.TWO   |    MA60    |    35.1% |    228.64% |       74
8432.TWO   |    MA60    |    28.6% |     78.72% |       77
6218.TWO   |    MA60    |    35.7% |    -15.92% |       98
6552.TW    |    MA60    |    24.1% |     50.34% |       58
1216.TW    |    MA60    |    25.5% |     -7.33% |       98
2887.TW    |    MA60    |    28.6% |     93.30% |       70
1471.TW    |    MA60    |    32.0% |    164.16% |       75
2493.TW    |    MA20    |    33.9% |    193.70% |      124
1590.TW    |    MA60    |    33.3% |     74.13% |       87
4127.TWO   |    MA20    |    27.6% |     12.64% |      156
00638R.TW  |    MA60    |    18.1% |   -109.09% |       83
00919.TW   |    MA10    |    41.7% |     46.90% |       48
6217.TWO   |    MA60    |    34.2% |     15.66% |       79
1710.TW    |    MA10    |    31.7% |    -68.16% |      205
6213.TW    |    MA60    |    24.7% |    203.81% |       93
9103.TW    |    MA20    |    23.9% |    748.91% |      159
2337.TW    |    MA60    |    29.6% |    255.43% |       98
6796.TW    |    MA20    |    33.3% |    106.55% |       57
6133.TW    |    MA60    |    28.9% |     44.88% |       76
3466.TWO   |    MA20    |    29.1% |     51.63% |      182
4569.TW    |    MA10    |    31.8% |    103.93% |       44
7799.TW    |    MA10    |    20.0% |    158.13% |       15
3036.TW    |    MA60    |    24.7% |    163.68% |       77
8921.TWO   |    MA60    |    19.2% |   -113.69% |      125
3163.TWO   |    MA20    |    30.6% |     90.34% |      144
2495.TW    |    MA60    |    31.0% |     43.85% |       87
6225.TW    |    MA10    |    29.4% |   -408.73% |      306
1444.TW    |    MA60    |    18.0% |   -129.57% |      122
0056.TW    |    MA10    |    37.1% |     87.99% |      170
8463.TW    |    MA60    |    27.3% |     21.57% |       99
8077.TWO   |    MA60    |    22.3% |    -81.57% |      112
00882.TW   |    MA10    |    25.9% |      2.99% |       85
6684.TWO   |    MA10    |    32.3% |    123.11% |      124
3546.TWO   |    MA10    |    30.8% |    144.44% |      208
3552.TWO   |    MA20    |    30.9% |    229.94% |      123
2377.TW    |    MA20    |    35.7% |    130.46% |      140
4583.TW    |    MA10    |    38.5% |    129.21% |       96
3293.TWO   |    MA60    |    31.2% |    470.14% |       64
00910.TW   |    MA20    |    44.1% |    109.21% |       34
2397.TW    |    MA60    |    28.7% |     23.12% |       80
8279.TWO   |    MA20    |    32.9% |     52.88% |      146
2006.TW    |    MA60    |    32.9% |    116.65% |       82
6715.TW    |    MA20    |    25.3% |     41.34% |       83
00946.TW   |    MA10    |    36.4% |      1.94% |       33
3034.TW    |    MA60    |    27.6% |    105.80% |       76
3588.TW    |    MA5     |    28.7% |     63.77% |      296
2603.TW    |    MA60    |    27.4% |   1008.04% |       84
6643.TWO   |    MA10    |    34.9% |     99.53% |      152
6854.TW    |    MA10    |    27.6% |     45.08% |       58
1459.TW    |    MA60    |    26.0% |    -52.27% |      100
4903.TWO   |    MA10    |    29.1% |    294.77% |      196
8444.TWO   |    MA60    |    28.8% |    176.71% |       66
3016.TW    |    MA60    |    32.6% |     18.97% |       92
6533.TW    |    MA5     |    32.5% |     54.01% |      265
00985A.TW  |    MA60    |   100.0% |     22.95% |        2
6620.TWO   |    MA20    |    35.8% |    265.16% |       81
1326.TW    |    MA60    |    26.6% |     -0.16% |       79
6517.TWO   |    MA60    |    22.2% |     84.97% |       36
1583.TW    |    MA60    |    31.9% |    -11.51% |       94
4919.TW    |    MA60    |    26.4% |     53.96% |       91
6142.TW    |    MA20    |    32.3% |     65.75% |      127
2321.TW    |    MA20    |    31.2% |   -112.38% |      186
3213.TWO   |    MA60    |    31.5% |    147.51% |       73
2327.TW    |    MA60    |    37.5% |   1009.07% |       72
8289.TWO   |    MA20    |    26.9% |     14.44% |      167
5439.TWO   |    MA20    |    36.5% |    268.25% |      126
3005.TW    |    MA20    |    31.9% |    196.94% |      135
2009.TW    |    MA5     |    29.2% |    148.45% |      301
6423.TWO   |    MA20    |    26.2% |    147.88% |      122
2610.TW    |    MA60    |    19.4% |     70.04% |       93
2836.TW    |    MA60    |    23.3% |    -20.19% |      103
2379.TW    |    MA20    |    37.2% |    126.82% |      145
6546.TWO   |    MA60    |    40.0% |    369.47% |       55
5432.TWO   |    MA60    |    31.1% |    377.12% |       90
3533.TW    |    MA10    |    35.6% |    164.98% |      233
6120.TW    |    MA10    |    27.5% |     59.29% |      236
2882.TW    |    MA60    |    25.0% |     97.56% |       84
6456.TW    |    MA60    |    23.9% |     67.73% |       67
4737.TW    |    MA20    |    31.8% |    -20.33% |      151
3059.TW    |    MA10    |    26.6% |    -18.13% |      199
4541.TWO   |    MA20    |    33.1% |      1.49% |      154
4938.TW    |    MA60    |    28.3% |     42.01% |       92
6265.TWO   |    MA20    |    32.6% |    194.29% |      129
3206.TWO   |    MA20    |    33.3% |     85.56% |      141
5340.TWO   |    MA20    |    22.6% |    303.78% |      133
8499.TW    |    MA20    |    27.3% |    110.05% |       99
4585.TW    |    MA60    |     0.0% |     -6.25% |        1
3338.TW    |    MA60    |    24.7% |    199.50% |       77
5302.TWO   |    MA5     |    30.8% |    -45.32% |      312
3702.TW    |    MA60    |    34.6% |     64.42% |       81
2548.TW    |    MA10    |    27.3% |     16.98% |      205
00922.TW   |    MA10    |    37.8% |     62.40% |       45
8390.TWO   |    MA5     |    31.8% |     64.71% |      302
6535.TWO   |    MA60    |    23.1% |    176.66% |       78
00651R.TW  |    MA60    |    26.2% |    -53.98% |       61
3672.TWO   |    MA60    |    19.7% |     -9.52% |       71
2615.TW    |    MA60    |    26.2% |   1440.78% |       61
4807.TW    |    MA5     |    28.2% |   -147.74% |      252
2606.TW    |    MA10    |    27.6% |      4.13% |      203
1308.TW    |    MA10    |    30.2% |    -87.55% |      232
6768.TW    |    MA20    |    34.9% |     42.56% |       63
3596.TW    |    MA20    |    29.4% |    115.51% |      143
6720.TWO   |    MA20    |    40.0% |    266.54% |       65
8383.TWO   |    MA10    |    32.4% |     -5.81% |      213
6550.TW    |    MA10    |    31.4% |    255.13% |      153
6753.TW    |    MA10    |    32.2% |    172.41% |       87
4770.TW    |    MA60    |    19.1% |    -17.97% |       47
6228.TWO   |    MA60    |    27.0% |    -14.78% |      100
2468.TW    |    MA60    |    23.6% |     73.82% |      123
3041.TW    |    MA20    |    27.8% |    -72.48% |      158
2472.TW    |    MA20    |    38.4% |    137.89% |      138
6275.TWO   |    MA20    |    33.3% |    127.78% |      150
6469.TWO   |    MA60    |    34.3% |    305.02% |       70
6949.TW    |    MA5     |    27.9% |    299.69% |       43
6426.TW    |    MA10    |    38.2% |    288.92% |      212
6112.TW    |    MA60    |    23.0% |     57.45% |       74
2601.TW    |    MA20    |    21.9% |    -66.35% |      146
5272.TWO   |    MA60    |    23.8% |    -35.78% |       84
6005.TW    |    MA60    |    21.3% |    130.34% |       75
2258.TW    |    MA10    |    31.4% |    -20.87% |       35
00948B.TWO |    MA20    |    26.1% |     -5.43% |       23
00902.TW   |    MA20    |    34.9% |     21.39% |       43
2449.TW    |    MA60    |    40.5% |    261.92% |       79
6613.TWO   |    MA20    |    34.2% |    124.85% |      120
2616.TW    |    MA60    |    22.2% |     18.23% |       72
5443.TWO   |    MA60    |    30.4% |    378.95% |       92
3167.TW    |    MA20    |    35.6% |    276.64% |      118
6579.TW    |    MA10    |    30.6% |    -20.36% |      183
3611.TWO   |    MA20    |    28.5% |     15.63% |      151
6219.TWO   |    MA60    |    19.0% |     56.38% |       84
2892.TW    |    MA60    |    33.0% |     28.31% |       91
2889.TW    |    MA60    |    31.2% |    112.73% |       64
3713.TWO   |    MA20    |    25.0% |    262.93% |       72
2014.TW    |    MA60    |    17.6% |    340.27% |       68
2438.TW    |    MA10    |    25.4% |     69.16% |      232
2231.TW    |    MA20    |    31.4% |    102.95% |      140
2354.TW    |    MA60    |    28.9% |     15.20% |       76
3680.TWO   |    MA60    |    23.0% |    241.90% |       87
00666R.TW  |    MA60    |    32.4% |    -60.77% |       68
00761B.TWO |    MA60    |    24.6% |    -30.91% |       57
4171.TWO   |    MA10    |    27.4% |    215.33% |      223
6541.TW    |    MA10    |    23.9% |    117.21% |      188
4154.TWO   |    MA60    |    35.2% |     38.40% |       88
7738.TWO   |    MA20    |    23.1% |     43.85% |       13
5371.TWO   |    MA20    |    31.6% |    210.33% |      136
3541.TWO   |    MA10    |    39.3% |    165.21% |      178
00939.TW   |    MA20    |    25.0% |     -2.16% |       24
3062.TW    |    MA10    |    33.3% |     26.09% |      198
4571.TW    |    MA60    |    32.1% |    131.77% |       28
9929.TW    |    MA60    |    28.1% |    -84.81% |      114
6488.TWO   |    MA60    |    36.4% |    358.31% |       77
3416.TW    |    MA60    |    32.7% |    128.15% |       52
4142.TW    |    MA60    |    17.5% |    -42.18% |       80
5388.TW    |    MA20    |    31.6% |    -26.51% |      158
3419.TW    |    MA10    |    25.1% |    -47.81% |      215
4147.TWO   |    MA10    |    28.5% |     57.97% |      193
3191.TWO   |    MA5     |    30.6% |     29.10% |      317
5222.TW    |    MA60    |    29.1% |    218.28% |       86
1528.TW    |    MA10    |    27.7% |     89.83% |      206
6666.TW    |    MA60    |    25.0% |    -73.39% |       60
2344.TW    |    MA60    |    32.9% |    350.61% |       76
8917.TWO   |    MA60    |    25.0% |    -10.88% |      116
7788.TW    |    MA10    |    55.6% |     36.76% |        9
3684.TWO   |    MA10    |    32.8% |     50.80% |      241
1460.TW    |    MA60    |    22.1% |    -97.45% |       77
00735.TW   |    MA20    |    37.8% |    110.17% |       74
3227.TWO   |    MA20    |    31.1% |     78.15% |      151
2105.TW    |    MA60    |    22.5% |    -81.56% |       80
2460.TW    |    MA60    |    30.2% |    233.18% |       53
7781.TWO   |    MA20    |    31.6% |    205.88% |       19
3035.TW    |    MA60    |    43.8% |    222.67% |       64
2357.TW    |    MA60    |    27.7% |      8.87% |      101
00686R.TW  |    MA60    |    22.4% |    -57.17% |       49
2801.TW    |    MA60    |    29.2% |    -26.64% |      106
00864B.TWO |    MA20    |    22.4% |      7.11% |       49
5291.TWO   |    MA20    |    31.1% |      9.82% |      135
8455.TWO   |    MA20    |    22.9% |    -30.83% |      170
3040.TW    |    MA60    |    30.1% |     53.90% |       93
4130.TWO   |    MA60    |    20.3% |    -44.10% |       69
3205.TWO   |    MA60    |    16.9% |    909.60% |       71
2439.TW    |    MA20    |    30.4% |     15.62% |      148
2371.TW    |    MA60    |    25.4% |    164.09% |       71
6894.TWO   |    MA60    |    47.6% |     43.74% |       21
00937B.TWO |    MA60    |    31.2% |     -1.85% |       16
6125.TWO   |    MA60    |    28.6% |    214.61% |       98
4911.TWO   |    MA20    |    26.3% |     51.15% |      137
2204.TW    |    MA60    |    30.0% |     33.95% |       70
5871.TW    |    MA20    |    37.2% |    109.19% |      129
2429.TW    |    MA60    |    25.0% |    181.82% |      104
1809.TW    |    MA10    |    30.1% |     49.48% |      206
6884.TWO   |    MA60    |    11.1% |    -18.05% |       27
7737.TWO   |    MA20    |    42.9% |     -3.89% |        7
2342.TW    |    MA5     |    29.6% |     36.47% |      321
8255.TWO   |    MA20    |    26.7% |    -25.54% |      161
6612.TWO   |    MA10    |    36.8% |     29.48% |      163
6560.TWO   |    MA20    |    31.4% |    285.56% |      102
8299.TWO   |    MA10    |    39.3% |    231.62% |      219
1609.TW    |    MA60    |    26.0% |    206.39% |       96
009801.TW  |    MA60    |    40.0% |     17.55% |        5
5269.TW    |    MA20    |    32.6% |    468.50% |      144
2069.TW    |    MA10    |    33.2% |     -1.40% |      202
3555.TWO   |    MA60    |    33.0% |    181.76% |      103
3551.TWO   |    MA10    |    35.1% |    179.27% |      208
5285.TW    |    MA60    |    24.7% |     89.55% |       93
6243.TW    |    MA10    |    27.8% |     23.66% |      205
3570.TWO   |    MA20    |    31.0% |     11.83% |      171
9941.TW    |    MA60    |    32.8% |    166.35% |       67
1301.TW    |    MA60    |    29.1% |    -38.29% |       86
3207.TWO   |    MA60    |    25.0% |    163.85% |      108
6202.TW    |    MA20    |    29.7% |    -70.67% |      158
912000.TW  |    MA20    |    29.9% |    105.99% |      117
1101.TW    |    MA20    |    34.5% |      2.91% |      139
3067.TWO   |    MA60    |    24.3% |   -177.20% |      177
3504.TW    |    MA20    |    32.1% |    123.46% |      131
2903.TW    |    MA20    |    27.1% |     46.57% |      140
5521.TW    |    MA20    |    28.1% |    166.17% |      128
4939.TWO   |    MA60    |    27.7% |     84.05% |       83
6669.TW    |    MA20    |    50.5% |    409.62% |      101
2421.TW    |    MA20    |    31.4% |    237.91% |      159
1525.TW    |    MA20    |    25.5% |     20.28% |      137
6239.TW    |    MA60    |    27.3% |    130.01% |       88
4577.TWO   |    MA20    |    32.1% |     41.37% |       84
9907.TW    |    MA20    |    25.2% |     -9.29% |      135
6830.TW    |    MA60    |    30.0% |     47.95% |       30
00891.TW   |    MA10    |    42.3% |     60.53% |       71
3010.TW    |    MA60    |    23.3% |     48.77% |       86
2886.TW    |    MA60    |    28.9% |     18.29% |       76
2376.TW    |    MA60    |    28.2% |    308.43% |       85
5706.TW    |    MA20    |    25.4% |    105.58% |      114
6412.TW    |    MA20    |    29.9% |     98.46% |      144
6616.TWO   |    MA60    |    32.8% |     93.49% |       58
3019.TW    |    MA20    |    30.4% |    202.27% |      138
3217.TWO   |    MA60    |    42.5% |    250.99% |       73
3545.TW    |    MA60    |    21.6% |    145.82% |       74
6134.TWO   |    MA60    |    31.6% |    129.91% |       57
4534.TWO   |    MA10    |    26.5% |    149.18% |      211
6655.TW    |    MA20    |    31.4% |    119.98% |      102
2458.TW    |    MA60    |    26.5% |    104.32% |       68
1597.TW    |    MA10    |    37.3% |    139.37% |      209
4131.TWO   |    MA60    |    26.9% |   -100.23% |      119
2432.TW    |    MA20    |    14.3% |    -34.65% |       35
6462.TWO   |    MA20    |    35.0% |    195.88% |      137
3687.TWO   |    MA60    |    30.5% |     -7.96% |       82
3147.TWO   |    MA60    |    23.6% |    231.74% |       72
4523.TWO   |    MA10    |    27.2% |     33.00% |      206
00665L.TW  |    MA60    |    31.1% |    -57.46% |       61
2328.TW    |    MA20    |    29.6% |    148.87% |      162
9926.TW    |    MA60    |    26.5% |    -58.98% |      151
6691.TW    |    MA60    |    52.6% |    321.05% |       38
1439.TW    |    MA20    |    30.3% |     41.23% |      145
4915.TW    |    MA60    |    35.9% |    113.66% |       64
0052.TW    |    MA10    |    36.9% |    136.90% |      187
2241.TW    |    MA20    |    22.8% |     -4.49% |      123
1213.TW    |    MA60    |    30.6% |    -65.80% |      108
4702.TWO   |    MA10    |    22.3% |   -170.42% |      233
5234.TW    |    MA20    |    30.6% |    270.87% |      134
2740.TWO   |    MA60    |    31.1% |    -86.82% |       61
1805.TW    |    MA20    |    21.9% |    -75.49% |      169
2634.TW    |    MA20    |    29.9% |    -35.15% |      154
2237.TWO   |    MA10    |    30.1% |     21.94% |      229
5487.TWO   |    MA60    |    31.4% |    -95.39% |      102
00936.TW   |    MA20    |    40.9% |     21.12% |       22
2363.TW    |    MA60    |    29.9% |    158.90% |       77
