正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   2023.TW          240      32.69         120.82      52   ☁ 觀望
   1304.TW           60      35.82         120.43      67   📈 持有
  6188.TWO           60      31.87         120.30      91   ☁ 觀望
   2353.TW          120      24.53         120.03      53   ☁ 觀望
   1717.TW          120      30.36         119.70      56   📈 持有
  3066.TWO          240      36.84         119.44      57   ☁ 觀望
   0050.TW          120      24.24         119.04      33   📈 持有
  6418.TWO           20      29.66         118.61     145   ☁ 觀望
   4142.TW          240      22.86         118.29      35   ☁ 觀望
   2444.TW           60      23.53         117.89      85   📈 持有
   3040.TW          240      35.00         117.58      20   ☁ 觀望
   8422.TW          120      21.05         117.41      57   📈 持有
   6541.TW           10      23.94         117.21     188   ☁ 觀望
   3010.TW          240      36.00         116.59      25   📈 持有
   2425.TW           20      30.97         116.42     113   ☁ 觀望
   3308.TW          120      42.03         115.82      69   📈 持有
   2880.TW          120      30.23         115.62      43   📈 持有
 00877.TWO           10      34.57         115.22      81   📈 持有
   2890.TW          120      30.77         114.89      52   📈 持有
   2855.TW          240      31.58         114.45      38   📈 持有
   1504.TW          240      31.43         114.17      35   📈 持有
   4915.TW           60      35.94         113.66      64   ☁ 觀望
  6735.TWO           10      36.45         113.20     107   📈 持有
  2726.TWO           60      40.58         112.85      69   ☁ 觀望
  8050.TWO          240      44.12         112.75      34   ☁ 觀望
   2889.TW           60      31.25         112.73      64   ☁ 觀望
  5328.TWO           10      30.65         112.71     199   📈 持有
   2834.TW          120      25.81         112.34      62   📈 持有
   8114.TW          240      30.77         112.13      39   ☁ 觀望
   8103.TW          120      32.20         111.84      59   📈 持有
   2838.TW          240      26.47         111.77      34   📈 持有
  3564.TWO           10      36.36         111.67     198   📈 持有
  3085.TWO          120      26.42         111.22      53   ☁ 觀望
  00830.TW          240      16.67         110.50      12   📈 持有
   8070.TW           60      34.78         110.32      92   ☁ 觀望
  00735.TW           20      37.84         110.17      74   📈 持有
   2548.TW          240      41.67         109.90      24   📈 持有
  6203.TWO           60      29.27         109.74      82   ☁ 觀望
  00910.TW           20      44.12         109.21      34   📈 持有
   2401.TW          120      27.78         108.80      72   ☁ 觀望
   2605.TW           10      30.77         108.05     195   📈 持有
  5291.TWO          120      32.69         107.92      52   📈 持有
   2884.TW          240      38.71         107.80      31   📈 持有
   6869.TW          120      40.00         107.52      10   ☁ 觀望
  7744.TWO            5      39.53         107.49      43   ☁ 觀望
   8150.TW          120      35.09         106.92      57   📈 持有
   6796.TW           20      33.33         106.55      57   ☁ 觀望
   2607.TW          240      29.55         106.26      44   📈 持有
  3623.TWO           10      35.26         106.21     190   📈 持有
   3257.TW           20      33.58         106.07     134   ☁ 觀望
 912000.TW           20      29.91         105.99     117   ☁ 觀望
   2723.TW          120      27.27         105.82      33   ☁ 觀望
   3034.TW           60      27.63         105.80      76   ☁ 觀望
   5706.TW           20      25.44         105.58     114   📈 持有
  5514.TWO          240      42.86         104.92      14   ☁ 觀望
   4977.TW           20      34.97         104.34     143   📈 持有
   2458.TW           60      26.47         104.32      68   ☁ 觀望
   2612.TW          120      31.34         104.26      67   📈 持有
   4569.TW           10      31.82         103.93      44   📈 持有
   7795.TW           20      37.50         103.70       8   📈 持有
  7712.TWO           10      23.68         103.58      38   📈 持有
   6994.TW            5      38.18         103.01      55   ☁ 觀望
   2231.TW           20      31.43         102.95     140   ☁ 觀望
   2013.TW          240      26.09         102.95      46   ☁ 觀望
  00713.TW          120      36.36         102.83      22   📈 持有
   5880.TW          120      29.79         101.28      47   ☁ 觀望
   6552.TW          120      29.27         100.89      41   ☁ 觀望
  5426.TWO          240      25.81         100.85      31   ☁ 觀望
  00770.TW          120      42.11         100.60      19   📈 持有
  00662.TW          120      44.00          99.71      25   📈 持有
   6120.TW          120      31.25          99.55      48   📈 持有
  4971.TWO          240      27.59          99.44      29   📈 持有
  6877.TWO          120      43.75          99.22      16   📈 持有
   2012.TW          120      39.53          99.22      43   ☁ 觀望
  7719.TWO           60      25.00          98.74       8   ☁ 觀望
  6212.TWO          120      36.71          98.50      79   ☁ 觀望
  00909.TW           60      64.71          98.00      17   ☁ 觀望
  5425.TWO          120      26.53          97.91      49   📈 持有
   2882.TW           60      25.00          97.56      84   📈 持有
  6435.TWO          240      30.77          97.41      39   📈 持有
   4956.TW          240      29.63          97.34      27   ☁ 觀望
   1443.TW          120      22.73          96.90      66   ☁ 觀望
   9105.TW          240      18.18          96.66      44   ☁ 觀望
   3702.TW          120      22.22          95.70      45   📈 持有
   0056.TW          240      28.57          95.18      14   📈 持有
   6672.TW          120      33.33          94.98      24   ☁ 觀望
   2393.TW          240      17.50          94.85      40   ☁ 觀望
   3038.TW           60      32.53          94.72      83   📈 持有
   6799.TW           60      38.24          94.63      34   ☁ 觀望
  8489.TWO          240      56.25          94.58      16   ☁ 觀望
   2466.TW          120      27.27          94.53      55   ☁ 觀望
  6616.TWO           60      32.76          93.49      58   📈 持有
   2887.TW           60      28.57          93.30      70   📈 持有
   3004.TW          240      39.58          92.47      48   📈 持有
  6624.TWO          120      48.57          92.16      35   📈 持有
  2941.TWO          120      16.67          91.96       6   ☁ 觀望
  6983.TWO           10      31.58          90.72      57   📈 持有
   1528.TW           10      27.67          89.83     206   📈 持有
   2069.TW          120      21.54          89.75      65   📈 持有
   2892.TW          240      37.50          89.73      16   📈 持有
  5455.TWO          240      38.46          89.22      39   ☁ 觀望
   4764.TW          120      24.19          88.96      62   📈 持有
   1708.TW          120      26.32          87.99      57   📈 持有
  6465.TWO           20      34.88          87.60     172   📈 持有
   6782.TW           20      31.03          87.03      58   📈 持有
  3083.TWO           10      28.36          86.83     201   ☁ 觀望
   3454.TW          120      24.07          86.01      54   📈 持有
   1203.TW          240      29.03          85.99      31   📈 持有
  3206.TWO           20      33.33          85.56     141   📈 持有
  6603.TWO          120      26.32          84.85      57   📈 持有
   2204.TW          120      20.83          84.23      48   ☁ 觀望
   4938.TW          120      38.30          83.43      47   📈 持有
   7610.TW           10      33.33          83.37       6   📈 持有
  00904.TW           10      43.86          83.26      57   📈 持有
  1599.TWO          120      22.95          82.72      61   ☁ 觀望
  4530.TWO          240      28.95          82.70      38   ☁ 觀望
   6112.TW          240      21.88          82.29      32   ☁ 觀望
  3306.TWO          120      42.59          82.08      54   ☁ 觀望
   2515.TW           10      26.89          82.04     212   📈 持有
   6931.TW           20      36.96          81.99      46   ☁ 觀望
  3516.TWO          240      39.02          81.97      41   ☁ 觀望
   5243.TW           20      34.01          81.82     147   ☁ 觀望
   9945.TW          240      20.51          81.76      39   ☁ 觀望
  8289.TWO          240      17.31          81.51      52   📈 持有
  3663.TWO          120      36.84          81.50      57   📈 持有
  7728.TWO          120      57.14          81.19       7   📈 持有
  8240.TWO           20      35.82          80.91     134   ☁ 觀望
   2606.TW          120      28.79          80.88      66   📈 持有
   2820.TW          240      57.14          80.46      14   📈 持有
   1409.TW          240      28.57          80.27      42   📈 持有
   8926.TW           60      22.73          80.20      88   📈 持有
  6244.TWO           20      21.94          79.45     155   📈 持有
   1101.TW          240      26.92          79.36      26   ☁ 觀望
  8432.TWO           60      28.57          78.72      77   ☁ 觀望
   1256.TW          120      26.67          77.94      45   📈 持有
   1721.TW           20      21.79          77.65     156   ☁ 觀望
  00881.TW           10      31.65          77.38      79   📈 持有
  3354.TWO          120      24.68          76.57      77   📈 持有
   2331.TW           60      30.00          76.45      70   📈 持有
  3609.TWO          120      37.25          75.99      51   ☁ 觀望
  5347.TWO          120      28.00          75.38      75   📈 持有
     ^TWII           10      36.52          75.32     178   📈 持有
  6509.TWO          120      19.44          74.96      72   📈 持有
  7792.TWO           20      25.00          74.42      16   ☁ 觀望
   2324.TW           20      36.03          74.33     136   ☁ 觀望
 00640L.TW            5      44.02          73.86     259   ☁ 觀望
   6831.TW            5      50.00          73.57       6   📈 持有
   1308.TW          240      17.95          73.54      39   📈 持有
   6133.TW          120      25.35          73.45      71   📈 持有
  6486.TWO          120      34.29          73.29      35   📈 持有
   1582.TW           20      25.87          72.41     143   📈 持有
   6756.TW           60      24.39          71.76      41   ☁ 觀望
   2845.TW          120      29.09          71.59      55   ☁ 觀望
   2542.TW           20      32.09          71.48     134   ☁ 觀望
   6128.TW          240      25.00          71.23      24   ☁ 觀望
  2237.TWO          240      35.14          71.19      37   📈 持有
  6532.TWO          120      37.50          70.98      56   ☁ 觀望
   2392.TW           60      35.44          70.84      79   ☁ 觀望
   2645.TW          120      35.00          70.70      20   ☁ 觀望
   4958.TW           10      32.35          70.29     204   ☁ 觀望
  3360.TWO           20      28.47          69.84     144   📈 持有
   3033.TW          120      17.74          69.64      62   📈 持有
   2438.TW           10      25.43          69.16     232   📈 持有
  8277.TWO           60      33.33          69.11      75   📈 持有
   2485.TW          120      26.87          67.99      67   📈 持有
   6456.TW           60      23.88          67.73      67   📈 持有
   2380.TW           60      23.53          67.54      68   📈 持有
  3466.TWO          240      34.62          67.49      26   ☁ 觀望
  3290.TWO          120      31.37          67.37      51   📈 持有
  2948.TWO           10      33.70          67.14      92   📈 持有
   2420.TW           20      37.50          67.00     144   ☁ 觀望
  6855.TWO          240      25.00          66.59       4   ☁ 觀望
   2314.TW          120      20.59          66.56      34   ☁ 觀望
   6142.TW           20      32.28          65.75     127   ☁ 觀望
   6579.TW          240       6.90          65.11      29   ☁ 觀望
  00646.TW          240      36.00          64.12      25   📈 持有
  3073.TWO          120      37.50          63.93      56   ☁ 觀望
   4927.TW          120      30.77          63.87      39   📈 持有
   2323.TW           20      28.26          63.83     138   📈 持有
   6405.TW           10      31.34          63.73     201   📈 持有
   6214.TW          120      34.78          62.84      46   ☁ 觀望
   6243.TW          120      35.00          62.82      40   ☁ 觀望
  00922.TW           10      37.78          62.40      45   📈 持有
  5205.TWO           10      25.56          62.11     223   📈 持有
  6245.TWO           20      35.25          61.74     139   ☁ 觀望
   6451.TW            5      30.07          61.71     276   ☁ 觀望
   6141.TW           60      34.25          61.68      73   📈 持有
   1805.TW          240      38.10          61.29      21   ☁ 觀望
   4916.TW          120      23.29          61.25      73   ☁ 觀望
  5013.TWO          120      26.09          61.22      69   ☁ 觀望
   2397.TW          240      36.59          61.04      41   ☁ 觀望
   2886.TW          240      36.36          60.84      33   📈 持有
   1307.TW          240      31.58          60.64      38   ☁ 觀望
  00891.TW           10      42.25          60.53      71   📈 持有
   5876.TW          240      34.29          59.97      35   ☁ 觀望
   2616.TW          240      24.39          59.08      41   📈 持有
  6565.TWO          240      20.83          58.36      24   ☁ 觀望
  00923.TW           10      43.24          58.24      37   📈 持有
  4147.TWO           10      28.50          57.97     193   📈 持有
  6508.TWO          240      25.93          57.27      27   ☁ 觀望
   6789.TW           10      25.58          56.65      86   📈 持有
  00918.TW          120      33.33          56.61       6   📈 持有
   1568.TW          120      22.45          56.51      49   ☁ 觀望
 009803.TW           10      57.14          54.84       7   📈 持有
  3664.TWO          240      36.36          54.01      44   ☁ 觀望
  00878.TW          120      25.00          53.94      16   📈 持有
   2412.TW          120      24.39          53.30      41   📈 持有
   6525.TW           20      30.97          53.13     113   ☁ 觀望
  5223.TWO           60      29.41          53.08      51   📈 持有
    TXF.TW          240      23.08          53.02      26   📈 持有
   6863.TW          120      41.67          52.86      12   ☁ 觀望
  4577.TWO          120      17.39          52.78      23   📈 持有
   6768.TW          240      31.25          52.18      16   ☁ 觀望
  8416.TWO          240      28.30          51.69      53   📈 持有
   2312.TW           10      29.44          51.28     214   ☁ 觀望
  4911.TWO           20      26.28          51.15     137   ☁ 觀望
  3684.TWO           10      32.78          50.80     241   📈 持有
   2434.TW           20      27.68          50.21     177   📈 持有
  00900.TW          120      20.00          50.05      10   📈 持有
  3441.TWO          120      26.58          49.81      79   📈 持有
   2464.TW           10      35.48          49.74     186   ☁ 觀望
   1809.TW           10      30.10          49.48     206   📈 持有
  1593.TWO           60      27.27          48.62      77   📈 持有
  3691.TWO          120      39.58          48.01      48   📈 持有
   6830.TW           60      30.00          47.95      30   📈 持有
 00753L.TW          240      40.00          47.69      15   ☁ 觀望
   1312.TW          120      27.50          47.25      40   📈 持有
  3088.TWO          240      37.70          47.09      61   ☁ 觀望
  00919.TW           10      41.67          46.90      48   📈 持有
  5301.TWO           20      29.37          46.87     143   📈 持有
   1459.TW          120      37.93          46.85      58   📈 持有
   2903.TW           20      27.14          46.57     140   📈 持有
  00947.TW           60      45.45          46.42      11   📈 持有
  00712.TW           20      41.38          45.43      87   ☁ 觀望
  6708.TWO           10      27.42          45.31     124   ☁ 觀望
   6152.TW           60      25.35          45.16      71   📈 持有
   6854.TW           10      27.59          45.08      58   📈 持有
  8047.TWO          120      21.18          44.95      85   📈 持有
   1466.TW          240      25.93          44.54      27   📈 持有
  6811.TWO           60      25.64          44.47      39   ☁ 觀望
  8349.TWO           20      32.19          44.15     146   ☁ 觀望
   2897.TW          120      23.64          43.96      55   📈 持有
   2495.TW           60      31.03          43.85      87   📈 持有
  7738.TWO           20      23.08          43.85      13   ☁ 觀望
  6894.TWO           60      47.62          43.74      21   📈 持有
   2426.TW          240      30.00          43.21      30   📈 持有
   6282.TW          240      27.27          43.04      33   📈 持有
  3521.TWO           60      37.50          42.84      80   📈 持有
  00927.TW           10      42.50          42.38      40   ☁ 觀望
  6279.TWO          240      40.48          42.27      42   ☁ 觀望
  5355.TWO           20      25.78          42.20     128   📈 持有
   6206.TW          240      35.00          42.04      40   ☁ 觀望
   3652.TW           60      33.33          41.67      90   ☁ 觀望
   2484.TW           20      34.07          41.64     135   ☁ 觀望
   6715.TW           20      25.30          41.34      83   📈 持有
   2103.TW          120      30.36          41.24      56   📈 持有
   1439.TW           20      30.34          41.23     145   ☁ 觀望
   6944.TW           10      26.67          41.15      15   📈 持有
   4952.TW           10      33.68          41.14     193   📈 持有
   1301.TW          120      36.17          40.76      47   📈 持有
   1537.TW          240      23.91          40.42      46   ☁ 觀望
  6174.TWO           60      37.11          39.97      97   📈 持有
   3049.TW           20      27.21          39.02     136   📈 持有
 00650L.TW           60      28.33          38.83      60   ☁ 觀望
  3499.TWO           20      25.17          38.60     147   ☁ 觀望
  00924.TW          240      87.50          38.57       8   📈 持有
 00980A.TW           20      80.00          38.54       5   📈 持有
  4154.TWO           60      35.23          38.40      88   ☁ 觀望
   6414.TW          240      35.71          38.11      42   ☁ 觀望
   1310.TW          240      20.00          37.88      25   📈 持有
   8101.TW          240      44.44          37.57       9   ☁ 觀望
   6937.TW           10      40.98          37.31      61   📈 持有
   7788.TW           10      55.56          36.76       9   ☁ 觀望
   2342.TW            5      29.60          36.47     321   ☁ 觀望
   2049.TW          240      26.09          36.39      46   ☁ 觀望
   6592.TW           60      18.87          36.03      53   ☁ 觀望
  7556.TWO            5      34.27          35.72     178   📈 持有
  3597.TWO          120      26.83          35.66      41   ☁ 觀望
  5230.TWO            5      33.21          35.40     280   ☁ 觀望
   6477.TW           60      28.57          35.36      77   📈 持有
   9917.TW          240      19.15          35.36      47   ☁ 觀望
   8039.TW          240      34.21          35.16      38   📈 持有
   9921.TW           20      27.33          34.73     150   ☁ 觀望
   3022.TW           10      30.23          34.07     215   ☁ 觀望
   3501.TW          240      54.55          34.02      22   ☁ 觀望
  4541.TWO          240      27.27          33.69      44   📈 持有
   4576.TW           60      25.00          33.33      48   📈 持有
  4523.TWO           10      27.18          33.00     206   📈 持有
   3003.TW           10      31.96          32.95     194   📈 持有
   6202.TW          240      28.89          32.86      45   📈 持有
   2002.TW          240      21.21          32.68      33   ☁ 觀望
   1102.TW          240      40.38          32.26      52   ☁ 觀望
  00951.TW           20      16.67          31.90      24   📈 持有
   3002.TW          120      34.92          30.95      63   📈 持有
   2302.TW           20      30.32          30.82     155   ☁ 觀望
  6499.TWO          120      22.00          30.74      50   ☁ 觀望
  6140.TWO          120      28.38          30.64      74   ☁ 觀望
 00633L.TW           20      32.79          30.62     122   ☁ 觀望
   2347.TW          120      25.71          30.45      70   📈 持有
 00955.TWO            5      43.75          30.24      32   ☁ 觀望
   2409.TW          240      25.00          30.14      48   📈 持有
  00965.TW           10      41.18          29.99      17   📈 持有
  3558.TWO          120      29.79          29.63      47   ☁ 觀望
   2836.TW          240      16.67          29.57      54   📈 持有
  6612.TWO           10      36.81          29.48     163   ☁ 觀望
  6982.TWO           60      31.25          29.35      16   ☁ 觀望
   1723.TW          240      33.33          29.13      21   ☁ 觀望
  3191.TWO            5      30.60          29.10     317   ☁ 觀望
   9908.TW          120      17.39          28.99      46   📈 持有
   9907.TW          240      17.31          28.71      52   📈 持有
   7780.TW          120      60.00          28.62       5   ☁ 觀望
   6988.TW           10      39.13          28.54      23   ☁ 觀望
   2355.TW           10      33.01          28.21     206   📈 持有
   5203.TW           10      30.96          27.93     197   ☁ 觀望
   4770.TW          120      40.54          27.81      37   ☁ 觀望
   1216.TW          240      31.71          27.27      41   ☁ 觀望
   1762.TW          240      14.63          27.21      41   ☁ 觀望
 00655L.TW           20      33.63          27.15     113   ☁ 觀望
  00875.TW          240      33.33          27.04       9   📈 持有
  8255.TWO          120      24.32          26.86      74   ☁ 觀望
  7714.TWO          120      44.44          26.83       9   📈 持有
   4904.TW          240      27.27          26.65      44   📈 持有
  6844.TWO           20      38.30          26.50      47   ☁ 觀望
   3062.TW           10      33.33          26.09     198   📈 持有
  00941.TW           60      20.00          26.09      10   📈 持有
 00738U.TW           10      31.20          26.05     125   📈 持有
   2801.TW          240      26.47          25.34      34   📈 持有
   9926.TW          240      28.57          24.72      49   📈 持有
   7769.TW            5      66.67          24.70       6   ☁ 觀望
  8383.TWO          240      43.33          24.16      60   ☁ 觀望
   2498.TW           10      29.09          24.14     220   ☁ 觀望
  5516.TWO          240      25.49          24.05      51   ☁ 觀望
  8917.TWO          120      18.75          23.49      96   📈 持有
   2356.TW           20      29.01          23.36     162   ☁ 觀望
 00985A.TW           60     100.00          22.95       2   📈 持有
   6794.TW           20      23.81          22.78      21   ☁ 觀望
  5478.TWO           10      30.19          22.76     212   📈 持有
  00929.TW           20      41.38          22.17      29   ☁ 觀望
  6160.TWO          120      32.73          21.85      55   ☁ 觀望
00740B.TWO          120      34.62          21.75      26   📈 持有
   8463.TW           60      27.27          21.57      99   📈 持有
00722B.TWO          120      24.14          21.43      29   📈 持有
  00902.TW           20      34.88          21.39      43   ☁ 觀望
   2405.TW          120      33.85          21.34      65   ☁ 觀望
  00936.TW           20      40.91          21.12      22   ☁ 觀望
   2461.TW          120      30.30          21.09      66   ☁ 觀望
   1326.TW          240      26.92          20.63      26   📈 持有
  6762.TWO           20      26.67          20.60      90   📈 持有
  2740.TWO          240      21.43          20.32      14   📈 持有
   1525.TW           20      25.55          20.28     137   ☁ 觀望
   1735.TW          120      35.38          19.87      65   📈 持有
  4580.TWO           20      33.33          19.77      78   ☁ 觀望
  2066.TWO          240      37.21          19.68      43   ☁ 觀望
 00635U.TW           60      38.46          19.58      52   📈 持有
 00637L.TW           20      31.90          19.44     116   ☁ 觀望
   6806.TW          120      21.05          19.11      19   ☁ 觀望
   3016.TW           60      32.61          18.97      92   📈 持有
  4416.TWO          120      30.91          18.75      55   ☁ 觀望
   6598.TW           20      33.05          17.72     118   📈 持有
 009801.TW           60      40.00          17.55       5   ☁ 觀望
  7583.TWO           10      31.71          17.50      41   📈 持有
   2201.TW          240      25.00          17.44      32   ☁ 觀望
 009805.TW           60     100.00          17.39       3   📈 持有
   4551.TW           20      33.85          17.28     130   ☁ 觀望
   1314.TW           10      31.63          17.21     196   📈 持有
  3289.TWO           20      34.31          17.18     137   📈 持有
   2104.TW          240      21.88          17.08      32   📈 持有
   6838.TW           10      31.82          16.82      22   ☁ 觀望
   2034.TW          240      25.00          16.79      36   ☁ 觀望
   7750.TW            5      23.08          16.71      13   ☁ 觀望
  4702.TWO          240      27.78          16.30      36   ☁ 觀望
  00752.TW          240      22.22          16.24      18   ☁ 觀望
  5905.TWO           20      25.71          15.81     140   ☁ 觀望
  6217.TWO           60      34.18          15.66      79   📈 持有
  3611.TWO           20      28.48          15.63     151   ☁ 觀望
   2439.TW           20      30.41          15.62     148   ☁ 觀望
   4526.TW          120      22.64          15.32      53   ☁ 觀望
   2354.TW           60      28.95          15.20      76   ☁ 觀望
  7702.TWO           10      43.75          14.28      32   ☁ 觀望
  4192.TWO           20      21.92          14.23     146   ☁ 觀望
00864B.TWO          120      18.18          13.98      11   📈 持有
  3556.TWO           10      27.59          12.97     203   ☁ 觀望
   6505.TW          240      15.56          12.78      45   📈 持有
  4127.TWO           20      27.56          12.64     156   ☁ 觀望
   1714.TW          240      26.67          12.38      30   📈 持有
00725B.TWO           20      25.35          12.06      71   📈 持有
 00983A.TW           20      50.00          11.43       4   ☁ 觀望
  5490.TWO           20      29.01          11.38     131   ☁ 觀望
  6904.TWO           20      27.03          11.30      37   ☁ 觀望
  6236.TWO          240      32.50          11.26      40   ☁ 觀望
00724B.TWO          120      31.25          11.03      32   📈 持有
   2419.TW           20      26.11          10.71     157   ☁ 觀望
  5011.TWO          240      25.64          10.41      39   ☁ 觀望
00984B.TWO           60     100.00           9.97       2   📈 持有
  6793.TWO           60      36.36           9.97      22   📈 持有
  6884.TWO          240      11.11           9.89       9   ☁ 觀望
  8935.TWO          240      31.71           9.45      41   📈 持有
   9918.TW          240      23.08           9.16      52   📈 持有
   7721.TW           20      23.08           9.11      26   📈 持有
00719B.TWO          240      40.00           9.01      10   ☁ 觀望
   2739.TW           60      26.76           8.53      71   ☁ 觀望
   6861.TW          120      42.86           8.49       7   📈 持有
  7584.TWO           10      27.62           8.24     105   ☁ 觀望
   6534.TW           60      23.53           8.20      17   ☁ 觀望
00981B.TWO           60     100.00           7.86       2   📈 持有
 00945B.TW           20      23.53           7.12      17   📈 持有
   6526.TW           10      40.54           6.68      37   📈 持有
 00887.TWO           20      36.96           6.60      46   ☁ 觀望
00720B.TWO           20      35.06           6.32      77   📈 持有
  5302.TWO          120      28.57           5.31      63   📈 持有
   1516.TW           20      30.67           4.86     163   ☁ 觀望
 009811.TW           10      28.57           4.81       7   ☁ 觀望
   1213.TW          240      25.53           4.75      47   ☁ 觀望
   6657.TW            5      29.23           4.71      65   ☁ 觀望
   1402.TW          240      27.50           4.25      40   ☁ 觀望
   1710.TW          240      21.74           4.02      23   ☁ 觀望
00970B.TWO           60      50.00           3.96       4   📈 持有
00968B.TWO           60      50.00           3.85       4   📈 持有
 00953B.TW           20      41.67           3.85      12   📈 持有
  2724.TWO          120      22.22           3.76      63   ☁ 觀望
   6906.TW          240     100.00           3.68       2   ☁ 觀望
00933B.TWO           20      32.26           3.57      31   📈 持有
 00985B.TW           20      50.00           3.35       2   📈 持有
   4536.TW          120      25.37           3.14      67   ☁ 觀望
  00946.TW          240      66.67           3.09       6   📈 持有
  00882.TW           10      25.88           2.99      85   📈 持有
  6121.TWO          240      31.48           2.24      54   ☁ 觀望
 00688L.TW          240      28.57           2.17      14   ☁ 觀望
00751B.TWO          120      18.92           2.10      37   📈 持有
  4538.TWO          240      27.78           1.92      54   📈 持有
  1784.TWO           60      29.47           1.35      95   ☁ 觀望
  3498.TWO          120      33.33           1.11      48   📈 持有
00981D.TWO           20      50.00           0.59       4   ☁ 觀望
   1536.TW           60      23.53           0.10      85   ☁ 觀望
  00949.TW          240       0.00          -0.11       1   📈 持有
   1418.TW          120      27.78          -0.12      54   ☁ 觀望
  00885.TW            5      34.86          -0.44     109   ☁ 觀望
  7709.TWO           10      25.00          -0.52      52   ☁ 觀望
  2887I.TW          120       0.00          -1.04       1   📈 持有
   2601.TW          120      23.91          -1.09      46   📈 持有
00942B.TWO           20      33.33          -1.10      18   📈 持有
  5487.TWO          120      38.18          -1.17      55   ☁ 觀望
  6264.TWO          120      13.79          -1.29      29   ☁ 觀望
   9931.TW          240      28.30          -1.31      53   📈 持有
00950B.TWO          120      28.57          -1.57       7   📈 持有
00959B.TWO          240      25.00          -1.57       4   📈 持有
00937B.TWO           60      31.25          -1.85      16   📈 持有
   6924.TW          240       0.00          -1.88       1   ☁ 觀望
   6885.TW          240       0.00          -2.06       1   ☁ 觀望
   7786.TW           60       0.00          -2.06       1   ☁ 觀望
  00940.TW          240      50.00          -2.12       6   📈 持有
  00939.TW           20      25.00          -2.16      24   ☁ 觀望
  00703.TW           20      30.34          -2.34      89   ☁ 觀望
   9914.TW           20      30.07          -2.48     143   ☁ 觀望
   2254.TW          120      36.36          -2.55      11   📈 持有
   3380.TW          240      36.17          -2.67      47   📈 持有
  6929.TWO          240      33.33          -2.71       3   ☁ 觀望
   6887.TW           60       0.00          -2.75       1   ☁ 觀望
  7812.TWO           60      28.57          -2.83       7   ☁ 觀望
   1538.TW          240      16.13          -2.94      31   ☁ 觀望
  7783.TWO          120      50.00          -2.95       4   ☁ 觀望
   2646.TW          120       0.00          -3.01       2   ☁ 觀望
 00982A.TW            5       0.00          -3.15       1   ☁ 觀望
  7734.TWO           10      20.00          -3.29      25   📈 持有
 00665L.TW          240      12.50          -3.42      24   ☁ 觀望
   6285.TW           60      30.53          -3.48      95   📈 持有
 00642U.TW           60      37.66          -3.51      77   📈 持有
  7737.TWO           20      42.86          -3.89       7   📈 持有
   4560.TW           20      28.30          -4.39     106   📈 持有
   2239.TW           10      29.19          -4.41     185   ☁ 觀望
  8077.TWO          120      27.78          -4.44      54   ☁ 觀望
   2241.TW           20      22.76          -4.49     123   ☁ 觀望
  7805.TWO          120      50.00          -4.90       4   ☁ 觀望
  8102.TWO          120      33.33          -5.18      12   ☁ 觀望
   2432.TW          240      25.00          -5.23       4   ☁ 觀望
00948B.TWO           20      26.09          -5.43      23   📈 持有
  7782.TWO           60      28.57          -5.49       7   ☁ 觀望
   9904.TW          120      29.23          -5.53      65   📈 持有
  7752.TWO          120      14.29          -5.88       7   ☁ 觀望
00780B.TWO          240      28.57          -5.97       7   📈 持有
  7455.TWO          120       0.00          -5.97       3   ☁ 觀望
   3008.TW           10      35.40          -6.11     226   📈 持有
   3592.TW           60      25.00          -6.23      16   📈 持有
   4585.TW           60       0.00          -6.25       1   📈 持有
   3717.TW            5      20.00          -7.00      15   📈 持有
   6902.TW          240       0.00          -7.23       1   ☁ 觀望
   8162.TW          240      28.57          -7.35       7   📈 持有
  5228.TWO          240      16.67          -7.65      54   📈 持有
   2547.TW           10      28.78          -7.75     205   📈 持有
  4745.TWO           10      33.33          -7.95     210   ☁ 觀望
  6961.TWO           20      31.25          -8.09      32   ☁ 觀望
  4563.TWO          120      14.29          -8.39      42   ☁ 觀望
   3059.TW          240      25.45          -8.45      55   ☁ 觀望
   3266.TW          120      21.31          -9.26      61   📈 持有
00761B.TWO          120      21.88          -9.50      32   📈 持有
  3672.TWO           60      19.72          -9.52      71   ☁ 觀望
   6957.TW          120       0.00          -9.69       2   📈 持有
   1611.TW          240      39.06         -10.03      64   ☁ 觀望
 00680L.TW          240      15.79         -10.06      19   ☁ 觀望
00772B.TWO           20      28.57         -10.17      63   📈 持有
00931B.TWO          120      30.00         -10.41      10   📈 持有
00773B.TWO           20      33.77         -10.43      77   📈 持有
   1337.TW          240      27.59         -10.43      29   ☁ 觀望
  6996.TWO          120      18.18         -10.45      11   📈 持有
  6432.TWO           10      27.93         -11.22     222   📈 持有
   1583.TW           60      31.91         -11.51      94   📈 持有
   7749.TW           60       0.00         -11.56       3   ☁ 觀望
   1726.TW          120      20.97         -11.96      62   📈 持有
  3594.TWO           20      30.15         -12.16     136   📈 持有
   2395.TW           60      28.21         -12.64      78   📈 持有
   2867.TW          120      23.91         -12.98      46   📈 持有
  3710.TWO           20      25.00         -13.34     136   ☁ 觀望
   3045.TW           60      17.65         -13.57     119   ☁ 觀望
   6153.TW          120      26.53         -13.58      49   📈 持有
   7740.TW           10      45.45         -14.52      11   📈 持有
