正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   6919.TW           10      48.78         381.99      41   ☁ 觀望
  5443.TWO           60      30.43         378.95      92   📈 持有
  6173.TWO          240      24.24         378.92      33   📈 持有
  3529.TWO          120      36.96         378.23      46   📈 持有
   2597.TW          240      44.00         375.91      25   📈 持有
  5309.TWO          120      31.25         374.56      80   📈 持有
  4991.TWO          240      36.67         373.76      30   📈 持有
  5508.TWO           60      32.84         370.45      67   ☁ 觀望
   5234.TW          120      55.26         364.83      38   📈 持有
  3357.TWO          240      30.77         363.62      26   📈 持有
   2363.TW          240      29.27         362.94      41   ☁ 觀望
   2351.TW          120      25.00         362.45      36   ☁ 觀望
  6265.TWO          120      27.45         362.37      51   📈 持有
  6237.TWO          240      23.33         358.09      30   ☁ 觀望
  5289.TWO           20      36.36         358.08     132   📈 持有
   1609.TW          240      33.33         354.75      21   ☁ 觀望
  8183.TWO          240      28.57         354.02      28   ☁ 觀望
  8086.TWO          120      40.91         351.78      44   📈 持有
   3006.TW          240      38.46         349.85      26   📈 持有
  5340.TWO          120      24.53         349.77      53   📈 持有
   4943.TW          120      45.24         349.55      42   📈 持有
  6276.TWO           60      50.00         349.09      52   ☁ 觀望
   8021.TW          120      32.14         347.30      56   📈 持有
   8112.TW          120      30.00         346.00      40   📈 持有
  8908.TWO          240      23.08         345.67      26   📈 持有
   3029.TW          240      42.42         343.99      33   ☁ 觀望
   3167.TW          240      33.33         342.41      24   📈 持有
   3530.TW          240      34.62         342.20      26   ☁ 觀望
   2014.TW           60      17.65         340.27      68   📈 持有
   2449.TW          120      33.33         339.41      54   📈 持有
  3379.TWO          240      36.36         339.39      44   ☁ 觀望
   3231.TW          240      38.89         337.78      36   📈 持有
   3535.TW          120      32.20         336.12      59   📈 持有
   9906.TW          240      40.00         335.64      20   ☁ 觀望
  3707.TWO          120      32.61         334.18      46   📈 持有
   3532.TW           10      33.82         332.41     204   ☁ 觀望
  8089.TWO          120      31.58         327.57      19   ☁ 觀望
  1815.TWO          240      34.48         326.42      29   📈 持有
   6443.TW          120      21.21         325.72      66   📈 持有
  4304.TWO           20      36.42         324.23     162   📈 持有
   2303.TW          240      25.00         319.11      28   📈 持有
  8111.TWO          240      34.29         317.02      35   📈 持有
   2330.TW          240      50.00         312.57      24   📈 持有
   1727.TW          120      31.25         310.65      48   📈 持有
   2376.TW           60      28.24         308.43      85   ☁ 觀望
   2421.TW          240      42.31         307.44      26   📈 持有
  3483.TWO          120      28.57         306.52      42   ☁ 觀望
  4721.TWO          240      16.13         305.71      31   📈 持有
  4542.TWO          120      32.14         305.43      56   📈 持有
   3305.TW          120      35.90         305.35      39   ☁ 觀望
   3450.TW          240      31.71         304.77      41   📈 持有
   2329.TW          120      38.10         303.73      42   📈 持有
   2457.TW           60      20.83         302.33      72   📈 持有
   6191.TW          240      48.57         301.85      35   📈 持有
   6655.TW          120      30.56         299.73      36   📈 持有
   6949.TW            5      27.91         299.69      43   ☁ 觀望
   8033.TW           60      29.29         299.20      99   📈 持有
  5864.TWO           60      27.27         299.20      88   📈 持有
  3163.TWO          240      37.50         298.22      24   📈 持有
  3264.TWO          120      30.43         297.27      46   📈 持有
  8043.TWO          120      25.42         297.03      59   📈 持有
   5284.TW          240      36.84         296.15      19   📈 持有
