正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  短中期多頭 (MA Bull)  成交量放大 (Vol Up)  交易次數 (Trades) 狀態 (Status)
     2351.TW                 120           25.00                362.45            False           False             36        ☁ 觀望
    6265.TWO                 120           27.45                362.37            False           False             51        📈 持有
    6237.TWO                 240           23.33                358.09            False           False             30        ☁ 觀望
    5289.TWO                  20           36.36                358.08             True           False            132        📈 持有
     1609.TW                 240           33.33                354.75            False           False             21        ☁ 觀望
    8183.TWO                 240           28.57                354.02             True           False             28        ☁ 觀望
    8086.TWO                 120           40.91                351.78             True           False             44        📈 持有
     3006.TW                 240           38.46                349.85            False           False             26        📈 持有
    5340.TWO                 120           24.53                349.77             True           False             53        📈 持有
     4943.TW                 120           45.24                349.55            False           False             42        📈 持有
    6276.TWO                  60           50.00                349.09            False           False             52        ☁ 觀望
     8021.TW                 120           32.14                347.30             True           False             56        📈 持有
     8112.TW                 120           30.00                346.00            False           False             40        📈 持有
    8908.TWO                 240           23.08                345.67            False            True             26        📈 持有
     3029.TW                 240           42.42                343.99             True           False             33        ☁ 觀望
     3167.TW                 240           33.33                342.41             True           False             24        📈 持有
     3530.TW                 240           34.62                342.20            False           False             26        ☁ 觀望
     2014.TW                  60           17.65                340.27            False            True             68        📈 持有
     2449.TW                 120           33.33                339.41            False           False             54        📈 持有
    3379.TWO                 240           36.36                339.39            False           False             44        ☁ 觀望
     3231.TW                 240           38.89                337.78            False           False             36        📈 持有
     3535.TW                 120           32.20                336.12             True           False             59        📈 持有
     9906.TW                 240           40.00                335.64            False           False             20        ☁ 觀望
    3707.TWO                 120           32.61                334.18            False           False             46        📈 持有
     3532.TW                  10           33.82                332.41            False           False            204        ☁ 觀望
    8089.TWO                 120           31.58                327.57            False           False             19        ☁ 觀望
    1815.TWO                 240           34.48                326.42             True           False             29        📈 持有
     6443.TW                 120           21.21                325.72             True            True             66        📈 持有
    4304.TWO                  20           36.42                324.23            False           False            162        📈 持有
     2303.TW                 240           25.00                319.11            False           False             28        📈 持有
    8111.TWO                 240           34.29                317.02            False           False             35        📈 持有
     2330.TW                 240           50.00                312.57             True           False             24        📈 持有
     1727.TW                 120           31.25                310.65             True            True             48        📈 持有
     2376.TW                  60           28.24                308.43            False           False             85        ☁ 觀望
     2421.TW                 240           42.31                307.44            False           False             26        📈 持有
    3483.TWO                 120           28.57                306.52            False           False             42        ☁ 觀望
    4721.TWO                 240           16.13                305.71            False           False             31        📈 持有
    4542.TWO                 120           32.14                305.43             True            True             56        📈 持有
     3305.TW                 120           35.90                305.35            False           False             39        ☁ 觀望
     3450.TW                 240           31.71                304.77             True           False             41        📈 持有
     2329.TW                 120           38.10                303.73            False           False             42        📈 持有
     2457.TW                  60           20.83                302.33            False           False             72        📈 持有
     6191.TW                 240           48.57                301.85            False           False             35        📈 持有
     6655.TW                 120           30.56                299.73             True            True             36        📈 持有
     6949.TW                   5           27.91                299.69            False           False             43        ☁ 觀望
     8033.TW                  60           29.29                299.20             True           False             99        📈 持有
    5864.TWO                  60           27.27                299.20             True            True             88        📈 持有
    3163.TWO                 240           37.50                298.22             True           False             24        📈 持有
    3264.TWO                 120           30.43                297.27            False           False             46        📈 持有
    8043.TWO                 120           25.42                297.03            False           False             59        📈 持有
     5284.TW                 240           36.84                296.15            False            True             19        📈 持有
    4903.TWO                  10           29.08                294.77            False           False            196        📈 持有
     4722.TW                 120           23.26                291.77             True           False             43        📈 持有
   00673R.TW                  60           30.43                291.56            False           False             69        ☁ 觀望
    3169.TWO                 240           33.33                290.32             True           False             39        ☁ 觀望
    6138.TWO                 120           48.65                289.07            False           False             37        📈 持有
     6426.TW                  10           38.21                288.92             True           False            212        📈 持有
    3105.TWO                 120           37.04                287.95             True           False             54        📈 持有
     3005.TW                 240           37.50                287.62            False           False             40        📈 持有
    6560.TWO                  20           31.37                285.56             True           False            102        📈 持有
    5386.TWO                  10           33.18                283.37             True           False            223        📈 持有
    6588.TWO                  60           36.07                282.20             True           False             61        📈 持有
     4739.TW                 120           33.33                282.14            False           False             42        📈 持有
    5498.TWO                  10           25.94                281.09             True           False            212        📈 持有
     2480.TW                 240           25.93                279.79            False           False             27        📈 持有
     3019.TW                 240           32.35                278.99            False           False             34        ☁ 觀望
    3491.TWO                 120           29.69                278.56             True            True             64        📈 持有
    8299.TWO                 120           31.58                278.46            False           False             57        📈 持有
     2059.TW                 240           22.50                277.74            False            True             40        📈 持有
     2379.TW                 120           43.18                277.72            False           False             44        ☁ 觀望
     3032.TW                 240           37.50                277.28            False           False             32        ☁ 觀望
    6104.TWO                  60           31.65                277.20            False           False             79        📈 持有
    4946.TWO                  60           18.75                275.70             True            True             80        📈 持有
    3526.TWO                 120           28.89                275.41             True            True             45        📈 持有
     1597.TW                 120           28.07                274.63            False           False             57        ☁ 觀望
     1503.TW                 240           31.82                274.03            False            True             22        📈 持有
     3545.TW                 240           37.04                273.48            False           False             27        ☁ 觀望
    3078.TWO                  60           32.81                270.07            False           False             64        ☁ 觀望
     3168.TW                 120           40.43                269.71            False           False             47        ☁ 觀望
     1477.TW                 120           34.38                269.47            False           False             32        📈 持有
    6125.TWO                 240           29.55                269.41            False           False             44        ☁ 觀望
    6620.TWO                  20           35.80                265.16            False           False             81        ☁ 觀望
     3090.TW                 240           32.14                265.00            False           False             28        📈 持有
     1229.TW                 240           46.67                263.20            False            True             15        ☁ 觀望
    3713.TWO                  20           25.00                262.93            False           False             72        ☁ 觀望
     1802.TW                 120           23.81                262.23             True           False             42        📈 持有
     2454.TW                 240           21.74                262.13            False           False             23        📈 持有
   00631L.TW                 240           24.00                261.74             True           False             25        📈 持有
    8444.TWO                 240           30.00                260.89            False            True             10        ☁ 觀望
     1560.TW                 120           32.43                260.14             True           False             37        📈 持有
     5607.TW                 240           28.95                259.87             True           False             38        📈 持有
     2493.TW                 240           22.22                259.26            False           False             18        📈 持有
     5222.TW                 240           27.03                257.85             True           False             37        📈 持有
     1612.TW                 240           33.33                256.63            False           False             21        📈 持有
     3701.TW                  20           28.85                256.22             True           False            208        📈 持有
    3430.TWO                 120           26.19                256.04             True           False             42        📈 持有
    1294.TWO                  60           36.84                255.45             True            True             19        📈 持有
     2337.TW                  60           29.59                255.43             True            True             98        📈 持有
     6213.TW                 240           43.75                254.25             True           False             32        📈 持有
     2031.TW                 240           33.33                254.16            False           False             12        ☁ 觀望
    6643.TWO                 120           48.65                253.40            False           False             37        ☁ 觀望
     4540.TW                  60           31.58                253.36            False           False             57        📈 持有
    4744.TWO                  20           35.21                250.91             True           False            142        📈 持有
     2382.TW                 240           35.14                249.16             True           False             37        📈 持有
     3023.TW                 240           38.46                248.61            False           False             26        ☁ 觀望
    8027.TWO                  60           28.75                248.53            False           False             80        ☁ 觀望
    6568.TWO                  20           43.27                246.42             True            True            104        📈 持有
     2313.TW                 120           29.23                245.88             True           False             65        📈 持有
     4562.TW                 120           19.05                244.99            False           False             42        ☁ 觀望
     1513.TW                 120           30.00                244.11            False           False             70        ☁ 觀望
     4755.TW                  60           25.71                243.91             True            True             70        📈 持有
     6491.TW                 120           29.55                243.85            False           False             44        ☁ 觀望
    6130.TWO                  20           36.54                242.59            False           False            156        ☁ 觀望
     3583.TW                  60           35.82                241.70             True           False             67        📈 持有
     5484.TW                  10           30.37                241.67            False           False            214        ☁ 觀望
     2481.TW                 120           24.32                240.44             True            True             74        📈 持有
    3374.TWO                  20           36.55                240.37             True           False            145        ☁ 觀望
     1605.TW                 120           23.08                240.01            False           False             52        📈 持有
     6257.TW                 120           41.67                239.95             True           False             36        📈 持有
   00663L.TW                  10           42.28                239.58             True           False            149        📈 持有
    6186.TWO                 240           24.24                237.57            False           False             33        ☁ 觀望
     6196.TW                 240           30.00                236.00             True           False             30        📈 持有
     5469.TW                  20           37.72                235.92            False           False            114        ☁ 觀望
     2365.TW                 120           19.72                235.66            False           False             71        ☁ 觀望
     2388.TW                  10           25.43                235.25            False           False            232        ☁ 觀望
    3689.TWO                  10           39.31                233.80            False           False            173        ☁ 觀望
    6785.TWO                 240           11.11                233.39            False           False              9        📈 持有
     2460.TW                  60           30.19                233.18             True           False             53        📈 持有
     2316.TW                  20           36.05                233.07            False           False            147        ☁ 觀望
     4912.TW                 240           39.39                232.29            False           False             33        ☁ 觀望
     1773.TW                  60           37.14                231.87             True           False             70        📈 持有
     4919.TW                 120           31.71                231.70             True           False             41        📈 持有
     6515.TW                 120           40.00                231.60             True            True             35        📈 持有
     3042.TW                 240           35.48                231.38             True           False             31        ☁ 觀望
    3213.TWO                 120           30.30                231.32            False            True             33        ☁ 觀望
     1309.TW                 240           43.75                230.46             True            True             16        ☁ 觀望
    8930.TWO                 120           28.30                230.45            False            True             53        📈 持有
     3706.TW                  10           37.10                230.21            False           False            186        📈 持有
    6535.TWO                 240           37.21                230.15            False           False             43        ☁ 觀望
    3552.TWO                  20           30.89                229.94            False           False            123        ☁ 觀望
    6584.TWO                  10           36.73                229.12             True            True            147        ☁ 觀望
    00757.TW                 240           42.86                229.05            False           False              7        📈 持有
    2641.TWO                  60           35.14                228.64            False           False             74        ☁ 觀望
     3014.TW                  60           32.05                227.44             True           False             78        ☁ 觀望
     2236.TW                 120           30.61                226.69            False           False             49        📈 持有
     1436.TW                 240           34.62                226.05            False           False             26        ☁ 觀望
    4768.TWO                  20           43.42                225.24             True           False             76        📈 持有
     3036.TW                 120           34.88                224.66             True           False             43        📈 持有
    1569.TWO                 240           31.25                224.58            False           False             32        ☁ 觀望
    3444.TWO                 240           50.00                223.00            False           False             18        ☁ 觀望
     2108.TW                  60           33.33                222.56             True           False             54        📈 持有
     3588.TW                 120           21.43                222.33            False           False             56        📈 持有
    5483.TWO                  20           39.52                222.14            False           False            124        ☁ 觀望
     6176.TW                 120           37.50                222.13            False           False             40        ☁ 觀望
     3018.TW                  60           30.77                221.97             True           False             65        📈 持有
    8087.TWO                 240           33.33                221.48            False           False             48        ☁ 觀望
     5292.TW                 120           31.25                221.34            False           False             32        📈 持有
     2369.TW                 120           30.77                221.04             True            True             39        📈 持有
     3708.TW                  60           33.33                220.33             True           False             81        📈 持有
    5474.TWO                 120           33.87                214.75            False           False             62        ☁ 觀望
     2027.TW                 240           21.21                214.23            False            True             33        ☁ 觀望
    6190.TWO                 120           32.79                214.11             True           False             61        ☁ 觀望
    6182.TWO                  60           36.00                213.64            False           False             75        📈 持有
     2387.TW                 240           28.00                212.83             True            True             25        ☁ 觀望
    4534.TWO                 120           22.92                212.80             True           False             48        📈 持有
    4749.TWO                  10           43.28                212.34             True            True             67        📈 持有
    6679.TWO                 240           25.00                211.84             True            True              8        ☁ 觀望
    6667.TWO                  10           35.86                211.70            False           False            145        📈 持有
     3025.TW                 240           30.77                211.53            False           False             39        ☁ 觀望
    2072.TWO                  60           37.50                210.59            False            True             32        📈 持有
    5371.TWO                  20           31.62                210.33            False           False            136        ☁ 觀望
     3413.TW                  20           37.50                209.17             True           False            136        📈 持有
    6517.TWO                 240           23.08                208.33            False           False             13        ☁ 觀望
     2429.TW                 240           22.50                208.06            False           False             40        📈 持有
    3152.TWO                 120           32.56                207.63            False           False             43        📈 持有
     3135.TW                  20           34.69                207.50             True            True             49        ☁ 觀望
     4583.TW                 240            7.14                206.10            False           False             14        ☁ 觀望
     6695.TW                  60           30.00                203.34            False           False             50        ☁ 觀望
     2428.TW                 240           41.18                203.31            False           False             34        📈 持有
    6716.TWO                 240           44.44                203.22             True           False              9        📈 持有
     2360.TW                  60           33.80                203.20             True           False             71        📈 持有
     3645.TW                  10           38.76                202.77             True           False            209        📈 持有
    6761.TWO                 120           43.48                202.66             True            True             23        📈 持有
     2022.TW                 120           28.95                202.59             True            True             38        📈 持有
    4939.TWO                 120           17.07                202.13            False           False             41        📈 持有
    8088.TWO                 120           26.92                201.78            False           False             52        📈 持有
    3236.TWO                 120           22.22                201.75            False           False             54        📈 持有
    6290.TWO                  60           31.46                200.61             True            True             89        📈 持有
     3338.TW                  60           24.68                199.50             True           False             77        📈 持有
    6629.TWO                  60           33.33                199.22            False            True             45        ☁ 觀望
    3629.TWO                   5           32.69                198.61            False           False            309        ☁ 觀望
    3178.TWO                  20           32.39                198.55             True           False            142        ☁ 觀望
     2338.TW                 240           34.78                198.38             True           False             46        📈 持有
    3081.TWO                  10           28.86                198.25             True           False            201        📈 持有
     2301.TW                 240           26.67                197.90            False           False             45        📈 持有
     1305.TW                 240           47.62                197.77             True            True             21        ☁ 觀望
     1313.TW                 120           40.00                196.54             True            True             35        📈 持有
    6462.TWO                  20           35.04                195.88            False           False            137        ☁ 觀望
     2211.TW                  60           29.63                195.86            False           False             27        ☁ 觀望
    8048.TWO                 120           27.50                195.26             True           False             40        📈 持有
     3665.TW                  60           34.09                195.02            False           False             88        📈 持有
    6207.TWO                  20           39.10                194.81             True           False            133        ☁ 觀望
    3555.TWO                 120           29.31                194.17             True           False             58        📈 持有
     3712.TW                  20           26.19                194.01            False           False             84        ☁ 觀望
     1471.TW                 120           30.19                193.69             True           False             53        📈 持有
     6753.TW                 240           36.36                193.09            False           False             11        📈 持有
    8279.TWO                 240           25.00                192.98            False           False             28        ☁ 觀望
    6788.TWO                  60           29.41                192.62             True            True             34        📈 持有
     6230.TW                 240           21.88                189.87             True            True             32        ☁ 觀望
     6805.TW                  20           33.33                189.70             True            True             24        📈 持有
    6664.TWO                  60           36.59                189.67            False           False             41        📈 持有
     2453.TW                 240           38.10                189.13            False           False             42        ☁ 觀望
    2755.TWO                 120           37.93                189.00             True           False             29        📈 持有
     6533.TW                 120           23.53                188.82            False           False             51        ☁ 觀望
    6170.TWO                 120           30.99                188.43            False           False             71        ☁ 觀望
     2436.TW                 240           32.35                188.38             True           False             34        📈 持有
     3596.TW                 120           29.73                187.63             True           False             37        ☁ 觀望
    8472.TWO                 240           39.13                187.42            False            True             23        📈 持有
     6239.TW                 120           35.71                186.98            False           False             56        📈 持有
    4908.TWO                  20           44.60                186.96             True           False            139        📈 持有
     2413.TW                  10           27.37                186.96             True           False            190        📈 持有
     6706.TW                  10           32.80                186.86             True           False            125        📈 持有
     1795.TW                 240           25.93                186.85            False           False             27        📈 持有
    3687.TWO                 240           30.00                186.73            False           False             30        ☁ 觀望
     3543.TW                 120           39.13                186.58             True           False             69        📈 持有
     3149.TW                 120           24.49                186.00            False           False             49        📈 持有
    6727.TWO                  10           29.25                184.57             True           False            106        📈 持有
     1587.TW                  20           28.47                184.18            False           False            144        ☁ 觀望
     2535.TW                 240           39.29                184.12             True           False             28        📈 持有
    6233.TWO                 240           15.15                183.79             True           False             33        📈 持有
    3265.TWO                 120           38.46                182.68            False           False             52        📈 持有
     2308.TW                  60           32.94                182.09             True           False             85        📈 持有
     2881.TW                  60           34.18                181.84            False            True             79        ☁ 觀望
    3625.TWO                  60           31.51                180.71            False           False             73        ☁ 觀望
     5285.TW                 120           14.63                179.67            False           False             41        📈 持有
     2468.TW                 240           36.54                179.49            False           False             52        ☁ 觀望
    3551.TWO                  10           35.10                179.27            False           False            208        📈 持有
     3189.TW                 120           20.31                179.12             True           False             64        📈 持有
     5871.TW                 120           21.05                178.31            False           False             38        ☁ 觀望
     8438.TW                 120           16.28                178.27             True           False             43        📈 持有
     4571.TW                 120           28.57                178.00            False           False             14        ☁ 觀望
    3071.TWO                 240           42.42                177.99             True           False             33        📈 持有
     2478.TW                  60           31.33                177.64             True           False             83        📈 持有
    6163.TWO                 120           31.25                176.42            False           False             64        📈 持有
     2618.TW                 120           31.11                174.99            False           False             45        ☁ 觀望
    6683.TWO                   5           34.76                174.64             True            True            187        ☁ 觀望
     8271.TW                 120           31.25                174.26            False            True             48        📈 持有
    8096.TWO                 240           32.61                173.43            False           False             46        ☁ 觀望
     6116.TW                 120           23.53                173.37             True           False             34        📈 持有
     2206.TW                 240           30.19                173.25            False           False             53        ☁ 觀望
     1455.TW                  20           31.30                172.60            False            True            131        ☁ 觀望
    5493.TWO                 120           26.76                172.60            False           False             71        ☁ 觀望
     3092.TW                 240           35.56                172.56             True           False             45        📈 持有
    6613.TWO                 240           22.86                172.11            False           False             35        ☁ 觀望
     2441.TW                 120           38.46                171.08            False           False             39        📈 持有
     1438.TW                 240           26.47                170.41            False           False             34        ☁ 觀望
    6419.TWO                 240           28.00                169.72            False           False             25        ☁ 觀望
     6689.TW                 120           20.69                169.46             True           False             29        ☁ 觀望
     3686.TW                  20           26.67                169.42            False           False            150        ☁ 觀望
    3624.TWO                  20           27.97                169.05            False           False            143        ☁ 觀望
     3044.TW                 120           34.48                169.02            False           False             58        📈 持有
     8261.TW                 240           25.81                168.59             True            True             62        📈 持有
    3570.TWO                 240           37.04                167.83             True           False             54        📈 持有
     3694.TW                  20           40.74                167.66            False           False            135        ☁ 觀望
     6770.TW                 120           12.50                167.24            False           False             16        📈 持有
     4989.TW                 120           27.45                166.99             True           False             51        📈 持有
     2233.TW                 240           42.22                166.95            False           False             45        📈 持有
    8099.TWO                  10           28.00                166.77            False           False            225        ☁ 觀望
     9941.TW                  60           32.84                166.35            False            True             67        ☁ 觀望
    4973.TWO                 120           29.63                166.17            False           False             54        📈 持有
     5521.TW                  20           28.12                166.17             True            True            128        ☁ 觀望
     1736.TW                 240           34.48                165.37            False            True             29        ☁ 觀望
    8390.TWO                 120           36.96                165.28            False           False             46        📈 持有
    3541.TWO                  10           39.33                165.21            False           False            178        ☁ 觀望
     8081.TW                  60           32.53                165.09             True           False             83        📈 持有
    6530.TWO                 240           42.42                164.83             True           False             33        📈 持有
     1303.TW                 120           28.57                163.44             True           False             42        📈 持有
    8034.TWO                 120           31.58                163.28            False           False             38        📈 持有
     4934.TW                 240           29.41                162.28             True           False             34        📈 持有
     2017.TW                 120           22.50                161.56             True           False             40        📈 持有
    3064.TWO                  10           31.93                161.08            False            True            238        ☁ 觀望
     3015.TW                 240           40.91                160.51            False           False             22        ☁ 觀望
     5471.TW                 240           19.44                160.45             True           False             36        📈 持有
     6412.TW                 240           32.14                160.27             True           False             28        ☁ 觀望
     3011.TW                 240           27.59                160.18            False            True             29        ☁ 觀望
     2367.TW                 120           18.06                159.64             True           False             72        📈 持有
    3546.TWO                 240           45.16                159.53            False           False             31        📈 持有
     2357.TW                 240           31.91                158.73            False           False             47        ☁ 觀望
     7799.TW                  10           20.00                158.13            False           False             15        📈 持有
     1590.TW                 120           29.41                157.18            False           False             68        📈 持有
    3455.TWO                 120           41.07                157.17             True            True             56        📈 持有
    8234.TWO                 240           33.33                156.97            False           False             39        ☁ 觀望
     6757.TW                 120           42.86                156.41            False            True              7        ☁ 觀望
     2414.TW                 240           52.17                156.06             True           False             23        📈 持有
    3581.TWO                  10           35.09                154.33            False           False            228        📈 持有
    4529.TWO                  10           30.56                154.29            False           False            216        📈 持有
    4561.TWO                 120           32.50                154.11            False           False             40        ☁ 觀望
     6209.TW                  10           37.00                153.56            False           False            200        ☁ 觀望
    3227.TWO                 120           31.25                153.37            False           False             64        📈 持有
     2377.TW                 240           38.24                152.28            False           False             34        ☁ 觀望
     2317.TW                  60           33.33                152.26            False           False             81        ☁ 觀望
     3481.TW                  10           30.50                152.05             True            True            200        📈 持有
     2891.TW                 120           33.33                151.25            False           False             45        📈 持有
     2812.TW                 240           29.17                151.09            False           False             24        📈 持有
     2883.TW                 120           40.48                150.92             True           False             42        📈 持有
     8462.TW                  60           32.79                150.38            False           False             61        ☁ 觀望
