=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
4416.TWO   |    MA20    |    28.2% |    -61.54% |    195
6925.TWO   |    MA10    |    25.4% |    125.08% |     59
6285.TW    |    MA20    |    34.9% |     18.32% |    152
4744.TWO   |    MA20    |    34.3% |    261.38% |    140
00642U.TW  |    MA60    |    37.7% |     -3.51% |     77
6994.TW    |    MA5     |    38.2% |    100.93% |     55
3576.TW    |    MA60    |    19.5% |    -60.15% |     87
8112.TW    |    MA60    |    31.2% |    231.93% |     80
00633L.TW  |    MA20    |    32.8% |     30.62% |    122
00773B.TWO |    MA20    |    33.8% |    -10.43% |     77
6642.TWO   |    MA20    |    29.1% |     86.35% |    117
00885.TW   |    MA5     |    34.9% |     -0.44% |    109
8034.TWO   |    MA10    |    32.2% |    120.03% |    208
1721.TW    |    MA20    |    21.8% |     77.65% |    156
6902.TW    |    MA20    |    25.9% |    -46.80% |     27
2461.TW    |    MA60    |    25.9% |     -0.49% |     85
6461.TWO   |    MA10    |    27.4% |    -66.69% |    208
7805.TWO   |    MA10    |    34.6% |     -5.67% |     26
6961.TWO   |    MA60    |    28.6% |     -4.53% |     14
8131.TW    |    MA10    |    34.3% |    156.07% |    210
7752.TWO   |    MA10    |    33.3% |    -23.48% |     21
00637L.TW  |    MA20    |    31.9% |     19.44% |    116
4538.TWO   |    MA60    |    30.0% |    -45.39% |    120
6962.TW    |    MA5     |    25.9% |    -18.32% |     27
3323.TWO   |    MA10    |    32.7% |     44.98% |    214
00664R.TW  |    MA60    |    23.9% |    -49.28% |     46
8091.TWO   |    MA60    |    28.6% |    132.77% |     84
7810.TWO   |    MA20    |    43.8% |    126.89% |     16
2434.TW    |    MA20    |    27.7% |     50.21% |    177
7610.TW    |    MA10    |    33.3% |     83.37% |      6
4952.TW    |    MA10    |    33.7% |     41.71% |    193
6187.TWO   |    MA60    |    33.9% |    389.80% |     59
00980A.TW  |    MA20    |    80.0% |     38.54% |      5
00929.TW   |    MA20    |    41.4% |     22.17% |     29
2252.TWO   |    MA20    |    26.1% |    -37.95% |     46
2034.TW    |    MA10    |    25.3% |    -44.48% |    229
00947.TW   |    MA60    |    45.5% |     46.42% |     11
2483.TW    |    MA20    |    30.2% |    -34.65% |    126
3581.TWO   |    MA10    |    35.2% |    158.70% |    227
3380.TW    |    MA10    |    31.8% |    -17.73% |    217
5301.TWO   |    MA5     |    27.1% |     74.57% |    295
1795.TW    |    MA5     |    27.2% |     47.78% |    298
2406.TW    |    MA20    |    27.1% |    125.57% |    133
6147.TWO   |    MA10    |    29.5% |   -108.19% |    227
6667.TWO   |    MA10    |    36.1% |    211.18% |    144
6231.TWO   |    MA60    |    34.6% |    301.16% |     78
00674R.TW  |    MA60    |    15.6% |    -46.93% |     45
00751B.TWO |    MA20    |    35.5% |    -18.19% |     76
6657.TW    |    MA5     |    29.2% |      4.71% |     65
6799.TW    |    MA60    |    38.2% |     94.63% |     34
6689.TW    |    MA60    |    28.1% |    134.81% |     32
1536.TW    |    MA60    |    23.5% |      0.10% |     85
6716.TWO   |    MA60    |    35.8% |    106.19% |     53
3664.TWO   |    MA20    |    32.4% |     45.27% |    139
3665.TW    |    MA60    |    33.7% |    210.16% |     86
3714.TW    |    MA20    |    28.8% |    -80.59% |     66
3218.TWO   |    MA60    |    23.5% |    307.34% |     85
6698.TW    |    MA10    |    39.8% |    140.62% |    113
5228.TWO   |    MA20    |    25.5% |    -70.23% |    141
5880.TW    |    MA60    |    18.6% |      5.38% |     97
2349.TW    |    MA10    |    31.3% |    139.64% |    198
4161.TWO   |    MA60    |    22.6% |   -143.47% |    106
7734.TWO   |    MA5     |    23.1% |     27.29% |     52
2401.TW    |    MA60    |    21.0% |     -1.53% |     81
6906.TW    |    MA60    |    33.3% |    -27.77% |      9
3563.TW    |    MA60    |    31.0% |    362.58% |     71
6279.TWO   |    MA10    |    31.0% |    -11.84% |    213
3324.TWO   |    MA60    |    34.2% |    610.62% |     73
3577.TWO   |    MA20    |    32.4% |     24.14% |    170
3357.TWO   |    MA10    |    35.9% |    265.66% |    220
4609.TWO   |    MA60    |    29.8% |   -191.97% |    141
2254.TW    |    MA20    |    14.3% |    -41.89% |     35
2369.TW    |    MA60    |    24.6% |     30.96% |     61
7751.TWO   |    MA10    |    33.3% |    132.40% |     27
8489.TWO   |    MA60    |    28.8% |    -20.16% |     66
1773.TW    |    MA60    |    37.1% |    231.87% |     70
6844.TWO   |    MA20    |    37.8% |     27.54% |     45
6931.TW    |    MA20    |    39.1% |     82.29% |     46
4956.TW    |    MA10    |    30.4% |    -14.30% |    227
5876.TW    |    MA60    |    20.3% |     -7.16% |     74
4977.TW    |    MA20    |    34.0% |     87.33% |    141
00632R.TW  |    MA20    |    23.1% |    447.54% |    117
8935.TWO   |    MA10    |    29.1% |      2.57% |    223
5227.TWO   |    MA60    |    25.3% |   -135.47% |     79
3521.TWO   |    MA60    |    37.0% |     42.78% |     81
3564.TWO   |    MA10    |    35.5% |    109.73% |    197
6419.TWO   |    MA20    |    33.9% |     51.71% |    183
2845.TW    |    MA60    |    21.6% |      2.87% |     88
3266.TW    |    MA60    |    20.9% |    -80.70% |    115
2812.TW    |    MA60    |    28.6% |     86.03% |     70
00959B.TWO |    MA60    |    60.0% |     -2.23% |      5
2724.TWO   |    MA10    |    26.7% |    -99.81% |    236
2867.TW    |    MA10    |    26.4% |    -56.60% |    212
4906.TW    |    MA10    |    36.8% |    -26.76% |    204
1203.TW    |    MA60    |    21.6% |      5.51% |     97
2002.TW    |    MA60    |    18.7% |    -28.90% |     75
2478.TW    |    MA60    |    31.3% |    177.64% |     83
4560.TW    |    MA20    |    28.3% |     -3.36% |    106
8291.TWO   |    MA60    |    25.9% |   -442.02% |    147
6865.TWO   |    MA5     |    26.1% |    -59.39% |    119
6988.TW    |    MA10    |    41.7% |     29.04% |     24
5543.TWO   |    MA60    |    31.6% |    119.95% |     98
6668.TW    |    MA60    |    36.2% |    -28.43% |     58
020030.TW  |    MA5     |     0.0% |      0.00% |      0
3691.TWO   |    MA60    |    27.5% |     47.00% |     69
2897.TW    |    MA60    |    25.0% |      6.94% |     96
3592.TW    |    MA20    |    32.4% |      8.69% |     37
4806.TWO   |    MA5     |    35.8% |    -64.39% |    282
1718.TW    |    MA20    |    30.1% |    -28.96% |    136
6491.TW    |    MA60    |    32.4% |    148.57% |     71
00955.TWO  |    MA5     |    43.8% |     30.24% |     32
3078.TWO   |    MA60    |    32.8% |    270.07% |     64
2484.TW    |    MA20    |    34.1% |     41.64% |    135
6996.TWO   |    MA60    |    15.4% |    -35.23% |     13
6166.TW    |    MA60    |    32.5% |    -55.84% |     77
1338.TW    |    MA5     |    28.9% |   -178.83% |    301
3023.TW    |    MA60    |    27.5% |     99.92% |     80
00738U.TW  |    MA10    |    31.2% |     26.05% |    125
6672.TW    |    MA20    |    29.0% |     62.57% |    100
3694.TW    |    MA20    |    40.6% |    161.67% |    133
6160.TWO   |    MA20    |    29.0% |     36.44% |    145
5426.TWO   |    MA10    |    27.1% |     37.39% |    214
8048.TWO   |    MA20    |    35.1% |    175.53% |    134
2312.TW    |    MA10    |    29.4% |     51.28% |    214
2208.TW    |    MA10    |    23.1% |    -24.86% |    212
009803.TW  |    MA10    |    57.1% |     54.84% |      7
7584.TWO   |    MA10    |    27.6% |      8.24% |    105
8050.TWO   |    MA60    |    25.0% |     17.68% |     84
3455.TWO   |    MA60    |    34.8% |    143.57% |     66
2104.TW    |    MA10    |    29.7% |    -15.47% |    195
6122.TWO   |    MA60    |    28.6% |    201.91% |     84
02001L.TW  |    MA5     |     0.0% |      0.00% |      0
2880.TW    |    MA60    |    26.8% |     38.88% |     82
6435.TWO   |    MA20    |    35.3% |    221.79% |    136
8476.TW    |    MA5     |    37.7% |   2326.31% |    318
6530.TWO   |    MA20    |    33.8% |     63.27% |    136
6806.TW    |    MA5     |    30.7% |     38.09% |    137
2755.TWO   |    MA20    |    42.7% |    173.53% |     75
1605.TW    |    MA60    |    37.3% |    127.82% |     83
8038.TWO   |    MA60    |    26.8% |     78.62% |     71
3006.TW    |    MA20    |    42.2% |    174.75% |    135
1442.TW    |    MA60    |    32.5% |    102.84% |     77
1303.TW    |    MA60    |    34.9% |     41.68% |     63
00715L.TW  |    MA20    |    39.8% |    121.16% |     88
8349.TWO   |    MA20    |    32.2% |     44.15% |    146
2633.TW    |    MA60    |    20.0% |     98.04% |     80
4530.TWO   |    MA60    |    33.3% |     68.24% |    120
3693.TWO   |    MA60    |    34.8% |    504.44% |     66
6290.TWO   |    MA60    |    31.0% |    222.19% |     87
2543.TW    |    MA60    |    23.3% |    989.35% |    120
1762.TW    |    MA60    |    26.0% |    -48.02% |     77
2388.TW    |    MA10    |    25.4% |    235.25% |    232
3360.TWO   |    MA20    |    28.7% |     71.39% |    143
1256.TW    |    MA60    |    27.7% |     37.62% |     65
3260.TWO   |    MA10    |    32.6% |    209.59% |    190
2035.TWO   |    MA60    |    19.5% |   -205.96% |    154
6418.TWO   |    MA20    |    28.7% |    232.76% |    143
5230.TWO   |    MA5     |    33.2% |     35.90% |    280
3169.TWO   |    MA60    |    27.0% |    284.05% |     74
1516.TW    |    MA20    |    30.7% |      4.86% |    163
3413.TW    |    MA20    |    37.8% |    210.16% |    135
3516.TWO   |    MA60    |    25.2% |    -94.19% |    111
2201.TW    |    MA60    |    14.7% |   -145.70% |     95
1323.TW    |    MA60    |    21.3% |    -59.75% |    122
3071.TWO   |    MA20    |    33.1% |    116.04% |    127
00662.TW   |    MA20    |    44.9% |     74.62% |     98
8046.TW    |    MA60    |    32.8% |    349.72% |     64
1229.TW    |    MA60    |    19.3% |    227.03% |     57
00931B.TWO |    MA20    |    28.1% |    -14.36% |     32
2948.TWO   |    MA10    |    33.7% |     67.14% |     92
2419.TW    |    MA20    |    26.1% |     10.71% |    157
2392.TW    |    MA60    |    35.4% |     70.84% |     79
4966.TWO   |    MA60    |    35.0% |     92.26% |     80
6186.TWO   |    MA20    |    32.5% |    137.96% |    123
3045.TW    |    MA60    |    17.6% |    -13.57% |    119
6515.TW    |    MA10    |    33.0% |    185.95% |    109
8102.TWO   |    MA60    |    34.8% |    -16.62% |     23
00634R.TW  |    MA60    |    25.0% |    -90.29% |     72
8416.TWO   |    MA60    |    27.5% |    -29.74% |     91
3715.TW    |    MA60    |    36.4% |    464.46% |     22
3444.TWO   |    MA10    |    31.9% |     88.57% |    232
8027.TWO   |    MA60    |    29.9% |    237.29% |     77
4991.TWO   |    MA20    |    40.0% |    298.95% |    130
4542.TWO   |    MA5     |    33.9% |     84.41% |    330
6415.TW    |    MA60    |    35.4% |     54.58% |     82
6573.TW    |    MA10    |    29.0% |    -31.17% |    145
3597.TWO   |    MA60    |    41.1% |     99.30% |     73
5536.TWO   |    MA60    |    30.5% |    327.34% |     59
6104.TWO   |    MA60    |    31.6% |    277.20% |     79
2211.TW    |    MA60    |    29.6% |    195.86% |     27
00949.TW   |    MA5     |    25.6% |     -3.61% |     39
2542.TW    |    MA20    |    32.1% |     71.48% |    134
6431.TW    |    MA20    |    33.6% |    140.48% |    125
7721.TW    |    MA20    |    23.1% |      9.11% |     26
02001R.TW  |    MA5     |     0.0% |      0.00% |      0
4192.TWO   |    MA20    |    21.9% |     15.33% |    146
9917.TW    |    MA60    |    24.2% |      0.29% |     95
8271.TW    |    MA60    |    29.0% |    125.05% |     62
7455.TWO   |    MA20    |    21.4% |     -8.70% |     14
8047.TWO   |    MA60    |    23.6% |     41.83% |    148
4540.TW    |    MA60    |    33.9% |    260.72% |     56
1309.TW    |    MA60    |    31.3% |    191.25% |     67
00904.TW   |    MA10    |    43.9% |     83.26% |     57
6756.TW    |    MA60    |    24.4% |     71.76% |     41
6919.TW    |    MA10    |    48.8% |    375.05% |     41
3211.TWO   |    MA60    |    38.0% |    162.85% |     71
2360.TW    |    MA60    |    33.8% |    203.20% |     71
8016.TW    |    MA60    |    24.2% |    130.05% |     95
3094.TW    |    MA20    |    29.7% |    -48.98% |    148
5484.TW    |    MA10    |    30.0% |    243.89% |    213
6284.TWO   |    MA10    |    35.4% |    147.17% |    195
7783.TWO   |    MA5     |    36.7% |    -11.07% |     30
00941.TW   |    MA60    |    20.0% |     26.09% |     10
3014.TW    |    MA60    |    32.1% |    227.44% |     78
3558.TWO   |    MA60    |    28.7% |      1.13% |     80
3406.TW    |    MA10    |    39.4% |    385.96% |    198
6794.TW    |    MA20    |    23.8% |     22.78% |     21
2383.TW    |    MA60    |    42.9% |    366.91% |     70
7402.TWO   |    MA10    |    28.3% |    142.21% |    212
6235.TW    |    MA60    |    33.8% |    364.11% |     74
3149.TW    |    MA60    |    21.3% |    176.85% |     61
4580.TWO   |    MA20    |    31.6% |     24.22% |     76
6739.TWO   |    MA60    |    46.2% |    382.16% |     26
7702.TWO   |    MA10    |    43.8% |     14.28% |     32
2023.TW    |    MA60    |    26.4% |     57.77% |    110
3454.TW    |    MA60    |    27.1% |     78.41% |     59
3543.TW    |    MA60    |    24.1% |    169.96% |     79
2345.TW    |    MA60    |    32.9% |    353.39% |     70
3018.TW    |    MA60    |    30.8% |    221.97% |     65
6526.TW    |    MA10    |    40.5% |      6.68% |     37
6843.TWO   |    MA60    |    25.9% |    -14.22% |     27
8240.TWO   |    MA20    |    35.6% |     81.99% |    132
3686.TW    |    MA20    |    26.7% |    169.11% |    150
6933.TW    |    MA5     |    28.6% |    -17.10% |     56
1337.TW    |    MA60    |    20.2% |   -127.71% |     94
7719.TWO   |    MA60    |    25.0% |     98.74% |      8
3663.TWO   |    MA20    |    31.5% |     50.19% |    149
6588.TWO   |    MA60    |    37.3% |    288.46% |     59
4563.TWO   |    MA10    |    30.8% |    -18.94% |    172
3707.TWO   |    MA60    |    30.1% |    227.21% |     73
3064.TWO   |    MA10    |    31.9% |    161.08% |    238
8103.TW    |    MA60    |    34.6% |     65.74% |     81
3498.TWO   |    MA20    |    27.5% |    -60.37% |    138
2883.TW    |    MA60    |    27.8% |     90.87% |     90
6788.TWO   |    MA60    |    31.2% |    194.21% |     32
6793.TWO   |    MA60    |    36.4% |      8.57% |     22
2308.TW    |    MA60    |    32.9% |    182.09% |     85
6903.TWO   |    MA20    |    40.5% |    139.69% |     42
2324.TW    |    MA20    |    36.0% |     74.33% |    136
00764B.TWO |    MA60    |    23.1% |    -31.02% |     65
00965.TW   |    MA10    |    41.2% |     29.99% |     17
4513.TWO   |    MA60    |    35.6% |    148.20% |     73
6805.TW    |    MA20    |    33.3% |    189.70% |     24
5292.TW    |    MA60    |    37.1% |    132.57% |     35
3013.TW    |    MA60    |    27.2% |    160.78% |     92
3529.TWO   |    MA20    |    34.6% |    164.58% |    159
8436.TWO   |    MA60    |    27.1% |    136.31% |     70
6276.TWO   |    MA60    |    51.0% |    342.90% |     51
6182.TWO   |    MA60    |    35.6% |    208.81% |     73
6598.TW    |    MA60    |    26.6% |     18.31% |     64
4931.TWO   |    MA60    |    26.5% |    630.33% |     68
5284.TW    |    MA20    |    26.7% |    225.20% |    150
6499.TWO   |    MA5     |    31.6% |    278.00% |    256
2387.TW    |    MA60    |    22.1% |    121.23% |     77
00968B.TWO |    MA60    |    50.0% |      3.85% |      4
2609.TW    |    MA60    |    17.1% |   1271.85% |     70
3057.TW    |    MA10    |    27.9% |    -29.15% |    215
3632.TWO   |    MA60    |    18.6% |   -101.70% |     70
5013.TWO   |    MA60    |    24.2% |     28.55% |     95
6548.TWO   |    MA60    |    29.2% |    393.62% |     72
5314.TWO   |    MA60    |    30.7% |    849.96% |    101
00713.TW   |    MA60    |    31.1% |     79.89% |     45
4764.TW    |    MA10    |    31.4% |     -0.71% |    194
2887I.TW   |    MA60    |    25.0% |     -1.35% |      4
6472.TW    |    MA60    |    33.3% |    471.77% |     81
6863.TW    |    MA20    |    24.1% |     11.72% |     29
2365.TW    |    MA5     |    28.1% |    108.11% |    302
2425.TW    |    MA20    |    31.0% |    116.42% |    113
3594.TWO   |    MA20    |    30.1% |     -0.22% |    133
4561.TWO   |    MA60    |    28.9% |    123.23% |     38
6128.TW    |    MA60    |    36.2% |     19.09% |     69
3008.TW    |    MA10    |    35.4% |     -6.11% |    226
2313.TW    |    MA10    |    33.2% |    186.87% |    205
5321.TWO   |    MA60    |    32.9% |    419.98% |     73
3379.TWO   |    MA10    |    26.6% |    137.20% |    244
2723.TW    |    MA60    |    37.5% |     54.90% |     72
3625.TWO   |    MA60    |    31.0% |    158.04% |     71
3141.TWO   |    MA60    |    27.4% |    568.77% |     62
7740.TW    |    MA10    |    45.5% |    -14.52% |     11
6708.TWO   |    MA10    |    27.4% |     45.31% |    124
1589.TW    |    MA10    |    30.0% |    -76.38% |    217
1435.TW    |    MA60    |    33.7% |    219.52% |     92
6291.TWO   |    MA20    |    37.1% |    223.33% |    205
9945.TW    |    MA60    |    20.7% |     73.10% |     82
9904.TW    |    MA60    |    34.0% |    -32.16% |     97
6140.TWO   |    MA60    |    25.8% |     -5.65% |    124
4949.TW    |    MA20    |    23.8% |    124.71% |     21
6282.TW    |    MA20    |    29.7% |    -14.17% |    155
1312.TW    |    MA60    |    27.8% |    -48.78% |     90
3049.TW    |    MA20    |    27.2% |     39.02% |    136
1537.TW    |    MA10    |    24.6% |    -82.85% |    252
2515.TW    |    MA10    |    26.9% |     82.04% |    212
1723.TW    |    MA5     |    22.6% |   -199.27% |    297
6179.TWO   |    MA10    |    29.6% |    -41.36% |    223
5493.TWO   |    MA60    |    35.1% |     41.01% |     97
00951.TW   |    MA20    |    16.7% |     31.90% |     24
6531.TW    |    MA20    |    38.8% |    555.53% |     80
6264.TWO   |    MA60    |    25.8% |     -4.36% |     66
2457.TW    |    MA60    |    20.8% |    302.33% |     72
6203.TWO   |    MA60    |    28.4% |    110.94% |     81
8926.TW    |    MA60    |    22.1% |     83.47% |     86
3028.TW    |    MA60    |    32.7% |    131.65% |     55
3430.TWO   |    MA10    |    35.4% |    173.02% |    198
3265.TWO   |    MA20    |    33.9% |    151.89% |    127
3481.TW    |    MA10    |    30.3% |    158.01% |    198
2941.TWO   |    MA60    |    16.0% |     89.50% |     25
6841.TWO   |    MA5     |    28.0% |    -45.47% |    100
2067.TWO   |    MA60    |    34.6% |    -61.17% |    130
2409.TW    |    MA60    |    18.5% |     21.93% |     92
00942B.TWO |    MA20    |    33.3% |     -1.10% |     18
3236.TWO   |    MA60    |    34.8% |    132.09% |     66
00722B.TWO |    MA20    |    26.7% |    -13.13% |     86
3289.TWO   |    MA20    |    34.1% |     20.21% |    135
00970B.TWO |    MA60    |    50.0% |      3.96% |      4
0050.TW    |    MA10    |    35.3% |    112.18% |    190
3710.TWO   |    MA20    |    25.4% |     -5.10% |    134
4526.TW    |    MA10    |    27.6% |    -12.60% |    228
3090.TW    |    MA60    |    36.1% |    176.99% |     83
5309.TWO   |    MA10    |    33.0% |    251.62% |    212
6719.TW    |    MA60    |    15.6% |    -51.01% |     32
3556.TWO   |    MA10    |    28.2% |     15.12% |    202
2301.TW    |    MA60    |    32.5% |     84.84% |     83
00679B.TWO |    MA60    |    24.6% |    -24.63% |     69
2382.TW    |    MA60    |    36.6% |    198.82% |     71
1711.TW    |    MA20    |    25.6% |    -54.74% |    164
1102.TW    |    MA20    |    31.5% |    -19.08% |    146
6762.TWO   |    MA20    |    25.8% |     20.58% |     89
7782.TWO   |    MA60    |    33.3% |     -1.97% |      6
TXF.TW     |    MA10    |    39.4% |     52.34% |    188
3088.TWO   |    MA10    |    29.7% |    -26.33% |    229
7744.TWO   |    MA5     |    36.6% |    122.16% |     41
6191.TW    |    MA60    |    32.4% |    296.88% |     74
8422.TW    |    MA20    |    26.7% |     13.89% |    165
3701.TW    |    MA20    |    28.6% |    250.23% |    206
5508.TWO   |    MA60    |    32.8% |    370.45% |     67
4562.TW    |    MA60    |    24.1% |    200.71% |     87
5258.TW    |    MA60    |    29.9% |    196.23% |     97
1294.TWO   |    MA60    |    36.8% |    255.45% |     19
6904.TWO   |    MA20    |    24.3% |     14.66% |     37
8044.TWO   |    MA60    |    33.3% |    -64.76% |     75
3530.TW    |    MA60    |    24.6% |    245.43% |     69
1599.TWO   |    MA60    |    29.5% |     14.70% |     61
3092.TW    |    MA60    |    23.4% |    126.34% |     77
1726.TW    |    MA60    |    17.3% |    -42.85% |    104
00985B.TW  |    MA20    |    50.0% |      3.35% |      2
7728.TWO   |    MA5     |    31.7% |     57.57% |     60
