=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
2385.TW    |    MA60    |    33.7% |    121.86% |     89
1529.TW    |    MA10    |    37.0% |   -179.29% |    243
3004.TW    |    MA20    |    39.3% |     71.61% |    150
3230.TWO   |    MA60    |    28.9% |    425.28% |     76
6170.TWO   |    MA20    |    33.6% |     59.81% |    149
6727.TWO   |    MA10    |    27.9% |    251.43% |    104
3363.TWO   |    MA60    |    32.5% |    285.92% |     77
6121.TWO   |    MA60    |    34.9% |    -18.48% |     83
6442.TW    |    MA5     |    37.9% |    456.86% |    282
8162.TW    |    MA20    |    32.1% |      3.82% |     28
8081.TW    |    MA60    |    32.5% |    167.26% |     80
1727.TW    |    MA60    |    25.0% |    258.55% |     92
4943.TW    |    MA60    |    33.3% |    321.97% |     57
1587.TW    |    MA20    |    28.5% |    184.18% |    144
2017.TW    |    MA60    |    21.4% |     46.54% |     70
2645.TW    |    MA5     |    34.0% |     53.60% |    103
6534.TW    |    MA20    |    20.8% |     24.91% |     24
6679.TWO   |    MA60    |    28.9% |    103.40% |     45
6944.TW    |    MA10    |    26.7% |     41.15% |     15
9110.TW    |    MA20    |    35.6% |    145.68% |    177
9914.TW    |    MA20    |    29.4% |      2.63% |    143
2605.TW    |    MA10    |    30.8% |    108.05% |    195
3652.TW    |    MA60    |    33.3% |     41.02% |     90
3162.TWO   |    MA20    |    28.9% |    167.77% |    149
3491.TWO   |    MA20    |    31.9% |    203.97% |    141
00857B.TWO |    MA20    |    34.6% |    -30.03% |     78
1436.TW    |    MA60    |    26.2% |    204.82% |     84
5864.TWO   |    MA60    |    27.0% |    275.09% |     89
6785.TWO   |    MA20    |    34.3% |    201.60% |     67
1708.TW    |    MA60    |    27.5% |    -13.85% |     80
6603.TWO   |    MA20    |    26.8% |    -44.29% |    157
3483.TWO   |    MA60    |    32.4% |    207.11% |     71
6274.TWO   |    MA20    |    39.4% |    241.22% |    155
8210.TW    |    MA10    |    34.9% |    430.22% |    195
2547.TW    |    MA10    |    28.8% |     -7.75% |    205
8183.TWO   |    MA60    |    34.1% |    210.05% |     91
00656R.TW  |    MA60    |    23.3% |    -83.71% |     73
8277.TWO   |    MA20    |    30.6% |     81.39% |    144
2820.TW    |    MA60    |    17.5% |     21.21% |    103
3042.TW    |    MA10    |    31.5% |     35.39% |    213
1563.TW    |    MA20    |    20.0% |    -24.60% |     15
4934.TW    |    MA60    |    31.0% |     35.73% |     71
00772B.TWO |    MA20    |    28.6% |    -10.17% |     63
6271.TW    |    MA10    |    31.6% |    -26.80% |    212
2441.TW    |    MA60    |    37.7% |    118.99% |     61
8464.TW    |    MA20    |    37.6% |     57.06% |    141
2442.TW    |    MA60    |    32.9% |    121.38% |     73
3257.TW    |    MA20    |    33.6% |    106.07% |    134
8021.TW    |    MA20    |    31.6% |    310.42% |    136
6929.TWO   |    MA5     |    35.1% |     52.86% |     77
4745.TWO   |    MA10    |    33.3% |     -7.95% |    210
5381.TWO   |    MA60    |    25.8% |    281.31% |     93
7780.TW    |    MA10    |    35.0% |    183.86% |     20
00780B.TWO |    MA20    |    23.0% |     -8.03% |     74
00671R.TW  |    MA60    |    22.7% |    -79.77% |     44
6565.TWO   |    MA10    |    24.7% |    -87.26% |    158
8067.TWO   |    MA60    |    32.1% |   -263.99% |    187
8070.TW    |    MA20    |    33.3% |    187.33% |    126
1456.TW    |    MA60    |    27.4% |   -101.40% |    113
1402.TW    |    MA60    |    22.9% |    -89.85% |    105
1313.TW    |    MA60    |    32.9% |     99.52% |     70
3450.TW    |    MA60    |    25.0% |    222.62% |     76
6629.TWO   |    MA60    |    34.1% |    199.09% |     44
3003.TW    |    MA10    |    32.0% |     32.95% |    194
00688L.TW  |    MA60    |    28.6% |    -56.71% |     63
4555.TW    |    MA10    |    29.4% |   -118.69% |    221
6584.TWO   |    MA10    |    37.4% |    226.22% |    147
2444.TW    |    MA60    |    23.5% |    117.89% |     85
2323.TW    |    MA20    |    28.3% |     63.83% |    138
2368.TW    |    MA60    |    31.4% |    350.44% |     86
9933.TW    |    MA20    |    26.2% |     -1.60% |    149
5245.TWO   |    MA20    |    31.9% |    126.00% |    144
5607.TW    |    MA60    |    30.3% |    124.57% |     66
6152.TW    |    MA10    |    25.6% |     48.13% |    207
6237.TWO   |    MA10    |    28.6% |    221.58% |    206
3689.TWO   |    MA10    |    39.3% |    233.80% |    173
3354.TWO   |    MA20    |    28.4% |     51.02% |    155
2890.TW    |    MA60    |    24.6% |    108.66% |     65
2486.TW    |    MA60    |    26.6% |    622.23% |     79
7712.TWO   |    MA10    |    25.6% |    101.42% |     39
2066.TWO   |    MA10    |    32.6% |    -37.77% |    227
2454.TW    |    MA20    |    33.8% |    137.98% |    139
5905.TWO   |    MA20    |    25.7% |     18.03% |    140
6664.TWO   |    MA60    |    35.9% |    193.92% |     39
00875.TW   |    MA20    |    23.0% |    -30.84% |     74
6257.TW    |    MA20    |    31.5% |     67.46% |    162
6414.TW    |    MA10    |    30.0% |     31.39% |    213
1569.TWO   |    MA10    |    33.2% |    144.40% |    196
4739.TW    |    MA20    |    38.0% |    141.60% |    137
6233.TWO   |    MA60    |    18.7% |    168.49% |     75
2482.TW    |    MA20    |    22.9% |    141.93% |    144
6869.TW    |    MA5     |    36.5% |    103.76% |     96
00687B.TWO |    MA60    |    20.3% |    -31.18% |     69
3168.TW    |    MA60    |    36.9% |    254.09% |    103
2236.TW    |    MA60    |    33.8% |    171.54% |     74
6465.TWO   |    MA20    |    34.7% |     83.27% |    173
4804.TWO   |    MA10    |    25.6% |    126.50% |    172
00877.TWO  |    MA10    |    34.6% |    115.22% |     81
2380.TW    |    MA60    |    23.5% |     67.54% |     68
3176.TWO   |    MA60    |    30.8% |    -96.19% |     78
6206.TW    |    MA20    |    27.7% |      2.16% |    148
4576.TW    |    MA60    |    28.3% |     46.44% |     46
3178.TWO   |    MA20    |    32.4% |    198.55% |    142
8043.TWO   |    MA60    |    25.0% |    252.69% |     88
2338.TW    |    MA10    |    33.8% |    181.85% |    204
2597.TW    |    MA60    |    28.9% |    333.35% |     76
3374.TWO   |    MA20    |    36.6% |    240.37% |    145
8086.TWO   |    MA60    |    32.4% |    227.91% |     74
6757.TW    |    MA60    |    30.0% |     79.44% |     10
00725B.TWO |    MA20    |    25.4% |     12.06% |     71
6722.TW    |    MA60    |    30.8% |    -17.56% |     26
9908.TW    |    MA60    |    18.4% |      8.97% |     98
^TWII      |    MA10    |    36.5% |     75.32% |    178
2855.TW    |    MA20    |    26.4% |     91.70% |    129
3032.TW    |    MA20    |    35.5% |    207.08% |    121
1477.TW    |    MA60    |    38.9% |    155.39% |     72
6505.TW    |    MA60    |    25.0% |    -85.48% |    124
2405.TW    |    MA60    |    33.3% |    -32.72% |     99
00752.TW   |    MA20    |    29.6% |      7.82% |     81
3264.TWO   |    MA20    |    35.3% |    159.66% |    136
8358.TWO   |    MA60    |    28.8% |    614.73% |     66
6983.TWO   |    MA20    |    40.0% |    134.19% |     30
00878.TW   |    MA10    |    40.5% |     35.21% |     74
6568.TWO   |    MA20    |    43.3% |    244.26% |    104
6174.TWO   |    MA60    |    38.3% |     41.00% |     94
3623.TWO   |    MA10    |    35.1% |    117.29% |    188
6477.TW    |    MA60    |    28.0% |     37.49% |     75
6761.TWO   |    MA60    |    28.6% |    118.70% |     42
5483.TWO   |    MA20    |    39.8% |    224.49% |    123
6742.TW    |    MA10    |    34.3% |      4.66% |     70
3066.TWO   |    MA10    |    36.4% |     48.57% |    239
1340.TW    |    MA20    |    22.1% |   -130.34% |    136
6770.TW    |    MA5     |    31.8% |     81.44% |    129
00655L.TW  |    MA20    |    33.6% |     27.15% |    113
2630.TW    |    MA20    |    33.9% |    144.26% |    124
3624.TWO   |    MA20    |    28.2% |    166.28% |    142
3135.TW    |    MA20    |    34.7% |    207.50% |     49
3085.TWO   |    MA60    |    26.9% |     90.11% |     67
8099.TWO   |    MA10    |    28.1% |    163.54% |    224
3073.TWO   |    MA10    |    31.7% |     14.11% |    240
2356.TW    |    MA20    |    29.0% |     23.36% |    162
6838.TW    |    MA10    |    31.8% |     16.82% |     22
6139.TW    |    MA60    |    22.8% |    511.66% |     79
7709.TWO   |    MA10    |    25.0% |     -0.52% |     52
1519.TW    |    MA60    |    28.9% |    738.38% |     83
3717.TW    |    MA5     |    20.0% |     -7.00% |     15
2239.TW    |    MA10    |    29.2% |     -4.41% |    185
1235.TW    |    MA60    |    28.8% |    202.70% |     73
8087.TWO   |    MA60    |    26.1% |    138.22% |    111
00887.TWO  |    MA20    |    37.0% |      6.60% |     46
00983A.TW  |    MA20    |    50.0% |     11.43% |      4
4979.TWO   |    MA10    |    32.4% |    323.26% |    222
2436.TW    |    MA60    |    34.9% |     86.08% |     86
2027.TW    |    MA60    |    24.1% |    147.88% |     83
00650L.TW  |    MA60    |    28.3% |     38.83% |     60
4971.TWO   |    MA10    |    36.2% |     59.01% |    210
9918.TW    |    MA60    |    21.1% |    -61.31% |    147
3711.TW    |    MA60    |    32.9% |     36.03% |     79
5498.TWO   |    MA10    |    25.7% |    322.40% |    210
8033.TW    |    MA60    |    27.8% |    315.07% |     97
4967.TW    |    MA10    |    31.1% |    307.99% |    228
1785.TWO   |    MA10    |    29.7% |     72.81% |    222
3152.TWO   |    MA20    |    28.5% |     73.83% |    130
009805.TW  |    MA60    |   100.0% |     17.39% |      3
2467.TW    |    MA60    |    30.6% |    350.48% |     62
6782.TW    |    MA20    |    31.6% |     85.66% |     57
3653.TW    |    MA10    |    36.6% |    263.36% |    216
8462.TW    |    MA60    |    32.2% |    155.04% |     59
00680L.TW  |    MA60    |    29.9% |    -56.29% |     67
9931.TW    |    MA60    |    23.8% |    -92.27% |    164
8101.TW    |    MA60    |    20.0% |    -71.90% |     60
6432.TWO   |    MA10    |    28.1% |    -11.41% |    221

報表輸出完成:
report/20260307/report_ma_backtest-v1-2_20260307.txt
report/20260307/report_ma_backtest-v1-2_20260307.csv
report/20260307/report_ma_backtest-v1-2_20260307.html
