=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
2302.TW    |    MA20    |    26.5% |     44.20% |      155
6957.TW    |    MA20    |    21.7% |    -27.38% |       23
3025.TW    |    MA10    |    31.8% |    312.73% |      201
5011.TWO   |    MA60    |    14.3% |    -15.86% |       77
4406.TWO   |    MA60    |    11.2% |   -314.87% |      179
7714.TWO   |    MA20    |    32.0% |     18.17% |       25
1432.TW    |    MA10    |    27.5% |    -12.18% |      204
3661.TW    |    MA5     |    33.4% |    142.48% |      302
3033.TW    |    MA10    |    23.6% |    -23.89% |      225
00646.TW   |    MA20    |    39.6% |     43.16% |      101
6592.TW    |    MA60    |    17.0% |     26.96% |       53
2314.TW    |    MA60    |    25.0% |     41.60% |       88
6451.TW    |    MA20    |    31.2% |     48.33% |      128
3308.TW    |    MA20    |    27.2% |     41.42% |      151
00700.TW   |    MA60    |    21.4% |    -29.37% |       56
3712.TW    |    MA10    |    28.9% |    227.11% |      121
4123.TWO   |    MA10    |    31.2% |    100.52% |      199
4973.TWO   |    MA20    |    28.9% |    124.19% |      135
2739.TW    |    MA60    |    16.9% |    -11.72% |       71
00720B.TWO |    MA20    |    31.2% |      9.98% |       77
5225.TW    |    MA60    |    36.2% |    160.06% |       69
1438.TW    |    MA60    |    18.7% |    -97.39% |      139
4927.TW    |    MA10    |    35.4% |    133.22% |      198
3221.TWO   |    MA20    |    27.6% |     31.76% |      134
00830.TW   |    MA10    |    34.8% |     74.86% |      112
8150.TW    |    MA20    |    31.2% |     95.90% |      138
6438.TW    |    MA20    |    27.8% |     89.91% |      151
2359.TW    |    MA10    |    28.6% |     62.72% |      217
2891.TW    |    MA20    |    30.1% |     24.06% |      163
6706.TW    |    MA20    |    29.8% |    179.69% |       84
5478.TWO   |    MA10    |    27.4% |     50.43% |      212
2492.TW    |    MA5     |    33.4% |    203.07% |      305
2347.TW    |    MA60    |    26.1% |     -9.27% |       92
3252.TWO   |    MA60    |    11.0% |   -174.71% |      100
2332.TW    |    MA10    |    26.7% |    -30.40% |      210
6789.TW    |    MA10    |    27.9% |     71.53% |       86
00953B.TW  |    MA20    |    33.3% |      3.13% |       12
3093.TWO   |    MA20    |    17.6% |    -94.27% |      187
00724B.TWO |    MA20    |    23.0% |     -5.94% |       87
1418.TW    |    MA60    |    16.3% |    -90.33% |      104
6138.TWO   |    MA20    |    36.0% |    148.94% |      136
00663L.TW  |    MA10    |    38.3% |    239.57% |      149
6965.TW    |    MA5     |    10.0% |    -37.91% |       20
7812.TWO   |    MA60    |    42.9% |     -5.80% |        7
2923.TW    |    MA10    |    22.0% |   -243.86% |      254
8477.TWO   |    MA60    |    21.9% |   -111.65% |       73
6508.TWO   |    MA20    |    23.7% |     -0.28% |      135
1538.TW    |    MA60    |    26.4% |   -124.43% |       91
2466.TW    |    MA20    |    21.4% |     45.54% |      126
00740B.TWO |    MA20    |    25.3% |      6.64% |       79
3131.TWO   |    MA20    |    31.3% |    270.06% |      131
2230.TWO   |    MA5     |    25.8% |     63.20% |      345
2426.TW    |    MA10    |    28.7% |     45.99% |      209
3675.TWO   |    MA60    |    26.2% |    278.77% |       84
8431.TWO   |    MA20    |    32.8% |    161.90% |      137
3189.TW    |    MA5     |    26.8% |     43.57% |      302
2206.TW    |    MA60    |    20.7% |     -9.18% |      121
6486.TWO   |    MA10    |    32.1% |     24.51% |      193
2881.TW    |    MA20    |    28.7% |     51.79% |      167
6928.TW    |    MA5     |    30.0% |     11.47% |       40
3443.TW    |    MA10    |    32.1% |    261.27% |      215
5328.TWO   |    MA10    |    29.1% |    123.85% |      199
2329.TW    |    MA20    |    33.6% |    248.15% |      146
6163.TWO   |    MA5     |    27.6% |     21.35% |      297
6244.TWO   |    MA10    |    29.0% |     56.96% |      217
2834.TW    |    MA10    |    23.1% |    -48.35% |      225
2022.TW    |    MA20    |    26.6% |    101.84% |      124
8088.TWO   |    MA20    |    27.9% |    102.36% |      136
2072.TWO   |    MA10    |    31.2% |    125.73% |       80
00703.TW   |    MA20    |    33.7% |    -11.41% |       89
4551.TW    |    MA20    |    25.4% |     -7.19% |      130
5608.TW    |    MA60    |    18.1% |    532.45% |       83
5203.TW    |    MA10    |    29.9% |     22.13% |      197
7795.TW    |    MA20    |    37.5% |     91.61% |        8
4904.TW    |    MA20    |    22.0% |    -62.16% |      177
4946.TWO   |    MA60    |    15.0% |    312.59% |       80
00900.TW   |    MA60    |    36.4% |     32.82% |       11
1314.TW    |    MA60    |    25.3% |    -54.28% |       91
6885.TW    |    MA60    |    33.3% |      5.45% |        3
00719B.TWO |    MA60    |    32.4% |      3.09% |       34
5274.TWO   |    MA20    |    34.4% |     74.60% |      157
00923.TW   |    MA10    |    40.5% |     61.97% |       37
6873.TW    |    MA20    |    28.3% |     30.58% |       46
4909.TWO   |    MA60    |    21.3% |    268.06% |       61
6016.TWO   |    MA10    |    26.8% |    153.82% |      190
9906.TW    |    MA10    |    27.4% |    335.70% |      219
8069.TWO   |    MA20    |    32.9% |    205.45% |      149
2340.TW    |    MA10    |    31.5% |     88.11% |      197
00982A.TW  |    MA10    |     0.0% |      0.00% |        0
5347.TWO   |    MA20    |    30.6% |     63.07% |      160
1503.TW    |    MA20    |    17.7% |    132.19% |      203
6143.TWO   |    MA10    |    31.0% |    126.22% |      184
3441.TWO   |    MA20    |    27.5% |     74.60% |      153
8080.TWO   |    MA20    |    20.4% |   -115.41% |      162
5490.TWO   |    MA20    |    25.2% |     -7.45% |      131
2607.TW    |    MA10    |    23.4% |    -67.19% |      239
4755.TW    |    MA20    |    32.8% |    236.74% |      125
6236.TWO   |    MA20    |    14.6% |    -92.21% |      157
6214.TW    |    MA10    |    27.1% |      2.74% |      225
00640L.TW  |    MA5     |    35.1% |     39.57% |      259
2641.TWO   |    MA60    |    18.9% |    200.93% |       74
8432.TWO   |    MA20    |    18.6% |    -85.08% |      161
6218.TWO   |    MA60    |    23.5% |    -16.83% |       98
6552.TW    |    MA60    |    22.4% |     52.00% |       58
1216.TW    |    MA10    |    22.0% |   -188.19% |      268
2887.TW    |    MA10    |    31.6% |     18.73% |      206
1471.TW    |    MA10    |    27.5% |    238.80% |      204
2493.TW    |    MA20    |    31.5% |    216.18% |      124
1590.TW    |    MA60    |    25.3% |     63.13% |       87
4127.TWO   |    MA20    |    24.4% |     42.26% |      156
00638R.TW  |    MA60    |    19.3% |    -89.38% |       83
00919.TW   |    MA20    |    40.6% |     49.22% |       32
6217.TWO   |    MA10    |    30.9% |     65.12% |      204
1710.TW    |    MA60    |    26.6% |   -152.99% |       94
9103.TW    |    MA20    |    20.1% |    964.32% |      159
2337.TW    |    MA60    |    26.5% |    254.07% |       98
6796.TW    |    MA20    |    31.6% |    143.21% |       57
6133.TW    |    MA60    |    19.7% |     25.47% |       76
3466.TWO   |    MA60    |    27.7% |    106.80% |       94
4569.TW    |    MA20    |    26.5% |     66.99% |       34
7799.TW    |    MA10    |    20.0% |    161.95% |       15
8921.TWO   |    MA20    |    15.3% |   -368.50% |      216
3163.TWO   |    MA5     |    32.5% |    158.13% |      308
2495.TW    |    MA60    |    26.4% |     43.83% |       87
6225.TW    |    MA10    |    20.3% |   -406.71% |      306
1444.TW    |    MA60    |    11.5% |   -138.60% |      122
0056.TW    |    MA10    |    38.2% |     94.46% |      170
8463.TW    |    MA60    |    24.2% |     28.80% |       99
8077.TWO   |    MA20    |    18.3% |   -253.28% |      219
00882.TW   |    MA10    |    25.9% |      7.77% |       85
6684.TWO   |    MA20    |    26.9% |     18.01% |       78
3546.TWO   |    MA10    |    31.7% |    133.93% |      208
3552.TWO   |    MA10    |    37.1% |    228.38% |      197
2377.TW    |    MA20    |    37.1% |    160.72% |      140
4583.TW    |    MA20    |    20.3% |    127.07% |       69
3293.TWO   |    MA60    |    26.6% |    500.28% |       64
00910.TW   |    MA20    |    41.2% |    113.84% |       34
8279.TWO   |    MA60    |    28.2% |     73.45% |       78
2006.TW    |    MA60    |    34.1% |    105.67% |       82
6715.TW    |    MA10    |    33.3% |    122.04% |      117
00946.TW   |    MA5     |    30.4% |     -2.62% |       46
3034.TW    |    MA60    |    23.7% |     86.13% |       76
3588.TW    |    MA10    |    36.2% |    117.58% |      213
2603.TW    |    MA10    |    33.8% |    358.69% |      198
6643.TWO   |    MA10    |    32.2% |    117.97% |      152
6854.TW    |    MA10    |    22.4% |     58.79% |       58
1459.TW    |    MA60    |    19.0% |    -41.86% |      100
4903.TWO   |    MA5     |    26.0% |    231.56% |      292
8444.TWO   |    MA20    |    26.3% |    178.64% |      133
3016.TW    |    MA20    |    28.3% |    170.07% |      145
6533.TW    |    MA5     |    29.8% |    162.70% |      265
00985A.TW  |    MA10    |    80.0% |     31.23% |        5
6620.TWO   |    MA20    |    33.3% |    329.65% |       81
6517.TWO   |    MA20    |    16.9% |     98.51% |       71
1583.TW    |    MA60    |    21.3% |    -70.71% |       94
4919.TW    |    MA60    |    25.3% |     84.16% |       91
6142.TW    |    MA20    |    27.6% |     56.91% |      127
2321.TW    |    MA20    |    19.9% |   -163.53% |      186
3213.TWO   |    MA10    |    28.6% |     62.35% |      206
2327.TW    |    MA5     |    32.3% |    201.65% |      319
8289.TWO   |    MA10    |    25.1% |     -7.25% |      223
3005.TW    |    MA10    |    31.5% |    115.48% |      216
2009.TW    |    MA60    |    16.7% |    576.78% |       66
6423.TWO   |    MA20    |    28.7% |    119.78% |      122
2610.TW    |    MA60    |    15.1% |     60.97% |       93
2836.TW    |    MA10    |    21.4% |   -100.36% |      234
2379.TW    |    MA20    |    30.3% |    114.33% |      145
6546.TWO   |    MA60    |    36.4% |    387.70% |       55
5432.TWO   |    MA60    |    25.6% |    345.43% |       90
3533.TW    |    MA5     |    27.0% |    -56.15% |      341
6120.TW    |    MA60    |    28.0% |     46.78% |       75
2882.TW    |    MA20    |    28.9% |     23.87% |      152
6456.TW    |    MA60    |    22.4% |     65.20% |       67
4737.TW    |    MA5     |    21.9% |    -21.72% |      302
3059.TW    |    MA5     |    26.9% |   -133.61% |      320
4541.TWO   |    MA20    |    29.9% |    -17.23% |      154
4938.TW    |    MA10    |    30.0% |     43.11% |      210
6265.TWO   |    MA20    |    28.7% |    208.64% |      129
3206.TWO   |    MA20    |    27.7% |     72.13% |      141
8499.TW    |    MA10    |    23.9% |     69.05% |      155
4585.TW    |    MA60    |     0.0% |     -4.51% |        1
3338.TW    |    MA10    |    27.4% |    113.56% |      208
5302.TWO   |    MA20    |    25.5% |     61.38% |      141
3702.TW    |    MA20    |    25.8% |    -28.07% |      155
2548.TW    |    MA10    |    30.2% |     27.28% |      205
00922.TW   |    MA10    |    33.3% |     56.28% |       45
8390.TWO   |    MA5     |    29.1% |     78.18% |      302
6535.TWO   |    MA20    |    22.9% |    238.04% |      140
00651R.TW  |    MA60    |    26.2% |    -59.57% |       61
3672.TWO   |    MA60    |    14.1% |      5.94% |       71
2615.TW    |    MA20    |    26.9% |    515.62% |      145
4807.TW    |    MA10    |    19.9% |   -117.50% |      176
2606.TW    |    MA5     |    28.3% |     23.67% |      290
1308.TW    |    MA60    |    23.8% |    -22.69% |       84
6768.TW    |    MA20    |    31.7% |     40.33% |       63
6720.TWO   |    MA20    |    38.5% |    292.72% |       65
8383.TWO   |    MA20    |    25.9% |    -12.65% |      158
6550.TW    |    MA20    |    22.9% |    327.12% |      105
6753.TW    |    MA5     |    26.9% |    142.70% |      134
4770.TW    |    MA5     |    26.4% |     -3.37% |      144
6228.TWO   |    MA60    |    17.0% |     -2.92% |      100
2468.TW    |    MA60    |    17.1% |     82.25% |      123
3041.TW    |    MA20    |    31.0% |    -36.81% |      158
2472.TW    |    MA10    |    32.4% |    132.04% |      216
6469.TWO   |    MA60    |    31.4% |    317.02% |       70
6426.TW    |    MA5     |    29.8% |    341.72% |      305
6112.TW    |    MA10    |    25.5% |     14.45% |      216
2601.TW    |    MA10    |    23.0% |     -0.58% |      222
5272.TWO   |    MA10    |    28.8% |      7.67% |      215
6005.TW    |    MA60    |    17.3% |    136.41% |       75
2258.TW    |    MA20    |    20.0% |    -67.80% |       40
00902.TW   |    MA10    |    18.9% |     28.59% |       53
6613.TWO   |    MA10    |    29.7% |     93.37% |      172
2616.TW    |    MA60    |    16.7% |     20.89% |       72
5443.TWO   |    MA20    |    35.8% |    304.74% |      134
6579.TW    |    MA10    |    23.5% |      1.42% |      183
3611.TWO   |    MA20    |    27.8% |      6.38% |      151
6219.TWO   |    MA60    |    20.2% |     38.80% |       84
2892.TW    |    MA10    |    29.1% |    -13.64% |      203
2889.TW    |    MA10    |    29.7% |     39.13% |      195
3713.TWO   |    MA20    |    15.3% |    241.33% |       72
2014.TW    |    MA60    |    17.6% |    373.59% |       68
2438.TW    |    MA10    |    18.5% |    156.82% |      232
2231.TW    |    MA10    |    27.1% |     61.19% |      203
3680.TWO   |    MA60    |    25.3% |    284.79% |       87
00666R.TW  |    MA60    |    25.0% |    -70.33% |       68
00761B.TWO |    MA20    |    25.6% |    -20.21% |       82
4171.TWO   |    MA10    |    21.5% |    266.60% |      223
6541.TW    |    MA10    |    23.4% |    116.08% |      188
4154.TWO   |    MA60    |    19.3% |    -46.37% |       88
7738.TWO   |    MA10    |    18.5% |     25.76% |       27
3541.TWO   |    MA5     |    29.9% |     34.87% |      274
00939.TW   |    MA5     |    35.7% |      6.02% |       42
3062.TW    |    MA5     |    24.7% |   -212.13% |      332
4571.TW    |    MA10    |    31.9% |    160.53% |       91
9929.TW    |    MA60    |    17.4% |   -106.53% |      115
6488.TWO   |    MA10    |    41.2% |    310.06% |      170
3416.TW    |    MA5     |    27.8% |    -45.80% |      316
4142.TW    |    MA60    |    16.2% |     18.17% |       80
5388.TW    |    MA60    |    30.4% |      1.53% |       79
3419.TW    |    MA10    |    23.3% |    -32.63% |      215
4147.TWO   |    MA10    |    31.1% |    135.80% |      193
3191.TWO   |    MA10    |    26.5% |     81.44% |      223
6666.TW    |    MA10    |    25.5% |    -87.58% |      157
2344.TW    |    MA10    |    35.0% |    454.54% |      197
8917.TWO   |    MA20    |    16.6% |   -192.23% |      211
7788.TW    |    MA20    |   100.0% |     29.87% |        3
3684.TWO   |    MA10    |    19.9% |    -38.83% |      241
1460.TW    |    MA20    |    16.8% |    -76.33% |      143
00735.TW   |    MA20    |    33.8% |    115.75% |       74
3227.TWO   |    MA20    |    27.8% |     94.06% |      151
2105.TW    |    MA60    |    21.2% |    -78.69% |       80
2460.TW    |    MA60    |    32.1% |    238.12% |       53
7781.TWO   |    MA10    |    20.8% |    181.34% |       24
3035.TW    |    MA60    |    42.2% |    231.76% |       64
00686R.TW  |    MA60    |    18.4% |    -73.80% |       49
2801.TW    |    MA10    |    27.4% |    -93.58% |      234
00864B.TWO |    MA20    |    26.5% |      8.10% |       49
5291.TWO   |    MA20    |    34.1% |     86.66% |      135
8455.TWO   |    MA10    |    19.0% |   -202.16% |      226
3040.TW    |    MA20    |    24.8% |     73.36% |      145
4130.TWO   |    MA10    |    22.5% |     16.38% |      218
3205.TWO   |    MA20    |    26.7% |    425.81% |      131
2439.TW    |    MA20    |    29.1% |     25.99% |      148
2371.TW    |    MA60    |    26.8% |    196.99% |       71
6894.TWO   |    MA10    |    23.7% |    -33.71% |       76
6125.TWO   |    MA5     |    26.5% |     80.08% |      321
2204.TW    |    MA60    |    30.0% |     48.40% |       70
5871.TW    |    MA20    |    35.7% |    105.27% |      129
1809.TW    |    MA5     |    26.3% |     12.17% |      293
6884.TWO   |    MA60    |    11.1% |     -1.58% |       27
2342.TW    |    MA10    |    26.8% |    129.37% |      209
8255.TWO   |    MA5     |    24.5% |   -123.92% |      314
6612.TWO   |    MA10    |    27.0% |      9.17% |      163
6560.TWO   |    MA20    |    25.5% |    292.58% |      102
1609.TW    |    MA60    |    27.1% |    220.25% |       96
009801.TW  |    MA10    |    38.9% |      0.42% |       18
2069.TW    |    MA20    |    25.8% |     12.65% |      132
3551.TWO   |    MA10    |    31.7% |    194.47% |      208
6243.TW    |    MA10    |    24.9% |    114.23% |      205
3570.TWO   |    MA20    |    22.8% |      1.67% |      171
9941.TW    |    MA60    |    25.4% |    158.79% |       67
3207.TWO   |    MA60    |    17.6% |    159.63% |      108
6202.TW    |    MA5     |    28.9% |    -54.98% |      308
912000.TW  |    MA20    |    23.1% |    152.77% |      117
1101.TW    |    MA20    |    31.7% |     -2.80% |      139
3067.TWO   |    MA60    |    13.6% |   -363.72% |      177
2903.TW    |    MA20    |    27.9% |     61.14% |      140
5521.TW    |    MA20    |    25.6% |    137.75% |      129
4939.TWO   |    MA60    |    27.7% |     96.32% |       83
2421.TW    |    MA10    |    33.2% |    175.25% |      214
1525.TW    |    MA20    |    23.4% |     48.77% |      137
6239.TW    |    MA10    |    32.9% |    151.03% |      207
9907.TW    |    MA60    |    24.4% |      9.53% |       78
6830.TW    |    MA10    |    33.7% |    -25.70% |       89
00891.TW   |    MA20    |    42.6% |     54.11% |       47
3010.TW    |    MA10    |    31.7% |     29.04% |      202
2886.TW    |    MA5     |    25.7% |   -114.81% |      334
2376.TW    |    MA10    |    32.8% |    193.97% |      201
5706.TW    |    MA10    |    23.6% |     94.02% |      212
6412.TW    |    MA20    |    25.7% |     92.22% |      144
6616.TWO   |    MA60    |    20.7% |     54.31% |       58
3019.TW    |    MA20    |    29.7% |    218.21% |      138
3217.TWO   |    MA5     |    28.2% |    -21.26% |      326
3545.TW    |    MA20    |    28.4% |     96.47% |      141
6134.TWO   |    MA20    |    27.2% |    188.63% |      125
4534.TWO   |    MA60    |    17.5% |    166.28% |       80
6655.TW    |    MA20    |    28.4% |    112.18% |      102
2458.TW    |    MA10    |    29.5% |     24.95% |      210
1597.TW    |    MA20    |    28.1% |    133.96% |      146
4131.TWO   |    MA60    |    16.8% |   -166.67% |      119
2432.TW    |    MA10    |    17.0% |    -63.62% |       53
6462.TWO   |    MA5     |    25.8% |     16.04% |      298
3687.TWO   |    MA10    |    25.6% |     30.84% |      219
3147.TWO   |    MA60    |    20.8% |    245.49% |       72
4523.TWO   |    MA10    |    22.8% |     43.55% |      206
00665L.TW  |    MA60    |    29.5% |    -62.93% |       61
2328.TW    |    MA5     |    28.7% |   -109.92% |      328
6691.TW    |    MA5     |    30.6% |    105.52% |      196
1439.TW    |    MA20    |    25.5% |     52.51% |      145
4915.TW    |    MA20    |    37.9% |    124.84% |      140
0052.TW    |    MA20    |    34.6% |    135.33% |      136
2241.TW    |    MA20    |    24.4% |     -0.69% |      123
1213.TW    |    MA60    |    14.8% |    -58.71% |      108
4702.TWO   |    MA10    |    20.6% |   -121.10% |      233
5234.TW    |    MA20    |    32.1% |    317.53% |      134
2740.TWO   |    MA20    |    15.1% |   -187.65% |      152
1805.TW    |    MA60    |    13.3% |    -75.61% |       90
2634.TW    |    MA60    |    16.3% |    -61.99% |       98
2237.TWO   |    MA60    |    24.4% |     -1.31% |       86
5487.TWO   |    MA10    |    18.1% |   -259.14% |      276
00936.TW   |    MA20    |    31.8% |     13.97% |       22
8096.TWO   |    MA20    |    28.3% |    190.60% |      145
2414.TW    |    MA10    |    30.3% |     58.81% |      195
7749.TW    |    MA60    |     0.0% |    -15.47% |        3
2480.TW    |    MA10    |    26.3% |     73.66% |      213
2233.TW    |    MA5     |    27.9% |    -31.48% |      319
4304.TWO   |    MA20    |    21.0% |    127.73% |      162
2385.TW    |    MA60    |    28.1% |    116.80% |       89
1529.TW    |    MA10    |    28.4% |   -142.94% |      243
3004.TW    |    MA10    |    28.8% |     82.94% |      215
6170.TWO   |    MA5     |    31.1% |     70.57% |      305
6442.TW    |    MA5     |    27.6% |    468.01% |      283
8081.TW    |    MA10    |    33.2% |     99.92% |      208
4943.TW    |    MA60    |    26.7% |    297.57% |       60
1587.TW    |    MA60    |    29.3% |    175.18% |       75
2017.TW    |    MA60    |    21.4% |     57.76% |       70
6534.TW    |    MA5     |    20.3% |    -34.26% |       69
6679.TWO   |    MA10    |    31.6% |     39.73% |      152
6944.TW    |    MA10    |    33.3% |     38.09% |       15
9110.TW    |    MA60    |    18.3% |     45.72% |       93
9914.TW    |    MA60    |    25.3% |    -78.07% |       95
2605.TW    |    MA5     |    28.9% |     33.03% |      298
3652.TW    |    MA10    |    25.1% |    -11.23% |      219
3162.TWO   |    MA10    |    28.0% |    205.11% |      214
3491.TWO   |    MA20    |    33.6% |    266.92% |      140
00857B.TWO |    MA20    |    28.2% |    -33.15% |       78
1436.TW    |    MA60    |    19.0% |    192.68% |       84
5864.TWO   |    MA60    |    20.5% |    268.33% |       88
6785.TWO   |    MA10    |    29.4% |    158.65% |       85
1708.TW    |    MA10    |    27.8% |     41.29% |      209
6603.TWO   |    MA20    |    24.7% |    -60.06% |      158
3483.TWO   |    MA10    |    31.4% |    218.57% |      210
8210.TW    |    MA10    |    35.2% |    421.19% |      196
2547.TW    |    MA10    |    23.9% |     -5.75% |      205
8183.TWO   |    MA60    |    30.4% |    224.12% |       92
00656R.TW  |    MA60    |    21.9% |    -78.61% |       73
8277.TWO   |    MA20    |    29.0% |    154.17% |      145
2820.TW    |    MA20    |    16.9% |    -63.24% |      201
3042.TW    |    MA60    |    25.8% |     59.83% |       97
1563.TW    |    MA60    |     0.0% |    -18.33% |        8
4934.TW    |    MA10    |    25.5% |     31.48% |      220
00772B.TWO |    MA20    |    31.7% |     -0.50% |       63
6271.TW    |    MA10    |    29.1% |    -11.29% |      213
3257.TW    |    MA20    |    31.3% |    152.12% |      134
4745.TWO   |    MA10    |    26.2% |      2.73% |      210
00780B.TWO |    MA60    |    20.0% |     -8.35% |       35
00671R.TW  |    MA60    |     6.8% |    -91.81% |       44
6565.TWO   |    MA5     |    23.9% |   -140.57% |      230
8067.TWO   |    MA60    |    13.9% |   -604.20% |      187
8070.TW    |    MA20    |    34.9% |    217.40% |      126
1456.TW    |    MA60    |    17.7% |   -108.85% |      113
1402.TW    |    MA20    |    24.4% |    -88.18% |      168
3450.TW    |    MA60    |    23.7% |    209.64% |       76
6629.TWO   |    MA60    |    15.6% |    151.09% |       45
3003.TW    |    MA60    |    28.6% |     20.28% |       77
00688L.TW  |    MA20    |    27.4% |    -34.56% |      106
4555.TW    |    MA20    |    15.9% |   -143.86% |      157
2444.TW    |    MA60    |    22.4% |    165.72% |       85
2323.TW    |    MA20    |    29.7% |     91.94% |      138
6152.TW    |    MA60    |    21.1% |     61.56% |       71
6237.TWO   |    MA10    |    22.8% |    260.61% |      206
3354.TWO   |    MA10    |    25.6% |     34.79% |      234
2890.TW    |    MA10    |    29.3% |    -13.84% |      215
2486.TW    |    MA60    |    26.6% |    641.05% |       79
7712.TWO   |    MA10    |    23.7% |    110.44% |       38
2066.TWO   |    MA10    |    25.1% |    -90.54% |      227
2454.TW    |    MA10    |    32.1% |     98.95% |      221
5905.TWO   |    MA20    |    19.3% |     14.33% |      140
6664.TWO   |    MA10    |    35.1% |    118.85% |      154
00875.TW   |    MA20    |    29.7% |     -1.96% |       74
6257.TW    |    MA20    |    34.1% |     80.92% |      164
6414.TW    |    MA10    |    34.1% |     69.21% |      214
1569.TWO   |    MA10    |    32.7% |    195.88% |      196
4739.TW    |    MA5     |    30.2% |    -96.66% |      318
6233.TWO   |    MA20    |    27.2% |     83.46% |      136
2482.TW    |    MA20    |    22.9% |    149.76% |      144
6869.TW    |    MA5     |    33.0% |     96.78% |       97
00687B.TWO |    MA20    |    29.4% |    -34.57% |      109
2236.TW    |    MA10    |    31.4% |    205.73% |      172
6465.TWO   |    MA20    |    16.9% |    -66.30% |      172
00877.TWO  |    MA10    |    33.3% |    116.78% |       81
6206.TW    |    MA10    |    27.8% |    -40.67% |      216
4576.TW    |    MA10    |    27.3% |     74.87% |      128
8043.TWO   |    MA20    |    30.7% |    269.21% |      137
2338.TW    |    MA10    |    30.4% |    195.52% |      204
2597.TW    |    MA5     |    27.3% |    126.50% |      315
3374.TWO   |    MA10    |    35.8% |    169.42% |      201
6757.TW    |    MA60    |    30.0% |     86.07% |       10
00725B.TWO |    MA20    |    26.8% |     14.29% |       71
6722.TW    |    MA20    |    27.8% |    -27.19% |       36
9908.TW    |    MA60    |    14.1% |     -2.83% |       99
^TWII      |    MA10    |    35.4% |     77.44% |      178
2855.TW    |    MA10    |    25.7% |     85.56% |      218
3032.TW    |    MA5     |    29.1% |    166.93% |      285
1477.TW    |    MA5     |    31.4% |    -72.09% |      312
2405.TW    |    MA60    |    30.3% |    -24.74% |       99
00752.TW   |    MA20    |    32.1% |     25.92% |       81
3264.TWO   |    MA20    |    38.2% |    223.11% |      136
6983.TWO   |    MA20    |    25.8% |    101.63% |       31
00878.TW   |    MA10    |    36.5% |     41.21% |       74
6568.TWO   |    MA20    |    40.4% |    302.80% |      104
6174.TWO   |    MA10    |    24.3% |    -97.36% |      243
6761.TWO   |    MA60    |    23.3% |    144.28% |       43
5483.TWO   |    MA10    |    38.2% |    228.16% |      204
6742.TW    |    MA10    |    33.3% |     13.94% |       72
3066.TWO   |    MA10    |    20.9% |    -45.52% |      239
1340.TW    |    MA20    |    23.5% |   -110.29% |      136
6770.TW    |    MA5     |    31.0% |     85.04% |      129
00655L.TW  |    MA20    |    31.0% |     27.77% |      113
2630.TW    |    MA60    |    25.9% |    -19.19% |       81
3135.TW    |    MA20    |    26.5% |    186.90% |       49
3085.TWO   |    MA60    |    20.9% |    165.01% |       67
3073.TWO   |    MA10    |    22.8% |    -15.81% |      241
6838.TW    |    MA10    |    27.3% |     19.83% |       22
6139.TW    |    MA5     |    26.6% |    158.09% |      331
7709.TWO   |    MA20    |    24.3% |     -9.21% |       37
3717.TW    |    MA5     |    33.3% |     -7.76% |       15
2239.TW    |    MA5     |    25.4% |   -113.61% |      260
1235.TW    |    MA60    |    28.8% |    222.51% |       73
8087.TWO   |    MA60    |    21.6% |    118.09% |      111
00887.TWO  |    MA20    |    23.9% |      0.21% |       46
00983A.TW  |    MA20    |    50.0% |     10.88% |        4
2436.TW    |    MA10    |    31.5% |     78.65% |      216
00650L.TW  |    MA60    |    26.7% |     35.84% |       60
7786.TW    |    MA60    |     0.0% |     -0.81% |        1
4971.TWO   |    MA10    |    33.3% |     57.97% |      210
9918.TW    |    MA5     |    12.5% |   -351.08% |      400
3711.TW    |    MA5     |    34.2% |     -1.38% |      310
4967.TW    |    MA60    |    30.6% |    363.49% |       72
1785.TWO   |    MA10    |    26.6% |    117.36% |      222
3152.TWO   |    MA20    |    29.2% |     98.37% |      130
2467.TW    |    MA20    |    27.5% |    242.71% |      138
6782.TW    |    MA20    |    25.9% |     84.93% |       58
3653.TW    |    MA10    |    35.5% |    280.84% |      217
00680L.TW  |    MA20    |    27.7% |    -37.23% |      101
9931.TW    |    MA20    |     8.7% |   -321.65% |      265
8101.TW    |    MA60    |    13.1% |    -49.79% |       61
